	Employee Benefits Security Administration, Attn: Participant Fee Disclosure Project, Room N–5655, U.S. Department of Labor, 200 Constitution Avenue,	Office of Regulations and Interpretations, Employee Benefits Security Administration, (202) 693– 1. The authority citation for part 2550 continues to read as follows: Authority: 29 U.S.C.	Stat.38; and Secretary of Labor’s Order No. 1–2003, 68 FR	Sec. 2550.401b–1 also issued under sec. 102, Reorganization Plan No.	Sec. 2550.401c–1 also issued under 29 U.S.C. 1101. Sections 2550.404c–1 and 2550.404c– 5 also issued under 29 U.S.C. 1104. Sec. 2550.407c–3 also issued under 29 U.S.C. 1107. Sec. 2550.408b–1 also issued under 29 U.S.C. 1108(b)(1) and sec. 102, Reorganization Plan No. 4 of 1978, 3 CFR, 1978 Comp. p. 332, effective Dec. 31, 1978, 44 FR	Add § 2550.404a–5 to read as Exchange Commission Form N–1A with respect to an open-end management investment company registered under the Investment Company Act of	(3) Total annual operating expenses means annual operating expenses of the designated investment alternative (e.g., investment management fees, distribution, service, and administrative Exchange Commission Form N–1A with respect to an open-end management investment company registered under the Investment Company Act of	(4) At least annually thereafter means at least once in any 12-month period, Signed at Washington, DC, this 15th day of
Employee Welfare and Pension Benefit Plans' Working Group on Fee and Related Disclosures to Participants	0.7094594594594594	0.7593582887700535	0.8173076923076923	0.8365384615384616	0.8686567164179104	0.7730061349693251	0.8	0.7815126050420168
Mutual Funds: Information on Trends in Fees and Their Related Disclosure	0.777027027027027	0.786096256684492	0.8055555555555556	0.8472222222222222	0.8895522388059701	0.7975460122699386	0.84375	0.773109243697479
November 2007 President's Economic Forecast for 2008	0.8040540540540541	0.8449197860962567	0.8421052631578947	0.8235294117647058	0.9074626865671642	0.8404907975460123	0.890625	0.8235294117647058
Private Pensions: Changes Needed to Provide 01(k) Plan Participants and the Department of Labor Better Information on Fees	0.6891891891891891	0.7700534759358288	0.7868852459016393	0.7950819672131147	0.8477611940298507	0.7484662576687117	0.790625	0.8442622950819673
Fees Revenue Sharing in Defined Contribution Retirement Plans 	0.7837837837837838	0.8181818181818182	0.8709677419354839	0.7941176470588235	0.8895522388059701	0.7852760736196319	0.853125	0.7647058823529411
2000 Small Employer Retirement Survey	0.8513513513513513	0.8823529411764706	0.8596491228070176	0.7941176470588235	0.9283582089552239	0.8404907975460123	0.91875	0.8403361344537815
2001 Small Employer Retirement Survey	0.8513513513513513	0.8823529411764706	0.8596491228070176	0.7794117647058824	0.9283582089552239	0.8404907975460123	0.91875	0.8403361344537815
2002 Small Employer Retirement Survey	0.8513513513513513	0.8823529411764706	0.8596491228070176	0.7941176470588235	0.9283582089552239	0.8404907975460123	0.91875	0.8403361344537815
Employee Benefit Research Institute Issue Brief #292	0.75	0.8021390374331551	0.8771929824561403	0.8823529411764706	0.9134328358208955	0.8343558282208589	0.890625	0.8151260504201681
Employment Cost Index	0.8783783783783784	0.9144385026737968	0.8771929824561403	0.8676470588235294	0.9611940298507463	0.901840490797546	0.95	0.8907563025210085
Invest Wisely: An Introduction to Mutual Funds	0.831081081081081	0.839572192513369	0.8421052631578947	0.8382352941176471	0.9253731343283582	0.8588957055214724	0.9	0.7983193277310925
National Occupational Employment Survey	0.8445945945945946	0.8449197860962567	0.8245614035087719	0.8676470588235294	0.9313432835820895	0.8650306748466258	0.90625	0.8319327731092437
Portfolio Transactions Costs at U.S. Equity Mutual Funds	0.8108108108108109	0.8288770053475936	0.9122807017543859	0.8676470588235294	0.9104477611940298	0.852760736196319	0.8875	0.8067226890756303
Survey of Income Program Participation	0.831081081081081	0.8716577540106952	0.7894736842105263	0.7941176470588235	0.9283582089552239	0.8773006134969326	0.9125	0.8403361344537815
The Economics of Providing 401(k) Plans: Services, Fees and Expenses 2006	0.8040540540540541	0.8288770053475936	0.863013698630137	0.8493150684931506	0.8955223880597015	0.7975460122699386	0.8625	0.8235294117647058
29 CFR 2550.404c-1	0.9459459459459459	0.9572192513368984	0.9298245614035088	0.8823529411764706	0.9552238805970149	0.9386503067484663	0.98125	0.957983193277311
72 FR 20457	0.9594594594594594	0.9679144385026738	0.9298245614035088	0.9411764705882353	0.9761194029850746	0.9693251533742331	0.990625	0.9663865546218487
72 FR 67790	0.9594594594594594	0.9732620320855615	0.9473684210526315	0.9411764705882353	0.9761194029850746	0.9754601226993865	0.990625	0.9747899159663865
Estimating the Costs of Leisure Time for Recreation Demand Models	0.777027027027027	0.8021390374331551	0.8	0.7647058823529411	0.8925373134328358	0.7975460122699386	0.853125	0.7478991596638656
Are Investors Rational? Choices Among Index Funds	0.8445945945945946	0.8556149732620321	0.8596491228070176	0.8529411764705882	0.9223880597014925	0.8220858895705522	0.890625	0.7899159663865546
Out of Sight, Out of Mind, The Effects of Expenses on Mutual Fund Flows	0.8040540540540541	0.8021390374331551	0.8309859154929577	0.8450704225352113	0.9044776119402985	0.8220858895705522	0.865625	0.8067226890756303
Why Does the Law of One Price Fail? An Experiment on Index Mutual Funds	0.7635135135135135	0.8181818181818182	0.8309859154929577	0.8873239436619719	0.8985074626865671	0.7852760736196319	0.859375	0.7647058823529411
