	Regulatory Impact Analysis: Heavy‐Duty Engine and Vehicle Standards and Highway Diesel Fuel Sulfur Control Requirements, U.S. Environmental Protection Agency, Office of Transportation and Air Quality, Assessment and Standards Division,	Environmental Protection Agency (EPA). 2005a. Clean Air Interstate Rule Emissions Inventory Technical Support Document, U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards,	Emissions Inventory and Emissions Processing for the Clean Air Mercury Rule (CAMR), U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards,	Environmental Protection Agency (EPA). 2007b, Proposed Emission Standards for New Nonroad Spark‐Ignition Engines, Equipment, and Vessels.	Environmental Protection Agency (EPA). 2008a. Air Quality Modeling Platform for the Ozone National Ambient Air Quality Standard Final Rule Regulatory Impact Analysis. North Carolina.	Environmental Protection Agency (EPA). 2008b. Final Ozone NAAQS Regulatory Impact Analysis. U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards,	Environmental Protection Agency (EPA).	Development and applications of a standard visual index.	Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution.”	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the U.S. Environ. Sci. Technol.,	Oxidants and Asthmatics in Los Angeles: A Benefits Analysis -- Executive Summary. Prepared for U.S. Environmental Protection Agency, Office of Policy Analysis. Prepared by Energy and Resource Consultants,	Ambient air pollution and asthma exacerbations in children: an eight-city analysis.	Guidelines for Preparing Economic Analyses.	Letter to Recipients of Third Draft EPA PM Criteria Document. National Center for Environmental Assessment,	Air Quality Criteria for Particulate Matter. Volume I	Regulatory Impact Analysis for the Final Clean Air Interstate Rule.	Regulatory Impact Analysis,	Willingness to Pay for Environmental	Forest Inventory and Analysis National Program: Forest Inventory Data Online. Online database. U.S. Department of Agriculture Forest Service, Forest Inventory and Analysis,	Investigations and Monitoring of Mercury in Indiana by the U.S. Geological Survey.	Episodic acidification of small streams in the northeastern United States: Fish mortality in field bioassays.	Pricing Environmental Health Risks: Survey Assessments of Risk-Risk and Risk-Dollar Trade-Offs for Chronic Bronchitis.”	The Value of a Statistical Life: A Critical Review of Market Estimates throughout the World.”	Effect of short-term exposure to low levels of gaseous pollutants on chronic obstructive pulmonary disease hospitalizations.	Association between ozone and respiratory admissions among children and the elderly in Vancouver,	Chapter 6: Cost Analysis Approach and Results Commercial, and Institutional	Pechan and Associates and Industrial Economics, Direct Cost Estimates for the Clean Air Act Second Section 812 Prospective Analysis: Draft Report, prepared for U.S. EPA, Office of Air and Radiation,	Learning and Cost Reductions for Generating Technologies in the National Energy Modeling System (NEMS),	Proposed Approach for Expanding the Treatment of Learning Curve Impacts for the Second Section 812 Prospective Analysis: Memorandum, prepared for U.S. EPA, Office of Air and Radiation,	Sulfur Dioxide Control by Electric Utilities: What Are the Gains from Trade?”	Ex Post Evaluation of Tradable Permits: The U.S.	Testimony of Jeffrey Holmstead, Assistant Administrator, Office of Air	Are the costs of proposed environmental regulations overestimated?	The Clean Air Act Amendment: Spurring Innovation and Growth While Cleaning the Air.	Incorporating Technological Learning in the Coal Utility Environmental Cost (CUECost) Model: Estimating the Future Cost Trends of SO2, NOx, and Mercury Control Technologies.” Prepared for ARCADIS Geraghty and Miller, Research Triangle Park, NC 27711. Available at http://steps.ucdavis.edu/People/slyeh/syeh‐ resources/Drft%20Fnl%20Rpt%20Lrng%20for%20CUECost_v3.pdf.	Census Bureau	f No data on budget or revenues for this NAICS code is included
Air Pollution and Daily Deaths and Hospital Admissions in Los Angeles and Cook Counties	0.7914893617021277	0.7733990147783252	0.7784431137724551	0.7445255474452555	0.7472527472527473	0.76	0.8045977011494253	0.735632183908046	0.7586206896551724	0.7803030303030303	0.7647058823529411	0.735632183908046	0.7816091954022989	0.7570093457943925	0.7701149425287356	0.7471264367816092	0.8505747126436781	0.7816091954022989	0.7732558139534884	0.7931034482758621	0.7522935779816514	0.7394957983193278	0.7849462365591398	0.7661290322580645	0.6701030927835051	0.7816091954022989	0.7828282828282829	0.7961165048543689	0.7771739130434783	0.8160919540229885	0.7931034482758621	0.7586206896551724	0.7701149425287356	0.8160919540229885	0.8602739726027397	0.9080459770114943	0.7586206896551724
Air pollution and hospital admissions for diseases of the circulatory system in three U.S. metropolitan areas	0.774468085106383	0.7438423645320197	0.7305389221556886	0.7591240875912408	0.7362637362637363	0.7542857142857143	0.8440366972477065	0.7522935779816514	0.7431192660550459	0.7196969696969697	0.7843137254901961	0.7339449541284404	0.8165137614678899	0.8532110091743119	0.7064220183486238	0.7247706422018348	0.8807339449541285	0.7889908256880734	0.7383720930232558	0.6422018348623854	0.7706422018348624	0.773109243697479	0.7431192660550459	0.782258064516129	0.7431192660550459	0.7614678899082569	0.7171717171717171	0.7614678899082569	0.7282608695652174	0.7706422018348624	0.7522935779816514	0.7889908256880734	0.7614678899082569	0.7981651376146789	0.8383561643835616	0.926605504587156	0.7614678899082569
An Empirical Bayes Approach to Combining Estimates of the Value of Statistical Life for Environmental Policy Analysis	0.7659574468085106	0.7438423645320197	0.7485029940119761	0.8029197080291971	0.7527472527472527	0.7428571428571429	0.8205128205128205	0.7692307692307693	0.7692307692307693	0.7803030303030303	0.7549019607843137	0.6837606837606838	0.7777777777777778	0.7008547008547008	0.7692307692307693	0.7435897435897436	0.8461538461538461	0.7435897435897436	0.7151162790697675	0.7606837606837606	0.7692307692307693	0.8319327731092437	0.7948717948717948	0.7983870967741935	0.8205128205128205	0.7777777777777778	0.7222222222222222	0.8034188034188035	0.7391304347826086	0.7777777777777778	0.811965811965812	0.7777777777777778	0.7777777777777778	0.7777777777777778	0.8273972602739726	0.9230769230769231	0.7606837606837606
Deposition and cycling of sulfur controls mercury accumulation in Isle Royale fish	0.774468085106383	0.7931034482758621	0.7604790419161677	0.7591240875912408	0.7582417582417582	0.7828571428571428	0.7804878048780488	0.7439024390243902	0.8352941176470589	0.7727272727272727	0.803921568627451	0.8192771084337349	0.7560975609756098	0.7570093457943925	0.7560975609756098	0.7560975609756098	0.7926829268292683	0.7926829268292683	0.7790697674418605	0.7682926829268293	0.7247706422018348	0.8067226890756303	0.8172043010752689	0.7338709677419355	0.7731958762886598	0.8414634146341463	0.797979797979798	0.7572815533980582	0.7880434782608695	0.8170731707317073	0.7682926829268293	0.7804878048780488	0.7439024390243902	0.8313253012048193	0.8602739726027397	0.8780487804878049	0.7804878048780488
Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter	0.8	0.7881773399014779	0.7485029940119761	0.7956204379562044	0.7417582417582418	0.7542857142857143	0.7916666666666666	0.7604166666666666	0.7083333333333334	0.2727272727272727	0.7794117647058824	0.7708333333333334	0.7916666666666666	0.794392523364486	0.7708333333333334	0.71875	0.8125	0.78125	0.7558139534883721	0.7708333333333334	0.7522935779816514	0.8067226890756303	0.8020833333333334	0.7419354838709677	0.8247422680412371	0.7604166666666666	0.7828282828282829	0.7864077669902912	0.7554347826086957	0.7916666666666666	0.7916666666666666	0.7708333333333334	0.7604166666666666	0.7708333333333334	0.8438356164383561	0.90625	0.7708333333333334
Recovery of mercury-contaminated fisheries	0.8723404255319149	0.8669950738916257	0.8323353293413174	0.8394160583941606	0.8516483516483516	0.8571428571428571	0.8333333333333334	0.7321428571428571	0.7764705882352941	0.8181818181818182	0.8725490196078431	0.7951807228915663	0.813953488372093	0.7663551401869159	0.7924528301886793	0.746268656716418	0.7619047619047619	0.8809523809523809	0.8430232558139535	0.7317073170731707	0.7981651376146789	0.8319327731092437	0.8064516129032258	0.8145161290322581	0.7731958762886598	0.8	0.8636363636363636	0.7961165048543689	0.8478260869565217	0.7792207792207793	0.8333333333333334	0.7142857142857143	0.7424242424242424	0.7710843373493976	0.9095890410958904	0.8809523809523809	0.7936507936507936
Contingent valuation of forest ecosystem protection	0.8468085106382979	0.8226600985221675	0.8023952095808383	0.8175182481751825	0.8131868131868132	0.8228571428571428	0.7647058823529411	0.75	0.7176470588235294	0.7954545454545454	0.8382352941176471	0.7590361445783133	0.8235294117647058	0.7850467289719626	0.8301886792452831	0.7910447761194029	0.7843137254901961	0.7254901960784313	0.7790697674418605	0.7682926829268293	0.7614678899082569	0.7899159663865546	0.7634408602150538	0.7741935483870968	0.7835051546391752	0.7333333333333333	0.8181818181818182	0.7281553398058253	0.8097826086956522	0.7922077922077922	0.6666666666666666	0.7857142857142857	0.7878787878787878	0.7469879518072289	0.8904109589041096	0.8431372549019608	0.7936507936507936
A Study of Ambient Air Contaminants and Asthma in New York City	0.8382978723404255	0.8275862068965517	0.8083832335329342	0.8102189781021898	0.7912087912087912	0.8228571428571428	0.7936507936507936	0.7936507936507936	0.7764705882352941	0.7575757575757576	0.8284313725490197	0.7710843373493976	0.8095238095238095	0.7663551401869159	0.7936507936507936	0.7761194029850746	0.8412698412698413	0.8571428571428571	0.7965116279069767	0.7804878048780488	0.7339449541284404	0.773109243697479	0.7526881720430108	0.782258064516129	0.7525773195876289	0.8	0.8282828282828283	0.7572815533980582	0.8206521739130435	0.7922077922077922	0.8253968253968254	0.7714285714285715	0.8181818181818182	0.7108433734939759	0.8904109589041096	0.9047619047619048	0.8095238095238095
Air Quality Criteria for Particulate Matter	0.8680851063829788	0.8522167487684729	0.844311377245509	0.8248175182481752	0.8241758241758241	0.8514285714285714	0.813953488372093	0.8035714285714286	0.6705882352941176	0.7575757575757576	0.8578431372549019	0.7831325301204819	0.8604651162790697	0.7757009345794392	0.18867924528301888	0.7313432835820896	0.813953488372093	0.7441860465116279	0.8372093023255814	0.7926829268292683	0.8073394495412844	0.8319327731092437	0.7311827956989247	0.8306451612903226	0.7835051546391752	0.8	0.8484848484848485	0.7766990291262136	0.8532608695652174	0.7532467532467533	0.8125	0.7857142857142857	0.7575757575757576	0.7710843373493976	0.9095890410958904	0.8604651162790697	0.7936507936507936
Ecological Benefits Assessment Strategic Plan	0.8638297872340426	0.8275862068965517	0.8383233532934131	0.8248175182481752	0.8296703296703297	0.8228571428571428	0.8222222222222222	0.8214285714285714	0.7529411764705882	0.8181818181818182	0.8382352941176471	0.7951807228915663	0.8444444444444444	0.8130841121495327	0.8490566037735849	0.7761194029850746	0.8444444444444444	0.8222222222222222	0.8372093023255814	0.8048780487804879	0.7614678899082569	0.773109243697479	0.7741935483870968	0.8064516129032258	0.7731958762886598	0.8266666666666667	0.8535353535353535	0.8252427184466019	0.8586956521739131	0.7922077922077922	0.8333333333333334	0.7285714285714285	0.803030303030303	0.7951807228915663	0.8986301369863013	0.8222222222222222	0.7777777777777778
