	Total number of HIV-Positive cases due to 1.51% onward transmission connected with U.S.	prevalence estimatesâ€”United States,	Revised recommendations for HIV testing of adults, adolescents, and pregnant women in healthcare settings. MMWR Recomm Rep,	Appendix II: HIVEcon: Additional notes and data on model inputs and outputs.	Yearbook of Immigration Statistics:	Population Prospects: The	AIDS Epidemic Update. WHO Library Cataloguing-in-Publication Data: UNAIDS/07.27E/JC1322E,	Yearbook of Immigration Statistics:	Life expectancy of individuals on combination antiretroviral therapy in highincome countries: a collaborative analysis of 14 cohort studies. Lancet,	The New Americans: Economic, Demographic, and Fiscal Effects of Immigration.	Technical Appendix I: HIVEcon: A model to estimate the economic costs of immigrants who are HIV-positive.	The lifetime cost of current human immunodeficiency virus care in the United States. Med Care,	for the Use of Antiretroviral Agents in HIVâ€“1â€“Infected Adults and Adolescents.	memorandum: Consolidation of Policy Regarding	A quick guide to public charge and receipt to public benefits.	How many sexuallyacquired HIV infections in the USA are due to acute-phase HIV transmission?	Transmission Rates in the United States.	Health status, health insurance, and health care utilization patterns of immigrant Black men.	Effects of immigration on selected health risk behaviors of Black college students.	Acculturation, sexual risk taking, and HIV health promotion among Latinas.	Alcohol and AIDS-related sexual behavior among Hispanics: acculturation and gender differences. AIDS Educ Prev,	Initial acculturation and HIV risk among new Hispanic immigrants.	HIV and sexually transmitted infection risk behaviors and beliefs among Black West Indian immigrants and US-born Blacks.	Immigration measures and reproductive health among Hispanic youth: findings from the national longitudinal survey of youth, 1997â€“2003. J Adolesc Health,	The impact of migration on the health of voluntary migrants in western societies.	Immigration and HIV/AIDS in the New York Metropolitan Area. J Urban Health,	HIV prevalence among foreign- and US-born clients of public STD clinics.	Acculturation and gender differences in sexual attitudes and behaviors: Hispanic vs non-Hispanic white unmarried adults.	Available from: http:// www.cdc.gov/hiv/topics/surveillance/ incidence.htm. V. Regulatory Flexibility Analysis VI. Other Administrative Requirements A. The Unfunded Mandates Reform Act HHS/CDC evaluated the rule requirements for compliance with the Unfunded Mandates Reform Act (UMRA) of 1995. This rule does not contain Federal mandates under the regulatory provisions of Title II of the UMRA for State, local, or Tribal Governments, nor for the private sector. The ruleâ€™s provisions will not affect small Governments. B. Executive Order 13045: Protection of Children From Environmental Health Risks and Safety Risks Executive	The authority citation for part 34 continues to read as follows:	34.2 by removing paragraph (b)(6) and redesignating paragraphs (b)(7) through (10) (b)(6) through (9), respectively.	34.3 by revising paragraphs (b)(1)(i), (e)(1) introductory text, (e)(2)(iii), (e)(2)(iv), (e)(5), and (e)(6) to read as follows: Â§ 34.3 Scope of examinations.
The New Americans:  Economic, Demographic, and Fiscal Effects  of Immigration	0.3793103448275862	0.37777777777777777	0.2727272727272727	0.30612244897959184	0.34782608695652173	0.31818181818181823	0.38235294117647056	0.34782608695652173	0.3090909090909091	0.018181818181818188	0.1785714285714286	0.34615384615384615	0.34615384615384615	0.33333333333333337	0.30612244897959184	0.3214285714285714	0.40909090909090906	0.2941176470588235	0.31999999999999995	0.28301886792452835	0.22033898305084743	0.30612244897959184	0.4137931034482759	0.3114754098360656	0.26530612244897955	0.31034482758620685	0.3090909090909091	0.2592592592592593	0.36585365853658536	0.26530612244897955	0.423728813559322	0.3650793650793651
2007 AIDS Epidemic Update	0.5510204081632653	0.38888888888888884	0.5652173913043479	0.4	0.5135135135135135	0.6	0.38983050847457623	0.5135135135135135	0.6086956521739131	0.4347826086956522	0.4893617021276596	0.5348837209302326	0.5348837209302326	0.5897435897435898	0.55	0.44680851063829785	0.48571428571428577	0.5714285714285714	0.5609756097560976	0.5	0.43999999999999995	0.5	0.5510204081632653	0.46153846153846156	0.6	0.4693877551020408	0.4347826086956522	0.5555555555555556	0.5616438356164384	0.6	0.52	0.5925925925925926
A quick guide to public charge  and receipt to public benefits	0.3846153846153846	0.3846153846153846	0.30612244897959184	0.34883720930232553	0.30000000000000004	0.26315789473684215	0.4838709677419355	0.30000000000000004	0.26530612244897955	0.30612244897959184	0.31999999999999995	0.34782608695652173	0.26086956521739135	0.2857142857142857	0.023255813953488413	0.28	0.42105263157894735	0.19999999999999996	0.18181818181818177	0.23404255319148937	0.28301886792452835	0.2558139534883721	0.3076923076923077	0.34545454545454546	0.2558139534883721	0.3846153846153846	0.30612244897959184	0.20833333333333337	0.4473684210526315	0.2558139534883721	0.3584905660377359	0.368421052631579
Interoffice memorandum:  Consolidation of Policy Regarding USCIS  Form IÐ864, Affidavit of Support (AFM  Update AD06Ð20	0.42028985507246375	1.0	0.33333333333333337	0.43333333333333335	0.4385964912280702	0.4545454545454546	0.31645569620253167	0.4385964912280702	0.33333333333333337	0.33333333333333337	0.4029850746268657	0.3015873015873016	1.0	0.288135593220339	0.43333333333333335	0.3731343283582089	0.49090909090909096	0.4193548387096774	0.4426229508196722	0.40625	0.2857142857142857	0.43333333333333335	0.3913043478260869	1.0	0.4	0.42028985507246375	0.33333333333333337	0.3846153846153846	1.0	0.4	0.3142857142857143	1.0
Public Law 104Ð193	0.574468085106383	1.0	0.6818181818181819	0.6842105263157895	0.7142857142857143	0.5757575757575757	0.5789473684210527	0.7142857142857143	0.5454545454545454	0.7272727272727273	0.7333333333333334	0.7073170731707317	1.0	0.6216216216216216	0.631578947368421	0.6888888888888889	0.8181818181818181	0.7	0.641025641025641	0.6666666666666667	0.6666666666666667	0.631578947368421	0.7021276595744681	1.0	0.631578947368421	0.7446808510638299	0.6818181818181819	0.627906976744186	1.0	0.5263157894736843	0.5	1.0
World Population Prospects: The  2006 Revision.	0.3571428571428571	0.39534883720930236	0.28301886792452835	0.36170212765957444	0.5	0.19047619047619047	0.4242424242424242	0.5	0.3207547169811321	0.3584905660377359	0.33333333333333337	0.31999999999999995	0.36	0.30434782608695654	0.3191489361702128	0.4444444444444444	0.33333333333333337	0.34693877551020413	0.33333333333333337	0.37254901960784315	0.33333333333333337	0.36170212765957444	0.3928571428571429	0.3220338983050848	0.276595744680851	0.5357142857142857	0.3584905660377359	0.3076923076923077	0.44999999999999996	0.276595744680851	0.29824561403508776	0.34426229508196726
Yearbook of Immigration  Statistics: 2007 Immigrants. Table 3: Persons  Obtaining Legal Permanent Resident Status  by Region and Country of Birth: Fiscal Years  1998 to 2007	0.352112676056338	0.5517241379310345	0.4117647058823529	0.4838709677419355	0.35593220338983056	0.4385964912280702	0.28395061728395066	0.35593220338983056	0.32352941176470584	0.38235294117647056	0.42028985507246375	0.3538461538461538	0.41538461538461535	0.3114754098360656	0.3870967741935484	0.4492753623188406	0.4385964912280702	0.375	0.33333333333333337	0.3939393939393939	0.36111111111111116	0.4193548387096774	0.323943661971831	0.2702702702702703	0.3870967741935484	0.46478873239436624	0.38235294117647056	0.4029850746268657	0.26315789473684215	0.3870967741935484	0.3055555555555556	0.3421052631578947
Yearbook of Immigration  Statistics: 2007 Immigrants. Table 8: Persons  Obtaining Legal Permanent Resident Status  by Gender, Age, Marital Status, and  Occupation: Fiscal Year 2007	0.4	0.4736842105263158	0.34328358208955223	0.4098360655737705	0.3448275862068966	0.4285714285714286	0.275	0.3448275862068966	0.31343283582089554	0.31343283582089554	0.38235294117647056	0.34375	0.4375	0.33333333333333337	0.34426229508196726	0.4117647058823529	0.4642857142857143	0.3650793650793651	0.3870967741935484	0.32307692307692304	0.295774647887324	0.3770491803278688	0.37142857142857144	0.28767123287671237	0.3770491803278688	0.37142857142857144	0.34328358208955223	0.36363636363636365	0.276595744680851	0.4098360655737705	0.352112676056338	0.36
Guidelines for the Use of  Antiretroviral Agents in HIVÐ1ÐInfected  Adults and Adolescents	0.25	1.0	0.24528301886792447	0.3191489361702128	0.40909090909090906	0.38095238095238093	0.4545454545454546	0.40909090909090906	0.3207547169811321	0.3584905660377359	0.2592592592592593	0.31999999999999995	1.0	0.34782608695652173	0.276595744680851	0.2592592592592593	0.4285714285714286	0.30612244897959184	0.29166666666666663	0.2549019607843137	0.29824561403508776	0.276595744680851	0.25	1.0	0.3191489361702128	0.3928571428571429	0.24528301886792447	0.2692307692307693	1.0	0.36170212765957444	0.4035087719298246	1.0
HIV Incidence	0.55	0.5555555555555556	0.5135135135135135	0.4193548387096774	0.5714285714285714	0.6153846153846154	0.6799999999999999	0.5714285714285714	0.6756756756756757	0.6216216216216216	0.5263157894736843	0.6470588235294117	0.47058823529411764	0.6	0.6129032258064516	0.5263157894736843	0.6153846153846154	0.5757575757575757	0.625	0.48571428571428577	0.6097560975609756	0.4193548387096774	0.55	0.627906976744186	0.6774193548387097	0.6	0.5135135135135135	0.6111111111111112	0.71875	0.6129032258064516	0.7073170731707317	0.7333333333333334
