	Urban ornamental plants: sensitivity to ozone and potential economic losses. U.S. EPA, Office of Air Quality Planning and Standards, Research Triangle Park. Under contract to RADIAN Corporation, contract no. 68-D3-0033,	A reassessment of the economic effects of ozone on U.S.	The benefits of pollution control: the case of ozone	Ambient ozone effects on forest trees of the eastern United States: a review.	A preliminary assessment of the Montreal process indicators of air pollution for the United States. Environmental Monitoring and Assessment, Integrated Science Assessment	Air Pollution Damage to U.S. Forests.	Impact of Air Pollutants on Southern Pine Forests,	The physiological basis of ozone injury assessment attributes in Sierran conifers. In	The need for a long term cumulative secondary ozone standard ‚Äì an ecological perspective. Environmental Management,	Implications of environmental policy for U.S. agriculture: the case of ambient ozone standards.	Effects of oxidant air pollutants on forest succession in the mixed conifer forest type of southern California. In: Air Pollutants Effects on Forest Ecosystems,	Oxidant air pollution effects on a western coniferous forest ecosystem.	Little‚Äôs range and FIA importance value database for 135 eastern U.S. tree species. Northeastern Research Station, USDA Forest Service. Available on the Internet at http://www.fs.fed.us/ne/delaware/4153/global/littlefia/index.html Pye,	A national ozone biomonitoring program‚Äî results from field surveys of ozone sensitive plants in Northeastern forests (1994-2000). Environmental Monitoring and Assessment,	Deterministic versus stochastic evaluation of the aggregate economic effects of price support programs.	Variation in plant response to ozone: a conceptual model of physiological events.	The Benefits and Costs of the Clean Air Act, 1990-2010. Prepared for U.S. Congress by U.S.	Available on the Internet at http://www.epa.gov/oar/sect812/1990-2010/chap1130.pdf U.S. Environmental Protection Agency	Guidance on the Use of Models and Other Analyses for Demonstrating Attainment of Air Quality Goals for Ozone, PM2.5, and Regional Haze. Office of Air Quality Planning and Standards. EPA-454/B-07-002. April. Available on the Internet at http://www.epa.gov/scram001/guidance/guide/final-03-pm-rh-guidance.pdf U.S. Environmental Protection Agency	Available on the Internet at http://cfpub.epa.gov/ncea/cfm/recordisplay.cfm?deid=201485 U.S. Environmental Protection Agency
Estimating Mortality Risk Reduction and Economic Benefits from Controlling Ozone Air Pollution	0.4565217391304348	0.5483870967741935	0.5625	0.5714285714285714	0.4285714285714286	0.53125	0.5151515151515151	0.5142857142857142	0.4117647058823529	0.5	0.4285714285714286	0.4516129032258065	0.5918367346938775	0.5348837209302326	0.53125	0.4545454545454546	0.525	0.5777777777777777	0.5098039215686274	0.5555555555555556
Air Quality Criteria for Ozone and Related Photochemical Oxidants (Final)	0.5	0.5161290322580645	0.53125	0.5428571428571429	0.5263157894736843	0.5454545454545454	0.4375	0.5277777777777778	0.5135135135135135	0.5135135135135135	0.3529411764705882	0.4193548387096774	0.5416666666666667	0.5454545454545454	0.5454545454545454	0.47058823529411764	0.5714285714285714	0.6170212765957447	0.5740740740740741	0.5957446808510638
Clean Air Scientific Advisory Committee’s (CASAC) Review of the Agency’s Final Ozone Staff Paper	0.4693877551020408	0.5151515151515151	0.5714285714285714	0.4571428571428572	0.4473684210526315	0.5428571428571429	0.4411764705882353	0.4864864864864865	1.0	0.43243243243243246	0.4473684210526315	0.47058823529411764	1.0	1.0	0.5	0.4285714285714286	0.5	0.48888888888888893	0.5185185185185186	0.5319148936170213
Guidance on the Use of Models and Other Analyses for Demonstrating Attainment of Air Quality Goals for Ozone, PM2.5, and Regional Haze	0.4285714285714286	0.5	0.5945945945945945	0.5263157894736843	0.39473684210526316	0.48571428571428577	0.5135135135135135	0.5128205128205128	0.42105263157894735	0.46153846153846156	0.475	0.5	0.4693877551020408	0.5	0.48571428571428577	0.45945945945945943	0.4883720930232558	0.5416666666666667	0.326530612244898	0.4893617021276596
Integrated Science Assessment for Oxides of Nitrogen - Health Criteria (Final Report)	0.4897959183673469	0.5454545454545454	0.6	0.5675675675675675	0.4736842105263158	0.5714285714285714	0.4242424242424242	0.5135135135135135	0.575	0.5	0.43243243243243246	0.5	0.5	0.5333333333333333	0.5294117647058824	0.5405405405405406	0.5238095238095238	0.5434782608695652	0.5636363636363637	0.5833333333333333
Integrated Science Assessment for Oxides of Nitrogen and Sulfur – Ecological Criteria National (Final Report)	0.4897959183673469	0.5882352941176471	0.6	0.6052631578947368	0.43243243243243246	0.5294117647058824	0.4242424242424242	0.5135135135135135	1.0	0.5	0.38888888888888884	0.4545454545454546	1.0	1.0	0.5294117647058824	0.5405405405405406	0.5909090909090908	0.574468085106383	0.5892857142857143	0.5531914893617021
Integrated Science Assessment for Particulate Matter (Second External Review Draft)	0.5102040816326531	0.5757575757575757	0.6285714285714286	0.5142857142857142	0.37142857142857144	0.46875	0.4545454545454546	0.5405405405405406	0.4864864864864865	0.4864864864864865	0.45945945945945943	0.48484848484848486	0.4565217391304348	0.5227272727272727	0.46875	0.5277777777777778	0.6136363636363636	0.5	0.5	0.5111111111111111
Little’s range and FIA importance value database for 135 eastern U.S. tree species	0.4897959183673469	0.5	0.5588235294117647	0.4411764705882353	0.34285714285714286	0.4375	0.4242424242424242	0.4285714285714286	1.0	0.32352941176470584	0.4736842105263158	0.5	1.0	1.0	0.4375	0.4571428571428572	0.4878048780487805	0.40476190476190477	0.4807692307692307	0.38095238095238093
Oxidant air pollution effects on a western coniferous forest ecosystem	0.6086956521739131	0.5384615384615384	0.43999999999999995	0.5172413793103448	0.4516129032258065	0.5714285714285714	0.4444444444444444	0.4482758620689655	0.43333333333333335	0.43333333333333335	0.4	0.04761904761904767	0.5581395348837209	0.6	0.4	0.37037037037037035	0.5945945945945945	0.575	0.62	0.5853658536585367
Review of the National Ambient Air Quality Standards for Ozone: Policy assessment of scientific and technical information	0.37777777777777777	0.4838709677419355	0.4516129032258065	0.32258064516129037	0.45945945945945943	0.5588235294117647	0.4545454545454546	0.4571428571428572	0.4864864864864865	0.3529411764705882	0.45945945945945943	0.4375	0.4222222222222223	0.5227272727272727	0.5151515151515151	0.3939393939393939	0.5476190476190477	0.4651162790697675	0.43999999999999995	0.4772727272727273
