	Department of Energy, Energy Information Administration, Transportation Sector Module of the National Energy Modeling System: Model Documentation	Technical Support Document: Fuel Economy Labeling of Motor Vehicle Revisions to Improve Calculation of Fuel Economy Estimates,	The survival rates were calculated from R.L. Polk, National Vehicle Population Profile, 1977-2003; see NHTSA,	Vehicle Survivability and Travel Mileage Schedules,” Office of Regulatory Analysis and Evaluation,	Oil Imports: An Assessment of Benefits and Costs,	"Estimating the Energy Security Benefits of Reduced U.S. Oil Imports,"" Oak Ridge National Laboratory, ORNL/TM-2007/028, Revised July 23,"	Contribution of Working Group II to the Fourth Assessment Report of the IPCC, 17. Available at http://www.ipcc-wg2.org (last accessed 4,	Description of VMT Forecasting Procedure for ‘Car Talk’ Base line Forecasts,” manuscript, Volpe National Transportation Systems Center, U.S. Department of Transportation,	Environmental Protection Agency, MOBILE Motor Vehicle Emission Factor Model, version 6.2,	Uncertainty: A Guide to Dealing with Uncertainty in Quantitative Risk and Policy Analysis”,	CAFE Compliance and Effects Modeling System Documentation,
A Guide to Econometrics, 3rd Edition	0.8413793103448276	0.8095238095238095	0.8440366972477065	0.7857142857142857	0.7959183673469388	0.8592592592592593	0.8602941176470589	0.8647058823529412	0.7865168539325843	0.7692307692307693	0.7241379310344828
Public Citizen v. NHTSA	0.9310344827586207	0.9047619047619048	0.8623853211009175	0.8775510204081632	0.8775510204081632	0.9037037037037037	0.9191176470588235	0.9117647058823529	0.8876404494382022	0.8681318681318682	0.8448275862068966
Consumer Finance	0.9172413793103448	0.8968253968253969	0.908256880733945	0.9183673469387755	0.8163265306122449	0.9259259259259259	0.9117647058823529	0.9235294117647059	0.898876404494382	0.9010989010989011	0.8448275862068966
Highway Statistics, Summary to 1995	0.8620689655172413	0.8571428571428571	0.8532110091743119	0.8469387755102041	0.8571428571428571	0.8666666666666667	0.8970588235294118	0.8823529411764706	0.8314606741573034	0.8351648351648352	0.8620689655172413
Statistical Release H.15, Selected Interest Rates	0.8344827586206897	0.8095238095238095	0.8073394495412844	0.7653061224489796	0.8571428571428571	0.8296296296296296	0.8382352941176471	0.8176470588235294	0.8089887640449438	0.8021978021978022	0.8103448275862069
Statstical Release G.20, Finance Companies	0.8482758620689655	0.8253968253968254	0.7706422018348624	0.8061224489795918	0.8367346938775511	0.8444444444444444	0.8602941176470589	0.8411764705882353	0.8202247191011236	0.8021978021978022	0.7758620689655172
The Greenhouse Gas and Regulated Emissions from Transportation (GREET) Model, Version 1.8	0.7172413793103448	0.753968253968254	0.7431192660550459	0.8061224489795918	0.797752808988764	0.7925925925925926	0.8382352941176471	0.7352941176470589	0.7415730337078652	0.8351648351648352	0.797752808988764
1997 Federal Highway Cost Allocation Study	0.8413793103448276	0.8253968253968254	0.8256880733944955	0.8163265306122449	0.8571428571428571	0.8518518518518519	0.8676470588235294	0.8470588235294118	0.8089887640449438	0.8131868131868132	0.8103448275862069
2006 Guidelines for National Greenhouse Gas Inventories	0.7931034482758621	0.8095238095238095	0.7798165137614679	0.7857142857142857	0.8363636363636363	0.8148148148148148	0.8308823529411765	0.8058823529411765	0.8202247191011236	0.7692307692307693	0.7931034482758621
Alternative and Future Technologies for Reducing Greenhouse Gas Emissions from Road Vehicles	0.7793103448275862	0.746031746031746	0.7889908256880734	0.826530612244898	0.8152173913043478	0.7407407407407407	0.8014705882352942	0.788235294117647	0.7934782608695652	0.8152173913043478	0.782608695652174
Annual Energy Outlook 2007	0.8827586206896552	0.873015873015873	0.8623853211009175	0.8673469387755102	0.8775510204081632	0.8592592592592593	0.9117647058823529	0.9058823529411765	0.8314606741573034	0.8351648351648352	0.8275862068965517
Annual Energy Outlook 2008, Early Release	0.8344827586206897	0.8253968253968254	0.8165137614678899	0.8163265306122449	0.8979591836734694	0.8222222222222222	0.8529411764705882	0.8647058823529412	0.7640449438202247	0.7912087912087912	0.8275862068965517
Annual Energy Review 2006	0.8758620689655172	0.873015873015873	0.8623853211009175	0.8775510204081632	0.8571428571428571	0.8740740740740741	0.8970588235294118	0.9176470588235294	0.8426966292134831	0.8461538461538461	0.8103448275862069
Climate Change 2007 - Impacts, Adaptation and Vulnerability, Contribution of Working Group II to the Fourth Assessment Report	0.7655172413793103	0.873015873015873	0.832	0.808	0.8	0.837037037037037	0.8529411764705882	0.7764705882352941	0.784	0.8	0.784
Climate Change 2007: Synthesis Report: Contributions of Working Group I, II, and III to the Fourth Assessment Report of the Intergovernmental Panel on Climate Change	0.7636363636363637	0.7757575757575758	0.806060606060606	0.7818181818181819	0.793939393939394	0.7878787878787878	0.6484848484848484	0.8352941176470589	0.7878787878787878	0.8121212121212121	0.8363636363636363
Comparison of Indirect Cost Multipliers for Vehicle Manufacturing 	0.7793103448275862	0.7777777777777778	0.7706422018348624	0.7959183673469388	0.803030303030303	0.8148148148148148	0.7647058823529411	0.7941176470588235	0.7415730337078652	0.8021978021978022	0.7575757575757576
Cost and Effectiveness Estimates of Technologies Used to Reduce Light-Duty Vehicle Carbon Dioxide Emissions	0.7517241379310344	0.7777777777777778	0.8440366972477065	0.822429906542056	0.8130841121495327	0.8	0.8088235294117647	0.788235294117647	0.794392523364486	0.7757009345794392	0.7663551401869159
Costs of Effectiveness of Increasing Corporate Average Fuel Economy Standards	0.7586206896551724	0.6904761904761905	0.8256880733944955	0.8367346938775511	0.8051948051948052	0.7703703703703704	0.7647058823529411	0.7705882352941177	0.8202247191011236	0.7802197802197802	0.7792207792207793
Draft Inventory of GHG Emissions and Sinks (1990-1999)	0.8275862068965517	0.8095238095238095	0.8256880733944955	0.8469387755102041	0.8148148148148148	0.837037037037037	0.8529411764705882	0.8529411764705882	0.7528089887640449	0.8021978021978022	0.8793103448275862
Effectiveness and Impact of Corporate Average Fuel Economy (CAFE) Standards	0.7793103448275862	0.7619047619047619	0.7981651376146789	0.7959183673469388	0.8133333333333334	0.7925925925925926	0.8014705882352942	0.8058823529411765	0.8202247191011236	0.8131868131868132	0.8
Estimating the Energy Security Benefits of Reduced U.S. Oil Imports	0.7793103448275862	0.7777777777777778	0.8165137614678899	0.7448979591836735	0.7313432835820896	0.5037037037037037	0.7720588235294118	0.7764705882352941	0.797752808988764	0.7802197802197802	0.8059701492537313
Impacts, Adaption and Vulnerability, Contribution of Working Group II to the Fourth Assessement Report	0.7448275862068966	0.7777777777777778	0.8440366972477065	0.8333333333333334	0.8137254901960784	0.8444444444444444	0.8088235294117647	0.7705882352941177	0.8235294117647058	0.8333333333333334	0.7745098039215687
Inventory of U.S. Greenhouse Gas Emissions and Sinks 1990-2005	0.8206896551724138	0.8095238095238095	0.7889908256880734	0.8163265306122449	0.7741935483870968	0.7851851851851852	0.8382352941176471	0.8294117647058824	0.7415730337078652	0.7692307692307693	0.9032258064516129
Mobile Source $ per Ton Estimate	0.8620689655172413	0.8095238095238095	0.8532110091743119	0.8061224489795918	0.8163265306122449	0.8592592592592593	0.8602941176470589	0.8647058823529412	0.8089887640449438	0.8351648351648352	0.7586206896551724
Oil Imports: An Assessment of Benefits and Costs	0.8206896551724138	0.7777777777777778	0.8348623853211009	0.7857142857142857	0.02040816326530612	0.8222222222222222	0.7867647058823529	0.8352941176470589	0.7865168539325843	0.7582417582417582	0.7758620689655172
Oil Improts: An Assessment of Benefits and Costs	0.8275862068965517	0.7857142857142857	0.8348623853211009	0.7857142857142857	0.061224489795918366	0.8222222222222222	0.7867647058823529	0.8411764705882353	0.7752808988764045	0.7582417582417582	0.7758620689655172
Perform Cost and Weight Analysis, Head Protection Air Bag Systems, FMVSS 201	0.7517241379310344	0.7698412698412699	0.8073394495412844	0.8061224489795918	0.7631578947368421	0.8	0.8161764705882353	0.7705882352941177	0.8202247191011236	0.8021978021978022	0.7763157894736842
Perspectives on climate change and sustainability	0.8137931034482758	0.8015873015873016	0.7981651376146789	0.7551020408163265	0.8571428571428571	0.8222222222222222	0.8455882352941176	0.8235294117647058	0.8089887640449438	0.7472527472527473	0.8103448275862069
TAFV Alternative Fuels and Vehicles Choice Model Documentation	0.7172413793103448	0.7380952380952381	0.7614678899082569	0.7244897959183674	0.7903225806451613	0.8444444444444444	0.8308823529411765	0.788235294117647	0.7303370786516854	0.7912087912087912	0.5806451612903226
Teardown Cost Estimates of Automotive Equipment Manufactured to Comply with Motor Vehicle Standard - FMVSS 214(D) - Side Impact Protection, Side Air Bag Features	0.7888198757763976	0.7453416149068323	0.782608695652174	0.8012422360248447	0.8509316770186336	0.8385093167701864	0.8260869565217391	0.8235294117647058	0.7577639751552795	0.782608695652174	0.8198757763975155
