	Division of Regulations, Legislation, and Interpretation, U.S. Department of Labor, Wage and Hour Division, 200 Constitution Avenue NW., Room S– 81197 Federal Register /	Costs with Overtime Work in U.S.	Does the Statutory Overtime Premium Discourage Long Workweeks?’’ Industrial and Labor Relations Review, 56(3): 530– 81221	Census Bureau, Center for Economic Studies. Business Dynamics Statistics: Firm Age by Firm Size. Available at: http://www.ces.census.gov/ index.php/bds/bds_database_list. Accessed	National Population Projections. Table 2: Projections of the Population by Selected Age Groups and Sex for the United States:	Occupational Outlook Handbook, 2010–11 Edition, Home Health Aides and Personal and Home Care Aides, on the Internet at http://www.bls.	81244 Federal Register /	The authority citation for part 552 continues to read as follows: Authority: 29 U.S.C. 213(a)(15), (b)(21), 88 stat. 62; Sec. 29(b) of the Fair Labor Standards Act Amendments of
New Options (and Risks) in Home Care for Elderly	0.834319526627219	0.7708333333333334	0.8264462809917356	0.8547486033519553	0.784	0.7761194029850746	0.8541666666666666	0.8587570621468926
Re-Thinking Fiscal Multipliers	0.8994082840236687	0.90625	0.8677685950413223	0.8994413407821229	0.872	0.8880597014925373	0.8	0.9096045197740112
Labor Demand	0.9349112426035503	0.875	0.9256198347107438	0.9441340782122905	0.936	0.9402985074626866	0.875	0.9491525423728814
2008 National Population Projections	0.863905325443787	0.8611111111111112	0.8429752066115702	0.9050279329608939	0.792	0.8283582089552238	0.8611111111111112	0.8813559322033898
BLS Occupational Employment Statistics	0.8698224852071006	0.8947368421052632	0.8512396694214877	0.8715083798882681	0.824	0.8283582089552238	0.8421052631578947	0.8813559322033898
Business Dynamics Statistics: Firm Age by Firm Size	0.8284023668639053	0.7647058823529411	0.8512396694214877	0.7150837988826816	0.808	0.8432835820895522	0.8431372549019608	0.8587570621468926
National Employment Matrix-Search by Occupation	0.8520710059171598	0.8297872340425532	0.859504132231405	0.8659217877094972	0.76	0.8208955223880597	0.8723404255319149	0.8587570621468926
Standard Occupational Classification	0.8698224852071006	0.8611111111111112	0.8347107438016529	0.888268156424581	0.848	0.8656716417910447	0.8611111111111112	0.8870056497175142
U.S. Census Bureau: Health Care and Social Assistance, Estimated Year-to-Year Change in Revenue for Employer Firms by Source	0.7692307692307693	0.8387096774193549	0.8790322580645161	0.7597765363128491	0.864	0.8432835820895522	0.8951612903225806	0.8248587570621468
2011 Statistical Abstract	0.9112426035502958	0.875	0.8760330578512396	0.8994413407821229	0.888	0.8582089552238806	0.84	0.8983050847457628
Characteristics of Supplemental Nutrition Assistance Program Households: Fiscal Year 2009	0.7869822485207101	0.8089887640449438	0.8181818181818182	0.8156424581005587	0.8	0.7910447761194029	0.8539325842696629	0.8022598870056498
Overtime and extended work shifts: Recent findings on illnesses, injuries, and health behaviors	0.7692307692307693	0.8421052631578947	0.7851239669421488	0.7988826815642458	0.76	0.753731343283582	0.8526315789473684	0.8135593220338984
The Changing Demographic Profile of the United States	0.834319526627219	0.8113207547169812	0.8099173553719008	0.8324022346368715	0.72	0.7835820895522388	0.8113207547169812	0.8192090395480226
The Medicare Payment Advisory Commission (MedPAC)	0.8284023668639053	0.7959183673469388	0.8181818181818182	0.8659217877094972	0.84	0.8432835820895522	0.8571428571428571	0.8531073446327684
2011 Annual Report of the Boards of Trustees of the Federal Hospital Insurance and Federal Supplementary Medical Insurance Trust Funds	0.8106508875739645	0.8656716417910447	0.7910447761194029	0.7932960893854749	0.7985074626865671	0.8283582089552238	0.8805970149253731	0.8022598870056498
Background Report on the U.S. Home Care and Personal Assistance Workforce and Industry (Forthcoming)	0.7514792899408284	0.83	0.8016528925619835	0.8100558659217877	0.768	0.7089552238805971	0.86	0.807909604519774
California's Direct-Care Workforce	0.8875739644970414	0.7647058823529411	0.859504132231405	0.888268156424581	0.848	0.8731343283582089	0.8823529411764706	0.8757062146892656
Fair Pay for Home Care Workers	0.8757396449704142	0.78125	0.8512396694214877	0.8994413407821229	0.848	0.835820895522388	0.8666666666666667	0.8870056497175142
Family caregiving in the U.S.: Findings from a national study	0.7928994082840237	0.8032786885245902	0.8016528925619835	0.8435754189944135	0.768	0.7910447761194029	0.8688524590163934	0.8248587570621468
Home Health Study Report: Literature Review	0.8520710059171598	0.7674418604651163	0.7933884297520661	0.8659217877094972	0.832	0.8208955223880597	0.813953488372093	0.8700564971751412
Meals on Wheels of Contra Costa County	0.8579881656804734	0.8157894736842105	0.8429752066115702	0.888268156424581	0.808	0.835820895522388	0.868421052631579	0.864406779661017
Medicare and Home Health Care	0.8875739644970414	0.84375	0.859504132231405	0.8994413407821229	0.856	0.8283582089552238	0.8620689655172413	0.8870056497175142
The PHI Matching Services Project	0.8994082840236687	0.8787878787878788	0.859504132231405	0.8938547486033519	0.856	0.8805970149253731	0.8181818181818182	0.8926553672316384
Who Pays for Home Care Services?	0.8816568047337278	0.84375	0.859504132231405	0.8770949720670391	0.848	0.8507462686567164	0.84375	0.8813559322033898
$1.5 Million Oregon Private Pay Homecare Registry for Sale	0.8165680473372781	0.7758620689655172	0.7933884297520661	0.8603351955307262	0.728	0.7761194029850746	0.7586206896551724	0.847457627118644
2009 BLS Occupational Employment Survey, employment and Wages for SOC codes 39-9021 and 31-1011	0.7633136094674556	0.8526315789473684	0.7851239669421488	0.8324022346368715	0.768	0.7835820895522388	0.9052631578947369	0.8248587570621468
BLS National Compensation Survey	0.8757396449704142	0.90625	0.8512396694214877	0.8994413407821229	0.824	0.8507462686567164	0.84375	0.8926553672316384
Brief of Amici Curiae City of New York	0.8698224852071006	0.8157894736842105	0.8512396694214877	0.8715083798882681	0.84	0.8656716417910447	0.8421052631578947	0.8700564971751412
Consumer Direction and Family Caregiving: Results from a National Survey	0.7810650887573964	0.7777777777777778	0.7851239669421488	0.7988826815642458	0.744	0.8059701492537313	0.8194444444444444	0.8305084745762712
