	Expected Upfront and Ongoing Compliance Costs, Nationwide, Per Facility and Per Inmate Upfront Ongoing Prisons,	Justification Analysis This Part analyzes the cost justification of the proposed standards. First, we conduct a breakeven analysis to demonstrate that the costs of PREA compliance are justified by the anticipated benefits. Given that the proposed PREA standards are expected to cost the correctional community approximately $213 million in startup costs, and that the monetary benefit of a 1% reduction in the 62/ Comments of the Institute for Policy Integrity,	(9:45am)) Department of Justice NPRM for PREA Standards Page 60 of 65 Initial Regulatory Impact Analysis (Draft Dated January 24, 2011 (9:45am)) Department of Justice NPRM for PREA Standards Page 63 of 65 the Departmentâ€™s internal assessment, based on analyses conducted by Booz Allen, of the total projected upfront and ongoing costs of the Commissionâ€™s recommended standards, as compared to the Departmentâ€™s proposals:	Initial Regulatory Impact Analysis (Draft Dated
Little Sympathy or Remedy for Inmates Who Are Raped	0.36	0.4328358208955224	0.42028985507246375	0.19999999999999996
Prison Madness: The Mental Health Crisis Behind Bars and What We Must Do About It	0.4716981132075472	0.4571428571428572	0.38888888888888884	0.375
Retaking Rationality: How Cost-Benefit Analysis can Beter Protect the Environment and our Health	0.31034482758620685	0.30666666666666664	0.35064935064935066	0.28301886792452835
The Female Fear: The Social Cost of Rape	0.375	0.4461538461538461	0.4626865671641791	0.34883720930232553
2004 Survey of Local Jails	0.5319148936170213	0.53125	0.48484848484848486	0.4285714285714286
2005 National Survey of State Court Prosecutors	0.36	0.4626865671641791	0.3913043478260869	0.37777777777777777
2008 Census of State and Local Law Enforcement Agencies	0.3207547169811321	0.4	0.38888888888888884	0.29166666666666663
BJS Juv. NSYC 2008-09, at 1-2, 15-16	0.7551020408163265	0.6363636363636364	0.5294117647058824	0.8181818181818181
Bulletin: HIV in Prisons	0.5	0.6065573770491803	0.5555555555555556	0.4358974358974359
Comments on PREA Standards	0.40909090909090906	0.5081967213114754	0.4920634920634921	0.3846153846153846
Cost of Sexual Violence in Minnesota	0.4222222222222223	0.5483870967741935	0.53125	0.4
Mortality in Local Jails 2000-2007, table 4	0.48	0.5223880597014925	0.4492753623188406	0.4666666666666667
Prison Rape Elimination Action, Cost Impact Analysis	0.22448979591836737	0.36363636363636365	0.38235294117647056	0.2272727272727273
Prisoners in 2008, table 3	0.4666666666666667	0.5161290322580645	0.5	0.5
Reentry Trends in the United States	0.4883720930232558	0.5666666666666667	0.5806451612903225	0.42105263157894735
Sexual Violence Reported by Correctional Authorities 2004	0.40740740740740744	0.3802816901408451	0.34246575342465757	0.30612244897959184
Sexual Violence Reported by Juvenile Correctional Authorities 2005-06	0.4482758620689655	0.33333333333333337	0.3246753246753247	0.3584905660377359
Special Report: State Prison Expenditures	0.33333333333333337	0.4461538461538461	0.4328358208955224	0.3023255813953488
Table 1: percent distribution of expenditure for the justice system by type of government, fiscal year 2007	0.3448275862068966	0.28	0.3246753246753247	0.3207547169811321
Victim Costs and Consequences: A New Look	0.4285714285714286	0.5151515151515151	0.5294117647058824	0.40909090909090906
Direct Expenditures by Criminal Justice Function, 1982-2006 in Justice Expenditure and Employment Extracts	0.3220338983050848	0.3157894736842105	0.3076923076923077	0.37037037037037035
History of CPI-U U.S. All Items Indexes	0.2941176470588235	0.4411764705882353	0.48571428571428577	0.34782608695652173
Jail Inmates at Midyear 2008 Ð Statistical Tables, Table 4	0.4339622641509434	0.4571428571428572	1.0	0.41666666666666663
Sexual Victimization in Juvenile Facilities Reported by Youth, 2008-09	0.4098360655737705	0.33333333333333337	0.35	0.3928571428571429
Sexual Victimization in Prisons and Jails Reported by Inmates, 2008-09	0.35593220338983056	0.3421052631578947	0.3076923076923077	0.33333333333333337
Sexual Violence Reported by Correctional Authorities 2006	0.40740740740740744	0.352112676056338	0.34246575342465757	0.30612244897959184
The Department of Justice's Efforts to Prevent Staff Sexual Abuse of Federal Inmates	0.31034482758620685	0.28	0.35064935064935066	0.28301886792452835
42 U.S.C. ¤ 15607(a)(2)	0.8181818181818181	0.7704918032786885	1.0	0.8461538461538461
42 U.S.C. ¤ 15601(2)	0.8571428571428572	0.7966101694915254	1.0	0.8918918918918919
75 Fed. Reg. 11077	0.7435897435897436	0.7142857142857143	0.7241379310344828	0.7058823529411764
EO 12866, ¤ 3(f)	0.7560975609756098	0.7241379310344828	1.0	0.8333333333333334
The Impact of Prisoner Sexual Violence: Challenges of Implementing Public Law 108-79 The Prison Rape Elimination Act of 2003	0.3731343283582089	0.2857142857142857	0.2790697674418605	0.3870967741935484
The Rape Tax: Tangible and Intangible Costs of Sexual Violence	0.3584905660377359	0.37142857142857144	0.38888888888888884	0.29166666666666663
Cost-Benefit Analysis for Crime Prevention: Opportunity Costs, Routine Savings, and Crime Externalities	0.24137931034482762	0.33333333333333337	0.3246753246753247	0.28301886792452835
Willingness-to-Pay for Crime Control Programs	0.30434782608695654	0.4920634920634921	0.5076923076923077	0.31707317073170727
