	U.S. Organic Agriculture, 1992–2008, data set available at http:// www.ers.usda.gov/data/organicERS. 42 Ibid.	Department of Agriculture, Economic Research Service,	44 Organic Trade Association,	Consumer Aspects of the Organic Milk Market/LDP–M–155–01.	rangeland.41 The number of certified 53 Sundale Research,	Emerging Issues in the U.S. Organic Industry.	Acting Administrator, Agricultural Marketing Service.	2012–354 Filed 1–11–12; 8:45 am] AGENCY: Agricultural Marketing Service, USDA. ACTION: Proposed rule.	SUMMARY: This proposed rule would address recommendations submitted to the Secretary of Agriculture (Secretary) by the National Organic Standards Board (NOSB) on	These recommendations pertain to the 2012 Sunset Review of substances on the U.S. Department of Agriculture’s (USDA) National List of Allowed and Prohibited Substances (National List). Consistent with the NOSB • Federal eRulemaking Portal: http:// www.regulations.gov. Follow the instructions for submitting comments.	Agricultural Marketing Specialist, National Organic Program, USDA–AMS–NOP, 1400 Independence Ave. SW., Room 2646– So., Ag Stop 0268, Washington, DC 20250. Instructions: All submissions received must include the docket number AMS– NOP–09–0074; NOP–09–01, and/or Regulatory Information Number (RIN) 0581–AC96 for this rulemaking. without change to http:// www.regulations.gov.	Docket: For access to the docket to read background documents or comments received, go to http:// www.regulations.gov. Comments submitted in response to this proposed rule will also be available for viewing in person at USDA–AMS,	Background The Organic Foods Production Act of
Final Rule	0.7894736842105263	0.6799999999999999	0.7619047619047619	0.7878787878787878	0.7142857142857143	0.75	0.7083333333333333	0.8297872340425532	0.7714285714285715	0.8	0.8490566037735849	0.7714285714285715	0.7083333333333333
Federalism	0.8205128205128205	0.7307692307692308	0.7	0.7878787878787878	0.7142857142857143	0.6956521739130435	0.6521739130434783	0.8043478260869565	0.7714285714285715	0.8	0.8490566037735849	0.7352941176470589	0.7083333333333333
2104	0.8918918918918919	1.0	0.95	0.9393939393939394	0.9310344827586207	1.0	1.0	0.9130434782608696	1.0	0.9347826086956522	0.9230769230769231	1.0	1.0
2108	0.8918918918918919	1.0	1.0	0.9393939393939394	0.9666666666666667	1.0	1.0	0.9130434782608696	1.0	0.9347826086956522	0.9230769230769231	1.0	1.0
2115(b)	0.925	1.0	1.0	0.9428571428571428	0.9	1.0	1.0	0.9387755102040817	0.9189189189189189	0.8913043478260869	0.8846153846153846	0.9743589743589743	1.0
2120(f)	0.925	0.9655172413793104	1.0	0.9117647058823529	0.935483870967742	1.0	1.0	0.9387755102040817	0.9189189189189189	0.8666666666666667	0.8846153846153846	0.9743589743589743	0.962962962962963
Egg Products Inspection Act	0.5789473684210527	0.4814814814814815	0.4545454545454546	0.5882352941176471	0.625	0.48	0.5	0.6304347826086957	0.6216216216216216	0.6808510638297872	0.6981132075471699	0.6216216216216216	0.43999999999999995
Federal Meat Inspection Act	0.6153846153846154	0.5357142857142857	0.4545454545454546	0.5882352941176471	0.625	0.5925925925925926	0.43999999999999995	0.6304347826086957	0.5833333333333333	0.6808510638297872	0.6981132075471699	0.5428571428571429	0.5
Organic Foods Production Act of 1990	0.575	0.5806451612903225	0.45833333333333337	0.5	0.5757575757575757	0.5862068965517242	0.5517241379310345	0.625	0.6153846153846154	0.5869565217391304	0.6415094339622642	0.6153846153846154	0.31999999999999995
Poultry Products Inspection Act	0.6153846153846154	0.5357142857142857	0.5217391304347826	0.5882352941176471	0.625	0.5384615384615384	0.5	0.6595744680851063	0.5833333333333333	0.6808510638297872	0.6730769230769231	0.6216216216216216	0.5
Quantifying Costs and Benefits	0.7380952380952381	0.6206896551724138	0.5652173913043479	0.6571428571428571	0.6129032258064516	0.5769230769230769	0.5925925925925926	0.76	0.6111111111111112	0.7021276595744681	0.7407407407407407	0.6486486486486487	0.48
Regulatory Flexibility Act of 1980	0.5609756097560976	0.5625	0.6551724137931034	0.6052631578947368	0.5588235294117647	0.696969696969697	0.625	0.6923076923076923	0.6	0.6326530612244898	0.6296296296296297	0.6341463414634146	0.5806451612903225
