	Department of Energy, Building Technologies Program, Mailstop EE–2J, 1000 Independence Avenue,	Delivery/Courier: Ms. Brenda Edwards,	Department of Energy, Energy Efficiency and Renewable Energy,	Department of Energy,	Designing Environmental Policy: Lessons from the Regulation of Mercury Emissions,’’ Regulatory Analysis 05–01, 57795	Statewide Residential Retrofit Single-Family Energy Efficiency Rebate Evaluation (prepared for the California Public Utilities Commission, Pacific Gas And Electric Company, San Diego Gas and Electric Company,	Consumer Product Market Progress Evaluation Report 3 (prepared for Northwest Energy Efficiency Alliance,	was not able to identify consumer 57796 Federal Register /	Forecasting Group. Analysis of Tax Credits for Efficient Equipment	New Product Development: The Pipeline for Future ENERGY STAR Growth,’’	Submitted to Northeast Utilities—Connecticut Light and Power and the United Illuminating Company by	modeled this policy by applying a 4-percent increase in the replacement 57799 Federal Register /	of UMRA authorizes an agency to respond to the content requirements of UMRA in any other statement or analysis that accompanies the supplemental notice. 2 U.S.C. 1532(c). The content requirements of section 202(b) of UMRA relevant to a private sector mandate substantially overlap the economic analysis requirements that apply under section 325(o) of EPCA and Executive Order 12866. The Supplementary Information section of this supplemental notice and the ‘‘Regulatory Impact Analysis’’ Act,	Review Under Executive Order 12630 DOE determined, under Executive Order 12630, ‘‘Governmental Actions and Interference with Constitutionally Protected Property Rights,’’	DOE received no comments concerning Executive Order 12630 in K. Review Under Executive Order 13211 Executive Order 13211, ‘‘Actions Concerning Regulations That Significantly Affect Energy Supply, Distribution, or Use,’’ 66 FR	Cathy Zoi, Assistant Secretary, Energy Efficiency and Renewable Energy. 1. The authority citation for part 431 continues to read as follows: Authority:
Energy Efficiency Standards for  Consumer Products: Residential Central Air  Conditioners and Heat Pumps	0.46153846153846156	0.5588235294117647	0.4	0.5357142857142857	0.46153846153846156	0.3513513513513513	0.34285714285714286	0.47058823529411764	0.34375	0.45945945945945943	0.4117647058823529	0.5142857142857142	0.52	0.4651162790697675	0.5	0.36111111111111116
2006 RFC/  AWWA Water and Wastewater Rate Survey	0.6666666666666667	0.59375	0.7058823529411764	0.7666666666666666	0.6976744186046512	0.575	0.6153846153846154	0.5454545454545454	0.6388888888888888	0.675	0.6486486486486487	0.6666666666666667	0.6538461538461539	0.5909090909090908	0.5555555555555556	0.625
Analysis of Tax Credits for  Efficient Equipment	0.45945945945945943	0.5625	0.4482758620689655	0.5384615384615384	0.575	0.4736842105263158	0.4285714285714286	0.5151515151515151	0.14814814814814814	0.5405405405405406	0.5	0.5588235294117647	0.5208333333333333	0.5	0.5	0.4444444444444444
Assessment of High-Performance, Family-Sized  Commercial Clothes Washers	0.5121951219512195	0.6486486486486487	0.5151515151515151	0.6	0.5476190476190477	0.368421052631579	0.4473684210526315	0.5277777777777778	0.4571428571428572	0.55	0.4722222222222222	0.48571428571428577	0.5576923076923077	0.5434782608695652	0.5416666666666667	0.5
California�s Secret  Energy Surplus: The Potential for Energy Efficiency	1.0	0.5757575757575757	0.5161290322580645	0.5555555555555556	1.0	0.4473684210526315	0.4444444444444444	0.5714285714285714	0.40625	1.0	1.0	0.5714285714285714	1.0	1.0	1.0	0.37142857142857144
Commercial  Family-Sized Washers: An Initiative Description of  the Consortium for Energy Efficiency	0.41463414634146345	0.5405405405405406	0.48571428571428577	0.5625	0.4883720930232558	0.3076923076923077	0.42500000000000004	0.5384615384615384	0.38888888888888884	0.44999999999999996	0.4473684210526315	0.5	0.5094339622641509	0.4565217391304348	0.45833333333333337	0.4390243902439024
Consumer Product Market Progress  Evaluation Report 3	0.4736842105263158	0.53125	0.4666666666666667	0.6071428571428572	0.5128205128205128	0.4473684210526315	0.25	0.5294117647058824	0.4545454545454546	0.5526315789473684	0.47058823529411764	0.5294117647058824	0.5306122448979591	0.47619047619047616	0.5434782608695652	0.5
Customer Decision Study: Analysis of  Residential Customer Equipment Purchase  Decisions	0.4358974358974359	0.5294117647058824	0.4193548387096774	0.5517241379310345	0.4358974358974359	0.32432432432432434	0.36111111111111116	0.5277777777777778	0.36363636363636365	0.38888888888888884	0.4285714285714286	0.5277777777777778	0.5	0.4418604651162791	0.4782608695652174	0.3783783783783784
Impact, Process,  and Market Study of the Connecticut Appliance  Retirement Program: Overall Report, Final	0.3902439024390244	0.5526315789473684	0.5	0.6176470588235294	0.4285714285714286	0.32499999999999996	0.2702702702702703	0.5128205128205128	0.4473684210526315	0.42500000000000004	0.42105263157894735	0.5128205128205128	0.43137254901960786	0.4	0.4375	0.41463414634146345
New Product  Development: The Pipeline for Future ENERGY  STAR Growth	0.5	0.631578947368421	0.5	0.6666666666666667	0.5348837209302326	0.3589743589743589	0.4358974358974359	0.5897435897435898	0.4864864864864865	0.06451612903225812	0.5384615384615384	0.625	0.6	0.5	0.5	0.4878048780487805
Statewide  Residential Retrofit Single-Family Energy Efficiency  Rebate Evaluation	0.525	0.5454545454545454	0.3214285714285714	0.5714285714285714	0.525	0.2857142857142857	0.41666666666666663	0.30000000000000004	0.4242424242424242	0.4864864864864865	0.4411764705882353	0.40625	0.5686274509803921	0.5227272727272727	0.4545454545454546	0.43243243243243246
Energy efficiency and consumption�the rebound  effect�a survey	1.0	0.59375	0.37037037037037035	0.45833333333333337	1.0	0.41666666666666663	0.4117647058823529	0.4516129032258065	0.4193548387096774	1.0	1.0	0.4516129032258065	1.0	1.0	1.0	0.4722222222222222
