	Division of Regulations, Legislation, and Interpretation, U.S. Department of Labor, Wage and Hour Division, 200 Constitution Avenue NW., Room S– 81197 Federal Register /	Costs with Overtime Work in U.S.	Does the Statutory Overtime Premium Discourage Long Workweeks?’’ Industrial and Labor Relations Review, 56(3): 530– 81221	Census Bureau, Center for Economic Studies. Business Dynamics Statistics: Firm Age by Firm Size. Available at: http://www.ces.census.gov/ index.php/bds/bds_database_list. Accessed	National Population Projections. Table 2: Projections of the Population by Selected Age Groups and Sex for the United States:	Occupational Outlook Handbook, 2010–11 Edition, Home Health Aides and Personal and Home Care Aides, on the Internet at http://www.bls.	81244 Federal Register /	The authority citation for part 552 continues to read as follows: Authority: 29 U.S.C. 213(a)(15), (b)(21), 88 stat. 62; Sec. 29(b) of the Fair Labor Standards Act Amendments of
New Options (and Risks) in Home Care for Elderly	0.6170212765957447	0.5806451612903225	0.6122448979591837	0.5813953488372092	0.6341463414634146	0.525	0.6875	0.5869565217391304
Re-Thinking Fiscal Multipliers	0.6956521739130435	0.7	0.6875	0.6341463414634146	0.5833333333333333	0.65	0.5769230769230769	0.6666666666666667
Labor Demand	0.725	0.75	0.7441860465116279	0.7297297297297297	0.7647058823529411	0.75	0.782608695652174	0.7560975609756098
2008 National Population Projections	0.627906976744186	0.7333333333333334	0.6521739130434783	0.6904761904761905	0.48484848484848486	0.5675675675675675	0.6153846153846154	0.6590909090909092
BLS Occupational Employment Statistics	0.6888888888888889	0.6428571428571428	0.6521739130434783	0.5526315789473684	0.6111111111111112	0.6052631578947368	0.7586206896551724	0.627906976744186
Business Dynamics Statistics: Firm Age by Firm Size	0.6444444444444444	0.7096774193548387	0.6382978723404256	0.41666666666666663	0.5555555555555556	0.6585365853658536	0.6896551724137931	0.6136363636363636
National Employment Matrix-Search by Occupation	0.6875	0.6451612903225806	0.653061224489796	0.525	0.5	0.575	0.7878787878787878	0.6304347826086957
Standard Occupational Classification	0.6428571428571428	0.6153846153846154	0.6956521739130435	0.5675675675675675	0.5454545454545454	0.5833333333333333	0.6923076923076923	0.6097560975609756
U.S. Census Bureau: Health Care and Social Assistance, Estimated Year-to-Year Change in Revenue for Employer Firms by Source	0.4375	0.6153846153846154	0.5818181818181818	0.2682926829268293	0.4285714285714286	0.4666666666666667	0.7	0.4375
2011 Statistical Abstract	0.6829268292682926	0.7777777777777778	0.7045454545454546	0.717948717948718	0.6363636363636364	0.6285714285714286	0.5909090909090908	0.6829268292682926
