	Ahold announced the pending purchase of Supermarket General-II Holdings Corporation, parent of the Pathmark chain. Similarly, SUPERVALUE acquired Richfood, Food Lion bought out Hannaford Brothers and Scarborough, and Albertson’s purchased American Stores. (Sean Mehegan, ‘‘Consolidation Changes the Face of the North American Supermarket Sector,’’ Meat & Poultry	Agricultural Handbook No.	King Marketing Services,	Safety Commission (Miller et al., ‘‘The Consumer Product Safety Commission’s Revised Injury Cost Model,’’ Peer Review Draft Prepared for the U.S. Consumer Product Safety Commission,	Food Safety Efforts Accelerate in the 1990’s,’’ Food Review,	The Economic Benefits of Nutrition Labeling: A Case Study for Fresh Meat and Poultry Products.’’	Re: Docket #98– 005F, Food Safety and Inspection Service Proposed Rule: ‘‘Nutrition Labeling of Ground or Chopped Meat and Poultry Products and SingleIngredient Products.’’ Comments submitted to the FSIS Docket Clerk,	Drug Administration (60 FR 65095,	Drug Administration (68 FR 41434–41504,	Drug Administration (69 FR 56824–56906,	Read the Label: Reducing Risk by Providing Information	Information Advertising, and Health Choices:	Information, Advertising, and Health: A Study of the Cereal Market.’’ In Economics of Food Safety,	Information and Advertising: The Case of	The Effect of Food Label Use on Nutrient Intakes: An Endogenous Switching Regression Analysis’’,	Assigning Value to Life: Comparing Methods for Valuing Health Risks, Agricultural Economic	A New Approach to Consumer Theory.’’	Informational Approaches to Regulation	Offsetting Behavior in Reducing High Cholesterol: Substitution of Medication for Diet and Lifestyle Changes.’’	Food companies spread nutrition information through advertising and labels. Food Review.	Personnal communication with Mary Muth, RTI International, Research	A Quasi Experiment to Assess the Consumer and Informational Determinants of Nutrition Information Processing Activities: The Case of the Nutrition Labeling and Education Act,’’	FDA Labeling Cost Model.’’ Prepared for the U.S. Food and Drug Administration, Center for Food Safety and Applied Nutrition. Research Triangle Park, NC.	National Cattlemen’s Beef Association.	The Journey towards Retail Meat Case Nutrition Labeling, A white paper,	Uniform Retail Meat Identity Standards.	The NMI Health and Wellness Trends Database.	As reported in Food Technology. ‘‘What, When and Where Americans Eat:	Use of food nutrition labels is associated with lower fat intake’’.	The Imperative to Warn: Disentangling the ‘‘Right to Know’’ from the ‘‘Need to Know’’ about Consumer Product Hazards’’	Guidelines for Ensuring and Maximizing the Quality, Objectivity, Utility, and Integrity of Information Disseminated by Federal Agencies.	Cost Analysis for Nutrition Labeling of Ground, Chopped, and Single-Ingredient Meat and Poultry VerDate	Personal communication with Mary Muth, RTI International, Research	Does Nutrition Labeling Lead to Healthier Eating?’’	Measuring the welfare effects of nutrition information.	Hedonic Prices and Implicit Markets: Product Differentiation in	Department of Agriculture, 1994–1996. Continuing survey of food intake by individuals (CSFII), and companion diet and health knowledge survey (DHKS).	Survey years 1994–1996.	Nutrition Labeling/Safe Handling Information Study—Raw Meat and Poultry. Prepared by Retail Diagnostics,	Nutrition Labeling/Safe Handling Information Study—Raw Meat and Poultry. Prepared by Retail Diagnostics,	Department of Agriculture, Agricultural Research Service,	Do Nutrition Labels Improve Dietary Outcomes?	Diet-Health Information and Nutrition: The Intake of Dietary Fats	Fatal Tradeoffs—Public & Private Responsibilities for Risk.	Estimated Benefits of Nutrition Label Changes: Final Report,	Potential Health Benefits of Nutrition Label Changes,’’	Section 381.400 is revised to read as follows:
A Quasi Experiment to Assess the Consumer and Informational Determinants of Nutrition Information Processing Activities: The Case of the Nutrition Labeling and Education Act	0.7651933701657458	0.9075144508670521	0.9132947976878613	0.7900552486187845	0.8208092485549133	0.7341040462427746	0.7788018433179723	0.8901734104046243	0.8901734104046243	0.8901734104046243	0.8208092485549133	0.8323699421965318	0.7861271676300579	0.7976878612716763	0.7630057803468208	0.7514450867052023	0.8670520231213873	0.8092485549132948	0.7803468208092486	0.7341040462427746	0.791907514450867	0.017045454545454544	0.7398843930635838	0.8439306358381503	0.7456647398843931	0.8497109826589595	0.861271676300578	0.7803468208092486	0.7861271676300579	0.7745664739884393	0.7630057803468208	0.7630057803468208	0.791907514450867	0.8034682080924855	0.7630057803468208	0.7861271676300579	0.8092485549132948	0.9479768786127167	0.7341040462427746	0.7341040462427746	0.8265895953757225	0.8439306358381503	0.7283236994219653	0.8265895953757225	0.7630057803468208	0.7745664739884393	0.861271676300578
Food companies spread nutrition information through advertising and labels	0.850828729281768	0.8783783783783784	0.8243243243243243	0.8011049723756906	0.7432432432432432	0.7291666666666666	0.7788018433179723	0.7972972972972973	0.8108108108108109	0.8108108108108109	0.7567567567567568	0.7567567567567568	0.7755102040816326	0.6756756756756757	0.7708333333333334	0.8111111111111111	0.8108108108108109	0.7837837837837838	0.7545454545454545	0.1590909090909091	0.7702702702702703	0.7215909090909091	0.75	0.8243243243243243	0.7972972972972973	0.7567567567567568	0.8108108108108109	0.7972972972972973	0.7432432432432432	0.7627118644067796	0.7647058823529411	0.6990291262135923	0.7702702702702703	0.7432432432432432	0.7702702702702703	0.7432432432432432	0.7986577181208053	0.9054054054054054	0.7403846153846154	0.7403846153846154	0.8108108108108109	0.7432432432432432	0.7567567567567568	0.8243243243243243	0.7297297297297297	0.7837837837837838	0.8108108108108109
Food Safety Efforts Accelerate in the 1990�s	1.0	0.8863636363636364	0.8181818181818182	1.0	1.0	1.0	1.0	0.8636363636363636	1.0	1.0	0.8148148148148148	0.8409090909090909	1.0	0.7727272727272727	1.0	0.7888888888888889	1.0	0.8409090909090909	1.0	0.7613636363636364	0.835820895522388	1.0	1.0	1.0	0.7746478873239436	0.8409090909090909	0.9090909090909091	1.0	1.0	1.0	0.8308823529411765	0.8058252427184466	0.8333333333333334	1.0	0.7818181818181819	0.8253968253968254	1.0	1.0	1.0	1.0	0.7894736842105263	0.8666666666666667	0.7692307692307693	1.0	0.75	1.0	0.8695652173913043
Offsetting Behavior in Reducing High Cholesterol: Substitution of Medication for Diet and Lifestyle Changes	0.8314917127071824	0.8691588785046729	0.8411214953271028	0.7734806629834254	0.8411214953271028	0.794392523364486	0.7741935483870968	0.8411214953271028	0.8411214953271028	0.8411214953271028	0.7383177570093458	0.7757009345794392	0.8130841121495327	0.8130841121495327	0.8411214953271028	0.7850467289719626	0.8504672897196262	0.8317757009345794	0.02727272727272727	0.8037383177570093	0.7570093457943925	0.7556818181818182	0.756578947368421	0.8411214953271028	0.719626168224299	0.8130841121495327	0.8130841121495327	0.7663551401869159	0.7570093457943925	0.8220338983050848	0.7279411764705882	0.794392523364486	0.7570093457943925	0.8037383177570093	0.7383177570093458	0.7850467289719626	0.7718120805369127	0.9345794392523364	0.8037383177570093	0.8037383177570093	0.8130841121495327	0.8037383177570093	0.719626168224299	0.7850467289719626	0.7663551401869159	0.719626168224299	0.7850467289719626
The Imperative to Warn: Disentangling the ��Right to Know�� from the ��Need to Know�� about Consumer Product Hazards	1.0	0.8793103448275862	0.8793103448275862	1.0	1.0	1.0	1.0	0.8879310344827587	1.0	1.0	0.7931034482758621	0.8189655172413793	1.0	0.8103448275862069	1.0	0.7931034482758621	1.0	0.8189655172413793	1.0	0.7758620689655172	0.7844827586206896	1.0	1.0	1.0	0.7327586206896551	0.8103448275862069	0.8017241379310345	1.0	1.0	1.0	0.7794117647058824	0.7931034482758621	0.7844827586206896	1.0	0.7931034482758621	0.8017241379310345	1.0	1.0	1.0	1.0	0.8103448275862069	0.8103448275862069	0.7672413793103449	1.0	0.7931034482758621	1.0	0.8103448275862069
"Information, Advertising, and Health: A Study of the Cereal Market."" In Economics of Food Safety, ed. Julie Caswell"	0.8314917127071824	0.8521739130434782	0.8608695652173913	0.7845303867403315	0.7652173913043478	0.8260869565217391	0.7926267281105991	0.8608695652173913	0.8695652173913043	0.8695652173913043	0.8260869565217391	0.6347826086956522	0.17391304347826086	0.7304347826086957	0.808695652173913	0.8347826086956521	0.8608695652173913	0.7739130434782608	0.7652173913043478	0.782608695652174	0.782608695652174	0.7727272727272727	0.756578947368421	0.8260869565217391	0.7913043478260869	0.808695652173913	0.782608695652174	0.808695652173913	0.808695652173913	0.8220338983050848	0.7720588235294118	0.8347826086956521	0.782608695652174	0.808695652173913	0.782608695652174	0.7652173913043478	0.7651006711409396	0.9043478260869565	0.7652173913043478	0.7652173913043478	0.8173913043478261	0.8173913043478261	0.782608695652174	0.808695652173913	0.8	0.7652173913043478	0.8
Informational Approaches to Regulation	0.9116022099447514	0.8157894736842105	0.8157894736842105	0.856353591160221	0.8166666666666667	0.8020833333333334	0.8847926267281107	0.868421052631579	0.8974358974358975	0.8974358974358975	0.7962962962962963	0.6363636363636364	0.7448979591836735	0.6	0.7916666666666666	0.7888888888888889	0.8157894736842105	0.0	0.8363636363636363	0.8068181818181818	0.7611940298507462	0.8125	0.8552631578947368	0.7105263157894737	0.8028169014084507	0.7435897435897436	0.8409090909090909	0.7971014492753623	0.7313432835820896	0.8220338983050848	0.8529411764705882	0.7864077669902912	0.7575757575757576	0.7450980392156863	0.7636363636363637	0.7301587301587301	0.8657718120805369	0.868421052631579	0.7788461538461539	0.7788461538461539	0.8070175438596491	0.7333333333333333	0.676923076923077	0.7966101694915254	0.8	0.8181818181818182	0.7608695652173914
Read the Label: Reducing Risk by Providing Information	0.8950276243093923	0.8518518518518519	0.8148148148148148	0.8176795580110497	0.8333333333333334	0.8020833333333334	0.8433179723502304	0.8518518518518519	0.8888888888888888	0.8888888888888888	0.0	0.8703703703703703	0.8163265306122449	0.8148148148148148	0.7395833333333334	0.7777777777777778	0.8333333333333334	0.7962962962962963	0.7454545454545455	0.7727272727272727	0.7761194029850746	0.8238636363636364	0.8289473684210527	0.7592592592592593	0.7887323943661971	0.8333333333333334	0.8148148148148148	0.8260869565217391	0.8059701492537313	0.7966101694915254	0.7794117647058824	0.7961165048543689	0.7727272727272727	0.8148148148148148	0.6181818181818182	0.7142857142857143	0.8120805369127517	0.9074074074074074	0.7788461538461539	0.7788461538461539	0.8771929824561403	0.8148148148148148	0.8307692307692308	0.7966101694915254	0.8333333333333334	0.8727272727272727	0.8148148148148148
What, When and Where American Eat	0.919889502762431	0.9090909090909091	0.8181818181818182	0.8784530386740331	0.85	0.8333333333333334	0.9032258064516129	0.9696969696969697	0.8974358974358975	0.8974358974358975	0.7592592592592593	0.7954545454545454	0.7755102040816326	0.75	0.8229166666666666	0.8	0.8333333333333334	0.868421052631579	0.8272727272727273	0.8181818181818182	0.7910447761194029	0.8579545454545454	0.8486842105263158	0.8157894736842105	0.7887323943661971	0.8205128205128205	0.7045454545454546	0.5217391304347826	0.8208955223880597	0.8305084745762712	0.8529411764705882	0.8058252427184466	0.7878787878787878	0.7647058823529411	0.7454545454545455	0.7777777777777778	0.8791946308724832	0.8787878787878788	0.8269230769230769	0.8269230769230769	0.7894736842105263	0.7777777777777778	0.7230769230769231	0.847457627118644	0.7833333333333333	0.8	0.8260869565217391
Assigning Value to Life: Comparing Methods for Valuing Health Risks	0.8756906077348067	0.835820895522388	0.7611940298507462	0.7900552486187845	0.8507462686567164	0.7395833333333334	0.8341013824884793	0.8507462686567164	0.8656716417910447	0.8656716417910447	0.746268656716418	0.7313432835820896	0.8061224489795918	0.8059701492537313	0.7708333333333334	0.25555555555555554	0.8059701492537313	0.7761194029850746	0.7272727272727273	0.7613636363636364	0.8059701492537313	0.7954545454545454	0.7697368421052632	0.7761194029850746	0.8169014084507042	0.7910447761194029	0.7910447761194029	0.8695652173913043	0.8656716417910447	0.7966101694915254	0.7794117647058824	0.7572815533980582	0.8059701492537313	0.7313432835820896	0.7611940298507462	0.8059701492537313	0.7986577181208053	0.8955223880597015	0.7403846153846154	0.7403846153846154	0.8208955223880597	0.8059701492537313	0.835820895522388	0.7910447761194029	0.8059701492537313	0.8059701492537313	0.7910447761194029
