	Counsel, (202) 452–2036, Legal Division. For the hearing impaired only, Telecommunication Device for the Deaf (TDD),	Adoption of Proposed Common Rule 1. The authority citation for part 3 continues to read as follows: Authority: 12 U.S.C. 93a, 161, 1818, 3907 and 3909. 1921 Federal Register /	Governors of the Federal 4. The authority citation for part 208 continues to read as follows: Authority:	The authority citation for part 225 continues to read as follows: Authority:	Federal Deposit Insurance Corporation 12 CFR Chapter III Authority and Issuance For the reasons set forth in the common preamble, part 325 of chapter III of title 12 of the Code of Federal Regulations is proposed to be amended as follows: PART 325—CAPITAL MAINTENANCE 10. The authority citation for part 325 continues to read as follows:	to Part 325—Risk-Based Capital for State Nonmember Banks: Market Risk 12. Appendix C is further amended by: a. Removing ‘‘[Agency]’’ wherever it appears and adding in its place ‘‘FDIC’’; b. Removing ‘‘[Agency’s]’’ wherever it appears and adding in its place ‘‘FDIC’s’’; c. Removing ‘‘[banking organization]’’ wherever it appears and adding in its place ‘‘bank’’; d. Removing ‘‘[banking organizations]’’ wherever it appears and adding in its place ‘‘banks’’; e. Removing [Call Report or FR Y–9C] wherever it appears and adding in its place ‘‘Call Report’’; f. Removing ‘‘[the advanced capital adequacy framework]’’ wherever it appears and adding in its place ‘‘Appendix D to this part’’; g. Removing ‘‘[regulatory report]’’ wherever it appears and adding in its place ‘‘Consolidated Reports of Condition and Income (Call Report)’’; h. Removing ‘‘[the general risk-based capital rules]’’ wherever it appears and adding in its place ‘‘Appendix A to this part’’.	By order of the Board of Governors of the Federal Reserve System,	this 14th of December 2010. By order of the Board of Directors. Federal Deposit Insurance Corporation. Robert E. Feldman, Executive Secretary.
Analysis of the Third Trading Book Impact Study 	0.53	0.5900000000000001	0.5700000000000001	0.63	0.5900000000000001	0.5900000000000001	0.5900000000000001	0.61
12 CFR part 208, Appendix F and 12 CFR part 225	0.6599999999999999	0.62	0.56	0.6	0.54	0.56	0.71	0.6599999999999999
12 CFR part 225, Appendix A, section II.B (Board)	0.62	0.6599999999999999	0.6599999999999999	0.62	0.6	0.56	0.72	0.6599999999999999
12 CFR part 3, Appendix C (OCC)	0.6799999999999999	0.5900000000000001	0.62	0.62	0.55	0.52	0.6799999999999999	0.6799999999999999
12 CFR part 325, Appendix A, section II.B.3 	0.62	0.64	0.64	0.62	0.6	0.55	0.71	0.64
13 CFR 121.201.	0.6699999999999999	0.6699999999999999	0.74	0.74	0.6	0.6	0.8	0.74
5 U.S.C. 603(a).	0.75	0.38	0.75	0.8200000000000001	0.75	0.75	0.8200000000000001	0.75
71 FR 55958	0.73	0.64	0.73	0.8200000000000001	0.55	0.55	0.73	0.73
75 FR 52283	0.55	0.73	0.64	0.64	0.64	0.73	0.73	0.73
Public Law 111�203	0.0	0.6699999999999999	0.73	0.78	0.0	0.0	0.84	0.78
