	Budget Refinement Act of 1999, Pub. L. 106–113 BIPA Medicare, Medicaid, and SCHIP Benefits Improvement and Protection Act of 2000, Pub. L. 106–554 1. The authority citation for part 413 continues to read as follows: Authority: Secs.
OMB Circular A-4	0.7446808510638299
Associated Correction Notices	0.7173913043478262
Associated Correction Notices	0.7173913043478262
SNF PPS Final Rule	0.7872340425531915
SNF PPS rates	0.8297872340425532
Congressional Review Act	0.6222222222222222
Federalism	0.8260869565217391
Regulatory Flexibility Act of 1980	0.6041666666666667
Regulatory Planning and Review 	0.6222222222222222
Section 1102(b) of Social Security Act	0.5957446808510638
Section 1888�	1.0
Small Busines Administration standards	0.6444444444444444
Unfunded Mandates Reform Act of 1995	0.5869565217391304
