	We are chronically sleep deprived.	Circadian rhythms in the secretion of cortisol, adrenaline and noradrenaline.	Sleepiness as a consequence of shift work.	Concepts and Models of Sleep Regulation: An overview&quot;,	Homeostatic and circadian components of sUbjective alertness interact in a non-additive manner&quot;,	Bimodal distribution of REM sleep latency during forced desynchrony: model implications&quot;,	Review of fatigue detection and prediction technologies._	Effects of loading and unloading cargo on commercial truck driver alertness and performance~ Federal Motor Carrier Safety Administration FMCSA	Pay for Safety: An Economic Alternative for Truck Driver Safety&quot;,	Commercial Motor Vehicle Driver Fatigue, Alertness, and Countermeasures Survey.&quot; Sponsored by U.S. Department of Transportation, Federal Highway Administration.	A Survey of Owner-Operators and Company Drivers on their Use of Three New 'Hours of Service Features,'&quot; OOIDA Foundation,	A Survey of Private Fleets on their Use of Three New 'Hours of Service Features,'&quot;	06 P a 00 00 I' IS 00 os , Ii 00 i~l 1. ________ ~ ____ . ___ .. _ .1 The 'regular' driver, in addition to showing a higher overall effectiveness, also shows much less
HaS and electronic logs: fleets hold lead	0.6097560975609756	0.7402597402597403	0.8571428571428571	0.7966101694915254	0.7821782178217822	0.8085106382978723	0.7368421052631579	0.8169014084507042	0.7714285714285715	0.8606060606060606	0.8333333333333334	0.7816091954022989	0.8502994011976048
Roadcheck 2007 Results Show Safety Improvements Are Needed	0.7758620689655172	0.8051948051948052	0.8275862068965517	0.8305084745762712	0.8118811881188119	0.8297872340425532	0.8448275862068966	0.823943661971831	0.8714285714285714	0.8181818181818182	0.8253968253968254	0.7931034482758621	0.8622754491017964
Effect of driver fatigue on truck accident rates	0.8125	0.7792207792207793	0.8125	0.7966101694915254	0.7623762376237624	0.7872340425531915	0.7368421052631579	0.7535211267605634	0.7	0.793939393939394	0.7857142857142857	0.735632183908046	0.844311377245509
Effect of driver hours of service on tractor-trailer crash involvement. (Proceedings paper).	0.7717391304347826	0.7282608695652174	0.7934782608695652	0.7934782608695652	0.7821782178217822	0.8404255319148937	0.7608695652173914	0.7112676056338029	0.8152173913043478	0.7515151515151515	0.753968253968254	0.7934782608695652	0.8203592814371258
Effects of irregular schedules and physical work on commercial driver fatigue and performance	0.7849462365591398	0.6774193548387096	0.7849462365591398	0.7741935483870968	0.7920792079207921	0.8723404255319149	0.7526881720430108	0.6690140845070423	0.7741935483870968	0.7696969696969697	0.7857142857142857	0.7956989247311828	0.8023952095808383
Fatigue, circadian rhythm and truck accidents in Vigilance: Theory, Operational Performance and Physiological Correlates	0.85	0.6416666666666667	0.8166666666666667	0.775	0.75	0.775	0.75	0.7816901408450704	0.7833333333333333	0.7818181818181819	0.7777777777777778	0.775	0.8083832335329342
Performing while sleepy: effects of experimentally induced sleepiness	0.7536231884057971	0.7402597402597403	0.8260869565217391	0.8115942028985508	0.7623762376237624	0.7872340425531915	0.7681159420289855	0.7887323943661971	0.8857142857142857	0.7878787878787878	0.7936507936507936	0.7701149425287356	0.8263473053892215
Time of day models of motor carrier accident risk	0.7959183673469388	0.7272727272727273	0.7959183673469388	0.7288135593220338	0.7326732673267327	0.7872340425531915	0.7368421052631579	0.7676056338028169	0.7571428571428571	0.8242424242424242	0.7936507936507936	0.735632183908046	0.8622754491017964
2000 ITS National Motor Carrier Directory	0.8292682926829268	0.7792207792207793	0.8809523809523809	0.8135593220338984	0.8217821782178217	0.8085106382978723	0.7894736842105263	0.8098591549295775	0.7571428571428571	0.8545454545454545	0.8412698412698413	0.8160919540229885	0.8562874251497006
Motor Carrier Financial and Operating Statistics	0.75	0.7792207792207793	0.875	0.847457627118644	0.7623762376237624	0.8085106382978723	0.7192982456140351	0.7887323943661971	0.7857142857142857	0.793939393939394	0.8174603174603174	0.8160919540229885	0.844311377245509
