	Department of Energy, Energy Information Administration, Transportation Sector Module of the National Energy Modeling System: Model Documentation	Technical Support Document: Fuel Economy Labeling of Motor Vehicle Revisions to Improve Calculation of Fuel Economy Estimates,	The survival rates were calculated from R.L. Polk, National Vehicle Population Profile, 1977-2003; see NHTSA,	Vehicle Survivability and Travel Mileage Schedules,” Office of Regulatory Analysis and Evaluation,	Oil Imports: An Assessment of Benefits and Costs,	"Estimating the Energy Security Benefits of Reduced U.S. Oil Imports,"" Oak Ridge National Laboratory, ORNL/TM-2007/028, Revised July 23,"	Contribution of Working Group II to the Fourth Assessment Report of the IPCC, 17. Available at http://www.ipcc-wg2.org (last accessed 4,	Description of VMT Forecasting Procedure for ‘Car Talk’ Base line Forecasts,” manuscript, Volpe National Transportation Systems Center, U.S. Department of Transportation,	Environmental Protection Agency, MOBILE Motor Vehicle Emission Factor Model, version 6.2,	Uncertainty: A Guide to Dealing with Uncertainty in Quantitative Risk and Policy Analysis”,	CAFE Compliance and Effects Modeling System Documentation,
A Guide to Econometrics, 3rd Edition	0.5161290322580645	0.6486486486486487	0.6341463414634146	0.5625	0.5384615384615384	0.6739130434782609	0.6428571428571428	0.6666666666666667	0.5882352941176471	0.5625	0.5
Public Citizen v. NHTSA	0.6666666666666667	0.6666666666666667	0.6190476190476191	0.6285714285714286	0.75	0.7142857142857143	0.6888888888888889	0.65	0.717948717948718	0.7027027027027026	0.6666666666666667
Consumer Finance	0.6451612903225806	0.6060606060606061	0.7317073170731707	0.6875	0.5833333333333333	0.7608695652173914	0.675	0.6285714285714286	0.6666666666666667	0.6875	0.5384615384615384
Highway Statistics, Summary to 1995	0.5588235294117647	0.6052631578947368	0.5952380952380952	0.6	0.71875	0.6938775510204082	0.6666666666666667	0.6585365853658536	0.6578947368421053	0.6	0.59375
Statistical Release H.15, Selected Interest Rates	0.5882352941176471	0.631578947368421	0.5853658536585367	0.5882352941176471	0.5714285714285714	0.6595744680851063	0.627906976744186	0.65	0.6111111111111112	0.6285714285714286	0.625
Statstical Release G.20, Finance Companies	0.6111111111111112	0.5405405405405406	0.5714285714285714	0.6486486486486487	0.5517241379310345	0.6170212765957447	0.5476190476190477	0.5641025641025641	0.5945945945945945	0.6486486486486487	0.4666666666666667
The Greenhouse Gas and Regulated Emissions from Transportation (GREET) Model, Version 1.8	0.43243243243243246	0.44999999999999996	0.5217391304347826	0.43243243243243246	0.5714285714285714	0.5102040816326531	0.5	0.5116279069767442	0.5365853658536586	0.5853658536585367	0.5
1997 Federal Highway Cost Allocation Study	0.5	0.55	0.5116279069767442	0.5	0.6060606060606061	0.6470588235294117	0.5227272727272727	0.5714285714285714	0.5641025641025641	0.5	0.4375
2006 Guidelines for National Greenhouse Gas Inventories	0.5294117647058824	0.6153846153846154	0.5714285714285714	0.5714285714285714	0.5517241379310345	0.5869565217391304	0.5813953488372092	0.6666666666666667	0.5555555555555556	0.5714285714285714	0.6470588235294117
Alternative and Future Technologies for Reducing Greenhouse Gas Emissions from Road Vehicles	0.4117647058823529	0.38888888888888884	0.5116279069767442	0.3125	0.5625	0.5625	0.4883720930232558	0.5365853658536586	0.4444444444444444	0.4571428571428572	0.4375
Annual Energy Outlook 2007	0.6176470588235294	0.6923076923076923	0.6744186046511628	0.5757575757575757	0.6551724137931034	0.6222222222222222	0.6818181818181819	0.7073170731707317	0.6	0.6176470588235294	0.6129032258064516
Annual Energy Outlook 2008, Early Release	0.5714285714285714	0.6153846153846154	0.6363636363636364	0.48484848484848486	0.6	0.5555555555555556	0.6444444444444444	0.6666666666666667	0.5555555555555556	0.5294117647058824	0.5625
Annual Energy Review 2006	0.6571428571428571	0.6578947368421053	0.6744186046511628	0.5757575757575757	0.7419354838709677	0.6808510638297872	0.6818181818181819	0.7674418604651163	0.6	0.5757575757575757	0.65625
Climate Change 2007 - Impacts, Adaptation and Vulnerability, Contribution of Working Group II to the Fourth Assessment Report	0.46341463414634143	0.40476190476190477	0.44680851063829785	0.46341463414634143	0.5135135135135135	0.43999999999999995	0.2790697674418605	0.5	0.4883720930232558	0.5	0.4473684210526315
Climate Change 2007: Synthesis Report: Contributions of Working Group I, II, and III to the Fourth Assessment Report of the Intergovernmental Panel on Climate Change	0.4390243902439024	0.38095238095238093	0.45833333333333337	0.47619047619047616	0.4864864864864865	0.4509803921568627	0.2558139534883721	0.5106382978723405	0.5	0.4390243902439024	0.46153846153846156
Comparison of Indirect Cost Multipliers for Vehicle Manufacturing 	0.3548387096774194	0.38235294117647056	0.5813953488372092	0.4545454545454546	0.40740740740740744	0.5652173913043479	0.5238095238095238	0.45945945945945943	0.48571428571428577	0.5833333333333333	0.3793103448275862
Cost and Effectiveness Estimates of Technologies Used to Reduce Light-Duty Vehicle Carbon Dioxide Emissions	0.4473684210526315	0.29729729729729726	0.5319148936170213	0.36111111111111116	0.6216216216216216	0.45833333333333337	0.5416666666666667	0.4883720930232558	0.5121951219512195	0.4871794871794872	0.4722222222222222
