	The Behavioral Economics of Retirement Savings Behavior, AARP Public Policy Institute White Paper	The Effects of Expenses on Mutual Fund Flows,	Number: 1210–NEW. Affected Public: Business or other forprofit. Estimated Number of Respondents: 16,000. Estimated Number of Annual Responses: 20,656,000. Frequency of Response: Initially, Annually, Upon Request, when a material change. Estimated Total Annual Burden Hours: 8,398,000 hours in the first year; 5,776,000 hours in each subsequent year. Estimated Total Annual Burden Cost: $642,541,000 for the first year; $493,242,000 for each subsequent year.	List of Subjects in 29 CFR Part 2550 Employee benefit plans, Exemptions, Fiduciaries, Investments, Pensions, Prohibited transactions, Reporting and recordkeeping requirements, and 1. The authority citation for part 2550 is revised to read as follows:	Sec. 2550.401b–1 also issued under sec. 102, Reorganization Plan No.	Sec. 2550.401c–1 also issued under 29 U.S.C. 1101. Sec. 2550.404c–1 also issued under 29 U.S.C. 1104. Sec. 2550.407c–3 also issued under 29 U.S.C. 1107. Sec. 2550.404a–2 also issued under 26 U.S.C. 401 note (sec. 657, Pub. L. 107–16, 115 Stat. 38). Sec. 2550.408b–1 also issued under 29 U.S.C. 1108(b)(1) and sec. 102, Reorganization Plan No. 4 of 1978, 3 CFR, 1978 Comp. p. 332, effective Dec. 31, 1978, 44 FR	Add § 2550.408g–1 to read as follows:	Section 408(g)(1) of the Employee Retirement Income Security Advice Exemption Notification— Statutory, U.S. Department of Labor, Employee Benefits Security Administration, Room N–1513, 200 Constitution Ave.,	For purposes of paragraph (j)(6)(i) Signed at Washington, DC, this 15th day of August,
Recent Changes in U.S. Family Finances: Evidence from the 2001 and 2004 Survey of Consumer Finances	0.8585858585858586	0.8181818181818182	0.8643326039387309	0.804	0.7878787878787878	0.8634146341463415	0.8585858585858586	0.7874396135265701	0.8282828282828283
Investor and Industry Perspectives on Investment Advisers and Broker-Dealers	0.7835051546391752	0.7631578947368421	0.8774617067833698	0.816	0.8289473684210527	0.9048780487804878	0.8421052631578947	0.8260869565217391	0.8488372093023255
Quantitative Analysis of Investor Behavior 2007	0.7835051546391752	0.8723404255319149	0.9168490153172867	0.872	0.7941176470588235	0.9317073170731708	0.8936170212765957	0.8695652173913043	0.8255813953488372
The Behavioral Economics of Retirement Savings Behavior	0.4329896907216495	0.7454545454545455	0.9102844638949672	0.86	0.8235294117647058	0.926829268292683	0.8363636363636363	0.8454106280193237	0.8023255813953488
2007 Retirement Confidence Survey	0.8144329896907216	0.8222222222222222	0.9409190371991247	0.896	0.8382352941176471	0.9414634146341463	0.8918918918918919	0.8743961352657005	0.872093023255814
50th Annual Survey of Profit Sharing and 401(k) Plans 	0.7525773195876289	0.8333333333333334	0.912472647702407	0.86	0.7794117647058824	0.9170731707317074	0.8148148148148148	0.8309178743961353	0.8255813953488372
An Analysis of Investment Advice to Retirement Plan Participants	0.7216494845360825	0.8125	0.8971553610503282	0.804	0.8529411764705882	0.9121951219512195	0.8125	0.7971014492753623	0.7906976744186046
Annual 401(k) Benchmarking Survey 2005/2006 Edition	0.8350515463917526	0.9019607843137255	0.9234135667396062	0.892	0.8088235294117647	0.9219512195121952	0.9019607843137255	0.8599033816425121	0.8372093023255814
Are Mutual Fund Fees Competitive? What IQ-Related Behavior Tells Us	0.7938144329896907	0.8059701492537313	0.899343544857768	0.852	0.8235294117647058	0.9146341463414634	0.7910447761194029	0.8454106280193237	0.8023255813953488
Asset Location for Retirement Savers, in Public Policies and Private Pensions	0.5876288659793815	0.7662337662337663	0.8796498905908097	0.804	0.8311688311688312	0.8951219512195122	0.8311688311688312	0.7971014492753623	0.8488372093023255
Company Stock and Pension Plan Diversification, in The Pension Challenge: Risk Transfers and Retirement Income Security	0.7983193277310925	0.8403361344537815	0.8468271334792122	0.756	0.8067226890756303	0.875609756097561	0.8907563025210085	0.7874396135265701	0.7983193277310925
Fees and Revenue Sharing in Defined Contribution Retirement Plans	0.7525773195876289	0.7538461538461538	0.8927789934354485	0.82	0.8088235294117647	0.9024390243902439	0.8615384615384616	0.8260869565217391	0.7906976744186046
Financial Advice and Individual Investors' Portfolios	0.7938144329896907	0.8490566037735849	0.9168490153172867	0.86	0.8088235294117647	0.9219512195121952	0.8113207547169812	0.855072463768116	0.8255813953488372
Financial Literacy and Mutual Fund Investments: Who Buys Actively Managed Funds?	0.8144329896907216	0.75	0.888402625820569	0.824	0.8125	0.9024390243902439	0.8625	0.8260869565217391	0.813953488372093
Financial Planning: On the Issue of Advice	0.8144329896907216	0.8888888888888888	0.9234135667396062	0.884	0.8529411764705882	0.9341463414634147	0.8809523809523809	0.893719806763285	0.7906976744186046
High-Quality Financial Advice Wanted!	0.8041237113402062	0.8888888888888888	0.9409190371991247	0.9	0.8529411764705882	0.9463414634146341	0.972972972972973	0.8888888888888888	0.8604651162790697
How to Invest Over the Life Cycle: a Review	0.8144329896907216	0.8888888888888888	0.9343544857768052	0.876	0.8235294117647058	0.9317073170731708	0.8372093023255814	0.8695652173913043	0.8255813953488372
