	Number: 1210–NEW. Affected Public: Business or other forprofit. Estimated Number of Respondents: 16,000. Estimated Number of Annual Responses: 20,789,000. Frequency of Response: Initially, Annually, Upon Request, when a material change. Estimated Total Annual Burden Hours: 16,126,000 hours in the first year; 13,504,000 hours in each subsequent year. Estimated Total Annual Burden Cost: $642,552,000 for the first year; $493,253,000 for each subsequent year.	List of Subjects in 29 CFR Part 2550 Employee benefit plans, Exemptions, Fiduciaries, Investments, Pensions, Prohibited transactions, Reporting and recordkeeping requirements, and Labor’s Order No.	Sec. 2550.401b–1 also issued under sec. 102, Reorganization Plan No.	Sec. 2550.401c–1 also issued under 29 U.S.C. 1101. Sections 2550.404c–1 and 2550.404c– 5 also issued under 29 U.S.C. 1104. Sec. 2550.407c–3 also issued under 29 U.S.C. 1107. Sec. 2550.404a–2 also issued under 26 U.S.C. 401 note (sec. 657, Pub. L. 107–16, 115 Stat. 38). Sec. 2550.408b–1 also issued under 29 U.S.C. 1108(b)(1) and sec. 102, Reorganization Plan No.	2550.408g–1 also issued under sec. 102, Reorganization Plan No. 4 of 1978, 3 CFR,	For purposes of paragraph (c)(6)(i) retirement ages, life expectancies, income levels, financial resources, replacement income ratios, inflation VerDate Nov<24>2008	Add § 2550.408g–2 to read as follows:	Section 408(g)(11)(A) of the Employee Retirement Income accordance with 29 CFR 2550.408g– 1(b)(5); and (v) Is maintained in accordance with 29 CFR 2550.408g–1(e).	this 9th day of January,
Field Assistance Bulletin 2007�1	1.0	1.0	1.0	1.0	1.0	0.6666666666666667	1.0	1.0	0.7037037037037037
Protecting Senior Investors: Report of Examinations of Securities Firms Providing ��Free Lunch�� Sales Seminar	1.0	1.0	1.0	1.0	1.0	0.5348837209302326	1.0	1.0	0.6470588235294117
"Technical Explanation Of H.R. 4, The ""Pension Protection Act Of 2006,"" As Passed By The House On July 28, 2006, And As Considered By The Senate On August 3, 2006"	0.3928571428571429	0.4423076923076923	0.5111111111111111	0.4901960784313726	0.46808510638297873	0.5306122448979591	0.6136363636363636	0.4807692307692307	0.625
The Division of Investment Management: Report on Mutual Fund Fees and Expenses	0.5818181818181818	0.5	0.6585365853658536	0.7254901960784313	0.6363636363636364	0.5	0.6756756756756757	0.5434782608695652	0.6129032258064516
Floor Statement of Senate Health, Education, Labor and Pensions Committee Chairman Enzi	0.5740740740740741	0.4545454545454546	0.5	0.5454545454545454	0.525	0.5952380952380952	0.736842105263158	0.5652173913043479	0.5517241379310345
Advertising and Portfolio Choice	0.6538461538461539	0.5813953488372092	0.5757575757575757	0.6428571428571428	0.5555555555555556	0.5945945945945945	0.5862068965517242	0.5609756097560976	0.5416666666666667
Assessing the Costs and Benefits of Brokers in the Mutual Fund Industr	0.6226415094339622	0.5777777777777777	0.6486486486486487	0.6956521739130435	0.5897435897435898	0.625	0.625	0.5909090909090908	0.5384615384615384
Competition in the Mutual Fund Industry: Evidence and Implications for Policy	0.5471698113207547	0.4545454545454546	0.65	0.6938775510204082	0.5952380952380952	0.5609756097560976	0.7027027027027026	0.5	0.5517241379310345
Fees and Expenses of Mutual Funds	0.7358490566037736	0.6511627906976745	0.7058823529411764	0.7727272727272727	0.6756756756756757	0.6388888888888888	0.6896551724137931	0.6976744186046512	0.6086956521739131
Financial Advice and Individual Investors� Portfolios	1.0	1.0	1.0	1.0	1.0	0.6052631578947368	1.0	1.0	0.56
