	U.S. Organic Agriculture, 1992–2008, data set available at http:// www.ers.usda.gov/data/organicERS. 42 Ibid.	Department of Agriculture, Economic Research Service,	44 Organic Trade Association,	Consumer Aspects of the Organic Milk Market/LDP–M–155–01.	rangeland.41 The number of certified 53 Sundale Research,	Emerging Issues in the U.S. Organic Industry.	Acting Administrator, Agricultural Marketing Service.	2012–354 Filed 1–11–12; 8:45 am] AGENCY: Agricultural Marketing Service, USDA. ACTION: Proposed rule.	SUMMARY: This proposed rule would address recommendations submitted to the Secretary of Agriculture (Secretary) by the National Organic Standards Board (NOSB) on	These recommendations pertain to the 2012 Sunset Review of substances on the U.S. Department of Agriculture’s (USDA) National List of Allowed and Prohibited Substances (National List). Consistent with the NOSB • Federal eRulemaking Portal: http:// www.regulations.gov. Follow the instructions for submitting comments.	Agricultural Marketing Specialist, National Organic Program, USDA–AMS–NOP, 1400 Independence Ave. SW., Room 2646– So., Ag Stop 0268, Washington, DC 20250. Instructions: All submissions received must include the docket number AMS– NOP–09–0074; NOP–09–01, and/or Regulatory Information Number (RIN) 0581–AC96 for this rulemaking. without change to http:// www.regulations.gov.	Docket: For access to the docket to read background documents or comments received, go to http:// www.regulations.gov. Comments submitted in response to this proposed rule will also be available for viewing in person at USDA–AMS,	Background The Organic Foods Production Act of
Final Rule	0.9541284403669725	0.9056603773584906	0.896551724137931	0.9122807017543859	0.8771929824561403	0.8888888888888888	0.8679245283018868	0.9207920792079208	0.9565217391304348	0.9716088328075709	0.9759358288770054	0.9650655021834061	0.9130434782608695
Federalism	0.944954128440367	0.8867924528301887	0.8620689655172413	0.9122807017543859	0.8771929824561403	0.8666666666666667	0.9056603773584906	0.9207920792079208	0.9503105590062112	0.9684542586750788	0.9759358288770054	0.9563318777292577	0.8695652173913043
2104	0.9724770642201835	1.0	1.0	0.9649122807017544	0.9824561403508771	1.0	1.0	0.9702970297029703	1.0	0.9936908517350158	0.9919786096256684	1.0	1.0
2108	0.9724770642201835	1.0	1.0	0.9649122807017544	0.9824561403508771	1.0	1.0	0.9702970297029703	1.0	0.9936908517350158	0.9893048128342246	1.0	1.0
2115(b)	0.981651376146789	1.0	1.0	0.9649122807017544	0.9649122807017544	1.0	1.0	0.9603960396039604	0.9813664596273292	0.9842271293375394	0.9893048128342246	0.9956331877729258	1.0
2120(f)	0.9724770642201835	0.9811320754716981	1.0	0.9824561403508771	0.9649122807017544	1.0	1.0	0.9702970297029703	0.9875776397515528	0.9810725552050473	0.9866310160427807	0.9956331877729258	1.0
Egg Products Inspection Act	0.8807339449541285	0.8301886792452831	0.8275862068965517	0.8245614035087719	0.8245614035087719	0.7777777777777778	0.7924528301886793	0.8910891089108911	0.8881987577639752	0.9274447949526814	0.9358288770053476	0.9170305676855895	0.6739130434782609
Federal Meat Inspection Act	0.8623853211009175	0.8301886792452831	0.7586206896551724	0.8245614035087719	0.8070175438596491	0.8222222222222222	0.8113207547169812	0.8712871287128713	0.8819875776397516	0.9274447949526814	0.9385026737967914	0.9082969432314411	0.6739130434782609
Organic Foods Production Act of 1990	0.8348623853211009	0.8113207547169812	0.6944444444444444	0.8070175438596491	0.8070175438596491	0.8444444444444444	0.7924528301886793	0.8712871287128713	0.8695652173913043	0.917981072555205	0.9251336898395722	0.8995633187772926	0.43478260869565216
Poultry Products Inspection Act	0.8715596330275229	0.7924528301886793	0.8387096774193549	0.8070175438596491	0.8245614035087719	0.8444444444444444	0.7924528301886793	0.8910891089108911	0.8757763975155279	0.9148264984227129	0.93048128342246	0.9039301310043668	0.6521739130434783
Quantifying Costs and Benefits	0.8899082568807339	0.7924528301886793	0.9	0.8596491228070176	0.8070175438596491	0.8222222222222222	0.8113207547169812	0.8910891089108911	0.8944099378881988	0.9242902208201893	0.9331550802139037	0.9082969432314411	0.8043478260869565
Regulatory Flexibility Act of 1980	0.8807339449541285	0.8301886792452831	0.9117647058823529	0.8245614035087719	0.8245614035087719	0.8888888888888888	0.8113207547169812	0.8613861386138614	0.8757763975155279	0.9274447949526814	0.9385026737967914	0.9170305676855895	0.8043478260869565
