	Association of American Railroads (AAR), before U.S. House of Representatives Subcommittee on Railroads,	Car Performance Standards NPRM - RIA NTSB, “Derailment of Canadian Pacific Railway Freight Train 292-16 and Subsequent Release of Anhydrous Ammonia Near	Sign Safety Pact, Traffic World	Car Performance Standards NPRM - RIA “Economic Analysis of Federal Regulations Under Executive Order 12866.” http://www.whitehouse.gov/OMB/inforeg/riaguide.html,	Highway Business Report Fewer Customers,” Augusta Chronicle,	Statement to the docket by the Dow Chemical Company,	Alternative Technologies to Railroad Tank Car Placarding.” Texas Transportation Institute,	Car Performance Standards NPRM - RIA AEI-Brookings Joint Center for Regulatory Studies, “Interests of Amici Curiae: American Trucking Associations,	Abbreviated Injury Scale _____________________________________________________________________________ The Abbreviated Injury Scale (AIS) was &quot;[f]irst published in 1971 under the joint sponsorship of the American Medical Association; the Society of Automotive Engineers; and the Association for the Advancement of Automotive Medicine (formerly the American Association for Automotive Medicine).&quot; The AIS was originally developed for impact injury assessment.	(Produced by the University of California, San Francisco and The John Hopkins University for the National Highway Traffic Satey Administation and the Centers for Disease Control)	Railroad Injury: Causes, Costs, and Comparisons with other Transport Modes,” Journal of Safety Research,
Family Oks Derailment Settlement	0.4883720930232558	0.5	0.4285714285714286	0.5483870967741935	0.4285714285714286	0.3513513513513513	0.5454545454545454	0.48	0.5789473684210527	0.4339622641509434	0.4782608695652174
Highway Business Report Fewer Customers	0.41666666666666663	0.3770491803278688	0.5	0.4029850746268657	0.1063829787234043	0.38095238095238093	0.3877551020408163	0.4181818181818182	0.4838709677419355	0.3448275862068966	0.33333333333333337
Judge Approves Preliminary Settlement in Graniteville Train Wreck	0.3207547169811321	0.3939393939393939	0.24444444444444446	0.41666666666666663	0.34615384615384615	0.36170212765957444	0.2592592592592593	0.2666666666666667	0.3731343283582089	0.23809523809523814	0.3214285714285714
The Incidence and Economic Costs of Major Health Impairments	0.36	0.39682539682539686	0.38095238095238093	0.42028985507246375	0.34693877551020413	0.36363636363636365	0.33333333333333337	0.33333333333333337	0.34375	0.3666666666666667	0.2075471698113207
American Factfinder	0.4	0.5094339622641509	0.375	0.5593220338983051	0.4358974358974359	0.47058823529411764	0.5121951219512195	0.4893617021276596	0.5555555555555556	0.48	0.4883720930232558
Anhydrous Ammonia Safety	0.31818181818181823	0.4035087719298246	0.33333333333333337	0.46031746031746035	0.34883720930232553	0.368421052631579	0.4222222222222223	0.37254901960784315	0.4137931034482759	0.37037037037037035	0.3191489361702128
A National Risk Assessment for Selected Hazardous Materials in Transportation	0.23076923076923073	0.3538461538461538	0.36363636363636365	0.4084507042253521	0.33333333333333337	0.3913043478260869	0.3207547169811321	0.2542372881355932	0.3939393939393939	0.29032258064516125	0.2727272727272727
Alternative Approaches to Accident Cost Concepts	0.31818181818181823	0.4736842105263158	0.38888888888888884	0.46031746031746035	0.3023255813953488	0.3157894736842105	0.24444444444444446	0.4509803921568627	0.4482758620689655	0.37037037037037035	0.36170212765957444
Cost of Injury in the United States, A Report to Congress	0.2941176470588235	0.34375	0.34883720930232553	0.34285714285714286	0.28	0.37777777777777777	0.2692307692307693	0.31034482758620685	0.3846153846153846	0.3114754098360656	0.2222222222222222
Derailment of Canadian Pacific Railway Freight Train 292-16 and Subsequent Release of Anhydrous Ammonia Near Minot, North Dakota	0.3846153846153846	0.05128205128205132	0.368421052631579	0.23809523809523814	0.3125	0.3220338983050848	0.33333333333333337	0.2222222222222222	0.31645569620253167	0.19999999999999996	0.2941176470588235
