	Proposed Rules 51 ‘‘Excess Billing and Insurance-Related Administrative Costs,’’ by James Kahn, in The Healthcare Imperative; Lowering Costs and Improving Outcomes: Workshop Series Summary, edited by	55 ‘‘Project Swipe IT Savings Model,’’	56 For billing and posting clerks in physician offices, Department of Labor,	Avoidance: Interest on Loans and Lines of Credit	prepared by Robert E.	The Costs and Benefits of Moving to the ICD–10 Code Sets,’’	65 ‘‘Health Plans’ Estimated Costs of Implementing ICD–10 Diagnosis Coding,’’	Aetna Chief Financial Officer and Senior Executive Vice President. Aetna Fourth Quarter 2011 Earnings Call Webcast (transcript),	TABLE 30—COST AVOIDANCE LESS COST (NET) OF A ONE-YEAR DELAY [In millions] * Low Net Estimate (Low Cost Avoidance with High Costs) .. ¥$2,950 High Net Estimate (High Cost Avoidance with Low Costs) .. 6,846 Mean Net Cost Avoidance (average) ....................................	Flexibility Analysis: Impact on Small Entities of a Delay in the Compliance Date of ICD–10 The Regulatory Flexibility Act (RFA) of	Number of Small Entities and Scope of Analysis a. Health Care Providers: Physician Total Savings/Cost Avoidance ................................................................................................................. $6,532 $13,612 $10,072 Total Costs ............................................................................................................................................... 2,133 8,784 5,459 * Costs and savings of HPID are calculated over 11 years,	[In millions of dollars] Delay in Compliance Date for ICD–10: Avoidance of returned health care claims. COSTS: Annualized Monetized costs: 7% Discount ................	List of Subjects in 45 CFR Part 162 Administrative practice and procedures, Electronic transactions, Health facilities, Health insurance, Hospitals, Incorporation by reference, Medicaid, Medicare, Reporting and 1. The authority citation for part 162 continues to read as follows:	124 Stat. 146–154 and 915– 917. Subpart A—General Provisions 2. Section 162.103 is amended by health plan. Subpart D—Standard Unique Health Identifier for Health Care Providers § 162.402 [Removed and Reserved] 3. Section 162.402 is removed and reserved. 4. Section 162.404 is amended as follows: A. Redesignating paragraph (a) as paragraph (a)(1). B. Adding a paragraph (a)(2). The addition reads as follows: § 162.404 Compliance dates of the implementation of the standard unique health identifier for health care providers. 6. Subpart E is added to part 162 to read as follows: Subpart E—Standard Unique Health Identifier for Health Plans Sec. 162.502 [Reserved] 162.504 Compliance dates for the implementation of the standard unique health plan identifier. 162.506 Standard unique health plan identifier. 162.508 Enumeration System. 162.510 Implementation specifications: Covered entities. 162.512 Implementation specifications: Health plans. 162.514 Other entity identifier. Subpart E—Standard Unique Health Identifier for Health Plans § 162.502 [Reserved] § 162.504 Compliance dates for the implementation of the standard unique health plan identifier.	(a) Covered health care providers. A covered health care provider must comply with the implementation specifications	plans. A health plan must comply with the implementation specifications in § 162.510 and § 162.512 no later than one of the following dates: (1) A health plan that is not a small health plan—October 1,	(2) A health plan that is a small health plan—October 1,	care clearinghouses. A health care clearinghouse must comply with the implementation specifications in § 162.510 no later than October 1, 2014. § 162.506 Standard unique health plan identifier. (a) Standard. The standard unique health plan identifier is the Health Plan Identifier (HPID) that is assigned by the Enumeration System identified in § 162.508. (b) Required and permitted uses for the HPID. (1) The HPID must be used as specified in § 162.510 and § 162.512. (2) The HPID may be used for any other lawful purpose. § 162.508 Enumeration System. The Enumeration System shall do all of the following: (c) If appropriate, deactivate an HPID upon receipt of sufficient information concerning circumstances justifying deactivation. (d) If appropriate, reactivate a deactivated HPID or OEID upon receipt of sufficient information justifying reactivation. (e) Not assign a deactivated HPID to any other health plan or OEID to any other entity. (f) Disseminate Enumeration System information upon approved requests. § 162.510 Implementation specifications: Covered entities. (a) A covered entity must use an HPID standard under this part. § 162.512 Implementation specifications: Health plans. (a) A controlling health plan must do all of the following: (1) Obtain an HPID from the Enumeration System for itself. (2) Disclose its HPID, when requested, to any entity that needs the HPID to identify the health plan in a standard transaction.	(3) Communicate to the Enumeration System any changes in its required data elements in the Enumeration System within 30 days of the change.
Ambulatory Medical Care Utilization Estimates for 2007	0.4722222222222222	0.5	0.3846153846153846	0.36363636363636365	0.4871794871794872	0.4901960784313726	0.4545454545454546	0.3650793650793651	0.5189873417721519	0.34426229508196726	0.36986301369863017	0.3015873015873016	0.3623188405797102	0.41463414634146345	0.2941176470588235	0.34426229508196726	0.3877551020408163	0.41333333333333333	0.2962962962962963
Oregon Provider and Payer Survey	0.5081967213114754	0.41463414634146345	0.5121951219512195	0.4545454545454546	0.5	0.5	0.5909090909090908	0.46153846153846156	0.6470588235294117	0.56	0.5483870967741935	0.5	0.5172413793103448	0.5774647887323944	0.44999999999999996	0.52	0.5789473684210527	0.53125	0.4418604651162791
Why we can't skip ICD-10 and go straight to ICD-11	0.3802816901408451	0.4117647058823529	0.33333333333333337	0.39534883720930236	0.5263157894736843	0.36	0.37037037037037035	0.4193548387096774	0.5128205128205128	0.3666666666666667	0.4444444444444444	0.3870967741935484	0.4411764705882353	0.4814814814814815	0.36	0.4	0.45833333333333337	0.43243243243243246	0.3584905660377359
Why we're not ready to plan ICD-11 implementation	0.4117647058823529	0.45833333333333337	0.375	0.44999999999999996	0.48571428571428577	0.44680851063829785	0.37254901960784315	0.4915254237288136	0.5466666666666666	0.4035087719298246	0.4782608695652174	0.38983050847457623	0.4461538461538461	0.5128205128205128	0.3191489361702128	0.4385964912280702	0.4222222222222223	0.46478873239436624	0.4
Excess Billing and Insurance-Related Administrative Costs	0.3142857142857143	0.4	0.43999999999999995	0.2857142857142857	0.5135135135135135	0.4285714285714286	0.4339622641509434	0.3770491803278688	0.4285714285714286	0.3220338983050848	0.43661971830985913	0.4098360655737705	0.3731343283582089	0.44999999999999996	0.30612244897959184	0.4576271186440678	0.44680851063829785	0.4246575342465754	0.34615384615384615
CMS Electronic Data Interchange (EDI) Performance Statistics	0.4571428571428572	0.36	0.36	0.38095238095238093	0.6216216216216216	0.34693877551020413	0.3207547169811321	0.34426229508196726	0.4285714285714286	0.2542372881355932	0.4084507042253521	0.3770491803278688	0.3731343283582089	0.42500000000000004	0.30612244897959184	0.423728813559322	0.36170212765957444	0.36986301369863017	0.23076923076923073
National Health Expenditure Data	0.5	0.5	0.40909090909090906	0.5	0.4193548387096774	0.5348837209302326	0.4042553191489362	0.4545454545454546	0.5774647887323944	0.4339622641509434	0.4769230769230769	0.49090909090909096	0.5081967213114754	0.5675675675675675	0.39534883720930236	0.5094339622641509	0.46341463414634143	0.4925373134328358	0.4347826086956522
National Health Expenditure Projections 2009-2019	0.41666666666666663	0.42307692307692313	0.46153846153846156	0.5	0.5384615384615384	0.5294117647058824	0.38181818181818183	0.33333333333333337	0.49367088607594933	0.4098360655737705	0.36986301369863017	0.46031746031746035	0.3913043478260869	0.46341463414634143	0.4117647058823529	0.4098360655737705	0.3877551020408163	0.3866666666666667	0.40740740740740744
Financial Management Service	0.5737704918032787	0.36585365853658536	0.41463414634146345	0.4545454545454546	0.6428571428571428	0.5	0.5909090909090908	0.5	0.5588235294117647	0.48	0.5806451612903225	0.5	0.48275862068965514	0.6338028169014085	0.44999999999999996	0.56	0.4736842105263158	0.59375	0.4418604651162791
FY10 Geographic Distribution of VA Expenditures	0.452054794520548	0.5094339622641509	0.3207547169811321	0.4222222222222223	0.5	0.42307692307692313	0.3928571428571429	0.25	0.5	0.25806451612903225	0.4054054054054054	0.40625	0.4	0.4457831325301205	0.3846153846153846	0.3548387096774194	0.4	0.42105263157894735	0.38181818181818183
National Health Expenditure Projections 2009-2019	0.41666666666666663	0.42307692307692313	0.46153846153846156	0.5	0.5384615384615384	0.5294117647058824	0.38181818181818183	0.33333333333333337	0.49367088607594933	0.4098360655737705	0.36986301369863017	0.46031746031746035	0.3913043478260869	0.46341463414634143	0.4117647058823529	0.4098360655737705	0.3877551020408163	0.3866666666666667	0.40740740740740744
National Health Plan Identifier White Paper	0.5	0.40909090909090906	0.40909090909090906	0.38888888888888884	0.4838709677419355	0.4883720930232558	0.36170212765957444	0.4545454545454546	0.6056338028169015	0.5094339622641509	0.4769230769230769	0.49090909090909096	0.47540983606557374	0.5675675675675675	0.39534883720930236	0.5094339622641509	0.46341463414634143	0.4925373134328358	0.4782608695652174
Survey: ICD-10 Brief Progress	0.4626865671641791	0.5319148936170213	0.574468085106383	0.4358974358974359	0.7058823529411764	0.34782608695652173	0.48	0.48275862068965514	0.5945945945945945	0.3928571428571429	0.4411764705882353	0.4137931034482759	0.46875	0.48051948051948057	0.5217391304347826	0.5357142857142857	0.6818181818181819	0.4571428571428572	0.4693877551020408
Survey: Inducstry Reaction to Potential Delay of ICD-10-A Delay will be Costly, but Manageable *** Unless it's more than a year.	0.2857142857142857	0.375	0.375	0.3928571428571429	0.5686274509803921	0.33333333333333337	0.3731343283582089	0.30666666666666664	0.3626373626373627	0.26027397260273977	0.24705882352941178	0.2533333333333333	0.2098765432098766	0.2978723404255319	0.3015873015873016	0.28767123287671237	0.4426229508196722	0.24137931034482762	0.303030303030303
The 2010 Federal Reserve Payments Study: Noncash Payment Trends in the United States 2006-2009	0.37662337662337664	0.4385964912280702	0.4035087719298246	0.4693877551020408	0.5909090909090908	0.4642857142857143	0.4666666666666667	0.38235294117647056	0.40476190476190477	0.33333333333333337	0.3076923076923077	0.3529411764705882	0.29729729729729726	0.3563218390804598	0.3928571428571429	0.36363636363636365	0.4444444444444444	0.32499999999999996	0.38983050847457623
The 2010 Federal Reserve Payments Study: Noncash Payment Trends in the United States 2006-2009	0.37662337662337664	0.4385964912280702	0.4035087719298246	0.4693877551020408	0.5909090909090908	0.4642857142857143	0.4666666666666667	0.38235294117647056	0.40476190476190477	0.33333333333333337	0.3076923076923077	0.3529411764705882	0.29729729729729726	0.3563218390804598	0.3928571428571429	0.36363636363636365	0.4444444444444444	0.32499999999999996	0.38983050847457623
The Costs and Benefits of Moving to the ICD-10 Code Sets	0.4492753623188406	0.3877551020408163	0.4693877551020408	0.36585365853658536	0.6666666666666667	0.08333333333333337	0.34615384615384615	0.43333333333333335	0.4473684210526315	0.3793103448275862	0.4285714285714286	0.33333333333333337	0.4242424242424242	0.4683544303797469	0.45833333333333337	0.5172413793103448	0.5652173913043479	0.4444444444444444	0.4117647058823529
The National Progress Report on Healthcare Efficiency	0.4117647058823529	0.375	0.33333333333333337	0.44999999999999996	0.4285714285714286	0.4893617021276596	0.37254901960784315	0.423728813559322	0.52	0.33333333333333337	0.3913043478260869	0.4576271186440678	0.3538461538461538	0.46153846153846156	0.36170212765957444	0.4385964912280702	0.4222222222222223	0.3802816901408451	0.36
Version 5010 and ID-10 Readiness Assessment: Conducted among Helath Care Providers, payers, and Vendors for the Centers for Medicare & Medicaid Services (CMS)	0.2705882352941177	0.3538461538461538	0.3538461538461538	0.4035087719298246	0.6153846153846154	0.34375	0.2941176470588235	0.26315789473684215	0.32608695652173914	0.21621621621621623	0.2558139534883721	0.26315789473684215	0.2195121951219512	0.28421052631578947	0.28125	0.2702702702702703	0.3870967741935484	0.20454545454545459	0.31343283582089554
Comments from VHA Health Care as Health Care Provider: testimony by Barbara Mayerick for NCVHS	0.33333333333333337	0.4181818181818182	0.34545454545454546	0.3191489361702128	0.5714285714285714	0.40740740740740744	0.4482758620689655	0.36363636363636365	0.4390243902439024	0.375	0.3421052631578947	0.33333333333333337	0.3055555555555556	0.4117647058823529	0.2962962962962963	0.40625	0.42307692307692313	0.3589743589743589	0.368421052631579
Testimony before the NCVHS Subcommittee on Standards on the National Health Plan Identifier on behalf of America�s Health Insurance Plans and the Blue Cross and Blue Shield Association	1.0	1.0	0.38181818181818183	0.36170212765957444	0.5714285714285714	1.0	1.0	0.36363636363636365	1.0	1.0	0.3157894736842105	1.0	0.3055555555555556	1.0	0.2962962962962963	1.0	1.0	1.0	0.33333333333333337
Testimony By The American Medical Association	0.4461538461538461	0.37777777777777777	0.33333333333333337	0.3513513513513513	0.5	0.40909090909090906	0.5	0.5	0.5	0.40740740740740744	0.48484848484848486	0.3571428571428571	0.4193548387096774	0.52	0.2727272727272727	0.40740740740740744	0.33333333333333337	0.5	0.36170212765957444
2010 AFP Electronic Payments: Report of Survey Results	0.36986301369863017	0.4339622641509434	0.39622641509433965	0.37777777777777777	0.5	0.5	0.4285714285714286	0.28125	0.5	0.22580645161290325	0.32432432432432434	0.3125	0.2571428571428571	0.37349397590361444	0.3076923076923077	0.32258064516129037	0.36	0.3157894736842105	0.34545454545454546
An Updated Surve of Health Care Claims Receipt and Processing Times	0.31506849315068497	0.3207547169811321	0.3584905660377359	0.33333333333333337	0.55	0.3846153846153846	0.3571428571428571	0.3125	0.44999999999999996	0.29032258064516125	0.32432432432432434	0.3125	0.2571428571428571	0.3493975903614458	0.23076923076923073	0.3870967741935484	0.4	0.3157894736842105	0.3090909090909091
Excess Billing and Insurance-Related Administrative Costs	0.3142857142857143	0.4	0.43999999999999995	0.2857142857142857	0.5135135135135135	0.4285714285714286	0.4339622641509434	0.3770491803278688	0.4285714285714286	0.3220338983050848	0.43661971830985913	0.4098360655737705	0.3731343283582089	0.44999999999999996	0.30612244897959184	0.4576271186440678	0.44680851063829785	0.4246575342465754	0.34615384615384615
Health Plans' Estimated Costs of Implementing ICD-10 Diagnosis Coding	0.4084507042253521	0.4509803921568627	0.37254901960784315	0.4418604651162791	0.5789473684210527	0.31999999999999995	0.14814814814814814	0.3870967741935484	0.4871794871794872	0.33333333333333337	0.36111111111111116	0.3870967741935484	0.38235294117647056	0.4320987654320988	0.4	0.43333333333333335	0.45833333333333337	0.3783783783783784	0.3584905660377359
Project Swipe IT Savings Model	0.4117647058823529	0.08333333333333337	0.41666666666666663	0.35	0.5428571428571429	0.36170212765957444	0.4509803921568627	0.423728813559322	0.4933333333333333	0.4385964912280702	0.4492753623188406	0.38983050847457623	0.32307692307692304	0.4871794871794872	0.36170212765957444	0.4736842105263158	0.4666666666666667	0.4084507042253521	0.4
Replacing ICD-9-CM with ICD-10-CM and ICD-10-PCS: Challenges, Estimated Costs and Potential Benefits	0.3076923076923077	0.3448275862068966	0.3793103448275862	0.43999999999999995	0.6	0.26315789473684215	0.24590163934426235	0.3623188405797102	0.3647058823529412	0.28358208955223885	0.31645569620253167	0.33333333333333337	0.28	0.34090909090909094	0.4035087719298246	0.3731343283582089	0.4545454545454546	0.308641975308642	0.33333333333333337
The 2011 Medicare Trusteess Report: The Baby Boomer Tsunami	0.3802816901408451	0.4509803921568627	0.37254901960784315	0.4418604651162791	0.42105263157894735	0.4	0.4814814814814815	0.4193548387096774	0.5128205128205128	0.30000000000000004	0.38888888888888884	0.32258064516129037	0.32352941176470584	0.40740740740740744	0.36	0.30000000000000004	0.33333333333333337	0.3783783783783784	0.39622641509433965
the complexities of physician supply and demand: Projections through 2025 Center for workforce Studies	0.3157894736842105	0.3214285714285714	0.2857142857142857	0.41666666666666663	0.5813953488372092	0.4545454545454546	0.35593220338983056	0.31343283582089554	0.49397590361445787	0.29230769230769227	0.3246753246753247	0.34328358208955223	0.26027397260273977	0.37209302325581395	0.2727272727272727	0.2615384615384615	0.4339622641509434	0.2911392405063291	0.24137931034482762
the complexities of physician supply and demand: Projections through 2025 Center for workforce Studies	0.3157894736842105	0.3214285714285714	0.2857142857142857	0.41666666666666663	0.5813953488372092	0.4545454545454546	0.35593220338983056	0.31343283582089554	0.49397590361445787	0.29230769230769227	0.3246753246753247	0.34328358208955223	0.26027397260273977	0.37209302325581395	0.2727272727272727	0.2615384615384615	0.4339622641509434	0.2911392405063291	0.24137931034482762
The Impact of Health Care Reform on the Future Supply and Demand for Physicians Updated Projections Through 2025	0.3417721518987342	0.3220338983050848	0.288135593220339	0.4509803921568627	0.5652173913043479	0.3793103448275862	0.29032258064516125	0.34285714285714286	0.39534883720930236	0.23529411764705888	0.275	0.3142857142857143	0.21052631578947367	0.3033707865168539	0.3448275862068966	0.3529411764705882	0.4642857142857143	0.24390243902439024	0.3114754098360656
The Impact of Implementing ICD-10 on Physician Practices and Clinical Laboratories: A Report to the ICD-10 Coalition	0.2727272727272727	0.4035087719298246	0.26315789473684215	0.30612244897959184	0.5	0.3571428571428571	0.30000000000000004	0.3529411764705882	0.4285714285714286	0.18181818181818177	0.28205128205128205	0.2647058823529411	0.2432432432432432	0.33333333333333337	0.3214285714285714	0.303030303030303	0.37037037037037035	0.275	0.35593220338983056
The National Progress Report on Healthcare Efficiency, 2010	0.38888888888888884	0.3846153846153846	0.34615384615384615	0.5	0.4871794871794872	0.4117647058823529	0.3090909090909091	0.33333333333333337	0.4683544303797469	0.3114754098360656	0.31506849315068497	0.4285714285714286	0.30434782608695654	0.41463414634146345	0.4117647058823529	0.34426229508196726	0.34693877551020413	0.30666666666666664	0.37037037037037035
Version 5010 and ID-10 Readiness Assessment: Conducted among Health Care Providers, payers, and Vendors for the Centers for Medicare & Medicaid Services	0.2530120481927711	0.33333333333333337	0.33333333333333337	0.38181818181818183	0.6	0.32258064516129037	0.2727272727272727	0.29729729729729726	0.3555555555555555	0.25	0.23809523809523814	0.2432432432432432	0.19999999999999996	0.31182795698924726	0.32258064516129037	0.3055555555555556	0.43333333333333335	0.2325581395348837	0.3538461538461538
2010 AFP Electronic Payments: Report of Survey Results	0.36986301369863017	0.4339622641509434	0.39622641509433965	0.37777777777777777	0.5	0.5	0.4285714285714286	0.28125	0.5	0.22580645161290325	0.32432432432432434	0.3125	0.2571428571428571	0.37349397590361444	0.3076923076923077	0.32258064516129037	0.36	0.3157894736842105	0.34545454545454546
Aetna Fourth Quarter 2011 Earnings Call Webcast (transcript)	0.4246575342465754	0.5094339622641509	0.39622641509433965	0.4666666666666667	0.55	0.5	0.4285714285714286	0.15625	0.475	0.22580645161290325	0.4054054054054054	0.4375	0.37142857142857144	0.42168674698795183	0.3076923076923077	0.29032258064516125	0.24	0.368421052631579	0.3090909090909091
An Updated Survey of Health Care Claims Receipt and Processing Times	0.29729729729729726	0.33333333333333337	0.33333333333333337	0.34782608695652173	0.5121951219512195	0.39622641509433965	0.368421052631579	0.32307692307692304	0.45679012345679015	0.2698412698412699	0.30666666666666664	0.29230769230769227	0.23943661971830987	0.33333333333333337	0.2075471698113207	0.3650793650793651	0.4117647058823529	0.2987012987012987	0.2857142857142857
