	Counsel, (202) 452–2036, Legal Division. For the hearing impaired only, Telecommunication Device for the Deaf (TDD),	Adoption of Proposed Common Rule 1. The authority citation for part 3 continues to read as follows: Authority: 12 U.S.C. 93a, 161, 1818, 3907 and 3909. 1921 Federal Register /	Governors of the Federal 4. The authority citation for part 208 continues to read as follows: Authority:	The authority citation for part 225 continues to read as follows: Authority:	Federal Deposit Insurance Corporation 12 CFR Chapter III Authority and Issuance For the reasons set forth in the common preamble, part 325 of chapter III of title 12 of the Code of Federal Regulations is proposed to be amended as follows: PART 325—CAPITAL MAINTENANCE 10. The authority citation for part 325 continues to read as follows:	to Part 325—Risk-Based Capital for State Nonmember Banks: Market Risk 12. Appendix C is further amended by: a. Removing ‘‘[Agency]’’ wherever it appears and adding in its place ‘‘FDIC’’; b. Removing ‘‘[Agency’s]’’ wherever it appears and adding in its place ‘‘FDIC’s’’; c. Removing ‘‘[banking organization]’’ wherever it appears and adding in its place ‘‘bank’’; d. Removing ‘‘[banking organizations]’’ wherever it appears and adding in its place ‘‘banks’’; e. Removing [Call Report or FR Y–9C] wherever it appears and adding in its place ‘‘Call Report’’; f. Removing ‘‘[the advanced capital adequacy framework]’’ wherever it appears and adding in its place ‘‘Appendix D to this part’’; g. Removing ‘‘[regulatory report]’’ wherever it appears and adding in its place ‘‘Consolidated Reports of Condition and Income (Call Report)’’; h. Removing ‘‘[the general risk-based capital rules]’’ wherever it appears and adding in its place ‘‘Appendix A to this part’’.	By order of the Board of Governors of the Federal Reserve System,	this 14th of December 2010. By order of the Board of Directors. Federal Deposit Insurance Corporation. Robert E. Feldman, Executive Secretary.
Analysis of the Third Trading Book Impact Study 	0.7844827586206896	0.8571428571428571	0.7596153846153846	0.7763157894736842	0.8991097922848664	0.9572025052192067	0.7384615384615385	0.8098591549295775
12 CFR part 208, Appendix F and 12 CFR part 225	0.8362068965517241	0.8628571428571429	0.8269230769230769	0.8026315789473685	0.8961424332344213	0.9624217118997912	0.8	0.8591549295774648
12 CFR part 225, Appendix A, section II.B (Board)	0.8103448275862069	0.8685714285714285	0.8365384615384616	0.7763157894736842	0.8991097922848664	0.9603340292275574	0.8153846153846154	0.8450704225352113
12 CFR part 3, Appendix C (OCC)	0.853448275862069	0.9028571428571428	0.875	0.8421052631578947	0.9317507418397626	0.9718162839248434	0.8307692307692308	0.8943661971830986
12 CFR part 325, Appendix A, section II.B.3 	0.8275862068965517	0.8742857142857143	0.8461538461538461	0.8026315789473685	0.9020771513353115	0.964509394572025	0.8153846153846154	0.8591549295774648
13 CFR 121.201.	0.9568965517241379	0.9485714285714286	0.9519230769230769	0.9605263157894737	0.9673590504451038	0.9906054279749478	0.9538461538461539	0.9577464788732394
5 U.S.C. 603(a).	0.9482758620689655	0.9314285714285714	0.9519230769230769	0.9473684210526315	0.9792284866468842	0.988517745302714	0.9538461538461539	0.9436619718309859
71 FR 55958	0.9741379310344828	0.9714285714285714	0.9615384615384616	0.9605263157894737	0.9762611275964391	0.9937369519832986	0.9384615384615385	0.9647887323943662
75 FR 52283	0.9482758620689655	0.9657142857142857	0.9519230769230769	0.9473684210526315	0.9762611275964391	0.9947807933194155	0.9384615384615385	0.971830985915493
Public Law 111�203	1.0	0.9257142857142857	0.9326923076923077	0.9078947368421053	1.0	1.0	0.9538461538461539	0.9507042253521126
