	46 California HealthCare Foundation, “Gauging the Progress of the National Health Information Technology Initiative: Perspectives from the Field.”	48 California HealthCare Foundation, Snapshot: The State of Health Information Technology in	The Proliferation and Consolidation of Word Processing Software:	53 Source: Office of Employment Statistics,	treated as	Hospital human-resource assistants:	58 Pharmacy technicians: $12.04	Service provider support/sales staff:	Service provider information clerks:	60 APPENDIX B: BIBLIOGRAPHY	Recommendations for Comparing Electronic Prescribing Systems: Results of An Expert Consensus Process,” Health Affairs,	The Proliferation and Consolidation of Word Processing Software:	The Diffusion and Value of Healthcare Information Technology, Rand Health,	National IndustrySpecific Occupational Employment and Wage Estimates.	California HealthCare Foundation, “Gauging the Progress of the National Health Information Technology Initiative: Perspectives from the Field.”	Foundation, Snapshot: The State of Health Information Technology in	Disease Control and Prevention, “Electronic Medical Record Use by OfficeBased Physicians and Their Practices: United States	Certification Commission for Healthcare Information Technology, CCHIT Ambulatory Functionality	Certification Commission for Healthcare Information Technology, CCHIT Security Criteria	Drug Abuse Warning Network,	National Estimates of Drug-Related Emergency Department Visits DAWN Series D-29, DHHS Publication No. (SMA) 07-4256,	The State and Pattern of Health Information Technology Adoption,	Foundation of Research and Education, American Health Information Management Association. “Report on the	Extrapolating Evidence of Health Information Technology Savings and Costs,	LLP, 12th Annual Government Contractor Industry Survey,	Characteristics of Office-Based Physicians and their Practices: United States,	Electronic medical record use by office-based physicians and their practices: United States,	of Chain Drug Stores, “The Chain Pharmacy Industry Profile	of Standards and Technology. Special Publication 800-63-1, Information Security: Electronic Authentication Guideline.	Electronic Prescribing Systems: Making it safer to take your medicine?” Research Highlights,	Health Information Technology: Can HIT Lower Costs and Improve Quality?”	Substance Abuse and Mental Health Services Administration.	62 The DAWN Report – Opiate-related Drug Misuse Deaths in Six States,	Report – Emergency Department Visits Involving Non-medical Use of Selected Pharmaceuticals.	of Labor Statistics,	Economic Census	Department of Health and Human Services.	Enforcement Administration, Economic Impact of the Electronic Orders Rule,	Functional Characteristics of Commercial Ambulatory Electronic Prescribing Systems: A Field Study,”	accessed 1/18/2008. www.nacds.org/wmspage.cfm?parm1=507, accessed 1/18/2008. www.surescripts.com/get-connected.aspx?ptype=physician,
The Proliferation and Consolidation of Word Processing Software: 1985-1995	0.7671232876712328	0.782608695652174	0.13513513513513514	0.7972972972972973	0.8918918918918919	0.8243243243243243	0.8513513513513513	0.7702702702702703	0.7702702702702703	0.9459459459459459	0.7966101694915254	0.13513513513513514	0.7837837837837838	0.8378378378378378	0.7692307692307693	0.8243243243243243	0.7642276422764228	0.7978723404255319	0.7931034482758621	0.8243243243243243	0.8103448275862069	0.7567567567567568	0.7884615384615384	0.8513513513513513	0.8108108108108109	0.8205128205128205	0.8152173913043478	0.8378378378378378	0.7948717948717948	0.7717391304347826	0.7567567567567568	0.7972972972972973	0.8513513513513513	0.8021978021978022	0.8648648648648649	0.9054054054054054	0.7972972972972973	0.8513513513513513	0.7474747474747475	0.8636363636363636
2006 National Occupational Employment and Wage Estimates	0.7808219178082192	0.7608695652173914	0.765625	0.6428571428571429	0.8571428571428571	0.7678571428571429	0.875	0.7857142857142857	0.8035714285714286	0.9107142857142857	0.7966101694915254	0.765625	0.7972972972972973	0.3333333333333333	0.7762237762237763	0.8059701492537313	0.7642276422764228	0.7659574468085106	0.7816091954022989	0.8571428571428571	0.7931034482758621	0.828125	0.7403846153846154	0.7837837837837838	0.8392857142857143	0.7564102564102564	0.75	0.896551724137931	0.8034188034188035	0.8260869565217391	0.7638888888888888	0.8275862068965517	0.782608695652174	0.8021978021978022	0.8214285714285714	0.8392857142857143	0.7857142857142857	0.7837837837837838	0.7575757575757576	0.8484848484848485
Economic Census 2002	0.9246575342465754	0.9130434782608695	0.875	0.8372093023255814	0.9	0.8571428571428571	0.7096774193548387	0.8108108108108109	0.8611111111111112	0.9259259259259259	0.8728813559322034	0.875	0.8783783783783784	0.8840579710144928	0.9230769230769231	0.8805970149253731	0.9024390243902439	0.8723404255319149	0.8620689655172413	0.8888888888888888	0.8793103448275862	0.859375	0.8846153846153846	0.8378378378378378	0.8363636363636363	0.8846153846153846	0.8586956521739131	0.8620689655172413	0.8974358974358975	0.8695652173913043	0.8472222222222222	0.8793103448275862	0.8985507246376812	0.8791208791208791	0.9	0.25	0.85	0.8243243243243243	0.8686868686868687	0.9090909090909091
Employer Costs of Employee Compensation	0.8424657534246576	0.782608695652174	0.78125	0.627906976744186	0.8717948717948718	0.8974358974358975	0.9487179487179487	0.8461538461538461	0.8717948717948718	0.9230769230769231	0.7966101694915254	0.78125	0.8108108108108109	0.7246376811594203	0.8461538461538461	0.7910447761194029	0.8373983739837398	0.7978723404255319	0.8160919540229885	0.8717948717948718	0.8189655172413793	0.75	0.8076923076923077	0.7837837837837838	0.8545454545454545	0.8076923076923077	0.8152173913043478	0.8448275862068966	0.8290598290598291	0.7934782608695652	0.7777777777777778	0.7413793103448276	0.8405797101449275	0.7802197802197802	0.8205128205128205	0.7692307692307693	0.825	0.7837837837837838	0.797979797979798	0.8712121212121212
May 2006 National Industry-Specific Occupational Employment and Wage Estimates	0.7534246575342466	0.8260869565217391	0.7564102564102564	0.6923076923076923	0.8717948717948718	0.8205128205128205	0.8461538461538461	0.8076923076923077	0.8205128205128205	0.9358974358974359	0.7796610169491526	0.7564102564102564	0.7948717948717948	0.14102564102564102	0.7482517482517482	0.8076923076923077	0.7560975609756098	0.776595744680851	0.8045977011494253	0.8589743589743589	0.8362068965517241	0.8205128205128205	0.7692307692307693	0.8076923076923077	0.8205128205128205	0.8717948717948718	0.782608695652174	0.782051282051282	0.7863247863247863	0.8260869565217391	0.8333333333333334	0.8076923076923077	0.8076923076923077	0.7912087912087912	0.8589743589743589	0.8846153846153846	0.8076923076923077	0.8205128205128205	0.8181818181818182	0.8484848484848485
2003: Area Profiles of Drug-Related Mortalitiy 	0.8287671232876712	0.8043478260869565	0.8125	0.7021276595744681	0.8297872340425532	0.8085106382978723	0.8723404255319149	0.7446808510638298	0.7446808510638298	0.8723404255319149	0.8220338983050848	0.8125	0.8243243243243243	0.8405797101449275	0.8251748251748252	0.8208955223880597	0.8211382113821138	0.8085106382978723	0.8390804597701149	0.8085106382978723	0.7844827586206896	0.78125	0.8269230769230769	0.8243243243243243	0.8363636363636363	0.8076923076923077	0.8043478260869565	0.8275862068965517	0.8376068376068376	0.8260869565217391	0.7777777777777778	0.8103448275862069	0.7536231884057971	0.7802197802197802	0.8297872340425532	0.9148936170212766	0.8085106382978723	0.8378378378378378	0.8080808080808081	0.8484848484848485
2005: National Estimates of Drug-Related Emergency Department Visits	0.7945205479452054	0.8152173913043478	0.8676470588235294	0.7352941176470589	0.8529411764705882	0.7794117647058824	0.8382352941176471	0.8676470588235294	0.8235294117647058	0.9117647058823529	0.7542372881355932	0.8676470588235294	0.8108108108108109	0.7681159420289855	0.7902097902097902	0.8529411764705882	0.7723577235772358	0.7872340425531915	0.7931034482758621	0.8382352941176471	0.5172413793103449	0.8235294117647058	0.7884615384615384	0.7702702702702703	0.8382352941176471	0.8076923076923077	0.7608695652173914	0.7941176470588235	0.8034188034188035	0.7717391304347826	0.8472222222222222	0.8235294117647058	0.7971014492753623	0.8021978021978022	0.8382352941176471	0.8529411764705882	0.7794117647058824	0.8513513513513513	0.7373737373737373	0.8181818181818182
Characteristics of Office-Based Physicians and their Practices: United States, 2003-2004	0.7876712328767124	0.8695652173913043	0.7613636363636364	0.7727272727272727	0.8863636363636364	0.8295454545454546	0.8068181818181818	0.8068181818181818	0.8068181818181818	0.9431818181818182	0.7966101694915254	0.7613636363636364	0.8295454545454546	0.8295454545454546	0.7832167832167832	0.8409090909090909	0.5447154471544715	0.851063829787234	0.8522727272727273	0.8636363636363636	0.7672413793103449	0.8068181818181818	0.8269230769230769	0.8181818181818182	0.8181818181818182	0.11363636363636363	0.42391304347826086	0.8068181818181818	0.7863247863247863	0.8586956521739131	0.7954545454545454	0.7840909090909091	0.75	0.8571428571428571	0.8522727272727273	0.9090909090909091	0.7727272727272727	0.8181818181818182	0.6868686868686869	0.8484848484848485
Economic Impact of the Electronic Orders Rule	0.815068493150685	0.8152173913043478	0.765625	0.7777777777777778	0.8888888888888888	0.8444444444444444	0.7777777777777778	0.8444444444444444	0.8	0.9111111111111111	0.7796610169491526	0.765625	0.7567567567567568	0.7681159420289855	0.8111888111888111	0.7761194029850746	0.8130081300813008	0.7872340425531915	0.7701149425287356	0.8444444444444444	0.8103448275862069	0.78125	0.7980769230769231	0.7567567567567568	0.7818181818181819	0.782051282051282	0.7608695652173914	0.7586206896551724	0.7606837606837606	0.7608695652173914	0.7777777777777778	0.8103448275862069	0.8115942028985508	0.7912087912087912	0.8	0.7111111111111111	0.8222222222222222	0.3918918918918919	0.7171717171717171	0.8636363636363636
Electronic Medical Record Use by Office-Based Physicians and Their Practices: United States 2006	0.7876712328767124	0.8541666666666666	0.7395833333333334	0.78125	0.8958333333333334	0.8125	0.8229166666666666	0.8125	0.8020833333333334	0.9479166666666666	0.8135593220338984	0.7395833333333334	0.7916666666666666	0.7604166666666666	0.7832167832167832	0.8020833333333334	0.3170731707317073	0.8854166666666666	0.8333333333333334	0.875	0.8017241379310345	0.8020833333333334	0.8076923076923077	0.7708333333333334	0.8229166666666666	0.3229166666666667	0.13541666666666666	0.7916666666666666	0.8034188034188035	0.7708333333333334	0.8125	0.7708333333333334	0.6979166666666666	0.84375	0.8645833333333334	0.8854166666666666	0.8020833333333334	0.8020833333333334	0.797979797979798	0.8181818181818182
