	23 Sources: Colorado Mineral and Energy Industry Activities,	24 This calculation assumes that the 110 million tons of recoverable reserves in roadless area estimated for the 2001 Rule in the Energy Minerals section of the RDEIS are included within the 180.9 million tons of reserves estimated by the State of Colorado the energy roadless model area,	Activity/Effects Value of Production ($ millions) Employment (jobs) Labor Income ($ millions)	Validation of a forest values typology for use in national forest planning. Forest Science.	Tourism Jobs Gain Ground in Colorado. Prepared for the Colorado Department of Local Affairs.	Associates, Inc. The Economic Impact of Travel on	Prepared for the State of Colorado, Colorado Tourism Office,	Personal communication regarding coal mining. USDI-Bureau of Land Management,	Western National Forests: A Cohesive Strategy is Needed to Address Catastrophic Wildland Fire Threats.	Consulting. Job Generation in the Colorado Mountain Resort Economy. Prepared for the Northwest Colorado Council of Governments.	Oil and Gas Economic Impact Analysis. Prepared by Booz Allen Hamilton for the Colorado Energy Research Institute.	economic impact modeling software).	Revised Draft Environmental Impact Statement (RDEIS): Proposed Colorado Roadless Rule. Region 2, USDA Forest Service,	Opportunities for Small Entities: Proposed Roadless Area Conservation Rule for Colorado. Region 2, USDA Forest Service,	Social and Economics Specialist Report: Proposed Roadless Area Conservation Rule for Colorado. Region 2, USDA Forest Service, Denver CO.USDA Forest Service,	Roadless Area Conservation: National Forest System Lands in Colorado: Proposed Rule Regulatory Impact Analysis and Cost Benefit Analysis. Region 2, USDA Forest Service,	Profile 2005: Softwood Sawmills in the United States and Canada. Research Paper: FPL-RP-630. USDA Forest Service, Forest Products Laboratory,	Cumulative Set Aside Program Analysis Spreadsheets, by Forest Unit. USDA Forest Service Region 2, Denver CO USDA Forest Service.	Department of the Interior.
Cumulative Set Aside Program Analysis Spreadsheets, by Forest Unit	0.2692307692307693	0.33333333333333337	0.3214285714285714	0.25	0.28301886792452835	0.33333333333333337	0.25	0.3207547169811321	0.23076923076923073	0.26315789473684215	0.27586206896551724	0.37777777777777777	0.23333333333333328	0.2068965517241379	0.2068965517241379	0.21311475409836067	0.23076923076923073	0.10344827586206895	0.46341463414634143
2007 Annual Report-advanced tables	0.36170212765957444	0.4137931034482759	0.37254901960784315	0.34883720930232553	0.375	0.39534883720930236	0.4418604651162791	0.45833333333333337	0.4042553191489362	0.3846153846153846	0.39622641509433965	0.4	0.38181818181818183	0.3584905660377359	0.3584905660377359	0.3928571428571429	0.33333333333333337	0.3207547169811321	0.5555555555555556
2007 Annual Report—advanced tables.	0.375	0.38983050847457623	0.3846153846153846	0.31818181818181823	0.34693877551020413	0.36363636363636365	0.4545454545454546	0.4693877551020408	0.375	0.3584905660377359	0.37037037037037035	0.36585365853658536	0.3571428571428571	0.33333333333333337	0.33333333333333337	0.368421052631579	0.34426229508196726	0.2962962962962963	0.5135135135135135
Job Generation in the Colorado Mountain Resort Economy 	0.30612244897959184	0.30000000000000004	0.3584905660377359	0.37777777777777777	0.24	0.37777777777777777	0.33333333333333337	0.4	0.3877551020408163	0.14814814814814814	0.23636363636363633	0.38095238095238093	0.4035087719298246	0.38181818181818183	0.38181818181818183	0.4137931034482759	0.3870967741935484	0.3090909090909091	0.4736842105263158
Managing the Impacts of Wildland fires on Communities and the Environment - The National Fire Plan	0.3090909090909091	0.303030303030303	0.3220338983050848	0.2941176470588235	0.2857142857142857	0.2549019607843137	0.2549019607843137	0.2857142857142857	0.23636363636363633	0.19999999999999996	0.2786885245901639	0.33333333333333337	0.2698412698412699	0.2786885245901639	0.2786885245901639	0.28125	0.3529411764705882	0.3114754098360656	0.40909090909090906
Oil and Gas Economic Impact Analysis	0.36363636363636365	0.49090909090909096	0.33333333333333337	0.4	0.37777777777777777	0.30000000000000004	0.4	0.4666666666666667	0.40909090909090906	0.3877551020408163	0.28	0.3513513513513513	0.42307692307692313	0.4	0.4	0.4339622641509434	0.5087719298245614	0.4	0.4545454545454546
Personal communication regarding coal mining	0.33333333333333337	0.4339622641509434	0.34782608695652173	0.26315789473684215	0.3023255813953488	0.368421052631579	0.26315789473684215	0.2558139534883721	0.38095238095238093	0.3191489361702128	0.33333333333333337	0.19999999999999996	0.36	0.33333333333333337	0.33333333333333337	0.37254901960784315	0.4545454545454546	0.33333333333333337	0.4193548387096774
The Economic Impact of Travel on Colorado: 1996-2005	0.37037037037037035	0.29230769230769227	0.4137931034482759	0.43999999999999995	0.38181818181818183	0.28	0.36	0.4545454545454546	0.37037037037037035	0.38983050847457623	0.4	0.4042553191489362	0.3548387096774194	0.3666666666666667	0.3666666666666667	0.39682539682539686	0.31343283582089554	0.43333333333333335	0.39534883720930236
Tourism Jobs Gain Ground in Colorado	0.47619047619047616	0.4716981132075472	0.4782608695652174	0.4736842105263158	0.2558139534883721	0.4736842105263158	0.368421052631579	0.4883720930232558	0.47619047619047616	0.36170212765957444	0.41666666666666663	0.4285714285714286	0.52	0.5	0.5	0.5294117647058824	0.5272727272727273	0.45833333333333337	0.5483870967741935
Western National Forests: A Cohesive Strategy is Needed to Address Catastrophic Wildland Fire Threats	0.2549019607843137	0.3870967741935484	0.4181818181818182	0.23404255319148937	0.34615384615384615	0.3191489361702128	0.3191489361702128	0.46153846153846156	0.019607843137254943	0.3214285714285714	0.368421052631579	0.36363636363636365	0.3220338983050848	0.29824561403508776	0.29824561403508776	0.2666666666666667	0.34375	0.26315789473684215	0.5
Forest Economic Program Analysis Spreadsheet Tool	0.30612244897959184	0.3666666666666667	0.3207547169811321	0.24444444444444446	0.28	0.24444444444444446	0.24444444444444446	0.36	0.18367346938775508	0.2962962962962963	0.2727272727272727	0.2857142857142857	0.29824561403508776	0.2727272727272727	0.2727272727272727	0.31034482758620685	0.3548387096774194	0.23636363636363633	0.42105263157894735
