	NO PARSCIT CITATIONS
Ejection Mitigation Using Advanced Glazings: A Status Report	0.7777777777777778
Ejection Mitigation Using Advanced Glazings: Final Report	0.8285714285714285
Ejection Mitigation Using Advanced Glazings: Status Report II	0.7297297297297297
Estimating the Injury-Reducing Benefits of Ejection Mitigation Glazing	0.8378378378378378
Fatality reduction by Safety Belts for Front-Seat Occupants of Cars and Light Trucks	0.736842105263158
Summary Report of Rollover Crashes	0.7142857142857143
Treatment of Value of Preventing Fatalities and Injuries in Preparing Economic Analysis	0.7297297297297297
HIV prevalence estimates—United  States	0.8
An Evaluation of Side Impact Protection – FMVSS 214 TTI(d) Improvements and Side Air Bags. 	0.7333333333333334
Timing of Head-to-Vehicle Perimeter Contacts in Rollovers	0.7058823529411764
Technical Analysis in Support of a Notice of Proposed Rulemaking for Ejection Mitigation	0.641025641025641
