	Sources of GHG Emissions Considered .................................................................... 2-5 2-2. GHG Source Categories Included in the Regulatory Analyses ................................. 2-6 3-1. Options Considered in Developing Scenarios (Recommended Option Indicated by Shading) ................................................................................................ 3-2 4-1. Selected Reporting Thresholds and Reporting Requirements ................................... 4-1 4-2. Per Unit Cost Breakdown by Monitoring Category: Stationary Combustion (2006$)..................................................................................................................... 4-23 4-2a. Detailed Summary of Stationary Combustion Monitoring Category Costs: CEMS-Add CO2 Analyzer and Flow Meter (2006$)............................................... 4-25 4-2b. Detailed Summary of Stationary Combustion Monitoring Category Costs: CEMS-Add CO2 Analyzer Only	Subpart I Electronics: Labor Costs	Environmental Protection Agency. Preamble to the Proposed Mandatory Greenhouse Gas Reporting Rule;	Office of Management and Budget. Circular A-4,	Personal Communication between Harold Falls of CF Industries and Erin Redmond of Research Triangle Institute (RTI),	Personal Communication between Stephen Jasinski of the US Geological Survey and Mausami Desai of US EPA.	Wage Rates for Economic Analyses of the Toxics Release Inventory Program.” Analytical Support Branch, Environmental Analysis Division, Office of Environmental Information,	The Cost Methodology for the Final Revisions to the National Pollutant Discharge Elimination System Regulation and the Effluent Guidelines for Concentrated Animal Feeding Operations,	5.3 References Glass Factory Directory (GFD).	for Environmental Policy Solutions, Duke University.	Pew Center on Global Climate Change.	Draft Industry Profile for the Cement Industry. Prepared for the U.S. Environmental Protection Agency.	Finances of County Governments:	Finances of Municipal and Township Governments:	Environmental Protection Agency (EPA).	Environmental Protection Agency (EPA).	Business Administration (SBA).	Business Administration (SBA).	Business Administration (SBA). 2008c. Table of Small Business Size Standards Matched to North American Industry Classification System Codes. Effective	Carbon Taxes Versus Carbon Markets: What’s the Best Way to Limit Emissions?” The American.	The Benefits and Costs of Environmental Information Disclosure: What Do We Know About Right-to-Know?” Resources for the Future,	Risk, Regulation and the Right to Know: Exploring the Impacts of Access to	Pollution as News: Media and Stock Market Reactions to the Toxics Release Inventory Data.”	Uncertainty in Greenhouse Gas Inventories.” IIASA Policy Brief No.	Information as Regulation: The Effect of Community Right-toKnow Laws on Toxic Emissions.”	Organization for Economic Co-Operation and Development (OECD).	Pew Center on Global Climate Change.	Attitudes Project.	Building Trust in Emissions Reporting: Global Trends in Emissions Trading Schemes. http://www.pwc.com/extweb/pwcpublications.nsf/ docid/8df4237f6b2f7fcf8525728300503b70 Social Investment Forum.	Promoting ‘Green’ Consumer Behavior with Eco Labels.”	Environmental Protection Agency (EPA).	Environmental Protection Agency (EPA).	Greening Industry: New Roles for Communities, Markets, and Governments.	Barriers and Opportunities: A Review of Selected Successful Energy Efficiency Programs.	Estimated Private and Government Costs in Selected Sectors (103 $2006) Public/Private Respondent Stationary Electricity Breakdown Landfills Combustion Generation LDCs Costs of private respondents $4,436 $22,527 $2,813 $298 Costs of state/local/tribal $7,247 $3,817 $398 $753 government (SLTG) respondents Costs of federal respondents (fed $127 $0 $53 $0 owned/operated) Total costs by sector $11,990 $26,344 $3,264 $1,050 Note: Columns may not sum to totals due to rounding. Subpart C—General Stationary Fuel Combustion Sources $29.0 17% $24.4 18% Subpart D—Electricity Generation $3.3 2% $3.3 2% Subpart H—Cement Production $6.9 4% $4.3 3% Subpart I—Electronics Manufacturing $3.6 2% $3.6 3% Subpart Q—Iron and Steel Production $18.2 11% $14.1 11% Subpart S—Lime Manufacturing $5.3 3% $3.0 2% Subpart W—Oil and Natural Gas Systems $32.5 19% $28.1 21% Subpart Y—Petroleum	Reporting from upstream sources only; recommended option for methodology, 7.9 National Technology Transfer Advancement Act Section 12(d) of the National Technology Transfer and Advancement Act of
Carbon Taxes Versus Carbon Markets: What�s the Best Way to Limit Emissions?	0.944954128440367	0.8133333333333334	0.8061224489795918	0.8133333333333334	0.7913043478260869	0.7692307692307693	1.0	0.7802197802197802	0.8	0.8266666666666667	0.8266666666666667	0.7843137254901961	0.8266666666666667	0.8	0.8533333333333334	0.8533333333333334	0.8266666666666667	0.8266666666666667	0.7866666666666666	1.0	1.0	0.88	1.0	1.0	1.0	0.8133333333333334	0.8266666666666667	0.8933333333333333	0.8497409326424871	1.0	0.8533333333333334	0.8533333333333334	0.84	0.8160919540229885	1.0	0.8153846153846154
Greening Industry: New Roles for Communities, Markets, and Governments	0.944954128440367	0.7714285714285715	0.7755102040816326	0.8142857142857143	0.7565217391304347	0.7980769230769231	0.7719298245614035	0.7967032967032966	0.8285714285714286	0.7142857142857143	0.7857142857142857	0.7254901960784313	0.6571428571428571	0.6571428571428571	0.8285714285714286	0.8285714285714286	0.8142857142857143	0.8142857142857143	0.8133333333333334	0.7888888888888889	0.7716535433070866	0.8378378378378378	0.8	0.8285714285714286	0.7078651685393258	0.7857142857142857	0.7857142857142857	0.8571428571428571	0.8290155440414507	0.7714285714285715	0.8285714285714286	0.8285714285714286	0.014084507042253521	0.7931034482758621	0.9357060849598163	0.8
Promoting �Green� Consumer Behavior with Eco Labels	0.9602446483180428	0.7843137254901961	0.7653061224489796	0.8431372549019608	0.782608695652174	0.7884615384615384	1.0	0.8351648351648352	0.8431372549019608	0.8653846153846154	0.803921568627451	0.7745098039215687	0.8235294117647058	0.8823529411764706	0.803921568627451	0.803921568627451	0.8235294117647058	0.8235294117647058	0.84	1.0	1.0	0.7972972972972973	1.0	1.0	1.0	0.8064516129032258	0.803921568627451	0.8627450980392157	0.8601036269430051	1.0	0.803921568627451	0.803921568627451	0.7605633802816901	0.8045977011494253	1.0	0.8461538461538461
Bulletin: Using Design for the Environment Concepts in Your EMS	0.9480122324159022	0.8253968253968254	0.7755102040816326	0.8095238095238095	0.782608695652174	0.7884615384615384	0.783625730994152	0.7912087912087912	0.8412698412698413	0.8253968253968254	0.8095238095238095	0.6862745098039216	0.7301587301587301	0.7936507936507936	0.7936507936507936	0.7936507936507936	0.7777777777777778	0.7777777777777778	0.7933333333333333	0.8111111111111111	0.7795275590551181	0.7702702702702703	0.7	0.7878787878787878	0.7303370786516854	0.8412698412698413	0.8095238095238095	0.8412698412698413	0.8186528497409327	0.7936507936507936	0.7936507936507936	0.7936507936507936	0.7323943661971831	0.7816091954022989	0.9402985074626866	0.8102564102564103
How Are the Toxics Release Inventory Data Used?�Government, Business, Academic and Citizen Uses	0.9296636085626911	0.8105263157894737	0.8367346938775511	0.7894736842105263	0.808695652173913	0.8557692307692307	1.0	0.7637362637362637	0.8	0.7789473684210526	0.8105263157894737	0.8137254901960784	0.8	0.7894736842105263	0.8210526315789474	0.8210526315789474	0.8421052631578947	0.8421052631578947	0.7866666666666666	1.0	1.0	0.8315789473684211	1.0	1.0	1.0	0.8421052631578947	0.8105263157894737	0.8842105263157894	0.8186528497409327	1.0	0.8210526315789474	0.8210526315789474	0.7368421052631579	0.8315789473684211	1.0	0.7589743589743589
 Barriers and Opportunities: A Review of Selected Successful Energy Efficiency Programs	0.9408766564729868	0.8275862068965517	0.8367346938775511	0.8275862068965517	0.8	0.7980769230769231	0.7953216374269005	0.7857142857142857	0.8160919540229885	0.7931034482758621	0.8390804597701149	0.7941176470588235	0.8275862068965517	0.8160919540229885	0.8045977011494253	0.8045977011494253	0.8505747126436781	0.8505747126436781	0.7866666666666666	0.8555555555555555	0.7952755905511811	0.8390804597701149	0.8666666666666667	0.7931034482758621	0.8314606741573034	0.8275862068965517	0.8390804597701149	0.8735632183908046	0.8186528497409327	0.8160919540229885	0.8045977011494253	0.8045977011494253	0.8045977011494253	0.022988505747126436	0.9242250287026407	0.8102564102564103
2007 Report on Socially Responsible Investing Trends in the United States: Executive Summary	0.926605504587156	0.8369565217391305	0.8367346938775511	0.7934782608695652	0.782608695652174	0.8365384615384616	0.7485380116959064	0.7582417582417582	0.8043478260869565	0.7608695652173914	0.8260869565217391	0.7352941176470589	0.8152173913043478	0.782608695652174	0.8260869565217391	0.8260869565217391	0.8478260869565217	0.8478260869565217	0.78	0.8695652173913043	0.7637795275590551	0.782608695652174	0.8043478260869565	0.782608695652174	0.8369565217391305	0.7934782608695652	0.8260869565217391	0.9021739130434783	0.8134715025906736	0.8043478260869565	0.8260869565217391	0.8260869565217391	0.8152173913043478	0.8478260869565217	0.9173363949483353	0.8
Building Trust in Emissions Reporting: Global Trends in Emissions Trading Schemes	0.9388379204892966	0.7901234567901234	0.7959183673469388	0.8395061728395061	0.7913043478260869	0.7884615384615384	0.7894736842105263	0.7637362637362637	0.8518518518518519	0.8024691358024691	0.7530864197530864	0.803921568627451	0.8148148148148148	0.7777777777777778	0.8148148148148148	0.8148148148148148	0.7901234567901234	0.7901234567901234	0.7666666666666667	0.7666666666666667	0.7559055118110236	0.8271604938271605	0.8111111111111111	0.8024691358024691	0.8539325842696629	0.8148148148148148	0.7530864197530864	0.9012345679012346	0.5803108808290155	0.7901234567901234	0.8148148148148148	0.8148148148148148	0.7654320987654321	0.8275862068965517	0.9276693455797933	0.7743589743589744
Greenhouse Gas Reporting and Disclosure: Key Elements of a Perspective U.S. Program	0.9388379204892966	0.8313253012048193	0.8163265306122449	0.8072289156626506	0.7652173913043478	0.8269230769230769	0.7894736842105263	0.7582417582417582	0.7951807228915663	0.8072289156626506	0.7951807228915663	0.7843137254901961	0.8192771084337349	0.7951807228915663	0.8313253012048193	0.8313253012048193	0.8192771084337349	0.8192771084337349	0.8	0.8222222222222222	0.7244094488188977	0.7951807228915663	0.7555555555555555	0.8072289156626506	0.7865168539325843	0.7831325301204819	0.7951807228915663	0.8554216867469879	0.7875647668393783	0.7951807228915663	0.8313253012048193	0.8313253012048193	0.7710843373493976	0.735632183908046	0.9242250287026407	0.7846153846153846
Rising Environmental Concern in 47-Nation Survey	0.9582059123343527	0.8125	0.7857142857142857	0.8333333333333334	0.7913043478260869	0.7884615384615384	0.8245614035087719	0.8351648351648352	0.8333333333333334	0.6346153846153846	0.7708333333333334	0.7843137254901961	0.7708333333333334	0.8541666666666666	0.625	0.625	0.7291666666666666	0.7291666666666666	0.8133333333333334	0.8111111111111111	0.7480314960629921	0.7567567567567568	0.8111111111111111	0.7727272727272727	0.8202247191011236	0.7580645161290323	0.7708333333333334	0.875	0.8497409326424871	0.8113207547169812	0.625	0.625	0.7464788732394366	0.7816091954022989	0.9517795637198623	0.8256410256410256
Uncertainty in Greenhouse Gas Inventories	0.9643221202854231	0.7804878048780488	0.7244897959183674	0.8913043478260869	0.808695652173913	0.7884615384615384	0.8362573099415205	0.8406593406593407	0.8666666666666667	0.75	0.7804878048780488	0.7745098039215687	0.7560975609756098	0.7872340425531915	0.8292682926829268	0.8292682926829268	0.8292682926829268	0.8292682926829268	0.8533333333333334	0.8111111111111111	0.8188976377952756	0.7702702702702703	0.7222222222222222	0.3787878787878788	0.7640449438202247	0.7903225806451613	0.7804878048780488	0.8048780487804879	0.8549222797927462	0.7358490566037735	0.8292682926829268	0.8292682926829268	0.7464788732394366	0.7816091954022989	0.9575200918484501	0.8564102564102564
The Benefits and Costs of Environmental Information Disclosure: What Do We Know About Right-to-Know?� for	0.9306829765545361	0.8095238095238095	0.819047619047619	0.8095238095238095	0.8521739130434782	0.8666666666666667	1.0	0.7582417582417582	0.8380952380952381	0.7238095238095238	0.8095238095238095	0.8380952380952381	0.8380952380952381	0.8	0.780952380952381	0.780952380952381	0.8380952380952381	0.8380952380952381	0.8	1.0	1.0	0.7904761904761904	1.0	1.0	1.0	0.780952380952381	0.8095238095238095	0.9047619047619048	0.8238341968911918	1.0	0.780952380952381	0.780952380952381	0.7619047619047619	0.8	1.0	0.7692307692307693
Uses of Pollutant Release and Transfer Register Data and Tools for Their Presentation�A Reference Manual	0.9235474006116208	0.8653846153846154	0.7884615384615384	0.8076923076923077	0.7652173913043478	0.8461538461538461	1.0	0.7307692307692307	0.8076923076923077	0.8076923076923077	0.8269230769230769	0.8173076923076923	0.8365384615384616	0.75	0.8076923076923077	0.8076923076923077	0.8365384615384616	0.8365384615384616	0.7666666666666667	1.0	1.0	0.7307692307692307	1.0	1.0	1.0	0.8173076923076923	0.8269230769230769	0.8846153846153846	0.8238341968911918	1.0	0.8076923076923077	0.8076923076923077	0.7788461538461539	0.8076923076923077	1.0	0.7589743589743589
