	Department of Energy,	Department of Energy, Office of General Counsel, GC–72, 1000 Independence Avenue,	Report to Congress on the Costs and Benefits of Federal Regulations and Unfunded Mandates on State, Local, and Tribal Entities. Office of Management and Budget Office of Information and Regulatory Affairs,	Applying Cost Analyses to Drive Policy that Protects Children’’	36 Ted Gayer and Robert Hahn, Designing Environmental Policy: Lessons from the Regulation of Mercury Emissions, Regulatory Analysis 05–01. AEI-Brookings Joint Center For Regulatory Studies, Small Business Administration for review.	Reasons for the Proposed Rule Part A–1 of Title III of EPCA addresses the energy efficiency of certain types of commercial and industrial equipment.	Section 136(c); 42 U.S.C. 6313(c)(4)(A)) Hence, DOE is proposing in today’s notice, energy conservation standards for commercial ice-cream freezers; self-contained commercial refrigerators, commercial freezers, and commercial refrigerator-freezers without doors; and remote condensing commercial refrigerators, commercial freezers, and commercial refrigeratorfreezers. 2. Objectives of, and Legal Basis for, the Proposed Rule methodology used in DOE’s manufacturer impact analysis and its analysis of small-business impacts.	Description and Estimate of Compliance Requirements Potential impacts on manufacturers, Finding of No Significant Impact (FONSI) before publishing the final rule on commercial refrigeration equipment, pursuant to the National Environmental Policy Act of	Review Under Executive Order 12988 With respect to the review of existing regulations and the promulgation of new regulations, section 3(a) of Executive Order 12988,	Review Under Executive Order 12630 DOE has determined, under Executive Order 12630, Governmental Actions and Interference with Constitutionally Protected Property Rights,	Under the Treasury and General Government Appropriations Act,	Review Under Executive Order 13211 Executive Order 13211, Actions Concerning Regulations That Significantly Affect Energy Supply, Distribution, or Use,	Submit electronic comments in WordPerfect, Microsoft Word, PDF, or ASCII file format and avoid the use of special characters or any form of encryption. Comments in electronic format should be identified by the docket number EE–2006–STD–0126 and/or RIN 1904–AB59, and whenever Issued in	means: (1) For equipment without doors and ASHRAE Standard 72–2005 test procedure. Calculate compressor energy consumption (CEC) for each compartment using Table 1 in ANSI/ ARI Standard 1200–2006 using the evaporator temperature for that compartment. The calculated daily energy consumption (CDEC) for the entire case shall be the sum of the CEC for each compartment, fan energy consumption (FEC), lighting energy consumption (LEC), anti-condensate energy consumption (AEC), defrost energy consumption (DEC), and condensate evaporator pan energy consumption (PEC) (as measured in ANSI/ARI Standard 1200–2006). (ii) For remote condensing commercial hybrid refrigerators, hybrid freezers, hybrid refrigerator-freezers,	(iii) For self-contained commercial hybrid refrigerators, hybrid freezers, hybrid refrigerator-freezers, and nonhybrid refrigerator-freezers, measure the total daily energy consumption (TDEC) for the entire case according to the ANSI/ASHRAE Standard 72–2005 test procedure.	(3) For remote-condensing and selfcontained wedge cases, measure the CDEC or TDEC according to the ANSI/
Case No. 05-1244, 2008 WL 2698180	0.9090909090909091	0.8518518518518519	0.9463414634146341	0.8571428571428571	0.9437229437229437	0.9324324324324325	0.9732824427480916	0.9525691699604744	0.9272727272727272	0.9352941176470588	0.9016393442622951	0.9403973509933775	0.9438596491228071	0.9748603351955307	0.9487179487179487	0.9134615384615384
No. 05-1097, 2008 WL 341338	0.9259259259259259	0.8888888888888888	0.9707317073170731	0.9206349206349206	0.961038961038961	0.9594594594594594	0.9809160305343512	0.9723320158102767	0.9393939393939394	0.9470588235294117	0.9344262295081968	0.9536423841059603	0.9649122807017544	0.9818435754189944	0.9633699633699634	0.9326923076923077
2006 Report to Congress on the Costs and Benefits of Federal Regulations and Unfunded Mandates on State, Local, and Tribal Entities	0.8854961832061069	0.7404580152671756	0.4097560975609756	0.7938931297709924	0.7402597402597403	0.7432432432432432	0.8282442748091603	0.766798418972332	0.7212121212121212	0.7352941176470589	0.7709923664122137	0.7417218543046358	0.7824561403508772	0.861731843575419	0.7802197802197802	0.7557251908396947
Annual Energy Outlook 2007	0.8846153846153846	0.8024691358024691	0.9219512195121952	0.8253968253968254	0.922077922077922	0.8918918918918919	0.9637404580152672	0.9288537549407114	0.9030303030303031	0.9058823529411765	0.8032786885245902	0.8741721854304636	0.9333333333333333	0.9678770949720671	0.9267399267399268	0.875
Solid-State Lighting Research and Development, Multi-Year Program Plan FY'09-FY'14	0.8658536585365854	0.8902439024390244	0.8146341463414634	0.8048780487804879	0.8311688311688312	0.8243243243243243	0.9007633587786259	0.8379446640316206	0.793939393939394	0.8058823529411765	0.7926829268292683	0.8344370860927153	0.8526315789473684	0.914804469273743	0.8498168498168498	0.7692307692307693
2005 RS Means Electrical Cost Data	0.8823529411764706	0.8518518518518519	0.8975609756097561	0.7936507936507936	0.9004329004329005	0.8716216216216216	0.950381679389313	0.9051383399209486	0.8909090909090909	0.8764705882352941	0.7868852459016393	0.8807947019867549	0.9157894736842105	0.9553072625698324	0.9194139194139194	0.8269230769230769
EIA Form 826, Annual 1991 through 2006	0.868421052631579	0.8641975308641975	0.9170731707317074	0.8253968253968254	0.9134199134199135	0.8986486486486487	0.9599236641221374	0.9209486166007905	0.896969696969697	0.8823529411764706	0.8032786885245902	0.8807947019867549	0.9192982456140351	0.9594972067039106	0.9084249084249084	0.8269230769230769
Estimated Emissions for U.S. Electric Power Industry by State, 1990-2006	0.8472222222222222	0.8518518518518519	0.8439024390243902	0.8472222222222222	0.8225108225108225	0.831081081081081	0.9103053435114504	0.8379446640316206	0.8303030303030303	0.8176470588235294	0.8055555555555556	0.8079470198675497	0.8491228070175438	0.9245810055865922	0.8608058608058609	0.8173076923076923
Means Costworks 2006: Facility Maintenance & Repair Cost Data	0.8688524590163934	0.8271604938271605	0.8195121951219512	0.8412698412698413	0.8441558441558441	0.7905405405405406	0.916030534351145	0.8458498023715415	0.8181818181818182	0.8235294117647058	0.8524590163934426	0.8211920529801324	0.8771929824561403	0.9301675977653632	0.8791208791208791	0.8173076923076923
Mechanical Cost Data 28th Annual Edition	0.825	0.8024691358024691	0.8634146341463415	0.7777777777777778	0.8744588744588745	0.8513513513513513	0.9370229007633588	0.8814229249011858	0.8545454545454545	0.8529411764705882	0.8032786885245902	0.8410596026490066	0.9017543859649123	0.9511173184357542	0.9010989010989011	0.8173076923076923
