	State of the Vending Industry Report.” http://www.vendingmarketwatch.com/content/reports/ accessed,	National Automatic Merchandising Association. “Comments of: The National Automatic Merchandising Association.” Docket No.	Business Administration. “Table of Small Business Size Standards Matched to North American Industry Classification System Codes,” Effective	Operators Find Today&apos;s Patrons Favor &apos;Better-For-You&apos; Food Selections In	Is the Obesity Epidemic a Public Health Problem? A Decade	Strategies for Promoting Healthier Food Choices.” American Economic Review: Papers and Proceedings,	Doing it Now or	Will all Americans Become Overweight or Obese? Estimating the Progression and	Prevalence of Overweight, Obesity, and Extreme Obesity Among Adults: United States,	The Effect of Obesity and Cardiometabolic Risk Factor on Expenditures and Productivity in the US.” Obesity,	Social Network and Weight Misperception Among Adolescents”. Southern Economic Journal, Forthcoming,	Size Matters: The Influence of Adolescent’s Weight and	Body Weight, Self-Perception and Mental Health among	The Impact of Obesity on	Annual Medical Spending Attributable to Obesity: Payer-	The Growth of Obesity and Technological Change: A Theoretical and Empirical Examination,”	The Long-Run Growth in Obesity as a Function of Technological Change.”	An Economic Analysis of Adult Obesity: Results from the Behavioral Risk Factor Surveillance System.”	A Pricing Strategy to Promote Low-Fat Snack Choices through Vending Machines”.	Department of Agriculture Economic Research Service. “Table 15: Sales of meals and snacks away from home by type of outlet.” Food CPI and Expenditures: Food Expenditure Tables. http://www.ers.usda.gov/Briefing/CPIFoodAndExpenditures/Data/ Accessed 10/8/2010.	Testing Laboratory. “Quality Nutrition Analysis.” http://www.rlfoodtestinglaboratory.com/services.asp, accessed	Evaluation of Recordkeeping Costs for Food Manufacturers, Final Report.” Prepared for Andy Estrin and Cristina McLaughlin of FDA&apos;s Center for Food Safety and Applied Nutrition. Prepared by Aylin Sertkaya, Ayesha Berlind and Seda Erdem. Contract No. 223-01-2461, Task Order Number 5,	City’s Soda Cost Millions Monthly: Tax on Soft Drinks	Taxing Food: Implications for Public	Ounces of Prevention — The Public Policy Case for Taxes on Sugared Beverages.” New England	The Effects of Soft Drink Taxes on Child and Adolescent Consumption and Weight Outcomes.”	Schoolchildren’s Consumption of Competitive Foods and Beverages, Excluding à la	Choose Beverages and Foods to Moderate your Intake of Sugars: Measurement Requires Quantification.	Measuring the Health of the U.S.	Obesity-Related Quality-Adusted Life Years Lost in the U.S. from 1993-2008,”	Trends in Quality-Adjusted Life-Years Lost Contributed by Smoking and Obesity,”	Statistical Abstract of the United States:	Separating what We Eat from where:	"Calorie Labeling And Food Choices: A First Look At The Effects On Low-Income People In New York City."""	Adolescent Fast Food and Restaurant Ordering Behavior with and without Calorie and Fat Content Menu Information.”	Do Nutrition Labels Improve Dietary Outcomes?	Mandatory Menu Labeling in One Fast-Food Chain in King County,	Child and Adolescent Fast-Food Choice and the Influence of Calorie Labeling:	"Nutrition Menu Labeling May Lead to Lower-Calorie Restaurant Meal Choices for Children."" Pediatrics,"	Modeling weight-loss maintenance to help prevent body weight regain,”	School Vending Machine Use and Fast-Food Restaurant Use Are Associated with Sugar Sweetened Beverage Intake in Youth.”
Table 15: Sales of meals and snacks away from home by type of outlet	0.8080808080808081	0.8016528925619835	0.7553956834532374	0.8045977011494253	0.7794117647058824	0.7474747474747475	0.8970588235294118	0.8311688311688312	0.7831325301204819	0.7570093457943925	0.8080808080808081	0.8088235294117647	0.8382352941176471	0.7941176470588235	0.8088235294117647	0.7640449438202247	0.8571428571428571	0.74	0.7948717948717948	0.7364341085271318	0.8018018018018018	0.8466898954703833	0.8088235294117647	0.7794117647058824	0.7888888888888889	0.7415730337078652	0.8607594936708861	0.7551020408163265	0.8088235294117647	0.8289473684210527	0.7974683544303798	0.7794117647058824	0.7794117647058824	0.7647058823529411	0.7610619469026548	0.8235294117647058	0.7647058823529411	0.7763157894736842	0.77	0.855072463768116	0.7542372881355932
Evaluation of Recordkeeping Costs for Food Manufacturers, Final Report	0.8080808080808081	0.768595041322314	0.7985611510791367	0.8045977011494253	0.8285714285714286	0.7878787878787878	0.8428571428571429	0.8441558441558441	0.8072289156626506	0.7850467289719626	0.7171717171717171	0.8142857142857143	0.7857142857142857	0.8428571428571429	0.7857142857142857	0.7865168539325843	0.8428571428571429	0.75	0.8333333333333334	0.8410852713178295	0.8018018018018018	0.7560975609756098	0.7857142857142857	0.7857142857142857	0.7777777777777778	0.7752808988764045	0.759493670886076	0.7857142857142857	0.8142857142857143	0.881578947368421	0.810126582278481	0.7714285714285715	0.7714285714285715	0.7941176470588235	0.7345132743362832	0.8142857142857143	0.7285714285714285	0.8289473684210527	0.76	0.8714285714285714	0.788135593220339
Prevalence of Overweight, Obesity, and Extreme Obesity Among Adults: United States, Trends 1976�1980 Through 2007�2008	1.0	1.0	1.0	0.847457627118644	0.788135593220339	1.0	0.9152542372881356	0.7966101694915254	0.2966101694915254	1.0	1.0	1.0	0.7966101694915254	0.864406779661017	0.8135593220338984	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.864406779661017	1.0	1.0	1.0	0.7966101694915254	0.847457627118644	1.0	1.0	0.7796610169491526	0.8389830508474576	0.847457627118644	1.0	0.8305084745762712	0.788135593220339	0.8050847457627118	0.847457627118644	1.0	1.0
Statistical Abstract of the United States: 2011 	0.797979797979798	0.768595041322314	0.8057553956834532	0.8045977011494253	0.8596491228070176	0.7777777777777778	0.875	0.7792207792207793	0.7590361445783133	0.7850467289719626	0.797979797979798	0.7962962962962963	0.8076923076923077	0.75	0.7818181818181819	0.8089887640449438	0.8142857142857143	0.77	0.7948717948717948	0.8643410852713178	0.8288288288288288	0.8641114982578397	0.8113207547169812	0.875	0.7888888888888889	0.8089887640449438	0.7721518987341772	0.8163265306122449	0.7291666666666666	0.75	0.7848101265822784	0.125	0.75	0.8137254901960784	0.7699115044247787	0.875	0.7903225806451613	0.7763157894736842	0.81	0.782608695652174	0.7796610169491526
City�s Soda Cost Millions Monthly: Tax on Soft Drinks in Manhattan and Bronx in February and March is $465,445	1.0	1.0	1.0	0.8272727272727273	0.8272727272727273	1.0	0.9090909090909091	0.8	0.8363636363636363	1.0	1.0	1.0	0.8090909090909091	0.8818181818181818	0.8272727272727273	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8545454545454545	1.0	1.0	1.0	0.8	0.8636363636363636	1.0	1.0	0.8181818181818182	0.8272727272727273	0.8363636363636363	1.0	0.8090909090909091	0.7727272727272727	0.7818181818181819	0.7909090909090909	1.0	1.0
2010 State of the Vending Industry Report	0.6868686868686869	0.8181818181818182	0.7985611510791367	0.8620689655172413	0.8596491228070176	0.8181818181818182	0.8048780487804879	0.8181818181818182	0.7710843373493976	0.8037383177570093	0.8181818181818182	0.7222222222222222	0.75	0.7317073170731707	0.8	0.797752808988764	0.8285714285714286	0.82	0.782051282051282	0.8914728682170543	0.8468468468468469	0.9059233449477352	0.8301886792452831	0.8780487804878049	0.8333333333333334	0.7865168539325843	0.8354430379746836	0.7959183673469388	0.7804878048780488	0.8289473684210527	0.8227848101265823	0.8333333333333334	0.8292682926829268	0.8235294117647058	0.8053097345132744	0.8222222222222222	0.8225806451612904	0.7763157894736842	0.84	0.782608695652174	0.8220338983050848
Comments of: The National Automatic Merchandising Association	0.8383838383838383	0.49586776859504134	0.7769784172661871	0.7816091954022989	0.819672131147541	0.7777777777777778	0.8524590163934426	0.8051948051948052	0.7590361445783133	0.7663551401869159	0.7777777777777778	0.7704918032786885	0.8032786885245902	0.8032786885245902	0.8524590163934426	0.7191011235955056	0.8285714285714286	0.77	0.782051282051282	0.8682170542635659	0.8018018018018018	0.8710801393728222	0.8032786885245902	0.8032786885245902	0.7666666666666667	0.7752808988764045	0.7974683544303798	0.7244897959183674	0.819672131147541	0.8421052631578947	0.810126582278481	0.7868852459016393	0.8032786885245902	0.803921568627451	0.7345132743362832	0.8360655737704918	0.8064516129032258	0.8026315789473685	0.77	0.8260869565217391	0.788135593220339
Is the Obesity Epidemic a Public Health Problem? A Decade of Research on the Economics of Obesity	0.8282828282828283	0.8099173553719008	0.7841726618705036	0.865979381443299	0.41237113402061853	0.8383838383838383	0.9072164948453608	0.7628865979381443	0.8247422680412371	0.719626168224299	0.8181818181818182	0.7938144329896907	0.8041237113402062	0.8350515463917526	0.8144329896907216	0.7628865979381443	0.7731958762886598	0.81	0.7835051546391752	0.8178294573643411	0.7837837837837838	0.8222996515679443	0.8041237113402062	0.8350515463917526	0.7835051546391752	0.8247422680412371	0.8350515463917526	0.8367346938775511	0.8041237113402062	0.7319587628865979	0.7731958762886598	0.7628865979381443	0.8144329896907216	0.7843137254901961	0.8141592920353983	0.7731958762886598	0.8041237113402062	0.7938144329896907	0.85	0.8144329896907216	0.7966101694915254
Menucalc Plans	0.9292929292929293	0.9090909090909091	0.9280575539568345	0.9080459770114943	0.8421052631578947	0.898989898989899	0.9333333333333333	0.8961038961038961	0.9156626506024096	0.9158878504672897	0.9090909090909091	0.8148148148148148	0.8653846153846154	0.8333333333333334	0.8545454545454545	0.8876404494382022	0.8714285714285714	0.9	0.8974358974358975	0.9496124031007752	0.918918918918919	0.9547038327526133	0.8679245283018868	0.8333333333333334	0.8888888888888888	0.898876404494382	0.9113924050632911	0.9081632653061225	0.8125	0.9210526315789473	0.8987341772151899	0.8333333333333334	0.8823529411764706	0.9215686274509803	0.9292035398230089	0.8666666666666667	0.8548387096774194	0.868421052631579	0.89	0.8695652173913043	0.923728813559322
Operators Find Today's Patrons Favor 'Better-For-You' Food Selections In Vending	0.8282828282828283	0.7768595041322314	0.7841726618705036	0.2988505747126437	0.8375	0.7272727272727273	0.875	0.85	0.8554216867469879	0.7570093457943925	0.7676767676767676	0.8	0.8125	0.8625	0.7875	0.8202247191011236	0.8125	0.8	0.8375	0.8255813953488372	0.8018018018018018	0.8397212543554007	0.775	0.8	0.8	0.8202247191011236	0.8125	0.7653061224489796	0.825	0.8625	0.85	0.7875	0.8	0.7843137254901961	0.7079646017699115	0.7875	0.7375	0.8125	0.79	0.7875	0.7796610169491526
Quality Nutrition Analysis	0.8686868686868687	0.859504132231405	0.8705035971223022	0.8620689655172413	0.8245614035087719	0.8484848484848485	0.8076923076923077	0.8441558441558441	0.7831325301204819	0.8504672897196262	0.8383838383838383	0.8333333333333334	0.7692307692307693	0.8846153846153846	0.7818181818181819	0.8651685393258427	0.8142857142857143	0.83	0.8333333333333334	0.9302325581395349	0.7657657657657657	0.9163763066202091	0.7735849056603774	0.75	0.8777777777777778	0.8539325842696629	0.8227848101265823	0.8775510204081632	0.8125	0.8157894736842105	0.7721518987341772	0.7380952380952381	0.8529411764705882	0.8823529411764706	0.8672566371681416	0.8	0.8387096774193549	0.8552631578947368	0.83	0.8405797101449275	0.8728813559322034
Table of Small Business Size Standards Matched to North American Industry Classification System Codes	0.8613861386138614	0.7272727272727273	0.2733812949640288	0.8217821782178217	0.8118811881188119	0.8118811881188119	0.8910891089108911	0.7722772277227723	0.7524752475247525	0.8037383177570093	0.8811881188118812	0.7920792079207921	0.7920792079207921	0.8316831683168316	0.7821782178217822	0.7821782178217822	0.7920792079207921	0.8217821782178217	0.8316831683168316	0.7868217054263565	0.8468468468468469	0.8083623693379791	0.7920792079207921	0.8217821782178217	0.8217821782178217	0.7821782178217822	0.8316831683168316	0.8118811881188119	0.8217821782178217	0.8217821782178217	0.7722772277227723	0.7821782178217822	0.8217821782178217	0.8529411764705882	0.7964601769911505	0.8118811881188119	0.801980198019802	0.7920792079207921	0.8613861386138614	0.7722772277227723	0.8305084745762712
The Growth of Obesity and Technological Change: A Theoretical and Empirical Examination	0.8484848484848485	0.7768595041322314	0.7553956834532374	0.8850574712643678	0.735632183908046	0.8080808080808081	0.896551724137931	0.8160919540229885	0.8160919540229885	0.6448598130841121	0.8080808080808081	0.7701149425287356	0.7586206896551724	0.7931034482758621	0.8045977011494253	0.02247191011235955	0.6781609195402298	0.82	0.8160919540229885	0.8294573643410853	0.7837837837837838	0.8362369337979094	0.8045977011494253	0.8160919540229885	0.8	0.7752808988764045	0.8160919540229885	0.7755102040816326	0.8505747126436781	0.8505747126436781	0.8045977011494253	0.8045977011494253	0.8160919540229885	0.7941176470588235	0.7433628318584071	0.8275862068965517	0.7931034482758621	0.7816091954022989	0.78	0.7931034482758621	0.7627118644067796
Strategies for Promoting Healthier Food Choices	0.7777777777777778	0.7851239669421488	0.8273381294964028	0.7586206896551724	0.7368421052631579	0.5252525252525253	0.7872340425531915	0.7792207792207793	0.7831325301204819	0.8037383177570093	0.7676767676767676	0.8333333333333334	0.8076923076923077	0.851063829787234	0.8363636363636363	0.797752808988764	0.7857142857142857	0.77	0.6794871794871795	0.875968992248062	0.8198198198198198	0.8885017421602788	0.7924528301886793	0.7446808510638298	0.8111111111111111	0.7640449438202247	0.759493670886076	0.8061224489795918	0.7021276595744681	0.8026315789473685	0.810126582278481	0.7446808510638298	0.723404255319149	0.803921568627451	0.7964601769911505	0.851063829787234	0.7903225806451613	0.7763157894736842	0.75	0.8115942028985508	0.8135593220338984
Taxing Food: Implications for Public Health Nutrition	0.8484848484848485	0.7520661157024794	0.8057553956834532	0.7471264367816092	0.7368421052631579	0.7777777777777778	0.8113207547169812	0.7792207792207793	0.7951807228915663	0.794392523364486	0.7676767676767676	0.8333333333333334	0.7547169811320755	0.6981132075471698	0.8545454545454545	0.7865168539325843	0.8	0.81	0.7948717948717948	0.8798449612403101	0.8018018018018018	0.8780487804878049	0.7735849056603774	0.32075471698113206	0.7777777777777778	0.797752808988764	0.8227848101265823	0.7244897959183674	0.8113207547169812	0.8289473684210527	0.810126582278481	0.7924528301886793	0.8113207547169812	0.7549019607843137	0.7610619469026548	0.8301886792452831	0.8225806451612904	0.7894736842105263	0.79	0.782608695652174	0.8135593220338984
Obesity-Related Quality-Adjusted Life Years Lost in the U.S. from 1993-2008	0.8484848484848485	0.8347107438016529	0.7841726618705036	0.8505747126436781	0.7866666666666666	0.8181818181818182	0.8933333333333333	0.8701298701298701	0.8433734939759037	0.7663551401869159	0.8181818181818182	0.8266666666666667	0.8	0.8533333333333334	0.8266666666666667	0.8314606741573034	0.8666666666666667	0.81	0.8589743589743589	0.8565891472868217	0.7927927927927928	0.8571428571428571	0.7866666666666666	0.84	0.8222222222222222	0.8426966292134831	0.8734177215189873	0.7857142857142857	0.7466666666666667	0.039473684210526314	0.5822784810126582	0.76	0.7733333333333333	0.7941176470588235	0.8053097345132744	0.8266666666666667	0.84	0.8552631578947368	0.8	0.8666666666666667	0.8050847457627118
Size Matters: The Influence of Adolescent�s Weight and Height on Dating and Sex	1.0	1.0	1.0	0.8620689655172413	0.7721518987341772	1.0	0.8987341772151899	0.7974683544303798	0.8192771084337349	1.0	1.0	1.0	0.7341772151898734	0.7848101265822784	0.8227848101265823	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8607594936708861	1.0	1.0	1.0	0.7857142857142857	0.7974683544303798	1.0	1.0	0.759493670886076	0.810126582278481	0.7941176470588235	1.0	0.810126582278481	0.759493670886076	0.810126582278481	0.8	1.0	1.0
The Economics of Childhood Obesity	0.8484848484848485	0.8347107438016529	0.8561151079136691	0.8390804597701149	0.7543859649122807	0.8282828282828283	0.8235294117647058	0.7792207792207793	0.8192771084337349	0.7383177570093458	0.8484848484848485	0.7777777777777778	0.8653846153846154	0.6176470588235294	0.7454545454545455	0.797752808988764	0.7857142857142857	0.79	0.8076923076923077	0.8953488372093024	0.8558558558558559	0.9198606271777003	0.8301886792452831	0.8611111111111112	0.8111111111111111	0.7303370786516854	0.759493670886076	0.8469387755102041	0.7941176470588235	0.868421052631579	0.7341772151898734	0.7857142857142857	0.8823529411764706	0.8235294117647058	0.8495575221238938	0.8444444444444444	0.8064516129032258	0.7631578947368421	0.82	0.7971014492753623	0.8559322033898306
