	Association of American Railroads (AAR), before U.S. House of Representatives Subcommittee on Railroads,	Car Performance Standards NPRM - RIA NTSB, “Derailment of Canadian Pacific Railway Freight Train 292-16 and Subsequent Release of Anhydrous Ammonia Near	Sign Safety Pact, Traffic World	Car Performance Standards NPRM - RIA “Economic Analysis of Federal Regulations Under Executive Order 12866.” http://www.whitehouse.gov/OMB/inforeg/riaguide.html,	Highway Business Report Fewer Customers,” Augusta Chronicle,	Statement to the docket by the Dow Chemical Company,	Alternative Technologies to Railroad Tank Car Placarding.” Texas Transportation Institute,	Car Performance Standards NPRM - RIA AEI-Brookings Joint Center for Regulatory Studies, “Interests of Amici Curiae: American Trucking Associations,	Abbreviated Injury Scale _____________________________________________________________________________ The Abbreviated Injury Scale (AIS) was &quot;[f]irst published in 1971 under the joint sponsorship of the American Medical Association; the Society of Automotive Engineers; and the Association for the Advancement of Automotive Medicine (formerly the American Association for Automotive Medicine).&quot; The AIS was originally developed for impact injury assessment.	(Produced by the University of California, San Francisco and The John Hopkins University for the National Highway Traffic Satey Administation and the Centers for Disease Control)	Railroad Injury: Causes, Costs, and Comparisons with other Transport Modes,” Journal of Safety Research,
Family Oks Derailment Settlement	0.8269230769230769	0.8486842105263158	0.9375	0.8757763975155279	0.8166666666666667	0.7884615384615384	0.8333333333333334	0.8639455782312925	0.9444444444444444	0.8764044943820225	0.8365384615384616
Highway Business Report Fewer Customers	0.7980769230769231	0.881578947368421	0.8205128205128205	0.8633540372670807	0.35	0.8269230769230769	0.8222222222222222	0.8435374149659864	0.938034188034188	0.8764044943820225	0.7884615384615384
Judge Approves Preliminary Settlement in Graniteville Train Wreck	0.8076923076923077	0.8157894736842105	0.7846153846153846	0.8260869565217391	0.8615384615384616	0.8307692307692308	0.8	0.782312925170068	0.8974358974358975	0.8146067415730337	0.8076923076923077
The Incidence and Economic Costs of Major Health Impairments	0.7980769230769231	0.8355263157894737	0.85	0.7763975155279503	0.85	0.8	0.7888888888888889	0.7687074829931972	0.8931623931623932	0.797752808988764	0.7788461538461539
American Factfinder	0.8653846153846154	0.9013157894736842	0.7419354838709677	0.906832298136646	0.9	0.8846153846153846	0.8444444444444444	0.9183673469387755	0.9615384615384616	0.9101123595505618	0.9038461538461539
Anhydrous Ammonia Safety	0.875	0.8881578947368421	0.8709677419354839	0.9130434782608695	0.85	0.8269230769230769	0.8555555555555555	0.9047619047619048	0.9508547008547008	0.9101123595505618	0.8365384615384616
A National Risk Assessment for Selected Hazardous Materials in Transportation	0.7596153846153846	0.7828947368421053	0.8051948051948052	0.8136645962732919	0.7922077922077922	0.7662337662337663	0.7111111111111111	0.7142857142857143	0.8824786324786325	0.7696629213483146	0.7692307692307693
Alternative Approaches to Accident Cost Concepts	0.7884615384615384	0.8552631578947368	0.8125	0.8509316770186336	0.7666666666666667	0.7692307692307693	0.6888888888888889	0.8299319727891157	0.9166666666666666	0.8370786516853933	0.8076923076923077
Cost of Injury in the United States, A Report to Congress	0.7596153846153846	0.8157894736842105	0.8070175438596491	0.8322981366459627	0.8166666666666667	0.7368421052631579	0.7888888888888889	0.7959183673469388	0.8995726495726496	0.797752808988764	0.7211538461538461
Derailment of Canadian Pacific Railway Freight Train 292-16 and Subsequent Release of Anhydrous Ammonia Near Minot, North Dakota	0.765625	0.42105263157894735	0.8671875	0.8074534161490683	0.8046875	0.8125	0.7890625	0.782312925170068	0.8589743589743589	0.7528089887640449	0.8046875
