	Letter to Hon. Nancy Pelosi.	States as Policy Laboratories: Emulating Success in the Children’s Health Insurance Program”	Active Purchasing for Health Exchanges: An Analysis of Options:	and Elizabeth McGylnn(2010) Establishing State Health Insurance Exchanges.	Health Reform in Massachusetts An Update As of fall	Citations Actuarial Research Corporation. &quot;Reinsurance attachment point estimates.&quot;	The Value of Health Insurance: Few of the Uninsured Have Adequate Resources to Pay Potential Hospital Bills.	Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:	Independent Report on the Healthy NY Program for Calendar Year	Medicare & Medicaid Services. &quot;Announcement of Calendar Year (CY)	Employer Health Benefits,	Does major illness cause financial catastrophe?&quot;	Cost and Funding Considerations for a Statewide All-Payer Claims Database (APCD). .&quot;	Katherine Baicker, and The Oregon Health Study Group. &quot;The Oregon Health Insurance Experiment: Evidence from the First Year.&quot;	Generosity and adjusted premiums in job-based insurance: Hawaii is up, Wyoming is down.&quot;	Patient Protection and Affordable Care Act (PPACA): Long Term Costs for Gvoernments, Employers, Families and Providers.&quot; Staff Working Paper	Race and insurance status as risk factors for trauma mortality.&quot;	Care without coverage: too little, too late:	The impact of health insurance on health.&quot;	of Health Care Finance and Policy. &quot;2009 Annual Report Health Safety Net.&quot;	All-Payer Claims Databases. (Robert Woods Johnson Foundation.	Office of External Affairs and Beneficiary Services, Unpublished. &quot;FY	Office of the Inspector General. Medicaid Managed Care Encounter Data: Collection and Use.	Reinsurance: How States Can Make Health Coverage More Affordable for Employers and Workers: Commonwealth Fund,	Healthy New York: Making Insurance More Affordable for LowIncome Workers: The Commonwealth Fund.,	Massachusetts Health Care Reform—Near-Universal Coverage at What Cost?&quot;
Medicaid Managed Care Encounter Data: Collection and Use	0.8035714285714286	0.7717391304347826	0.7936507936507936	0.7837837837837838	0.8571428571428571	0.7634408602150538	0.7777777777777778	0.8068965517241379	0.8064516129032258	0.6857142857142857	0.8392857142857143	0.8214285714285714	0.7752808988764045	0.7925925925925926	0.7526881720430108	0.7931034482758621	0.782608695652174	0.7678571428571429	0.8214285714285714	0.7976190476190477	0.819672131147541	0.7972972972972973	0.37777777777777777	0.7636363636363637	0.7835051546391752	0.75
Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals: 2008	0.8866666666666667	0.7666666666666667	0.8133333333333334	0.82	0.82	0.7733333333333333	0.7666666666666667	0.03333333333333333	0.8	0.7933333333333333	0.8666666666666667	0.8333333333333334	0.8066666666666666	0.7866666666666666	0.7933333333333333	0.8066666666666666	0.7866666666666666	0.8333333333333334	0.8133333333333334	0.7733333333333333	0.8133333333333334	0.7866666666666666	0.76	0.7733333333333333	0.8066666666666666	0.7933333333333333
Trend Data	0.8571428571428571	0.9130434782608695	0.9047619047619048	0.918918918918919	0.8823529411764706	0.9247311827956989	0.9166666666666666	0.9448275862068966	0.8870967741935484	0.9142857142857143	0.84	0.8679245283018868	0.9101123595505618	0.9333333333333333	0.9247311827956989	0.9448275862068966	0.8985507246376812	0.8636363636363636	0.8723404255319149	0.9047619047619048	0.9016393442622951	0.918918918918919	0.9	0.9363636363636364	0.9381443298969072	0.9078947368421053
2009 Annual Report Health Safety Net	0.8333333333333334	0.8260869565217391	0.746031746031746	0.7702702702702703	0.8627450980392157	0.7634408602150538	0.8240740740740741	0.8413793103448276	0.6612903225806451	0.8285714285714286	0.6666666666666666	0.8113207547169812	0.8202247191011236	0.8296296296296296	0.8494623655913979	0.8551724137931035	0.782608695652174	0.7954545454545454	0.7872340425531915	0.5714285714285714	0.8524590163934426	0.8243243243243243	0.8111111111111111	0.8363636363636363	0.8350515463917526	0.8026315789473685
Cost and Funding Considerations for a Statewide All-Payer Claims Database	0.8082191780821918	0.7717391304347826	0.7808219178082192	0.8648648648648649	0.7945205479452054	0.7526881720430108	0.7777777777777778	0.8	0.7534246575342466	0.8493150684931506	0.8493150684931506	0.821917808219178	0.1797752808988764	0.8	0.7849462365591398	0.7655172413793103	0.7808219178082192	0.7397260273972602	0.821917808219178	0.8214285714285714	0.8493150684931506	0.8918918918918919	0.7777777777777778	0.7636363636363637	0.7731958762886598	0.8421052631578947
All-Payer Claims Databases	0.8571428571428571	0.8586956521739131	0.8095238095238095	0.8108108108108109	0.803921568627451	0.8387096774193549	0.8703703703703703	0.8827586206896552	0.8548387096774194	0.8428571428571429	0.7692307692307693	0.7924528301886793	0.7191011235955056	0.9037037037037037	0.8709677419354839	0.8896551724137931	0.855072463768116	0.8409090909090909	0.8297872340425532	0.8690476190476191	0.5737704918032787	0.8513513513513513	0.8444444444444444	0.8818181818181818	0.8865979381443299	0.8421052631578947
Announcement of Calendar Year 2012 Medicare Advantage Capitation Rates and Medicare Advantage and Part D Payment Policies and Final Call Letter	0.8741258741258742	0.8111888111888111	0.8111888111888111	0.7972027972027972	0.7972027972027972	0.7552447552447552	0.7202797202797203	0.8275862068965517	0.7692307692307693	0.7762237762237763	0.8951048951048951	0.8181818181818182	0.7552447552447552	0.8251748251748252	0.7552447552447552	0.8275862068965517	0.7692307692307693	0.8111888111888111	0.8321678321678322	0.7902097902097902	0.8181818181818182	0.7762237762237763	0.7132867132867133	0.7552447552447552	0.7762237762237763	0.7902097902097902
Independent Report on the Health NY Program for Calendar Year 2010	0.7878787878787878	0.7934782608695652	0.7878787878787878	0.8513513513513513	0.7575757575757576	0.7956989247311828	0.7592592592592593	0.8	0.09090909090909091	0.6714285714285714	0.7878787878787878	0.8333333333333334	0.7640449438202247	0.7407407407407407	0.8279569892473119	0.7793103448275862	0.8115942028985508	0.7878787878787878	0.696969696969697	0.7857142857142857	0.8787878787878788	0.8513513513513513	0.7777777777777778	0.6909090909090909	0.8041237113402062	0.7894736842105263
Reinsurance attachment point estimates	0.8157894736842105	0.7934782608695652	0.746031746031746	0.8108108108108109	0.7450980392156863	0.5913978494623656	0.7870370370370371	0.8206896551724138	0.8064516129032258	0.7857142857142857	0.7631578947368421	0.7924528301886793	0.8089887640449438	0.8074074074074075	0.8064516129032258	0.8206896551724138	0.6811594202898551	0.7727272727272727	0.8085106382978723	0.7738095238095238	0.7704918032786885	0.8243243243243243	0.7888888888888889	0.7545454545454545	0.7835051546391752	0.8026315789473685
The Value of Health Insurance: Few of the Uninsured Have Adequate Resources to Pay Potential Hospital Bills	0.8317757009345794	0.8317757009345794	0.794392523364486	0.7757009345794392	0.7570093457943925	0.8037383177570093	0.009259259259259259	0.7586206896551724	0.7663551401869159	0.7570093457943925	0.8598130841121495	0.794392523364486	0.8317757009345794	0.7777777777777778	0.8037383177570093	0.8	0.7009345794392523	0.794392523364486	0.7102803738317757	0.719626168224299	0.794392523364486	0.7757009345794392	0.7102803738317757	0.8	0.7757009345794392	0.719626168224299
