	23 Sources: Colorado Mineral and Energy Industry Activities,	24 This calculation assumes that the 110 million tons of recoverable reserves in roadless area estimated for the 2001 Rule in the Energy Minerals section of the RDEIS are included within the 180.9 million tons of reserves estimated by the State of Colorado the energy roadless model area,	Activity/Effects Value of Production ($ millions) Employment (jobs) Labor Income ($ millions)	Validation of a forest values typology for use in national forest planning. Forest Science.	Tourism Jobs Gain Ground in Colorado. Prepared for the Colorado Department of Local Affairs.	Associates, Inc. The Economic Impact of Travel on	Prepared for the State of Colorado, Colorado Tourism Office,	Personal communication regarding coal mining. USDI-Bureau of Land Management,	Western National Forests: A Cohesive Strategy is Needed to Address Catastrophic Wildland Fire Threats.	Consulting. Job Generation in the Colorado Mountain Resort Economy. Prepared for the Northwest Colorado Council of Governments.	Oil and Gas Economic Impact Analysis. Prepared by Booz Allen Hamilton for the Colorado Energy Research Institute.	economic impact modeling software).	Revised Draft Environmental Impact Statement (RDEIS): Proposed Colorado Roadless Rule. Region 2, USDA Forest Service,	Opportunities for Small Entities: Proposed Roadless Area Conservation Rule for Colorado. Region 2, USDA Forest Service,	Social and Economics Specialist Report: Proposed Roadless Area Conservation Rule for Colorado. Region 2, USDA Forest Service, Denver CO.USDA Forest Service,	Roadless Area Conservation: National Forest System Lands in Colorado: Proposed Rule Regulatory Impact Analysis and Cost Benefit Analysis. Region 2, USDA Forest Service,	Profile 2005: Softwood Sawmills in the United States and Canada. Research Paper: FPL-RP-630. USDA Forest Service, Forest Products Laboratory,	Cumulative Set Aside Program Analysis Spreadsheets, by Forest Unit. USDA Forest Service Region 2, Denver CO USDA Forest Service.	Department of the Interior.
Cumulative Set Aside Program Analysis Spreadsheets, by Forest Unit	0.8484848484848485	0.8541666666666666	0.7526881720430108	0.7032967032967034	0.7934782608695652	0.7878787878787878	0.8484848484848485	0.8181818181818182	0.7450980392156863	0.7559055118110236	0.7699115044247787	0.8484848484848485	0.7264957264957265	0.7142857142857143	0.7692307692307693	0.7321428571428571	0.7943262411347518	0.484375	0.8484848484848485
2007 Annual Report-advanced tables	0.7833333333333333	0.9131944444444444	0.8494623655913979	0.8461538461538461	0.8152173913043478	0.8367346938775511	0.85	0.8311688311688312	0.8431372549019608	0.8503937007874016	0.8495575221238938	0.8571428571428571	0.8547008547008547	0.8571428571428571	0.8525641025641025	0.8809523809523809	0.8581560283687943	0.8828125	0.8823529411764706
2007 Annual Report—advanced tables.	0.7833333333333333	0.9131944444444444	0.8494623655913979	0.8351648351648352	0.8043478260869565	0.8367346938775511	0.85	0.8311688311688312	0.8333333333333334	0.84251968503937	0.8495575221238938	0.8285714285714286	0.8461538461538461	0.8571428571428571	0.8525641025641025	0.875	0.8581560283687943	0.875	0.8571428571428571
Job Generation in the Colorado Mountain Resort Economy 	0.8166666666666667	0.8645833333333334	0.7956989247311828	0.7472527472527473	0.6847826086956522	0.7818181818181819	0.7166666666666667	0.7792207792207793	0.7843137254901961	0.5669291338582677	0.7345132743362832	0.7818181818181819	0.7435897435897436	0.7647058823529411	0.7948717948717948	0.7559523809523809	0.8014184397163121	0.8046875	0.7454545454545455
Managing the Impacts of Wildland fires on Communities and the Environment - The National Fire Plan	0.7551020408163265	0.7847222222222222	0.8061224489795918	0.7959183673469388	0.7857142857142857	0.7857142857142857	0.7653061224489796	0.8061224489795918	0.8235294117647058	0.7401574803149606	0.7699115044247787	0.8163265306122449	0.8205128205128205	0.7815126050420168	0.7564102564102564	0.7619047619047619	0.7730496453900709	0.7734375	0.8061224489795918
Oil and Gas Economic Impact Analysis	0.7833333333333333	0.9097222222222222	0.8172043010752689	0.8131868131868132	0.7934782608695652	0.5510204081632653	0.8	0.8051948051948052	0.8333333333333334	0.8188976377952756	0.6814159292035398	0.8611111111111112	0.8205128205128205	0.8403361344537815	0.8589743589743589	0.8392857142857143	0.8652482269503546	0.859375	0.8333333333333334
Personal communication regarding coal mining	0.7833333333333333	0.8888888888888888	0.7849462365591398	0.7252747252747253	0.7717391304347826	0.8367346938775511	0.7666666666666667	0.42857142857142855	0.7941176470588235	0.8031496062992126	0.7876106194690266	0.7045454545454546	0.811965811965812	0.8067226890756303	0.8461538461538461	0.8273809523809523	0.8652482269503546	0.8359375	0.7954545454545454
The Economic Impact of Travel on Colorado: 1996-2005	0.85	0.8784722222222222	0.8172043010752689	0.8021978021978022	0.75	0.7115384615384616	0.7166666666666667	0.7922077922077922	0.8137254901960784	0.7952755905511811	0.6902654867256637	0.6153846153846154	0.7692307692307693	0.7815126050420168	0.7948717948717948	0.8571428571428571	0.851063829787234	0.8515625	0.7692307692307693
Tourism Jobs Gain Ground in Colorado	0.7666666666666667	0.8958333333333334	0.8172043010752689	0.7912087912087912	0.6086956521739131	0.7755102040816326	0.75	0.8051948051948052	0.8235294117647058	0.7874015748031497	0.8141592920353983	0.8333333333333334	0.8461538461538461	0.7983193277310925	0.8525641025641025	0.8511904761904762	0.8652482269503546	0.8515625	0.8055555555555556
Western National Forests: A Cohesive Strategy is Needed to Address Catastrophic Wildland Fire Threats	0.7821782178217822	0.7986111111111112	0.8811881188118812	0.7524752475247525	0.8217821782178217	0.8217821782178217	0.7623762376237624	0.7722772277227723	0.00980392156862745	0.7559055118110236	0.8141592920353983	0.8316831683168316	0.7692307692307693	0.773109243697479	0.7756410256410257	0.7023809523809523	0.7943262411347518	0.7734375	0.8415841584158416
Forest Economic Program Analysis Spreadsheet Tool	0.7833333333333333	0.8784722222222222	0.8172043010752689	0.7912087912087912	0.7608695652173914	0.8571428571428571	0.85	0.7662337662337663	0.7843137254901961	0.7874015748031497	0.7522123893805309	0.7551020408163265	0.8034188034188035	0.7899159663865546	0.8076923076923077	0.7916666666666666	0.8439716312056738	0.7265625	0.8367346938775511
Minnesota IMPLAN Group 2003	0.85	0.9479166666666666	0.8924731182795699	0.8791208791208791	0.8804347826086957	0.8571428571428571	0.8333333333333334	0.8831168831168831	0.8725490196078431	0.8818897637795275	0.8938053097345132	0.8857142857142857	0.8717948717948718	0.8823529411764706	0.9038461538461539	0.9107142857142857	0.8936170212765957	0.9140625	0.9629629629629629
Opportunities for Small Entities: Proposed Roadless Area Conservation Rule for Colorado	0.8045977011494253	0.8125	0.8279569892473119	0.8021978021978022	0.782608695652174	0.7931034482758621	0.7241379310344828	0.8160919540229885	0.7647058823529411	0.7480314960629921	0.7433628318584071	0.8160919540229885	0.6923076923076923	0.2689075630252101	0.6153846153846154	0.7321428571428571	0.7446808510638298	0.7578125	0.8045977011494253
