	Department of Energy, Energy Information Administration, Transportation Sector Module of the National Energy Modeling System: Model Documentation	Technical Support Document: Fuel Economy Labeling of Motor Vehicle Revisions to Improve Calculation of Fuel Economy Estimates,	The survival rates were calculated from R.L. Polk, National Vehicle Population Profile, 1977-2003; see NHTSA,	Vehicle Survivability and Travel Mileage Schedules,” Office of Regulatory Analysis and Evaluation,	Oil Imports: An Assessment of Benefits and Costs,	"Estimating the Energy Security Benefits of Reduced U.S. Oil Imports,"" Oak Ridge National Laboratory, ORNL/TM-2007/028, Revised July 23,"	Contribution of Working Group II to the Fourth Assessment Report of the IPCC, 17. Available at http://www.ipcc-wg2.org (last accessed 4,	Description of VMT Forecasting Procedure for ‘Car Talk’ Base line Forecasts,” manuscript, Volpe National Transportation Systems Center, U.S. Department of Transportation,	Environmental Protection Agency, MOBILE Motor Vehicle Emission Factor Model, version 6.2,	Uncertainty: A Guide to Dealing with Uncertainty in Quantitative Risk and Policy Analysis”,	CAFE Compliance and Effects Modeling System Documentation,
A Guide to Econometrics, 3rd Edition	0.34782608695652173	0.48	0.4642857142857143	0.3913043478260869	0.368421052631579	0.5081967213114754	0.4736842105263158	0.5	0.41666666666666663	0.3913043478260869	0.33333333333333337
Public Citizen v. NHTSA	0.5	0.5	0.4482758620689655	0.45833333333333337	0.6	0.5555555555555556	0.5254237288135593	0.4814814814814815	0.56	0.5416666666666667	0.5
Consumer Finance	0.47619047619047616	0.4347826086956522	0.5769230769230769	0.5238095238095238	0.4117647058823529	0.6140350877192983	0.5094339622641509	0.45833333333333337	0.5	0.5238095238095238	0.368421052631579
Highway Statistics, Summary to 1995	0.3877551020408163	0.4339622641509434	0.423728813559322	0.4285714285714286	0.5609756097560976	0.53125	0.5	0.49090909090909096	0.4901960784313726	0.4285714285714286	0.4222222222222223
Statistical Release H.15, Selected Interest Rates	0.41666666666666663	0.46153846153846156	0.4137931034482759	0.41666666666666663	0.4	0.4920634920634921	0.4576271186440678	0.4814814814814815	0.43999999999999995	0.45833333333333337	0.4545454545454546
Statstical Release G.20, Finance Companies	0.43999999999999995	0.37037037037037035	0.4	0.48	0.38095238095238093	0.4461538461538461	0.3770491803278688	0.3928571428571429	0.42307692307692313	0.48	0.30434782608695654
The Greenhouse Gas and Regulated Emissions from Transportation (GREET) Model, Version 1.8	0.27586206896551724	0.29032258064516125	0.3529411764705882	0.27586206896551724	0.4	0.34246575342465757	0.33333333333333337	0.34375	0.3666666666666667	0.4137931034482759	0.33333333333333337
1997 Federal Highway Cost Allocation Study	0.33333333333333337	0.3793103448275862	0.34375	0.33333333333333337	0.4347826086956522	0.4782608695652174	0.3538461538461538	0.4	0.3928571428571429	0.33333333333333337	0.28
2006 Guidelines for National Greenhouse Gas Inventories	0.36	0.4444444444444444	0.4	0.4	0.38095238095238093	0.41538461538461535	0.4098360655737705	0.5	0.3846153846153846	0.4	0.4782608695652174
Alternative and Future Technologies for Reducing Greenhouse Gas Emissions from Road Vehicles	0.2592592592592593	0.24137931034482762	0.34375	0.18518518518518523	0.3913043478260869	0.3913043478260869	0.32307692307692304	0.3666666666666667	0.2857142857142857	0.2962962962962963	0.28
