	Total number of HIV-Positive cases due to 1.51% onward transmission connected with U.S.	prevalence estimatesâ€”United States,	Revised recommendations for HIV testing of adults, adolescents, and pregnant women in healthcare settings. MMWR Recomm Rep,	Appendix II: HIVEcon: Additional notes and data on model inputs and outputs.	Yearbook of Immigration Statistics:	Population Prospects: The	AIDS Epidemic Update. WHO Library Cataloguing-in-Publication Data: UNAIDS/07.27E/JC1322E,	Yearbook of Immigration Statistics:	Life expectancy of individuals on combination antiretroviral therapy in highincome countries: a collaborative analysis of 14 cohort studies. Lancet,	The New Americans: Economic, Demographic, and Fiscal Effects of Immigration.	Technical Appendix I: HIVEcon: A model to estimate the economic costs of immigrants who are HIV-positive.	The lifetime cost of current human immunodeficiency virus care in the United States. Med Care,	for the Use of Antiretroviral Agents in HIVâ€“1â€“Infected Adults and Adolescents.	memorandum: Consolidation of Policy Regarding	A quick guide to public charge and receipt to public benefits.	How many sexuallyacquired HIV infections in the USA are due to acute-phase HIV transmission?	Transmission Rates in the United States.	Health status, health insurance, and health care utilization patterns of immigrant Black men.	Effects of immigration on selected health risk behaviors of Black college students.	Acculturation, sexual risk taking, and HIV health promotion among Latinas.	Alcohol and AIDS-related sexual behavior among Hispanics: acculturation and gender differences. AIDS Educ Prev,	Initial acculturation and HIV risk among new Hispanic immigrants.	HIV and sexually transmitted infection risk behaviors and beliefs among Black West Indian immigrants and US-born Blacks.	Immigration measures and reproductive health among Hispanic youth: findings from the national longitudinal survey of youth, 1997â€“2003. J Adolesc Health,	The impact of migration on the health of voluntary migrants in western societies.	Immigration and HIV/AIDS in the New York Metropolitan Area. J Urban Health,	HIV prevalence among foreign- and US-born clients of public STD clinics.	Acculturation and gender differences in sexual attitudes and behaviors: Hispanic vs non-Hispanic white unmarried adults.	Available from: http:// www.cdc.gov/hiv/topics/surveillance/ incidence.htm. V. Regulatory Flexibility Analysis VI. Other Administrative Requirements A. The Unfunded Mandates Reform Act HHS/CDC evaluated the rule requirements for compliance with the Unfunded Mandates Reform Act (UMRA) of 1995. This rule does not contain Federal mandates under the regulatory provisions of Title II of the UMRA for State, local, or Tribal Governments, nor for the private sector. The ruleâ€™s provisions will not affect small Governments. B. Executive Order 13045: Protection of Children From Environmental Health Risks and Safety Risks Executive	The authority citation for part 34 continues to read as follows:	34.2 by removing paragraph (b)(6) and redesignating paragraphs (b)(7) through (10) (b)(6) through (9), respectively.	34.3 by revising paragraphs (b)(1)(i), (e)(1) introductory text, (e)(2)(iii), (e)(2)(iv), (e)(5), and (e)(6) to read as follows: Â§ 34.3 Scope of examinations.
The New Americans:  Economic, Demographic, and Fiscal Effects  of Immigration	0.8390804597701149	0.8311688311688312	0.7804878048780488	0.8441558441558441	0.7922077922077922	0.8571428571428571	0.8764044943820225	0.7922077922077922	0.7635135135135135	0.03896103896103896	0.7333333333333333	0.7659574468085106	0.8717948717948718	0.7792207792207793	0.8051948051948052	0.8152173913043478	0.7792207792207793	0.7419354838709677	0.8313253012048193	0.8051948051948052	0.7477477477477478	0.7792207792207793	0.7333333333333333	0.8026315789473685	0.8024691358024691	0.9090909090909091	0.8051948051948052	0.8083333333333333	0.9106858054226475	0.7662337662337663	0.8103448275862069	0.7848101265822784
2007 AIDS Epidemic Update	0.8850574712643678	0.8	0.9105691056910569	0.868421052631579	0.8571428571428571	0.92	0.8314606741573034	0.8571428571428571	0.918918918918919	0.8289473684210527	0.8761904761904762	0.8617021276595744	0.8846153846153846	0.8444444444444444	0.8387096774193549	0.8804347826086957	0.8	0.8817204301075269	0.891566265060241	0.8648648648648649	0.8648648648648649	0.8615384615384616	0.9083333333333333	0.9144736842105263	0.9012345679012346	0.8266666666666667	0.8888888888888888	0.9	0.9696969696969697	0.875	0.9051724137931034	0.930379746835443
A quick guide to public charge  and receipt to public benefits	0.7931034482758621	0.8387096774193549	0.7804878048780488	0.7631578947368421	0.8387096774193549	0.8225806451612904	0.8089887640449438	0.8387096774193549	0.8108108108108109	0.8026315789473685	0.7904761904761904	0.776595744680851	0.8076923076923077	0.7741935483870968	0.03225806451612903	0.7717391304347826	0.8064516129032258	0.7849462365591398	0.7590361445783133	0.7297297297297297	0.8018018018018018	0.8153846153846154	0.7833333333333333	0.8092105263157895	0.7407407407407407	0.7733333333333333	0.7083333333333334	0.75	0.9186602870813397	0.84375	0.8017241379310345	0.8164556962025317
Interoffice memorandum:  Consolidation of Policy Regarding USCIS  Form IÐ864, Affidavit of Support (AFM  Update AD06Ð20	0.8151260504201681	1.0	0.8455284552845529	0.773109243697479	0.8403361344537815	0.865546218487395	0.8319327731092437	0.8403361344537815	0.7567567567567568	0.7563025210084033	0.8319327731092437	0.8151260504201681	1.0	0.6218487394957983	0.7983193277310925	0.8067226890756303	0.8151260504201681	0.8151260504201681	0.7647058823529411	0.8067226890756303	0.8571428571428571	0.7983193277310925	0.8583333333333333	1.0	0.773109243697479	0.7983193277310925	0.7815126050420168	0.8666666666666667	1.0	0.7815126050420168	0.8907563025210085	1.0
Public Law 104Ð193	0.9195402298850575	1.0	0.943089430894309	0.9342105263157895	0.8857142857142857	0.84	0.8764044943820225	0.8857142857142857	0.9391891891891891	0.9342105263157895	0.9333333333333333	0.9361702127659575	1.0	0.8888888888888888	0.8709677419354839	0.9239130434782609	0.9	0.9247311827956989	0.9397590361445783	0.918918918918919	0.9369369369369369	0.9076923076923077	0.9333333333333333	1.0	0.9259259259259259	0.9333333333333333	0.9027777777777778	0.9333333333333333	1.0	0.90625	0.9310344827586207	1.0
World Population Prospects: The  2006 Revision.	0.7816091954022989	0.851063829787234	0.7967479674796748	0.8026315789473685	0.851063829787234	0.46808510638297873	0.8651685393258427	0.851063829787234	0.8243243243243243	0.7763157894736842	0.819047619047619	0.8085106382978723	0.782051282051282	0.8085106382978723	0.7741935483870968	0.75	0.7659574468085106	0.8064516129032258	0.7349397590361446	0.8108108108108109	0.8018018018018018	0.7384615384615385	0.8	0.8355263157894737	0.8024691358024691	0.8266666666666667	0.7916666666666666	0.8166666666666667	0.9425837320574163	0.765625	0.8362068965517241	0.8670886075949367
Yearbook of Immigration  Statistics: 2007 Immigrants. Table 3: Persons  Obtaining Legal Permanent Resident Status  by Region and Country of Birth: Fiscal Years  1998 to 2007	0.8034682080924855	0.861271676300578	0.7630057803468208	0.7861271676300579	0.7976878612716763	0.9017341040462428	0.8265895953757225	0.7976878612716763	0.8034682080924855	0.8208092485549133	0.791907514450867	0.7803468208092486	0.8034682080924855	0.838150289017341	0.8265895953757225	0.7976878612716763	0.838150289017341	0.7630057803468208	0.7456647398843931	0.7803468208092486	0.7861271676300579	0.8208092485549133	0.791907514450867	0.7456647398843931	0.7630057803468208	0.7803468208092486	0.8208092485549133	0.7803468208092486	0.8389154704944178	0.8092485549132948	0.7976878612716763	0.8497109826589595
Yearbook of Immigration  Statistics: 2007 Immigrants. Table 8: Persons  Obtaining Legal Permanent Resident Status  by Gender, Age, Marital Status, and  Occupation: Fiscal Year 2007	0.8111111111111111	0.8555555555555555	0.7555555555555555	0.7888888888888889	0.8055555555555556	0.9055555555555556	0.8388888888888889	0.8055555555555556	0.8055555555555556	0.8166666666666667	0.8	0.7722222222222223	0.7888888888888889	0.8555555555555555	0.8333333333333334	0.7944444444444444	0.8444444444444444	0.7722222222222223	0.7777777777777778	0.7944444444444444	0.7833333333333333	0.8111111111111111	0.7666666666666667	0.7611111111111111	0.7777777777777778	0.7833333333333333	0.8166666666666667	0.7833333333333333	0.8309409888357256	0.8166666666666667	0.8055555555555556	0.8388888888888889
Guidelines for the Use of  Antiretroviral Agents in HIVÐ1ÐInfected  Adults and Adolescents	0.8555555555555555	1.0	0.7479674796747967	0.6888888888888889	0.8222222222222222	0.8555555555555555	0.8888888888888888	0.8222222222222222	0.7027027027027027	0.8222222222222222	0.8285714285714286	0.8191489361702128	1.0	0.8222222222222222	0.7888888888888889	0.8695652173913043	0.7666666666666667	0.8387096774193549	0.8111111111111111	0.7888888888888889	0.8018018018018018	0.7888888888888889	0.7583333333333333	1.0	0.8222222222222222	0.8333333333333334	0.8111111111111111	0.7833333333333333	1.0	0.7666666666666667	0.8275862068965517	1.0
HIV Incidence	0.896551724137931	0.8285714285714286	0.9105691056910569	0.8947368421052632	0.8571428571428571	0.88	0.9213483146067416	0.8571428571428571	0.9391891891891891	0.8947368421052632	0.9142857142857143	0.9148936170212766	0.8717948717948718	0.8444444444444444	0.9032258064516129	0.8804347826086957	0.875	0.9032258064516129	0.9156626506024096	0.918918918918919	0.9099099099099099	0.8769230769230769	0.9	0.9407894736842105	0.9135802469135802	0.88	0.8472222222222222	0.925	0.9824561403508771	0.90625	0.9396551724137931	0.9493670886075949
