	NO PARSCIT CITATIONS
Harkin, Boswell want Maytag sale blocked	0.9
Justice to Extend Maytag-Whirlpool Merger Review	0.9
The Share-of-Market Picture	0.85
Kytlteknisk Tidskript	0.9
Microeconomics, 5th ed.	0.9
Appliances Database—Refrigeration	0.9
Clean Air Markets – Data and Maps	0.9
Current Construction Reports, C25 – New One-Family Houses Sold	0.8
Federal Reserve Statistical Release, Selected Interest Rates, Historical Data, Instrument: CDs (secondary market), Maturity: 6-month, Frequency: Annual, Description: Average rate on 6-month negotiable certificates of deposit (secondary market), quoted on an investment basis	0.8
Federal Reserve Statistical Release, Selected Interest Rates, Historical Data, Instrument: Corporate bonds/Moody’s Seasoned AAA, Frequency: Annual, Description: Moody’s yield on seasoned corporate bonds—all industries, AAA	0.8
Federal Reserve Statistical Release, Selected Interest Rates, Historical Data, Instrument: State and local bonds, Maturity: 20-year, Frequency: Monthly,  Description: Bond buyer go 20-bond municipal bond index 	0.8
Historical Income Tables – Households, Table H-6	0.8
NIST Standard Reference Database 23: NIST Thermodynamic Properties of Refrigerants and Refrigerant Mixtures Database, Version 3.0	0.75
Reference Fluid Thermodynamic and Transport Properties	0.85
Residential Energy Consumption Survey, 1993 Public Use Data Files	0.8
Residential Energy Consumption Survey, 1997 Public Use Data Files	0.8
Residential Energy Consumption Survey, 2001 Public Use Data Files	0.8
Residential Energy Consumption Survey, 2001 Public Use Microdata Files	0.8
Residential Energy Consumption Survey, 2005Public Use Data Files	0.8
Table 1.1.9. Implicit Price Deflators for Gross Domestic Product	0.85
 Form EIA-861	0.7
1997 Economic Census, Business Expenses Survey, Retail Trade, Household Appliance Stores	0.8
American Housing Survey	0.85
An Updated Annual Energy Outlook 2009 Reference Case Reflecting Provisions of the American Recovery and Reinvestment Act and Recent Changes in the Economic Outlook	0.85
An Updated Annual Energy Outlook 2009 Reference Case Reflecting Provisions of the American Recovery and Reinvestment Act and Recent Changes in the Economic Outlook	0.85
Annual Energy Outlook 2008 with Projections to 2030	0.85
Annual Energy Outlook 2009 with Projections to 2030	0.85
Appliance Efficiency Regulations	0.9
Application of a Hard Sphere Equation of State to Refrigerants and Refrigerant Mixtures	0.85
California Energy Commission Appliances Database, Appliances Database – Refrigeration	0.8
Canada Gazette, Part II, Statutory Instruments 2006	0.7
Canada’s Energy Efficiency Regulations, Residential Wine Chillers (or Wine Coolers), Final Bulletin	0.85
Clean Air Act	0.77
Clean Air Interstate Rule	0.8
Clean Air Mercury Rule	0.85
Cold II, The revision of energy labeling and minimum energy efficiency standards for domestic refrigeration appliances, Final Report	0.8
Commercial Building Energy Consumption Survey	0.8
Commercial Building Energy Consumption Survey, 2003 Public Use Data Files	0.8
Consumer Products Efficiency Standards: Engineering Analysis	0.85
Consumer Products Efficiency Standards: Engineering Analysis Document	0.85
Department of Justice Antitrust Division Statement on the Closing of its Investigation of Whirlpool’s Acquisition of Maytag	0.85
DOE/ORNL Heat Pump Design Model	0.8
Energy Efficiency Improvements for Refrigerator/Freezers Using Prototype Doors Containing Gas-Filled Panel Insulating Systems	0.75
Energy Efficient Refrigerator Prototype Development	0.85
ENERGY STAR Criteria for Refrigerators: Overview of ENERGY STAR Criteria Setting Process and History of Refrigerator Criteria	0.7
Energy Star Program Requirements for Residential Refrigerators and/or Freezers	0.85
Engineering Computer Models for Refrigerators, Freezers, Furnaces, Water Heaters, Room and Central Air Conditioners	0.8
ERA 1.2E, EPA Refrigerator Analysis Program, User’s Manual, Report to the Environmental Protection Agency Atmospheric Pollution Prevention Division	0.7
Federal Reserve Statistical Release, Selected Interest Rates, Historical Data, Instrument: Corporate bonds/Moody's Seasoned AAA, Frequency: Annual, Description: Moody's yield on seasoned corporate bonds - all industries, AAA	0.8
FEMP Designated Product: Residential Refrigerators	0.85
Field Performance of Residential Refrigerators: A Comparison with the Laboratory Test.	0.8
Final ENERGY STAR Program Requirements and Criteria for Residential Refrigerators and Freezers,	0.75
Final Rule Technical Support Document (TSD): Energy Efficiency Standards for Consumer Products: Clothes Washers	0.75
Finite Element Analysis of Heat Transfer Through the Gasket Region of Refrigerators/Freezers	0.8
Implementation Report: Energy Conservation Standards Activities. Submitted Pursuant to Section 141 of the Energy Policy Act of 2005	0.8
ImSET: Impact of Sector Energy Technologies	0.8
Market Analysis of Potential Changes to the ENERGY STAR Criteria for Refrigerators	0.7
Maximum Allowable Values of Energy Consumption and Evaluating Values of Energy Consumption for Household Refrigerators	0.85
Multiple Pathways to Super Efficient Refrigerators	0.8
NOM-015-ENER-2002: Energy Efficiency of Household Refrigerators and Freezers. Limits, Test Methods and Labeling	0.8
OMB Circular A-4, “Regulatory Analysis,” 	0.8
OMB Circular A-4, Regulatory Analysis	0.8
Opportunities for Energy Savings in the Residential and Commercial Sectors with High-Efficiency Electric Motors, Final Report	0.8
Report to Congress on the Costs and Benefits of Federal Regulations and Unfunded Mandates on State, Local, and Tribal Entities	0.85
Residential Energy Tax Credits	0.8
Resources for Appliance Manufacturers and Retailers, Appliance Sales Data 1998–2006	0.8
Revision of the ENERGY STAR Criteria for Residential Refrigerators and Freezers	0.7
SEC 10-K Reports	0.8200000000000001
Six Common Air Pollutants	0.8
State of the art survey of hermetic compressor technology applicable to domestic refrigerator/freezers	0.9
Statistics of U.S. Businesses	0.85
Survey of Consumer Finances 1989, 1992, 1995, 1998, 2001, 2004, 2007	0.85
Survey of Consumer Finances. 1989, 1992, 1995, 1998, 2001, and 2004	0.85
Technical Report: Analysis of Amended Energy Conservation Standards for Residential Refrigerator-Freezers	0.8
Technical Report: Analysis of Amended Energy Conservation Standards for Residential Refrigerator-Freezers	0.8
Technical Report: Analysis of Amended Energy Conservation Standards for Residential Refrigerator-Freezers	0.8
Technical Support Document: Energy Efficiency Standards for Consumer Products: Refrigerators and Furnaces	0.85
Technical Support Document: Energy Efficiency Standards for Consumer Products: Refrigerators, Refrigerator-Freezers, & Freezers	0.85
Technical Support Document: Energy Efficiency Standards for Consumer Products: Refrigerators, Refrigerator-Freezers, and Freezers	0.85
Technical Support Document: Energy Efficiency Standards for Consumer Products: Refrigerators, Refrigerator-Freezers, and Freezers	0.85
The Effect of Income on Appliances in U.S. Households	0.8
The New York State Residential Refrigerator Electrical Energy Monitoring Project: Final Report	0.8
Allowance Prices (1995-2004), SO2 Allowance Price Index	0.8
Energy Efficiency, Domestic refrigerators and freezers	0.9
ENERGY STAR, Refrigerators & Freezers Key Product Criteria	0.75
ENERGY STAR–Refrigerators & Freezers Key Product Criteria	0.75
Estimates of Refrigerator Loads in Public Housing Based on Metered Consumption Data.	0.85
Gas-Filled Panels – How effectively do GFPs insulate?	0.85
Maintaining the Value of ENERGY STAR: 2006 Report	0.75
Residential Energy Consumption Survey, 2005 Public Use Data Files	0.8
Technical Support Document: Energy Conservation Standards for Consumer Products: Dishwashers, Clothes Washers, and Clothes Dryers	0.85
Technical Support Document: Energy Efficiency Standards for Consumer Products: Refrigerators, Refrigerator-Freezers, and Freezers	0.85
Tracking Study: Awareness of ENERGY STAR/EnerGuide Symbols Final Repor	0.75
2008 Lodging Survey: Lodging Services, Facilities, and Trends	0.85
Aggregated Refrigerator_Freezer Incremental Cost Data for DOE Refrigerator_Freezer Energy Efficiency Standards Rulemaking	0.8
