	We are chronically sleep deprived.	Circadian rhythms in the secretion of cortisol, adrenaline and noradrenaline.	Sleepiness as a consequence of shift work.	Concepts and Models of Sleep Regulation: An overview&quot;,	Homeostatic and circadian components of sUbjective alertness interact in a non-additive manner&quot;,	Bimodal distribution of REM sleep latency during forced desynchrony: model implications&quot;,	Review of fatigue detection and prediction technologies._	Effects of loading and unloading cargo on commercial truck driver alertness and performance~ Federal Motor Carrier Safety Administration FMCSA	Pay for Safety: An Economic Alternative for Truck Driver Safety&quot;,	Commercial Motor Vehicle Driver Fatigue, Alertness, and Countermeasures Survey.&quot; Sponsored by U.S. Department of Transportation, Federal Highway Administration.	A Survey of Owner-Operators and Company Drivers on their Use of Three New 'Hours of Service Features,'&quot; OOIDA Foundation,	A Survey of Private Fleets on their Use of Three New 'Hours of Service Features,'&quot;	06 P a 00 00 I' IS 00 os , Ii 00 i~l 1. ________ ~ ____ . ___ .. _ .1 The 'regular' driver, in addition to showing a higher overall effectiveness, also shows much less
HaS and electronic logs: fleets hold lead	0.4782608695652174	0.3913043478260869	0.41666666666666663	0.4666666666666667	0.5333333333333333	0.4838709677419355	0.4	0.5	0.59375	0.5526315789473684	0.6153846153846154	0.5454545454545454	0.5151515151515151
Roadcheck 2007 Results Show Safety Improvements Are Needed	0.5483870967741935	0.53125	0.4516129032258065	0.4864864864864865	0.5789473684210527	0.5384615384615384	0.4375	0.4285714285714286	0.5526315789473684	0.5227272727272727	0.47619047619047616	0.5128205128205128	0.4871794871794872
Effect of driver fatigue on truck accident rates	0.5217391304347826	0.5	0.45833333333333337	0.5	0.5172413793103448	0.5161290322580645	0.375	0.37037037037037035	0.5333333333333333	0.6153846153846154	0.641025641025641	0.6176470588235294	0.5454545454545454
Effect of driver hours of service on tractor-trailer crash involvement. (Proceedings paper).	0.4444444444444444	0.4285714285714286	0.4482758620689655	0.5277777777777778	0.4545454545454546	0.4571428571428572	0.3214285714285714	0.4242424242424242	0.5555555555555556	0.5238095238095238	0.5813953488372092	0.5897435897435898	0.4444444444444444
Effects of irregular schedules and physical work on commercial driver fatigue and performance	0.4	0.3846153846153846	0.34615384615384615	0.4545454545454546	0.46875	0.375	0.2692307692307693	0.27586206896551724	0.48484848484848486	0.46153846153846156	0.525	0.5277777777777778	0.4571428571428572
Fatigue, circadian rhythm and truck accidents in Vigilance: Theory, Operational Performance and Physiological Correlates	0.5483870967741935	0.3793103448275862	0.5	0.4864864864864865	0.5405405405405406	0.41666666666666663	0.48484848484848486	0.38235294117647056	0.4722222222222222	0.41463414634146345	0.47619047619047616	0.5128205128205128	0.4871794871794872
Performing while sleepy: effects of experimentally induced sleepiness	0.46153846153846156	0.3846153846153846	0.40740740740740744	0.4545454545454546	0.5151515151515151	0.375	0.33333333333333337	0.4375	0.5294117647058824	0.5	0.5609756097560976	0.5277777777777778	0.4571428571428572
Time of day models of motor carrier accident risk	0.4545454545454546	0.2857142857142857	0.45833333333333337	0.59375	0.5172413793103448	0.5161290322580645	0.5	0.4285714285714286	0.48275862068965514	0.5789473684210527	0.6052631578947368	0.5757575757575757	0.5454545454545454
2000 ITS National Motor Carrier Directory	0.6296296296296297	0.5555555555555556	0.6206896551724138	0.6285714285714286	0.7222222222222222	0.6756756756756757	0.6875	0.5757575757575757	0.5757575757575757	0.6097560975609756	0.6	0.6111111111111112	0.6216216216216216
Motor Carrier Financial and Operating Statistics	0.5	0.48	0.5	0.43333333333333335	0.59375	0.5454545454545454	0.4814814814814815	0.3571428571428571	0.6857142857142857	0.5263157894736843	0.5897435897435898	0.6388888888888888	0.6111111111111112
Commercial Driver Rest & Parking Requirements: Making Space for Safety - Final Report	0.6176470588235294	0.5588235294117647	0.48484848484848486	0.34285714285714286	0.4864864864864865	0.4054054054054054	0.5142857142857142	0.32352941176470584	0.37142857142857144	0.40476190476190477	0.4651162790697675	0.5	0.5813953488372092
Commercial motor vehicle driver fatigue and alertness study	0.3913043478260869	0.2272727272727273	0.46153846153846156	0.4516129032258065	0.4666666666666667	0.4193548387096774	0.31999999999999995	0.3214285714285714	0.53125	0.45945945945945943	0.5263157894736843	0.5294117647058824	0.4545454545454546
Commercial Motor Vehicle Driver Fatigue, Alertness, and Countermeasures Survey	0.5172413793103448	0.3928571428571429	0.5625	0.4117647058823529	0.5555555555555556	0.4722222222222222	0.5	0.29032258064516125	0.48571428571428577	0.29729729729729726	0.44999999999999996	0.4864864864864865	0.5
Costs of Large Truck and Bus Involved Crashes	0.5555555555555556	0.4814814814814815	0.5	0.5294117647058824	0.5882352941176471	0.5428571428571429	0.4285714285714286	0.46875	0.6	0.5609756097560976	0.5853658536585367	0.5945945945945945	0.48571428571428577
Costs of Large Truck-and-Bus Involved Crashes	0.5714285714285714	0.5	0.5172413793103448	0.5428571428571429	0.5588235294117647	0.5555555555555556	0.4482758620689655	0.48484848484848486	0.6111111111111112	0.5714285714285714	0.5609756097560976	0.6052631578947368	0.5
