	Department of Energy,	Department of Energy, Office of General Counsel, GC–72, 1000 Independence Avenue,	Report to Congress on the Costs and Benefits of Federal Regulations and Unfunded Mandates on State, Local, and Tribal Entities. Office of Management and Budget Office of Information and Regulatory Affairs,	Applying Cost Analyses to Drive Policy that Protects Children’’	36 Ted Gayer and Robert Hahn, Designing Environmental Policy: Lessons from the Regulation of Mercury Emissions, Regulatory Analysis 05–01. AEI-Brookings Joint Center For Regulatory Studies, Small Business Administration for review.	Reasons for the Proposed Rule Part A–1 of Title III of EPCA addresses the energy efficiency of certain types of commercial and industrial equipment.	Section 136(c); 42 U.S.C. 6313(c)(4)(A)) Hence, DOE is proposing in today’s notice, energy conservation standards for commercial ice-cream freezers; self-contained commercial refrigerators, commercial freezers, and commercial refrigerator-freezers without doors; and remote condensing commercial refrigerators, commercial freezers, and commercial refrigeratorfreezers. 2. Objectives of, and Legal Basis for, the Proposed Rule methodology used in DOE’s manufacturer impact analysis and its analysis of small-business impacts.	Description and Estimate of Compliance Requirements Potential impacts on manufacturers, Finding of No Significant Impact (FONSI) before publishing the final rule on commercial refrigeration equipment, pursuant to the National Environmental Policy Act of	Review Under Executive Order 12988 With respect to the review of existing regulations and the promulgation of new regulations, section 3(a) of Executive Order 12988,	Review Under Executive Order 12630 DOE has determined, under Executive Order 12630, Governmental Actions and Interference with Constitutionally Protected Property Rights,	Under the Treasury and General Government Appropriations Act,	Review Under Executive Order 13211 Executive Order 13211, Actions Concerning Regulations That Significantly Affect Energy Supply, Distribution, or Use,	Submit electronic comments in WordPerfect, Microsoft Word, PDF, or ASCII file format and avoid the use of special characters or any form of encryption. Comments in electronic format should be identified by the docket number EE–2006–STD–0126 and/or RIN 1904–AB59, and whenever Issued in	means: (1) For equipment without doors and ASHRAE Standard 72–2005 test procedure. Calculate compressor energy consumption (CEC) for each compartment using Table 1 in ANSI/ ARI Standard 1200–2006 using the evaporator temperature for that compartment. The calculated daily energy consumption (CDEC) for the entire case shall be the sum of the CEC for each compartment, fan energy consumption (FEC), lighting energy consumption (LEC), anti-condensate energy consumption (AEC), defrost energy consumption (DEC), and condensate evaporator pan energy consumption (PEC) (as measured in ANSI/ARI Standard 1200–2006). (ii) For remote condensing commercial hybrid refrigerators, hybrid freezers, hybrid refrigerator-freezers,	(iii) For self-contained commercial hybrid refrigerators, hybrid freezers, hybrid refrigerator-freezers, and nonhybrid refrigerator-freezers, measure the total daily energy consumption (TDEC) for the entire case according to the ANSI/ASHRAE Standard 72–2005 test procedure.	(3) For remote-condensing and selfcontained wedge cases, measure the CDEC or TDEC according to the ANSI/
Case No. 05-1244, 2008 WL 2698180	0.8333333333333334	0.7619047619047619	0.8043478260869565	0.8333333333333334	0.7407407407407407	0.8095238095238095	0.7407407407407407	0.8333333333333334	0.7441860465116279	0.7659574468085106	0.8378378378378378	0.8043478260869565	0.6599999999999999	0.7090909090909091	0.74	0.7954545454545454
No. 05-1097, 2008 WL 341338	0.896551724137931	0.8333333333333334	0.8936170212765957	0.9459459459459459	0.8181818181818181	0.9069767441860466	0.8181818181818181	0.9183673469387755	0.7857142857142857	0.8541666666666666	0.9189189189189189	0.8695652173913043	0.7692307692307692	0.7857142857142857	0.8	0.8636363636363636
2006 Report to Congress on the Costs and Benefits of Federal Regulations and Unfunded Mandates on State, Local, and Tribal Entities	0.6571428571428571	0.5116279069767442	0.23684210526315785	0.5789473684210527	0.43137254901960786	0.4878048780487805	0.46153846153846156	0.4545454545454546	0.5	0.4444444444444444	0.5135135135135135	0.36585365853658536	0.42000000000000004	0.4629629629629629	0.4375	0.4883720930232558
Annual Energy Outlook 2007	0.5652173913043479	0.48484848484848486	0.641025641025641	0.6206896551724138	0.7058823529411764	0.6285714285714286	0.7058823529411764	0.65	0.6666666666666667	0.6	0.6333333333333333	0.6052631578947368	0.7	0.6981132075471699	0.6444444444444444	0.6923076923076923
Solid-State Lighting Research and Development, Multi-Year Program Plan FY'09-FY'14	0.6666666666666667	0.5227272727272727	0.48888888888888893	0.5135135135135135	0.4716981132075472	0.5348837209302326	0.5	0.4666666666666667	0.5111111111111111	0.4893617021276596	0.5263157894736843	0.5217391304347826	0.46153846153846156	0.5	0.5384615384615384	0.5333333333333333
2005 RS Means Electrical Cost Data	0.6538461538461539	0.5555555555555556	0.5897435897435898	0.5517241379310345	0.6122448979591837	0.6111111111111112	0.6666666666666667	0.6	0.65	0.5853658536585367	0.65625	0.5526315789473684	0.574468085106383	0.6346153846153846	0.5681818181818181	0.6052631578947368
EIA Form 826, Annual 1991 through 2006	0.6296296296296297	0.5405405405405406	0.6097560975609756	0.7058823529411764	0.6274509803921569	0.5945945945945945	0.679245283018868	0.6190476190476191	0.5641025641025641	0.5365853658536586	0.6363636363636364	0.6428571428571428	0.5918367346938775	0.6226415094339622	0.6170212765957447	0.5897435897435898
Estimated Emissions for U.S. Electric Power Industry by State, 1990-2006	0.6470588235294117	0.46341463414634143	0.4651162790697675	0.641025641025641	0.4509803921568627	0.475	0.4509803921568627	0.5111111111111111	0.4883720930232558	0.39534883720930236	0.5405405405405406	0.4651162790697675	0.40816326530612246	0.4528301886792453	0.4897959183673469	0.5116279069767442
Means Costworks 2006: Facility Maintenance & Repair Cost Data	0.6666666666666667	0.575	0.6046511627906976	0.53125	0.5686274509803921	0.625	0.6481481481481481	0.6136363636363636	0.6590909090909092	0.5348837209302326	0.6285714285714286	0.5714285714285714	0.5306122448979591	0.5925925925925926	0.6122448979591837	0.6511627906976745
Mechanical Cost Data 28th Annual Edition	0.7037037037037037	0.5142857142857142	0.5526315789473684	0.4444444444444444	0.64	0.5294117647058824	0.64	0.5641025641025641	0.5789473684210527	0.55	0.5172413793103448	0.5135135135135135	0.6041666666666667	0.6603773584905661	0.6	0.5277777777777778
