	Association of American Railroads (AAR), before U.S. House of Representatives Subcommittee on Railroads,	Car Performance Standards NPRM - RIA NTSB, “Derailment of Canadian Pacific Railway Freight Train 292-16 and Subsequent Release of Anhydrous Ammonia Near	Sign Safety Pact, Traffic World	Car Performance Standards NPRM - RIA “Economic Analysis of Federal Regulations Under Executive Order 12866.” http://www.whitehouse.gov/OMB/inforeg/riaguide.html,	Highway Business Report Fewer Customers,” Augusta Chronicle,	Statement to the docket by the Dow Chemical Company,	Alternative Technologies to Railroad Tank Car Placarding.” Texas Transportation Institute,	Car Performance Standards NPRM - RIA AEI-Brookings Joint Center for Regulatory Studies, “Interests of Amici Curiae: American Trucking Associations,	Abbreviated Injury Scale _____________________________________________________________________________ The Abbreviated Injury Scale (AIS) was &quot;[f]irst published in 1971 under the joint sponsorship of the American Medical Association; the Society of Automotive Engineers; and the Association for the Advancement of Automotive Medicine (formerly the American Association for Automotive Medicine).&quot; The AIS was originally developed for impact injury assessment.	(Produced by the University of California, San Francisco and The John Hopkins University for the National Highway Traffic Satey Administation and the Centers for Disease Control)	Railroad Injury: Causes, Costs, and Comparisons with other Transport Modes,” Journal of Safety Research,
Family Oks Derailment Settlement	0.63	0.5700000000000001	0.71	0.6	0.63	0.63	0.6599999999999999	0.6599999999999999	0.63	0.63	0.63
Highway Business Report Fewer Customers	0.5900000000000001	0.65	0.6799999999999999	0.54	0.0	0.6699999999999999	0.65	0.5900000000000001	0.62	0.5900000000000001	0.5900000000000001
Judge Approves Preliminary Settlement in Graniteville Train Wreck	0.64	0.62	0.5700000000000001	0.6699999999999999	0.69	0.6599999999999999	0.6699999999999999	0.5700000000000001	0.6	0.62	0.65
The Incidence and Economic Costs of Major Health Impairments	0.64	0.65	0.6799999999999999	0.55	0.7	0.62	0.64	0.6	0.55	0.54	0.62
American Factfinder	0.37	0.5800000000000001	0.64	0.5800000000000001	0.69	0.64	0.5800000000000001	0.5800000000000001	0.48	0.5800000000000001	0.64
Anhydrous Ammonia Safety	0.63	0.18000000000000005	0.6699999999999999	0.63	0.6699999999999999	0.63	0.63	0.5900000000000001	0.63	0.5900000000000001	0.45999999999999996
A National Risk Assessment for Selected Hazardous Materials in Transportation	0.5800000000000001	0.62	0.6799999999999999	0.64	0.62	0.5800000000000001	0.51	0.5800000000000001	0.5800000000000001	0.54	0.6
Alternative Approaches to Accident Cost Concepts	0.63	0.65	0.6799999999999999	0.65	0.61	0.61	0.45999999999999996	0.61	0.61	0.5900000000000001	0.61
Cost of Injury in the United States, A Report to Congress	0.6	0.64	0.62	0.64	0.63	0.64	0.62	0.5700000000000001	0.5700000000000001	0.5800000000000001	0.55
Derailment of Canadian Pacific Railway Freight Train 292-16 and Subsequent Release of Anhydrous Ammonia Near Minot, North Dakota	0.62	0.08999999999999997	0.62	0.6699999999999999	0.62	0.64	0.64	0.63	0.61	0.61	0.64
