	Regulatory Impact Analysis: Heavy‐Duty Engine and Vehicle Standards and Highway Diesel Fuel Sulfur Control Requirements, U.S. Environmental Protection Agency, Office of Transportation and Air Quality, Assessment and Standards Division,	Environmental Protection Agency (EPA). 2005a. Clean Air Interstate Rule Emissions Inventory Technical Support Document, U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards,	Emissions Inventory and Emissions Processing for the Clean Air Mercury Rule (CAMR), U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards,	Environmental Protection Agency (EPA). 2007b, Proposed Emission Standards for New Nonroad Spark‐Ignition Engines, Equipment, and Vessels.	Environmental Protection Agency (EPA). 2008a. Air Quality Modeling Platform for the Ozone National Ambient Air Quality Standard Final Rule Regulatory Impact Analysis. North Carolina.	Environmental Protection Agency (EPA). 2008b. Final Ozone NAAQS Regulatory Impact Analysis. U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards,	Environmental Protection Agency (EPA).	Development and applications of a standard visual index.	Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution.”	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the U.S. Environ. Sci. Technol.,	Oxidants and Asthmatics in Los Angeles: A Benefits Analysis -- Executive Summary. Prepared for U.S. Environmental Protection Agency, Office of Policy Analysis. Prepared by Energy and Resource Consultants,	Ambient air pollution and asthma exacerbations in children: an eight-city analysis.	Guidelines for Preparing Economic Analyses.	Letter to Recipients of Third Draft EPA PM Criteria Document. National Center for Environmental Assessment,	Air Quality Criteria for Particulate Matter. Volume I	Regulatory Impact Analysis for the Final Clean Air Interstate Rule.	Regulatory Impact Analysis,	Willingness to Pay for Environmental	Forest Inventory and Analysis National Program: Forest Inventory Data Online. Online database. U.S. Department of Agriculture Forest Service, Forest Inventory and Analysis,	Investigations and Monitoring of Mercury in Indiana by the U.S. Geological Survey.	Episodic acidification of small streams in the northeastern United States: Fish mortality in field bioassays.	Pricing Environmental Health Risks: Survey Assessments of Risk-Risk and Risk-Dollar Trade-Offs for Chronic Bronchitis.”	The Value of a Statistical Life: A Critical Review of Market Estimates throughout the World.”	Effect of short-term exposure to low levels of gaseous pollutants on chronic obstructive pulmonary disease hospitalizations.	Association between ozone and respiratory admissions among children and the elderly in Vancouver,	Chapter 6: Cost Analysis Approach and Results Commercial, and Institutional	Pechan and Associates and Industrial Economics, Direct Cost Estimates for the Clean Air Act Second Section 812 Prospective Analysis: Draft Report, prepared for U.S. EPA, Office of Air and Radiation,	Learning and Cost Reductions for Generating Technologies in the National Energy Modeling System (NEMS),	Proposed Approach for Expanding the Treatment of Learning Curve Impacts for the Second Section 812 Prospective Analysis: Memorandum, prepared for U.S. EPA, Office of Air and Radiation,	Sulfur Dioxide Control by Electric Utilities: What Are the Gains from Trade?”	Ex Post Evaluation of Tradable Permits: The U.S.	Testimony of Jeffrey Holmstead, Assistant Administrator, Office of Air	Are the costs of proposed environmental regulations overestimated?	The Clean Air Act Amendment: Spurring Innovation and Growth While Cleaning the Air.	Incorporating Technological Learning in the Coal Utility Environmental Cost (CUECost) Model: Estimating the Future Cost Trends of SO2, NOx, and Mercury Control Technologies.” Prepared for ARCADIS Geraghty and Miller, Research Triangle Park, NC 27711. Available at http://steps.ucdavis.edu/People/slyeh/syeh‐ resources/Drft%20Fnl%20Rpt%20Lrng%20for%20CUECost_v3.pdf.	Census Bureau	f No data on budget or revenues for this NAICS code is included
Air Pollution and Daily Deaths and Hospital Admissions in Los Angeles and Cook Counties	0.32307692307692304	0.33333333333333337	0.3448275862068966	0.3870967741935484	0.375	0.4285714285714286	0.36363636363636365	0.31818181818181823	0.24528301886792447	0.3220338983050848	0.30000000000000004	0.25	0.26086956521739135	0.2592592592592593	0.37777777777777777	0.25	0.2727272727272727	0.33333333333333337	0.3214285714285714	0.3877551020408163	0.375	0.2542372881355932	0.3571428571428571	0.33333333333333337	0.26530612244897955	0.25	0.3220338983050848	0.33333333333333337	0.33333333333333337	0.34545454545454546	0.3877551020408163	0.33333333333333337	0.24444444444444446	0.33333333333333337	0.41025641025641024	0.5151515151515151	0.3191489361702128
Air pollution and hospital admissions for diseases of the circulatory system in three U.S. metropolitan areas	0.3015873015873016	0.2786885245901639	0.25	0.33333333333333337	0.32258064516129037	0.3114754098360656	0.33333333333333337	0.19047619047619047	0.2941176470588235	0.22807017543859653	0.24137931034482762	0.17391304347826086	0.18181818181818177	0.2692307692307693	0.3023255813953488	0.17391304347826086	0.23809523809523814	0.35	0.2222222222222222	0.19148936170212771	0.13043478260869568	0.29824561403508776	0.33333333333333337	0.22448979591836737	0.23404255319148937	0.21739130434782605	0.22807017543859653	0.3076923076923077	0.2786885245901639	0.24528301886792447	0.23404255319148937	0.2558139534883721	0.16279069767441856	0.26530612244897955	0.42105263157894735	0.5483870967741935	0.24444444444444446
An Empirical Bayes Approach to Combining Estimates of the Value of Statistical Life for Environmental Policy Analysis	0.2753623188405797	0.28358208955223885	0.25806451612903225	0.2727272727272727	0.2647058823529411	0.31343283582089554	0.29166666666666663	0.33333333333333337	0.26315789473684215	0.2063492063492064	0.15625	0.2692307692307693	0.24	0.24137931034482762	0.30612244897959184	0.23076923076923073	0.29166666666666663	0.26086956521739135	0.2666666666666667	0.28301886792452835	0.2692307692307693	0.23809523809523814	0.2666666666666667	0.23636363636363633	0.2075471698113207	0.3076923076923077	0.2698412698412699	0.27586206896551724	0.25373134328358204	0.288135593220339	0.28301886792452835	0.3877551020408163	0.22448979591836737	0.3090909090909091	0.36585365853658536	0.5135135135135135	0.21568627450980393
Deposition and cycling of sulfur controls mercury accumulation in Isle Royale fish	0.3015873015873016	0.2786885245901639	0.2857142857142857	0.3666666666666667	0.32258064516129037	0.34426229508196726	0.38095238095238093	0.19047619047619047	0.33333333333333337	0.29824561403508776	0.31034482758620685	0.21739130434782605	0.2272727272727273	0.2692307692307693	0.34883720930232553	0.13043478260869568	0.1428571428571429	0.30000000000000004	0.2592592592592593	0.23404255319148937	0.26086956521739135	0.29824561403508776	0.37037037037037035	0.22448979591836737	0.23404255319148937	0.17391304347826086	0.26315789473684215	0.2692307692307693	0.3114754098360656	0.3207547169811321	0.36170212765957444	0.3023255813953488	0.16279069767441856	0.30612244897959184	0.42105263157894735	0.5483870967741935	0.24444444444444446
Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter	0.2857142857142857	0.2941176470588235	0.23809523809523814	0.31343283582089554	0.21739130434782605	0.2941176470588235	0.34693877551020413	0.30612244897959184	0.1724137931034483	0.09375	0.23076923076923073	0.2075471698113207	0.21568627450980393	0.2542372881355932	0.28	0.16981132075471694	0.26530612244897955	0.3191489361702128	0.24590163934426235	0.2592592592592593	0.24528301886792447	0.3125	0.34426229508196726	0.2142857142857143	0.2592592592592593	0.24528301886792447	0.28125	0.288135593220339	0.23529411764705888	0.2666666666666667	0.2962962962962963	0.31999999999999995	0.24	0.3214285714285714	0.32530120481927716	0.5789473684210527	0.23076923076923073
Recovery of mercury-contaminated fisheries	0.4	0.3793103448275862	0.3207547169811321	0.4385964912280702	0.38983050847457623	0.4137931034482759	0.3846153846153846	0.23076923076923073	0.375	0.37037037037037035	0.3090909090909091	0.2558139534883721	0.31707317073170727	0.30612244897959184	0.4	0.2558139534883721	0.28205128205128205	0.29729729729729726	0.37254901960784315	0.2727272727272727	0.3023255813953488	0.2962962962962963	0.37254901960784315	0.21739130434782605	0.2727272727272727	0.2558139534883721	0.33333333333333337	0.30612244897959184	0.3793103448275862	0.36	0.31818181818181823	0.30000000000000004	0.19999999999999996	0.3913043478260869	0.5068493150684932	0.5	0.2857142857142857
Contingent valuation of forest ecosystem protection	0.3666666666666667	0.3448275862068966	0.3207547169811321	0.368421052631579	0.35593220338983056	0.3793103448275862	0.28205128205128205	0.17948717948717952	0.29166666666666663	0.2962962962962963	0.3090909090909091	0.2558139534883721	0.2195121951219512	0.30612244897959184	0.30000000000000004	0.16279069767441856	0.17948717948717952	0.18918918918918914	0.2941176470588235	0.2727272727272727	0.3023255813953488	0.33333333333333337	0.37254901960784315	0.21739130434782605	0.2272727272727273	0.2558139534883721	0.33333333333333337	0.30612244897959184	0.3448275862068966	0.36	0.36363636363636365	0.30000000000000004	0.15000000000000002	0.30434782608695654	0.4794520547945206	0.4285714285714286	0.23809523809523814
A Study of Ambient Air Contaminants and Asthma in New York City	0.40625	0.4193548387096774	0.368421052631579	0.34426229508196726	0.3650793650793651	0.4193548387096774	0.4883720930232558	0.39534883720930236	0.42307692307692313	0.3448275862068966	0.35593220338983056	0.3191489361702128	0.37777777777777777	0.3584905660377359	0.40909090909090906	0.3191489361702128	0.39534883720930236	0.41463414634146345	0.34545454545454546	0.33333333333333337	0.3191489361702128	0.3448275862068966	0.34545454545454546	0.31999999999999995	0.29166666666666663	0.3191489361702128	0.3793103448275862	0.3207547169811321	0.4193548387096774	0.2962962962962963	0.33333333333333337	0.36363636363636365	0.31818181818181823	0.36	0.4545454545454546	0.5	0.21739130434782605
Air Quality Criteria for Particulate Matter	0.4482758620689655	0.4285714285714286	0.33333333333333337	0.49090909090909096	0.4035087719298246	0.4642857142857143	0.3513513513513513	0.4054054054054054	0.34782608695652173	0.3846153846153846	0.4339622641509434	0.41463414634146345	0.33333333333333337	0.36170212765957444	0.10526315789473684	0.31707317073170727	0.3513513513513513	0.37142857142857144	0.4285714285714286	0.38095238095238093	0.46341463414634143	0.42307692307692313	0.4285714285714286	0.4545454545454546	0.4285714285714286	0.36585365853658536	0.42307692307692313	0.4042553191489362	0.4285714285714286	0.41666666666666663	0.47619047619047616	0.368421052631579	0.368421052631579	0.4545454545454546	0.5492957746478873	0.5384615384615384	0.35
Ecological Benefits Assessment Strategic Plan	0.4	0.3793103448275862	0.3207547169811321	0.368421052631579	0.38983050847457623	0.3793103448275862	0.23076923076923073	0.33333333333333337	0.33333333333333337	0.33333333333333337	0.3090909090909091	0.34883720930232553	0.2195121951219512	0.34693877551020413	0.35	0.3023255813953488	0.28205128205128205	0.18918918918918914	0.33333333333333337	0.36363636363636365	0.3023255813953488	0.2962962962962963	0.37254901960784315	0.34782608695652173	0.36363636363636365	0.39534883720930236	0.37037037037037035	0.34693877551020413	0.3793103448275862	0.36	0.31818181818181823	0.30000000000000004	0.25	0.3913043478260869	0.5068493150684932	0.5	0.2857142857142857
