	NO PARSCIT CITATIONS
Effect of Driver Fatigue on Truck Accident Rates	0.75
Fatigue, Circadian Rhythm and Truck Accidents	0.6875
Performing While Sleepy: Effects of Experimentally Induced Sleepiness	0.7777777777777778
Owner Operator Independent Drivers Association., Inc. v. FMCSA	0.6470588235294117
Public Citizen et al v. FMCSA	0.6551724137931034
2007 Economic Census: Tables 2.1 to 2.11	0.8125
2007 Economic Census: Transportation: 2007 Commodity Flow Survey	0.7837837837837838
2007 Nonemployer Statistics 	0.7931034482758621
A Case Control Study of Heavy Vehicle Drivers’ Working Time and Safety	0.7435897435897436
American Time Use Survey, Census Code 9130, Drivers/Sales Workers and Truck Drivers	0.7435897435897436
Analysis of Fatigue-Related Large Truck Crashes, the Assignment of Critical Reason, and Other Variables Using the Large Truck Crash Causation Study	0.6666666666666667
Commercial Motor Vehicle Driver Fatigue and Alertness Study and Countermeasures Survey	0.7714285714285715
Effects of Operating Practices on Commercial Driver Alertness	0.6875
Environmental Assessment for Hours of Service (HOS) Rule	0.696969696969697
Estimates and the Prevalence and Risk of Fatigue in Fatal Accidents Involving Medium and Heavy Trucks	0.6923076923076923
Evidence of Fatigue and the Circadian Rhythm in the Accident Experience 	0.7647058823529411
Hours of Service of Drivers; Drivers Rest and Sleep for Safe Operations; Final Rule 	0.7575757575757576
Large Truck Crash Causation Study in the United States	0.7419354838709677
Regulatory Evaluation of the Fees for the Unified Carrier Registration Plan	0.7575757575757576
Regulatory Impact Analysis for Hours of Service Options	0.6470588235294117
Social Security Administration, Actuarial Tables	0.7333333333333334
Table H2. Households, by Type, Age of Members, Region of Residence, and Age of Householde: 2010	0.8
Treatment of the Economic Value of a Statistical Life in Departmental Analyses - 2009 Annual Revision	0.75
Unit Cost of Medium/Heavy Truck Crashes	0.8235294117647058
Comparing GES and LTCCS Preliminary LTCCS File	0.6774193548387097
Effect of Driver Hours of Service on Tractor-Trailer Crash Involvement 	0.7058823529411764
Effects of Sleep Schedules on Commercial Motor Vehicles Driver Performance	0.7714285714285715
Factors Affecting Motor Carrier Crash Risk: Final Report	0.75
Fatigue Avoidance Scheduling Tool: Phase I SBIR Final Report	0.6111111111111112
Private Fleet Directory 2007-2008	0.8620689655172413
Safety Implications of multi-Day Driving Schedules for Truck Driving: Comparison of Field Experience and Crash Data Analysis	0.7142857142857143
Trucks Involved in Fatal Accidents Factbook 2005	0.7575757575757576
University of Michigan Trucking Industry Program Driver Surveys	0.7222222222222222
Regulatory Impact Analysis and Small Business Analysis for Hours of Service Options	0.6666666666666667
Time of Day Models of Motor Carrier Accident Risk	0.6875
Catastrophes, Sleep, and Public Policy: Consensus Report	0.696969696969697
Prevalence of Obesity, Diabetes, and Obesity-Related Health Risk Factors, 2001	0.7948717948717949
The Association Between Job Related Factors, Short Sleep and Obesity	0.6666666666666667
Rotating Shift Work, Sleep and Accidents Related to Sleepiness in Hospital Nurses	0.7142857142857143
Effects of Irregular Schedules and Physical Work on Commercial Driver Fatigue and Performance	0.736842105263158
Sleep Duration and Mortality in Japan: The Jichi Medical School Cohort Study	0.75
Sleepiness as a Consequence of Shift Work	0.8
Sleep Loss and Performance: No “Safe” Duration of a Monotonous Task	0.7297297297297297
Manifest sleepiness and the spectral content of the EEG during shift work	0.9375
Circadian Rhythms in the Secretion of Cortisol, Adrenaline and Nonadrenaline	0.625
Self-Reported Sleep Duration as a Predictor of All-Cause Mortality: Results from the JACC Study, Japan	0.6923076923076923
The Impact of Work Practices on Fatigue in Long Distance Truck Drivers	0.7714285714285715
Commercial Drivers’ Health: A Naturalistic Study of Body Mass Index, Fatigue, and Involvement in Safety-Critical Events	0.7333333333333334
Sitting Time and Mortality from All Causes, Cardiovascular Disease, and Cancer	0.7142857142857143
Multiday Driving Patterns and Motor Carrier Accident Risk: A Disaggregate Analysis 	0.7058823529411764
Modeling the Impact of the Components of Long Work Hours on Injuries and “Accidents”	0.7948717948717949
A Prospective Study of Change in Sleep Duration: Associations with Mortality in the Whitehall 11 Cohort	0.7435897435897436
The Impact of Overweight and Obesity on the Direct Medical Costs of Truck Drivers	0.7435897435897436
Modeling the Safety of Truck Driver Service Hours Using Time-Dependent Logistic Regression	0.8
Sleep and the Epidemic of Obesity in Children and Adults	0.7058823529411764
Valuing International Safety Externalities: Does the Golden Rule Apply?	0.736842105263158
Sleep Duration and All-cause Mortality: A Systematic Review and Meta-Analysis of Prospective Studies	0.7297297297297297
Evaluating the 2003 Revised Hours-of-Service Regulations for Truck Drivers: The Impact of Time on Task on Critical Incident Risk	0.7209302325581395
The Sleep of Commercial Vehicle Drivers Under the 2003 Hours-of-Service Regulations	0.7560975609756098
We are Chronically Sleep Deprived	0.7857142857142857
