	Letter to Hon. Nancy Pelosi.	States as Policy Laboratories: Emulating Success in the Children’s Health Insurance Program”	Active Purchasing for Health Exchanges: An Analysis of Options:	and Elizabeth McGylnn(2010) Establishing State Health Insurance Exchanges.	Health Reform in Massachusetts An Update As of fall	Citations Actuarial Research Corporation. &quot;Reinsurance attachment point estimates.&quot;	The Value of Health Insurance: Few of the Uninsured Have Adequate Resources to Pay Potential Hospital Bills.	Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:	Independent Report on the Healthy NY Program for Calendar Year	Medicare & Medicaid Services. &quot;Announcement of Calendar Year (CY)	Employer Health Benefits,	Does major illness cause financial catastrophe?&quot;	Cost and Funding Considerations for a Statewide All-Payer Claims Database (APCD). .&quot;	Katherine Baicker, and The Oregon Health Study Group. &quot;The Oregon Health Insurance Experiment: Evidence from the First Year.&quot;	Generosity and adjusted premiums in job-based insurance: Hawaii is up, Wyoming is down.&quot;	Patient Protection and Affordable Care Act (PPACA): Long Term Costs for Gvoernments, Employers, Families and Providers.&quot; Staff Working Paper	Race and insurance status as risk factors for trauma mortality.&quot;	Care without coverage: too little, too late:	The impact of health insurance on health.&quot;	of Health Care Finance and Policy. &quot;2009 Annual Report Health Safety Net.&quot;	All-Payer Claims Databases. (Robert Woods Johnson Foundation.	Office of External Affairs and Beneficiary Services, Unpublished. &quot;FY	Office of the Inspector General. Medicaid Managed Care Encounter Data: Collection and Use.	Reinsurance: How States Can Make Health Coverage More Affordable for Employers and Workers: Commonwealth Fund,	Healthy New York: Making Insurance More Affordable for LowIncome Workers: The Commonwealth Fund.,	Massachusetts Health Care Reform—Near-Universal Coverage at What Cost?&quot;
Medicaid Managed Care Encounter Data: Collection and Use	0.4054054054054054	0.29166666666666663	0.33333333333333337	0.4	0.2857142857142857	0.38095238095238093	0.42307692307692313	0.3877551020408163	0.47619047619047616	0.36170212765957444	0.4358974358974359	0.38095238095238093	0.4117647058823529	0.4576271186440678	0.4285714285714286	0.423728813559322	0.38095238095238093	0.29729729729729726	0.41463414634146345	0.4901960784313726	0.4042553191489362	0.4339622641509434	0.14893617021276595	0.33333333333333337	0.38181818181818183	0.36
Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals: 2008	0.4693877551020408	0.33333333333333337	0.33333333333333337	0.3870967741935484	0.33333333333333337	0.4444444444444444	0.3125	0.049180327868852514	0.40740740740740744	0.4576271186440678	0.33333333333333337	0.4444444444444444	0.3650793650793651	0.352112676056338	0.4426229508196722	0.295774647887324	0.4444444444444444	0.5102040816326531	0.39622641509433965	0.3015873015873016	0.35593220338983056	0.29230769230769227	0.38983050847457623	0.2727272727272727	0.31343283582089554	0.4838709677419355
Trend Data	0.5384615384615384	0.6216216216216216	0.6470588235294117	0.641025641025641	0.5483870967741935	0.6129032258064516	0.6097560975609756	0.5789473684210527	0.5483870967741935	0.6111111111111112	0.5714285714285714	0.5483870967741935	0.6	0.6666666666666667	0.631578947368421	0.6666666666666667	0.5483870967741935	0.6153846153846154	0.5333333333333333	0.65	0.5555555555555556	0.6666666666666667	0.5555555555555556	0.6744186046511628	0.6363636363636364	0.6923076923076923
2009 Annual Report Health Safety Net	0.42105263157894735	0.4693877551020408	0.34782608695652173	0.4509803921568627	0.3023255813953488	0.39534883720930236	0.39622641509433965	0.36	0.3023255813953488	0.5	0.35	0.4418604651162791	0.5	0.5	0.56	0.5333333333333333	0.4418604651162791	0.5263157894736843	0.4285714285714286	0.1923076923076923	0.45833333333333337	0.4444444444444444	0.5	0.38181818181818183	0.4642857142857143	0.4509803921568627
Cost and Funding Considerations for a Statewide All-Payer Claims Database	0.4285714285714286	0.28301886792452835	0.36	0.4545454545454546	0.36170212765957444	0.4042553191489362	0.368421052631579	0.2592592592592593	0.36170212765957444	0.34615384615384615	0.40909090909090906	0.4042553191489362	0.1071428571428571	0.4375	0.37037037037037035	0.3125	0.36170212765957444	0.4285714285714286	0.4347826086956522	0.3571428571428571	0.1923076923076923	0.3793103448275862	0.3846153846153846	0.2542372881355932	0.30000000000000004	0.4181818181818182
All-Payer Claims Databases	0.3939393939393939	0.40909090909090906	0.46341463414634143	0.5652173913043479	0.4736842105263158	0.42105263157894735	0.5416666666666667	0.4222222222222223	0.4736842105263158	0.4883720930232558	0.4285714285714286	0.4736842105263158	0.3191489361702128	0.6363636363636364	0.5111111111111111	0.49090909090909096	0.4736842105263158	0.5151515151515151	0.5135135135135135	0.5319148936170213	0.2558139534883721	0.5510204081632653	0.5348837209302326	0.48	0.4901960784313726	0.5217391304347826
Announcement of Calendar Year 2012 Medicare Advantage Capitation Rates and Medicare Advantage and Part D Payment Policies and Final Call Letter	0.41666666666666663	0.35593220338983056	0.3214285714285714	0.4098360655737705	0.28301886792452835	0.3584905660377359	0.33333333333333337	0.3666666666666667	0.3207547169811321	0.31034482758620685	0.43999999999999995	0.39622641509433965	0.32258064516129037	0.4	0.4666666666666667	0.3142857142857143	0.3584905660377359	0.45833333333333337	0.42307692307692313	0.29032258064516125	0.31034482758620685	0.375	0.3448275862068966	0.2615384615384615	0.303030303030303	0.3770491803278688
Independent Report on the Health NY Program for Calendar Year 2010	0.46341463414634143	0.3846153846153846	0.4285714285714286	0.4444444444444444	0.34782608695652173	0.4347826086956522	0.4285714285714286	0.4339622641509434	0.08695652173913049	0.4901960784313726	0.39534883720930236	0.4782608695652174	0.49090909090909096	0.46031746031746035	0.5471698113207547	0.5238095238095238	0.4782608695652174	0.5121951219512195	0.4666666666666667	0.3090909090909091	0.4509803921568627	0.543859649122807	0.4117647058823529	0.4137931034482759	0.38983050847457623	0.40740740740740744
Reinsurance attachment point estimates	0.375	0.39534883720930236	0.35	0.5111111111111111	0.18918918918918914	0.18918918918918914	0.4042553191489362	0.40909090909090906	0.4054054054054054	0.4285714285714286	0.2941176470588235	0.2432432432432432	0.5217391304347826	0.4814814814814815	0.40909090909090906	0.5185185185185186	0.29729729729729726	0.375	0.2222222222222222	0.4347826086956522	0.38095238095238093	0.45833333333333337	0.38095238095238093	0.3877551020408163	0.48	0.37777777777777777
The Value of Health Insurance: Few of the Uninsured Have Adequate Resources to Pay Potential Hospital Bills	0.41666666666666663	0.35593220338983056	0.25	0.47540983606557374	0.24528301886792447	0.3584905660377359	0.015873015873015928	0.2666666666666667	0.3584905660377359	0.4137931034482759	0.36	0.39622641509433965	0.3870967741935484	0.2857142857142857	0.4	0.34285714285714286	0.3584905660377359	0.41666666666666663	0.34615384615384615	0.29032258064516125	0.3793103448275862	0.28125	0.3448275862068966	0.2615384615384615	0.303030303030303	0.3770491803278688
