	Urban ornamental plants: sensitivity to ozone and potential economic losses. U.S. EPA, Office of Air Quality Planning and Standards, Research Triangle Park. Under contract to RADIAN Corporation, contract no. 68-D3-0033,	A reassessment of the economic effects of ozone on U.S.	The benefits of pollution control: the case of ozone	Ambient ozone effects on forest trees of the eastern United States: a review.	A preliminary assessment of the Montreal process indicators of air pollution for the United States. Environmental Monitoring and Assessment, Integrated Science Assessment	Air Pollution Damage to U.S. Forests.	Impact of Air Pollutants on Southern Pine Forests,	The physiological basis of ozone injury assessment attributes in Sierran conifers. In	The need for a long term cumulative secondary ozone standard ‚Äì an ecological perspective. Environmental Management,	Implications of environmental policy for U.S. agriculture: the case of ambient ozone standards.	Effects of oxidant air pollutants on forest succession in the mixed conifer forest type of southern California. In: Air Pollutants Effects on Forest Ecosystems,	Oxidant air pollution effects on a western coniferous forest ecosystem.	Little‚Äôs range and FIA importance value database for 135 eastern U.S. tree species. Northeastern Research Station, USDA Forest Service. Available on the Internet at http://www.fs.fed.us/ne/delaware/4153/global/littlefia/index.html Pye,	A national ozone biomonitoring program‚Äî results from field surveys of ozone sensitive plants in Northeastern forests (1994-2000). Environmental Monitoring and Assessment,	Deterministic versus stochastic evaluation of the aggregate economic effects of price support programs.	Variation in plant response to ozone: a conceptual model of physiological events.	The Benefits and Costs of the Clean Air Act, 1990-2010. Prepared for U.S. Congress by U.S.	Available on the Internet at http://www.epa.gov/oar/sect812/1990-2010/chap1130.pdf U.S. Environmental Protection Agency	Guidance on the Use of Models and Other Analyses for Demonstrating Attainment of Air Quality Goals for Ozone, PM2.5, and Regional Haze. Office of Air Quality Planning and Standards. EPA-454/B-07-002. April. Available on the Internet at http://www.epa.gov/scram001/guidance/guide/final-03-pm-rh-guidance.pdf U.S. Environmental Protection Agency	Available on the Internet at http://cfpub.epa.gov/ncea/cfm/recordisplay.cfm?deid=201485 U.S. Environmental Protection Agency
Estimating Mortality Risk Reduction and Economic Benefits from Controlling Ozone Air Pollution	0.7853881278538812	0.6808510638297872	0.7553191489361702	0.7978723404255319	0.7411764705882353	0.7978723404255319	0.7553191489361702	0.8191489361702128	0.782608695652174	0.8	0.70625	0.723404255319149	0.8212765957446808	0.7647058823529411	0.7669902912621359	0.776595744680851	0.8617021276595744	0.8151260504201681	0.8338192419825073	0.8064516129032258
Air Quality Criteria for Ozone and Related Photochemical Oxidants (Final)	0.821917808219178	0.7945205479452054	0.7808219178082192	0.8311688311688312	0.788235294117647	0.7534246575342466	0.7945205479452054	0.7764705882352941	0.7391304347826086	0.7789473684210526	0.79375	0.8356164383561644	0.8468085106382979	0.788235294117647	0.7669902912621359	0.7654320987654321	0.8111111111111111	0.8235294117647058	0.8425655976676385	0.8064516129032258
Clean Air Scientific Advisory Committee’s (CASAC) Review of the Agency’s Final Ozone Staff Paper	0.817351598173516	0.75	0.7604166666666666	0.75	0.7823529411764706	0.8125	0.7395833333333334	0.8125	1.0	0.78125	0.78125	0.7916666666666666	1.0	1.0	0.8543689320388349	0.8125	0.8333333333333334	0.8403361344537815	0.8513119533527697	0.8306451612903226
Guidance on the Use of Models and Other Analyses for Demonstrating Attainment of Air Quality Goals for Ozone, PM2.5, and Regional Haze	0.7579908675799086	0.7686567164179104	0.7835820895522388	0.7388059701492538	0.7294117647058823	0.8507462686567164	0.7985074626865671	0.753731343283582	0.7761194029850746	0.746268656716418	0.78125	0.7611940298507462	0.7702127659574468	0.7705882352941177	0.7985074626865671	0.7388059701492538	0.7686567164179104	0.8059701492537313	0.60932944606414	0.8134328358208955
Integrated Science Assessment for Oxides of Nitrogen - Health Criteria (Final Report)	0.7899543378995434	0.7176470588235294	0.7647058823529411	0.7058823529411765	0.7529411764705882	0.8352941176470589	0.7647058823529411	0.8705882352941177	0.7652173913043478	0.8	0.76875	0.8117647058823529	0.8085106382978723	0.7647058823529411	0.7864077669902912	0.8	0.8444444444444444	0.8487394957983193	0.8338192419825073	0.8306451612903226
Integrated Science Assessment for Oxides of Nitrogen and Sulfur – Ecological Criteria National (Final Report)	0.7671232876712328	0.7247706422018348	0.7798165137614679	0.7247706422018348	0.7235294117647059	0.8532110091743119	0.7889908256880734	0.8073394495412844	1.0	0.7706422018348624	0.75625	0.7889908256880734	1.0	1.0	0.7981651376146789	0.7339449541284404	0.7889908256880734	0.8739495798319328	0.8104956268221575	0.8467741935483871
Integrated Science Assessment for Particulate Matter (Second External Review Draft)	0.8036529680365296	0.7469879518072289	0.7710843373493976	0.7108433734939759	0.7647058823529411	0.8313253012048193	0.7469879518072289	0.8235294117647058	0.7739130434782608	0.7473684210526316	0.7875	0.8192771084337349	0.7957446808510639	0.7764705882352941	0.7669902912621359	0.8433734939759037	0.8222222222222222	0.8151260504201681	0.8454810495626822	0.7903225806451613
Little’s range and FIA importance value database for 135 eastern U.S. tree species	0.8264840182648402	0.7560975609756098	0.7804878048780488	0.7073170731707317	0.7705882352941177	0.7560975609756098	0.7439024390243902	0.8117647058823529	1.0	0.8	0.7625	0.8048780487804879	1.0	1.0	0.7864077669902912	0.8536585365853658	0.7777777777777778	0.7815126050420168	0.8425655976676385	0.7661290322580645
Oxidant air pollution effects on a western coniferous forest ecosystem	0.8127853881278538	0.7714285714285715	0.7	0.6883116883116883	0.7529411764705882	0.6714285714285714	0.6	0.788235294117647	0.7478260869565218	0.7684210526315789	0.6375	0.014084507042253521	0.8212765957446808	0.7647058823529411	0.7087378640776699	0.7407407407407407	0.7888888888888889	0.7983193277310925	0.8629737609329446	0.7903225806451613
Review of the National Ambient Air Quality Standards for Ozone: Policy assessment of scientific and technical information	0.7534246575342466	0.7768595041322314	0.7768595041322314	0.7355371900826446	0.7294117647058823	0.8512396694214877	0.768595041322314	0.6446280991735537	0.7603305785123967	0.743801652892562	0.7625	0.768595041322314	0.7957446808510639	0.7705882352941177	0.7933884297520661	0.7107438016528925	0.8347107438016529	0.8347107438016529	0.7755102040816326	0.8306451612903226
The Benefits and Costs of the Clean Air Act, 1990-2010	0.8447488584474886	0.8181818181818182	0.6666666666666666	0.6363636363636364	0.8117647058823529	0.8148148148148148	0.8148148148148148	0.7764705882352941	0.7913043478260869	0.8105263157894737	0.79375	0.8028169014084507	0.8723404255319149	0.8117647058823529	0.7669902912621359	0.8148148148148148	0.4	0.8235294117647058	0.8950437317784257	0.8548387096774194
The NOx Budget Trading Program: 2008 Environmental Results. Clean Air Markets Division	0.8310502283105022	0.813953488372093	0.7558139534883721	0.8372093023255814	0.7705882352941177	0.813953488372093	0.7674418604651163	0.7906976744186046	0.7565217391304347	0.8631578947368421	0.76875	0.7906976744186046	0.8425531914893617	0.7705882352941177	0.8446601941747572	0.8372093023255814	0.8444444444444444	0.8487394957983193	0.8658892128279884	0.8225806451612904
Urban ornamental plants: sensitivity to ozone and potential economic losses	0.6575342465753424	0.7466666666666667	0.7733333333333333	0.8051948051948052	0.7529411764705882	0.8133333333333334	0.76	0.788235294117647	0.7217391304347827	0.7263157894736842	0.71875	0.7866666666666666	0.8170212765957446	0.7411764705882353	0.7669902912621359	0.654320987654321	0.8222222222222222	0.7983193277310925	0.8483965014577259	0.7983870967741935
