	Availability of Nutrition Information from Chain Restaurants in	Is the Obesity Epidemic a Public Health Problem? A Decade	Strategies for Promoting Healthier Food Choices.” American Economic Review: Papers and Proceedings,	Doing it Now or	Prevalence and Trends in Obesity Among U.S.	Prevalence of Overweight, Obesity, and Extreme Obesity Among Adults: United States,	The Effect of Obesity and Cardiometabolic Risk Factor on Expenditures and Productivity in the US.” Obesity,	Size Matters: The Influence of Adolescent’s Weight and	Self-Perception and Mental Health among	The Impact of Obesity on	Annual Medical Spending Attributable to Obesity: Payer-	Will all Americans become Overweight or Obese? Estimating the Progression and	Department of Health and Human Services and U.S. Department of Agriculture, “2010 Dietary Guidelines for Americans,” 7th ed., Washington DC: U.S. Government Printing Office,	The Growth of Obesity and Technological Change: A Theoretical and Empirical Examination,”	The Long-Run Growth in Obesity as a Function of Technological Change.”	"Nutrient Contribution of Food Away From Home."" In America&apos;s Eating Habits: Changes and Consequences,"	Separating what We Eat from where:	Foundation. “Menu Labeling: Does Providing Nutrition Information at the Point of Purchase Affect Consumer Behavior?” Healthy Eating Research,	Taxing Caloric Sweetened Beverages: Potential Effects on	FDA Labeling Cost Model, Final Report.” Prepared for Amber Jessup, DHHS/PHS/FDA/CFSAN. Prepared by	Silliker Information.” Memo to File,	Online Appendix for ‘Are Restaurants Really Supersizing America?’”	Testing Laboratory. “Quality Nutrition Analysis.”	Evaluation Of Recordkeeping Costs For Food Manufacturers, Final Report.” Prepared for Andy Estrin and Cristina McLaughlin DHHS/PHS/FDA/CFSAN. Prepared by Aylin Sertkaya, Ayesha Berlind and Seda Erdem. Contract No. 223-01-2461, Task Order Number 5,	FDA Report,” ReCount Restaurant Census.	Under the Radar: Top 50	Acquisition Pace Quickens in 2010, but Despite Consolidation, Top Chains Still Account for Nearly 40	Sector 72: Sub: Single Unit & Multiunit Firms for the U.S:	Insights “New menu items at restaurants” Memo to File.	Display Signs & Design “Order/Get Menu Pricing” website http://www.dsdsign.com/Pages/menus3.htm. accessed on October 6,	McDonald’s meeting	Sector 72: Sub: Seating Capacity for the U.S. and States:	Statistics. “Job Openings and Labor Turnover Survey: Accommodation and food services,	Paying Attention to Retention.”	KFC’s New Computer-Based Training Program Proves a Time Saver and Better Tool for	Statistics. “Occupational Employment Statistics Query System:	Statistics. “Occupational Employment Statistics Query System:	Statistics. “Occupational Employment Statistics Query System:	Consumer Awareness of Fast-Food Calorie Information in New York City After Implementation of a Menu Labeling Regulation.”	"Calorie Posting in Chain Restaurants."""	Purchasing Behavior and Calorie Information at Fast-Food Chains in	The Psychology of Food Consumption: Strategies for Promoting Healthier Food Choices”. American Economic Review:	"Calorie Labeling And Food Choices: A First Look At The Effects On Low-Income People In New York City."""	Adolescent Fast Food and Restaurant Ordering Behavior with and without Calorie and Fat Content Menu Information.”	Do Nutrition Labels Improve Dietary Outcomes?	Mandatory Menu Labeling in One Fast-Food Chain in King County,	Child and Adolescent Fast-Food Choice and the Influence of Calorie Labeling:	"Nutrition Menu Labeling May Lead to Lower-Calorie Restaurant Meal Choices for Children."" Pediatrics,"	Measuring the Health of the U.S. Population,” Brookings Paper, Microeconomics,	Obesity-Related Quality-Adjusted Life Years Lost in the U.S. from 1993-2008,”	Trends in Quality-Adjusted Life-Years Lost Contributed by Smoking and Obesity,”	Statistical Abstract of the United States:	Modeling Weight-Loss Maintenance to Help Prevent Body Weight Regain,”	Sectors 44-45: Sub: Single Unit & Multiunit Firms for the U.S:	Sector 72: Sub: Single Unit & Multiunit Firms for the US:	Sector 71: Sub: Single Unit & Multiunit Firms for the US:	Sector 51: Sub: Single Unit & Multiunit Firms for the US:	Association.	Association. When American Flies, it Works:	Global Airline Industry Program, “Total Operating Fleet,” Airline Data Project.	Global Airline Industry Program, “Average Seat Capacity of Total Operating Fleet,” Airline Data Project.	Transportation Statistics. “Appendix D – Modal Profiles, Rail Profile,” National Transportation Statistics.	The Partner of Choice: Annual Report FY	Transportation Statistics. National Census of Ferry Operators.
Acquisition Pace Quickens in 2010, but Despite Consolidation, Top Chains Still Account for Nearly 40 Percent of Industry's Total Stores	0.762962962962963	0.7851851851851852	0.7925925925925926	0.9037037037037037	0.837037037037037	0.762962962962963	0.8148148148148148	0.8074074074074075	0.8296296296296296	0.8962962962962963	0.7925925925925926	0.7777777777777778	0.7861271676300579	0.8	0.7777777777777778	0.8074074074074075	0.8444444444444444	0.7872340425531915	0.8074074074074075	0.8444444444444444	0.8518518518518519	0.8	0.8296296296296296	0.7894736842105263	0.8518518518518519	0.8962962962962963	0.25925925925925924	0.8074074074074075	0.7925925925925926	0.8444444444444444	0.9111111111111111	0.7777777777777778	0.7703703703703704	0.8296296296296296	0.7703703703703704	0.7851851851851852	0.7851851851851852	0.7851851851851852	0.7851851851851852	0.8296296296296296	0.7851851851851852	0.8074074074074075	0.7777777777777778	0.7555555555555555	0.8222222222222222	0.7851851851851852	0.7481481481481481	0.725925925925926	0.7777777777777778	0.8	0.7851851851851852	0.8074074074074075	0.7851851851851852	0.8148148148148148	0.8074074074074075	0.8074074074074075	0.8074074074074075	0.9259259259259259	0.8074074074074075	0.7851851851851852	0.7851851851851852	0.7777777777777778	0.837037037037037	0.7555555555555555
KFC's New Computer-Based Training Program Proves a Time Saver and Better Tool for Learning	0.8	0.8	0.7878787878787878	0.8666666666666667	0.8111111111111111	0.8444444444444444	0.8037383177570093	0.7777777777777778	0.7888888888888889	0.8333333333333334	0.8111111111111111	0.7777777777777778	0.7803468208092486	0.7888888888888889	0.8	0.8095238095238095	0.7777777777777778	0.75177304964539	0.8	0.826530612244898	0.8333333333333334	0.8111111111111111	0.8222222222222222	0.8097165991902834	0.8111111111111111	0.8666666666666667	0.79	0.8222222222222222	0.7666666666666667	0.8235294117647058	0.8666666666666667	0.7777777777777778	0.8	0.8444444444444444	0.1111111111111111	0.8555555555555555	0.8555555555555555	0.8555555555555555	0.7520661157024794	0.8	0.7777777777777778	0.8018018018018018	0.8137254901960784	0.7256637168141593	0.7555555555555555	0.8111111111111111	0.7666666666666667	0.82	0.8444444444444444	0.8111111111111111	0.8333333333333334	0.8333333333333334	0.7666666666666667	0.8222222222222222	0.8222222222222222	0.8222222222222222	0.8222222222222222	0.9111111111111111	0.8111111111111111	0.7888888888888889	0.8076923076923077	0.7663551401869159	0.8222222222222222	0.8111111111111111
Online Appendix for 'Are Restaurants Really Supersizing America?'	0.9076923076923077	0.7538461538461538	0.7676767676767676	0.8769230769230769	0.7538461538461538	0.8072289156626506	0.794392523364486	0.8307692307692308	0.7538461538461538	0.8153846153846154	0.7846153846153846	0.8051948051948052	0.815028901734104	0.8202247191011236	0.8571428571428571	0.7904761904761904	0.8	0.7801418439716312	0.7846153846153846	0.7959183673469388	0.8	0.045454545454545456	0.7846153846153846	0.8502024291497976	0.7230769230769231	0.8153846153846154	0.78	0.8615384615384616	0.7538461538461538	0.8067226890756303	0.8615384615384616	0.8769230769230769	0.7764705882352941	0.7384615384615385	0.8024691358024691	0.9076923076923077	0.9076923076923077	0.9076923076923077	0.7768595041322314	0.7692307692307693	0.8939393939393939	0.7747747747747747	0.7941176470588235	0.7876106194690266	0.8	0.8615384615384616	0.8026315789473685	0.67	0.782051282051282	0.8571428571428571	0.759493670886076	0.8153846153846154	0.8405797101449275	0.9076923076923077	0.8615384615384616	0.8615384615384616	0.8615384615384616	0.9076923076923077	0.8	0.7974683544303798	0.7307692307692307	0.7476635514018691	0.7846153846153846	0.8461538461538461
Paying Attention to Retention	0.6984126984126984	0.8596491228070176	0.8181818181818182	0.7241379310344828	0.7441860465116279	0.7951807228915663	0.8504672897196262	0.7592592592592593	0.6923076923076923	0.7586206896551724	0.7272727272727273	0.7922077922077922	0.8786127167630058	0.8089887640449438	0.7714285714285715	0.8380952380952381	0.7941176470588235	0.8439716312056738	0.7142857142857143	0.8571428571428571	0.75	0.7424242424242424	0.7346938775510204	0.9109311740890689	0.7692307692307693	0.8620689655172413	0.79	0.7931034482758621	0.7777777777777778	0.8319327731092437	0.7931034482758621	0.7894736842105263	0.8235294117647058	0.06451612903225806	0.8395061728395061	0.7868852459016393	0.7868852459016393	0.7868852459016393	0.8264462809917356	0.6842105263157895	0.7272727272727273	0.8288288288288288	0.8235294117647058	0.8053097345132744	0.8	0.7419354838709677	0.8026315789473685	0.82	0.7564102564102564	0.8441558441558441	0.8354430379746836	0.6904761904761905	0.7391304347826086	0.8064516129032258	0.8070175438596491	0.8070175438596491	0.8070175438596491	0.8275862068965517	0.7674418604651163	0.810126582278481	0.8173076923076923	0.8130841121495327	0.7435897435897436	0.7580645161290323
The Psychology of Food Consumption: Strategies for Promoting Healthier Food Choices	0.7228915662650602	0.7590361445783133	0.797979797979798	0.8674698795180723	0.8072289156626506	0.7831325301204819	0.719626168224299	0.8313253012048193	0.7469879518072289	0.8313253012048193	0.8192771084337349	0.8192771084337349	0.791907514450867	0.8089887640449438	0.7710843373493976	0.7142857142857143	0.7831325301204819	0.75177304964539	0.7710843373493976	0.8061224489795918	0.7951807228915663	0.8313253012048193	0.7831325301204819	0.8259109311740891	0.8192771084337349	0.8795180722891566	0.82	0.7951807228915663	0.7469879518072289	0.8235294117647058	0.8674698795180723	0.7349397590361446	0.8	0.7831325301204819	0.8192771084337349	0.8072289156626506	0.8072289156626506	0.8072289156626506	0.7272727272727273	0.7951807228915663	0.7228915662650602	0.25225225225225223	0.7352941176470589	0.7787610619469026	0.7831325301204819	0.7951807228915663	0.8072289156626506	0.82	0.7951807228915663	0.8554216867469879	0.8433734939759037	0.7951807228915663	0.8313253012048193	0.7951807228915663	0.7831325301204819	0.7831325301204819	0.7831325301204819	0.9036144578313253	0.7951807228915663	0.8313253012048193	0.7596153846153846	0.7757009345794392	0.7710843373493976	0.7951807228915663
Under the Radar: Top 50 Independents	0.8095238095238095	0.8421052631578947	0.797979797979798	0.8888888888888888	0.8372093023255814	0.8072289156626506	0.822429906542056	0.7777777777777778	0.8717948717948718	0.7777777777777778	0.8545454545454545	0.8441558441558441	0.8786127167630058	0.8089887640449438	0.8285714285714286	0.8095238095238095	0.8333333333333334	0.8652482269503546	0.7857142857142857	0.8469387755102041	0.9166666666666666	0.7878787878787878	0.8367346938775511	0.8947368421052632	0.8205128205128205	0.3611111111111111	0.84	0.8620689655172413	0.8333333333333334	0.865546218487395	0.8611111111111112	0.7543859649122807	0.8235294117647058	0.8055555555555556	0.8024691358024691	0.8688524590163934	0.8688524590163934	0.8688524590163934	0.8264462809917356	0.8157894736842105	0.803030303030303	0.8738738738738738	0.8137254901960784	0.8230088495575221	0.8	0.7903225806451613	0.8026315789473685	0.82	0.782051282051282	0.8571428571428571	0.7974683544303798	0.7857142857142857	0.7681159420289855	0.8548387096774194	0.8596491228070176	0.8596491228070176	0.8596491228070176	0.9166666666666666	0.8837209302325582	0.8227848101265823	0.8365384615384616	0.8411214953271028	0.8461538461538461	0.7903225806451613
Why Restaurants Fail	0.7936507936507936	0.8070175438596491	0.898989898989899	0.9	0.8372093023255814	0.8554216867469879	0.8785046728971962	0.8333333333333334	0.8205128205128205	0.8333333333333334	0.8363636363636363	0.8571428571428571	0.9190751445086706	0.8651685393258427	0.8142857142857143	0.9047619047619048	0.8529411764705882	0.900709219858156	0.8392857142857143	0.8877551020408163	0.7777777777777778	0.7727272727272727	0.8367346938775511	0.9311740890688259	0.717948717948718	0.8695652173913043	0.89	0.8620689655172413	0.7222222222222222	0.8991596638655462	0.95	0.8596491228070176	0.8823529411764706	0.8064516129032258	0.8641975308641975	0.8852459016393442	0.8852459016393442	0.8852459016393442	0.8925619834710744	0.7368421052631579	0.8181818181818182	0.8828828828828829	0.9215686274509803	0.8672566371681416	0.8666666666666667	0.8548387096774194	0.8289473684210527	0.84	0.8589743589743589	0.8701298701298701	0.8734177215189873	0.8095238095238095	0.8405797101449275	0.8709677419354839	0.8596491228070176	0.8596491228070176	0.8596491228070176	0.85	0.8372093023255814	0.8607594936708861	0.8846153846153846	0.8878504672897196	0.8461538461538461	0.8387096774193549
"""New menu items at restaurants"""	0.6984126984126984	0.7894736842105263	0.8282828282828283	0.8064516129032258	0.7209302325581395	0.7831325301204819	0.8130841121495327	0.7962962962962963	0.7435897435897436	0.7741935483870968	0.7636363636363637	0.7922077922077922	0.8728323699421965	0.8202247191011236	0.7857142857142857	0.8380952380952381	0.8235294117647058	0.8581560283687943	0.7857142857142857	0.8571428571428571	0.8611111111111112	0.7727272727272727	0.8163265306122449	0.9109311740890689	0.6410256410256411	0.8387096774193549	0.83	0.8103448275862069	0.46296296296296297	0.8571428571428571	0.8064516129032258	0.7543859649122807	0.8352941176470589	0.8709677419354839	0.7654320987654321	0.819672131147541	0.819672131147541	0.819672131147541	0.8429752066115702	0.5789473684210527	0.7878787878787878	0.8468468468468469	0.8529411764705882	0.8495575221238938	0.7555555555555555	0.7741935483870968	0.8289473684210527	0.78	0.8076923076923077	0.8441558441558441	0.810126582278481	0.8095238095238095	0.8115942028985508	0.8225806451612904	0.8070175438596491	0.8070175438596491	0.8070175438596491	0.8709677419354839	0.7906976744186046	0.810126582278481	0.8461538461538461	0.8317757009345794	0.8461538461538461	0.7903225806451613
"""2010 North American Food Retailers"""	0.7619047619047619	0.7894736842105263	0.7676767676767676	0.8055555555555556	0.8837209302325582	0.8192771084337349	0.8317757009345794	0.8333333333333334	0.8717948717948718	0.8055555555555556	0.8181818181818182	0.7662337662337663	0.8728323699421965	0.8202247191011236	0.7714285714285715	0.819047619047619	0.8611111111111112	0.8581560283687943	0.7857142857142857	0.8571428571428571	0.8611111111111112	0.8181818181818182	0.8163265306122449	0.9109311740890689	0.8205128205128205	0.8333333333333334	0.84	0.8448275862068966	0.8148148148148148	0.8823529411764706	0.8333333333333334	0.8421052631578947	0.8	0.7777777777777778	0.8024691358024691	0.819672131147541	0.819672131147541	0.819672131147541	0.859504132231405	0.7631578947368421	0.7727272727272727	0.8288288288288288	0.8333333333333334	0.8495575221238938	0.8	0.8064516129032258	0.8157894736842105	0.82	0.8076923076923077	0.8571428571428571	0.8354430379746836	0.8095238095238095	0.8260869565217391	0.8548387096774194	0.8421052631578947	0.8421052631578947	0.8421052631578947	0.8611111111111112	0.6511627906976745	0.810126582278481	0.8269230769230769	0.8411214953271028	0.8205128205128205	0.7741935483870968
"""2007 North American Industry Classification System"""	0.7936507936507936	0.8421052631578947	0.797979797979798	0.8653846153846154	0.8269230769230769	0.7710843373493976	0.8037383177570093	0.8703703703703703	0.8076923076923077	0.8269230769230769	0.8727272727272727	0.7792207792207793	0.815028901734104	0.797752808988764	0.7857142857142857	0.8	0.8269230769230769	0.8368794326241135	0.8392857142857143	0.8571428571428571	0.8269230769230769	0.8484848484848485	0.8461538461538461	0.8785425101214575	0.8076923076923077	0.8076923076923077	0.79	0.8448275862068966	0.8703703703703703	0.8403361344537815	0.8461538461538461	0.8245614035087719	0.8	0.8076923076923077	0.7901234567901234	0.7540983606557377	0.7540983606557377	0.7540983606557377	0.8264462809917356	0.7692307692307693	0.8333333333333334	0.8198198198198198	0.8431372549019608	0.8141592920353983	0.8461538461538461	0.7741935483870968	0.8421052631578947	0.82	0.8205128205128205	0.8311688311688312	0.8227848101265823	0.7692307692307693	0.8260869565217391	0.8387096774193549	0.8421052631578947	0.8421052631578947	0.8421052631578947	0.8269230769230769	0.7884615384615384	0.810126582278481	0.8269230769230769	0.7850467289719626	0.8269230769230769	0.8064516129032258
