	NO PARSCIT CITATIONS
Report to the Congress on Risk Retention	0.925
Mortgage and Asset Securitizations Issuance	0.9069767441860465
Understanding the Securitization of Subprime Mortgage Credit	0.95
Theory of the Firm: Managerial Behavior, Agency Costs and Ownership Structure	0.922077922077922
Banks and Loan Sales: Marketing Nonmarketable Assets	0.9230769230769231
The Sub-prime Problem: Causes and Lessons	0.9024390243902439
The Economics of Structured Finance	0.9428571428571428
Tranching and Rating	1.0
Origination and Issuance of Agency and Non-Agency Mortgage Loans	0.9375
Did Securitization Lead to Lax Screening? Evidence from Subprime Loans	0.9428571428571428
The Credit Ratings Game	0.9565217391304348
White Paper on Rating Competition and Structured Finance	0.8928571428571429
Rating Shopping and Asset Complexity: A Theory of Ratings Inflation	0.9104477611940298
Role of Ratings in Structured Finance: What went wrong and what can be done to address the shortcomings?	0.9615384615384616
The Consequences of Mortgage Credit Expansion: Evidence from the U.S. Mortgage Default Crisis	0.956989247311828
Irrational Exuberance	0.9523809523809523
Credit Cycles	0.9
Agency Costs, Net Worth, and Business Fluctuations	0.94
Securitizing Banking and the Run on Repo	0.95
Liquidity Shortages and Banking Crises	0.9473684210526315
Bank Lending During the Financial Crisis of 2008	0.9375
Figure 3: Illustrative ABS and MBS Spreads 2004-2010	0.9230769230769231
Financial Intermediation and Delegated Monitoring	0.9591836734693877
Information Asymmetry and Financing Arrangements: Evidence from Syndicated Loans	0.95
Has the CDS market lowered the cost of corporate debt?	0.9444444444444444
Works of Friction?	0.95
The Role of Macroprudential Policy: A Discussion Paper	0.9444444444444444
The Prudential Regulation of Banks	0.9117647058823529
The Shadow Banking System: Implications for Financial Regulation	0.9375
The Fundamental Principles of Financial Regulation	0.94
