	Office of the General Counsel, Consumer Product Safety Commission, 4330 East West Highway, and Interpretations, Employee Benefits Security Administration, Attn: Definition of Fiduciary Proposed Rule, Room N–5655, U.S. Department of Labor, 200 Constitution Avenue, NW., Washington, DC 20210. All comments will be available to the public, without charge, online at http:// www.regulations.gov and http:// www.dol.gov/ebsa and at the Public Disclosure Room, N–1513, Employee Benefits Security Administration, U.S. 1. The authority citation for part 2510 is revised to read as follows: Authority:	revise paragraph (c) (4) Internal Revenue Code.	2010–26236 Filed 10–21–10; 8:45 am] Corps of Engineers, Department of the Army 33 CFR Part 334 Pamlico Sound and Adjacent Waters, NC; Danger Zones for Marine Corps Operations AGENCY: U.S. Army Corps of Engineers, DoD. ACTION: Notice of proposed rulemaking and request for comments. SUMMARY: The U.S. Army Corps of Engineers (Corps) is proposing to amend its regulations to establish one new danger zone in Pamlico Sound near Marine Corps Air Station Cherry Point, North Carolina. Establishment of this Federal eRulemaking Portal: http:// www.regulations.gov. Follow the instructions for submitting comments.	Include the docket number COE–2010–0037 in the subject line of the message.	Army Corps of Engineers, Attn: CECW–CO	Pursuant to its authorities	1) and Chapter XIX of the Army Appropriations Act of 1919 (40 Stat. 892; 33 U.S.C. 3), the Corps proposes to amend the regulations in 33 CFR part 334 by adding § 334.420 (b)(1)(v) to establish an Intermittent Danger Zone abutting the existing 1.8 Bombing Target-11 Range. Procedural Requirements a. Review Under Executive Order 12866. This proposed rule is issued with respect to a military function of the Defense Department and the provisions of Executive Order 12866 do not apply. b. Review Under the Regulatory Flexibility Act. This proposed rule has been reviewed under the Regulatory Flexibility Act (Pub.
Conflicts of Interest Involving High Risk of Terminated Plans Pose Enforcement Challenges, Defined Benefit Pension Report	0.856418918918919	0.8099173553719008	0.8632619439868204	0.768595041322314	0.8512396694214877	0.8677685950413223	0.8625204582651391
Private Pension Plan Bulletin Historical Tables and Graphs	0.9206081081081081	0.7758620689655172	0.9209225700164745	0.8133333333333334	0.8275862068965517	0.7758620689655172	0.9263502454991817
Staff Report Concerning Examination of Select Pension Consultants	0.9138513513513513	0.8	0.9110378912685337	0.76	0.8	0.8307692307692308	0.9148936170212766
U.S. SEC, Protecting Senior Investors: Report of Examinations of Securities Firms Providing ��Free Lunch�� Sales Seminar	1.0	0.85	1.0	1.0	1.0	0.85	1.0
nan	0.9949324324324325	0.9361702127659575	0.9950576606260296	0.9733333333333334	0.9473684210526315	0.9259259259259259	0.9950900163666121
Conflicts of Interest Can Affect Defined Benefit and Defined Contribution Plans	0.8969594594594594	0.7974683544303798	0.8929159802306426	0.8354430379746836	0.8227848101265823	0.7974683544303798	0.900163666121113
Investor Timing and Fund Distribution Channels	0.9358108108108109	0.8723404255319149	0.9324546952224053	0.76	0.8043478260869565	0.7391304347826086	0.9345335515548282
The Role of Brokers and Financial Advisors Behind Investment Into Load Funds	0.902027027027027	0.7763157894736842	0.9060955518945635	0.8552631578947368	0.8157894736842105	0.8289473684210527	0.9034369885433715
nan	0.9949324324324325	0.9361702127659575	0.9950576606260296	0.9733333333333334	0.9473684210526315	0.9259259259259259	0.9950900163666121
nan	0.9949324324324325	0.9361702127659575	0.9950576606260296	0.9733333333333334	0.9473684210526315	0.9259259259259259	0.9950900163666121
Assessing the Costs and Benefits of Brokers in the Mutual Fund Industry	0.9003378378378378	0.8028169014084507	0.9093904448105437	0.7733333333333333	0.7746478873239436	0.7746478873239436	0.9034369885433715
