	Division of Regulations, Legislation, and Interpretation, U.S. Department of Labor, Wage and Hour Division, 200 Constitution Avenue NW., Room S– 81197 Federal Register /	Costs with Overtime Work in U.S.	Does the Statutory Overtime Premium Discourage Long Workweeks?’’ Industrial and Labor Relations Review, 56(3): 530– 81221	Census Bureau, Center for Economic Studies. Business Dynamics Statistics: Firm Age by Firm Size. Available at: http://www.ces.census.gov/ index.php/bds/bds_database_list. Accessed	National Population Projections. Table 2: Projections of the Population by Selected Age Groups and Sex for the United States:	Occupational Outlook Handbook, 2010–11 Edition, Home Health Aides and Personal and Home Care Aides, on the Internet at http://www.bls.	81244 Federal Register /	The authority citation for part 552 continues to read as follows: Authority: 29 U.S.C. 213(a)(15), (b)(21), 88 stat. 62; Sec. 29(b) of the Fair Labor Standards Act Amendments of
New Options (and Risks) in Home Care for Elderly	0.4461538461538461	0.40909090909090906	0.4411764705882353	0.4098360655737705	0.4642857142857143	0.35593220338983056	0.5238095238095238	0.41538461538461535
Re-Thinking Fiscal Multipliers	0.5333333333333333	0.5384615384615384	0.5238095238095238	0.4642857142857143	0.4117647058823529	0.4814814814814815	0.4054054054054054	0.5
Labor Demand	0.5686274509803921	0.6	0.5925925925925926	0.574468085106383	0.6190476190476191	0.6	0.6428571428571428	0.607843137254902
2008 National Population Projections	0.4576271186440678	0.5789473684210527	0.4838709677419355	0.5272727272727273	0.31999999999999995	0.39622641509433965	0.4444444444444444	0.4915254237288136
BLS Occupational Employment Statistics	0.5254237288135593	0.4736842105263158	0.4838709677419355	0.38181818181818183	0.43999999999999995	0.4339622641509434	0.6111111111111112	0.4576271186440678
Business Dynamics Statistics: Firm Age by Firm Size	0.47540983606557374	0.55	0.46875	0.26315789473684215	0.3846153846153846	0.49090909090909096	0.5263157894736843	0.4426229508196722
National Employment Matrix-Search by Occupation	0.5238095238095238	0.47619047619047616	0.48484848484848486	0.35593220338983056	0.33333333333333337	0.4035087719298246	0.65	0.46031746031746035
Standard Occupational Classification	0.4736842105263158	0.4444444444444444	0.5333333333333333	0.39622641509433965	0.375	0.4117647058823529	0.5294117647058824	0.4385964912280702
U.S. Census Bureau: Health Care and Social Assistance, Estimated Year-to-Year Change in Revenue for Employer Firms by Source	0.28	0.4444444444444444	0.41025641025641024	0.15492957746478875	0.2727272727272727	0.30434782608695654	0.5384615384615384	0.28
2011 Statistical Abstract	0.5185185185185186	0.6363636363636364	0.543859649122807	0.56	0.4666666666666667	0.45833333333333337	0.4193548387096774	0.5185185185185186
Characteristics of Supplemental Nutrition Assistance Program Households: Fiscal Year 2009	0.2857142857142857	0.5102040816326531	0.4246575342465754	0.303030303030303	0.24590163934426235	0.28125	0.4893617021276596	0.3142857142857143
Overtime and extended work shifts: Recent findings on illnesses, injuries, and health behaviors	0.4328358208955224	0.3913043478260869	0.3142857142857143	0.2698412698412699	0.31034482758620685	0.3114754098360656	0.5	0.4029850746268657
The Changing Demographic Profile of the United States	0.39682539682539686	0.38095238095238093	0.4545454545454546	0.3220338983050848	0.2592592592592593	0.4035087719298246	0.5	0.3650793650793651
The Medicare Payment Advisory Commission (MedPAC)	0.5483870967741935	0.41463414634146345	0.4461538461538461	0.4137931034482759	0.39622641509433965	0.4285714285714286	0.5897435897435898	0.3870967741935484
2011 Annual Report of the Boards of Trustees of the Federal Hospital Insurance and Federal Supplementary Medical Insurance Trust Funds	0.3142857142857143	0.5510204081632653	0.3972602739726028	0.33333333333333337	0.3114754098360656	0.3125	0.44680851063829785	0.3142857142857143
Background Report on the U.S. Home Care and Personal Assistance Workforce and Industry (Forthcoming)	0.29729729729729726	0.39622641509433965	0.35064935064935066	0.2857142857142857	0.29230769230769227	0.32352941176470584	0.5294117647058824	0.29729729729729726
California's Direct-Care Workforce	0.5172413793103448	0.4054054054054054	0.540983606557377	0.4814814814814815	0.5102040816326531	0.5	0.5428571428571429	0.5517241379310345
Fair Pay for Home Care Workers	0.5357142857142857	0.4285714285714286	0.5932203389830508	0.5384615384615384	0.574468085106383	0.52	0.5757575757575757	0.5714285714285714
Family caregiving in the U.S.: Findings from a national study	0.375	0.34883720930232553	0.4029850746268657	0.23333333333333328	0.23636363636363633	0.4137931034482759	0.46341463414634143	0.3125
Home Health Study Report: Literature Review	0.4426229508196722	0.44999999999999996	0.40625	0.368421052631579	0.42307692307692313	0.4181818181818182	0.5263157894736843	0.4098360655737705
Meals on Wheels of Contra Costa County	0.5357142857142857	0.4285714285714286	0.5593220338983051	0.46153846153846156	0.44680851063829785	0.52	0.5757575757575757	0.5
Medicare and Home Health Care	0.5357142857142857	0.4285714285714286	0.5593220338983051	0.46153846153846156	0.4893617021276596	0.4	0.5151515151515151	0.5
The PHI Matching Services Project	0.5333333333333333	0.4358974358974359	0.4920634920634921	0.5	0.37254901960784315	0.4814814814814815	0.5675675675675675	0.5666666666666667
