	NO PARSCIT CITATIONS
Ejection Mitigation Using Advanced Glazings: A Status Report	0.8
Ejection Mitigation Using Advanced Glazings: Final Report	0.85
Ejection Mitigation Using Advanced Glazings: Status Report II	0.75
Estimating the Injury-Reducing Benefits of Ejection Mitigation Glazing	0.85
Fatality reduction by Safety Belts for Front-Seat Occupants of Cars and Light Trucks	0.85
Summary Report of Rollover Crashes	0.8
Treatment of Value of Preventing Fatalities and Injuries in Preparing Economic Analysis	0.85
HIV prevalence estimates—United  States	0.85
An Evaluation of Side Impact Protection – FMVSS 214 TTI(d) Improvements and Side Air Bags. 	0.7
Timing of Head-to-Vehicle Perimeter Contacts in Rollovers	0.8
Technical Analysis in Support of a Notice of Proposed Rulemaking for Ejection Mitigation	0.8
