	Office of the General Counsel, Consumer Product Safety Commission, 4330 East West Highway, and Interpretations, Employee Benefits Security Administration, Attn: Definition of Fiduciary Proposed Rule, Room N–5655, U.S. Department of Labor, 200 Constitution Avenue, NW., Washington, DC 20210. All comments will be available to the public, without charge, online at http:// www.regulations.gov and http:// www.dol.gov/ebsa and at the Public Disclosure Room, N–1513, Employee Benefits Security Administration, U.S. 1. The authority citation for part 2510 is revised to read as follows: Authority:	revise paragraph (c) (4) Internal Revenue Code.	2010–26236 Filed 10–21–10; 8:45 am] Corps of Engineers, Department of the Army 33 CFR Part 334 Pamlico Sound and Adjacent Waters, NC; Danger Zones for Marine Corps Operations AGENCY: U.S. Army Corps of Engineers, DoD. ACTION: Notice of proposed rulemaking and request for comments. SUMMARY: The U.S. Army Corps of Engineers (Corps) is proposing to amend its regulations to establish one new danger zone in Pamlico Sound near Marine Corps Air Station Cherry Point, North Carolina. Establishment of this Federal eRulemaking Portal: http:// www.regulations.gov. Follow the instructions for submitting comments.	Include the docket number COE–2010–0037 in the subject line of the message.	Army Corps of Engineers, Attn: CECW–CO	Pursuant to its authorities	1) and Chapter XIX of the Army Appropriations Act of 1919 (40 Stat. 892; 33 U.S.C. 3), the Corps proposes to amend the regulations in 33 CFR part 334 by adding § 334.420 (b)(1)(v) to establish an Intermittent Danger Zone abutting the existing 1.8 Bombing Target-11 Range. Procedural Requirements a. Review Under Executive Order 12866. This proposed rule is issued with respect to a military function of the Defense Department and the provisions of Executive Order 12866 do not apply. b. Review Under the Regulatory Flexibility Act. This proposed rule has been reviewed under the Regulatory Flexibility Act (Pub.
Conflicts of Interest Involving High Risk of Terminated Plans Pose Enforcement Challenges, Defined Benefit Pension Report	0.308641975308642	0.28301886792452835	0.4	0.33333333333333337	0.4	0.46341463414634143	0.3493975903614458
Private Pension Plan Bulletin Historical Tables and Graphs	0.4054054054054054	0.30434782608695654	0.5180722891566265	0.4339622641509434	0.5813953488372092	0.2941176470588235	0.4736842105263158
Staff Report Concerning Examination of Select Pension Consultants	0.43243243243243246	0.30434782608695654	0.49397590361445787	0.3584905660377359	0.34883720930232553	0.3529411764705882	0.42105263157894735
U.S. SEC, Protecting Senior Investors: Report of Examinations of Securities Firms Providing ��Free Lunch�� Sales Seminar	1.0	0.27586206896551724	1.0	1.0	1.0	0.4782608695652174	1.0
nan	0.9259259259259259	0.8461538461538461	0.9365079365079365	0.8787878787878788	0.9130434782608696	0.7142857142857143	0.9285714285714286
Conflicts of Interest Can Affect Defined Benefit and Defined Contribution Plans	0.4246575342465754	0.33333333333333337	0.5121951219512195	0.34615384615384615	0.47619047619047616	0.33333333333333337	0.43999999999999995
Investor Timing and Fund Distribution Channels	0.4054054054054054	0.26086956521739135	0.4698795180722891	0.3207547169811321	0.4883720930232558	0.3529411764705882	0.42105263157894735
The Role of Brokers and Financial Advisors Behind Investment Into Load Funds	0.37662337662337664	0.30612244897959184	0.4651162790697675	0.3571428571428571	0.5217391304347826	0.4054054054054054	0.4177215189873418
nan	0.9259259259259259	0.8461538461538461	0.9365079365079365	0.8787878787878788	0.9130434782608696	0.7142857142857143	0.9285714285714286
nan	0.9259259259259259	0.8461538461538461	0.9365079365079365	0.8787878787878788	0.9130434782608696	0.7142857142857143	0.9285714285714286
Assessing the Costs and Benefits of Brokers in the Mutual Fund Industry	0.43999999999999995	0.3191489361702128	0.47619047619047616	0.33333333333333337	0.40909090909090906	0.37142857142857144	0.4545454545454546
