"Journal Data Filtered By:  Selected JCR Year: 2013 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,,,,,
Rank,Full Journal Title,Issn,Total Cites,Journal Impact Factor,5-Year Impact Factor,Citable Items,,Eigenfactor Score
58,JOURNAL OF CLINICAL ONCOLOGY,0732-183X,"130,991",17.960,17.186,627,,0.371620
59,Alzheimers & Dementia,1552-5260,"3,821",17.472,10.035,83,,0.016000
60,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,0360-1285,"5,978",16.909,20.320,20,,0.013070
61,Cell Metabolism,1550-4131,"15,636",16.747,17.878,153,,0.078640
62,Living Reviews in Relativity,1433-8351,"1,600",16.526,18.310,9,,0.006330
63,Annual Review of Marine Science,1941-1405,"1,628",16.381,16.277,24,,0.012390
64,BMJ-British Medical Journal,1756-1833,"85,434",16.378,16.122,277,,0.159940
65,ALDRICHIMICA ACTA,0002-5100,"1,066",16.333,13.667,6,,0.002430
66,ANNALS OF INTERNAL MEDICINE,0003-4819,"47,309",16.104,16.482,158,,0.102560
67,CLINICAL MICROBIOLOGY REVIEWS,0893-8512,"12,781",16.000,19.916,36,,0.019440
68,NEURON,0896-6273,"71,989",15.982,16.485,369,,0.225960
69,Cancer Discovery,2159-8274,"2,210",15.929,15.929,88,,0.017480
70,Nature Reviews Clinical Oncology,1759-4774,"3,523",15.696,14.389,51,,0.022850
71,Annual Review of Physical Chemistry,0066-426X,"7,570",15.678,15.500,28,,0.014980
72,REPORTS ON PROGRESS IN PHYSICS,0034-4885,"11,421",15.633,16.627,62,,0.034440
73,Annual Review of Materials Research,1531-7331,"5,833",15.629,16.758,23,,0.011540
74,Energy & Environmental Science,1754-5692,"22,428",15.490,15.263,372,,0.087240
75,Annual Review of Medicine,0066-4219,"5,560",15.478,13.298,34,,0.014800
76,ADVANCED MATERIALS,0935-9648,"107,567",15.409,15.581,874,,0.275060
77,TRENDS IN ECOLOGY & EVOLUTION,0169-5347,"26,806",15.353,18.987,77,,0.054330
78,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,0735-1097,"79,235",15.343,14.669,454,,0.199460
79,Nature Climate Change,1758-678X,"2,871",15.295,15.327,158,,0.021070
79,Nature Climate Change,1758-678X,"2,871",15.295,15.327,158,,0.021070
81,MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,1092-2172,"9,547",15.255,16.735,25,,0.016230
82,JNCI-Journal of the National Cancer Institute,0027-8874,"37,903",15.161,15.194,159,,0.072420
83,MOLECULAR PSYCHIATRY,1359-4184,"13,902",15.147,14.196,132,,0.039240
84,NATURE NEUROSCIENCE,1097-6256,"46,095",14.976,16.273,236,,0.151230
85,BEHAVIORAL AND BRAIN SCIENCES,0140-525X,"7,017",14.962,22.821,21,,0.009650
85,BEHAVIORAL AND BRAIN SCIENCES,0140-525X,"7,017",14.962,22.821,21,,0.009650
87,CIRCULATION,0009-7322,"158,661",14.948,15.326,510,,0.287120
88,EUROPEAN HEART JOURNAL,0195-668X,"36,613",14.723,13.120,334,,0.111000
89,Annual Review of Physiology,0066-4278,"8,246",14.696,18.785,30,,0.015830
90,MOLECULAR CELL,1097-2765,"52,033",14.464,15.324,309,,0.225640
91,Science Translational Medicine,1946-6234,"9,222",14.414,12.701,216,,0.069940
92,PSYCHOLOGICAL BULLETIN,0033-2909,"34,080",14.392,21.197,40,,0.031730
92,PSYCHOLOGICAL BULLETIN,0033-2909,"34,080",14.392,21.197,40,,0.031730
94,Advanced Energy Materials,1614-6832,"5,433",14.385,14.442,214,,0.022040
95,MOLECULAR BIOLOGY AND EVOLUTION,0737-4038,"34,971",14.308,10.494,238,,0.087340
96,ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES,0067-0049,"23,718",14.137,12.220,173,,0.084580
97,Nature Reviews Neurology,1759-4758,"3,257",14.103,14.785,57,,0.018940
98,Molecular Systems Biology,1744-4292,"7,195",14.099,12.292,74,,0.039950
99,PLOS MEDICINE,1549-1676,"16,975",14.000,17.945,118,,0.073660
100,GASTROENTEROLOGY,0016-5085,"62,445",13.926,12.951,238,,0.147160
101,JOURNAL OF EXPERIMENTAL MEDICINE,0022-1007,"64,191",13.912,13.955,212,,0.138660
102,GENOME RESEARCH,1088-9051,"30,995",13.852,14.927,192,,0.142090
103,FEMS MICROBIOLOGY REVIEWS,0168-6445,"8,827",13.806,14.390,38,,0.022510
104,JOURNAL OF CLINICAL INVESTIGATION,0021-9738,"96,908",13.765,14.449,454,,0.193420
105,ARCHIVES OF GENERAL PSYCHIATRY,0003-990X,"38,622",13.747,14.396,0,,0.054480
105,ARCHIVES OF GENERAL PSYCHIATRY,0003-990X,"38,622",13.747,14.396,0,,0.054480
107,AMERICAN JOURNAL OF PSYCHIATRY,0002-953X,"43,193",13.559,15.062,119,,0.049170
107,AMERICAN JOURNAL OF PSYCHIATRY,0002-953X,"43,193",13.559,15.062,119,,0.049170
109,TRENDS IN BIOCHEMICAL SCIENCES,0968-0004,"15,910",13.522,12.197,68,,0.037630
110,TRENDS IN PLANT SCIENCE,1360-1385,"15,367",13.479,14.220,86,,0.034240
111,GUT,0017-5749,"33,059",13.319,11.483,181,,0.065230
112,ASTRONOMY AND ASTROPHYSICS REVIEW,0935-4956,"1,071",13.312,14.628,12,,0.006620
113,ARCHIVES OF INTERNAL MEDICINE,0003-9926,"39,734",13.246,12.305,0,,0.085460
114,Nature Chemical Biology,1552-4450,"12,495",13.217,15.059,116,,0.066450
115,ECOLOGY LETTERS,1461-023X,"20,519",13.042,17.794,175,,0.064570
116,Annual Review of Entomology,0066-4170,"9,546",13.021,14.258,30,,0.010450
117,Annual Review of Microbiology,0066-4227,"9,159",13.018,17.007,30,,0.017170
118,PROGRESS IN LIPID RESEARCH,0163-7827,"4,382",12.963,12.336,41,,0.008830
119,Nature Reviews Endocrinology,1759-5029,"2,753",12.958,11.843,56,,0.016090
120,NANO LETTERS,1530-6984,"103,399",12.940,14.452,996,,0.374840
121,Annual Review of Clinical Psychology,1548-5943,"2,542",12.921,15.459,28,,0.009410
121,Annual Review of Clinical Psychology,1548-5943,"2,542",12.921,15.459,28,,0.009410
123,IMMUNOLOGICAL REVIEWS,0105-2896,"13,018",12.909,12.238,108,,0.048950
124,TRENDS IN NEUROSCIENCES,0166-2236,"18,523",12.902,14.345,73,,0.036830
125,World Psychiatry,1723-8617,"1,459",12.846,8.093,19,,0.003770
125,World Psychiatry,1723-8617,"1,459",12.846,8.093,19,,0.003770
127,Psychological Science in the Public Interest,1529-1006,584,12.833,Not Available,3,,0.002150
128,ADVANCED DRUG DELIVERY REVIEWS,0169-409X,"23,820",12.707,15.271,150,,0.039330
129,GENES & DEVELOPMENT,0890-9369,"59,234",12.639,12.765,226,,0.165890
130,EUROPEAN UROLOGY,0302-2838,"19,389",12.480,9.983,189,,0.056290
131,Annual Review of Biomedical Engineering,1523-9829,"3,486",12.450,15.000,19,,0.007770
132,TRENDS IN CELL BIOLOGY,0962-8924,"11,144",12.314,11.742,75,,0.038670
133,Annual Review of Biophysics,1936-122X,"1,975",12.250,16.430,29,,0.017250
134,Cell Host & Microbe,1931-3128,"7,622",12.194,13.573,122,,0.053130
135,MOLECULAR INTERVENTIONS,1534-0384,"1,073",12.143,7.360,0,,0.001970
136,COORDINATION CHEMISTRY REVIEWS,0010-8545,"27,922",12.098,12.598,170,,0.036410
137,ACS Nano,1936-0851,"58,446",12.033,13.774,"1,178",,0.270710
138,TRENDS IN IMMUNOLOGY,1471-4906,"8,638",12.031,10.339,75,,0.027820
139,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,"51,564",11.986,11.284,275,,0.094820
140,CELL RESEARCH,1001-0602,"8,083",11.981,11.078,80,,0.037820
141,ANNALS OF NEUROLOGY,0364-5134,"33,670",11.910,11.353,178,,0.063020
142,Annual Review of Condensed Matter Physics,1947-5454,845,11.909,14.529,13,,0.008530
143,Living Reviews in Solar Physics,1614-4961,582,11.833,14.040,5,,0.003900
144,MATERIALS SCIENCE & ENGINEERING R-REPORTS,0927-796X,"5,154",11.789,20.224,11,,0.007640
145,PLOS BIOLOGY,1545-7885,"24,324",11.771,12.807,201,,0.112170
146,Nature Geoscience,1752-0894,"10,224",11.668,13.930,167,,0.091650
147,NATURE STRUCTURAL & MOLECULAR BIOLOGY,1545-9993,"25,691",11.633,12.338,182,,0.117950
148,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,1389-5567,"2,239",11.625,14.424,17,,0.003710
149,TRENDS IN GENETICS,0168-9525,"11,015",11.597,10.213,77,,0.031470
150,BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,0003-0007,"13,505",11.574,9.604,104,,0.032470
151,SYSTEMATIC BIOLOGY,1063-5157,"12,226",11.532,14.219,64,,0.028690
152,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,0002-7863,"462,510",11.444,11.015,"2,840",,0.818390
153,Autophagy,1554-8627,"7,829",11.423,9.257,134,,0.035600
154,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,1433-7851,"215,408",11.336,11.700,"2,337",,0.503480
155,Annual Review of Fluid Mechanics,0066-4189,"7,538",11.260,14.791,20,,0.014930
156,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,0091-6749,"36,389",11.248,9.664,301,,0.078830
157,HEPATOLOGY,0270-9139,"53,052",11.190,11.532,432,,0.126900
158,CIRCULATION RESEARCH,0009-7330,"47,185",11.089,10.759,262,,0.092650
159,Oceanography and Marine Biology,0078-3218,"2,180",11.083,10.194,5,,0.001970
160,Annual Review of Phytopathology,0066-4286,"5,920",11.000,13.800,27,,0.008250
161,AMERICAN JOURNAL OF HUMAN GENETICS,0002-9297,"33,944",10.987,10.781,212,,0.080260
162,Annual Review of Ecology Evolution and Systematics,1543-592X,"16,396",10.977,19.806,27,,0.018610
163,Materials Today,1369-7021,"4,739",10.850,9.579,40,,0.013990
164,Nature Reviews Gastroenterology & Hepatology,1759-5045,"2,342",10.807,10.340,62,,0.013760
165,EMBO JOURNAL,0261-4189,"76,176",10.748,10.168,225,,0.153270
166,Nature Communications,2041-1723,"17,193",10.742,11.023,"1,591",,0.123310
167,NATURAL PRODUCT REPORTS,0265-0568,"7,158",10.715,10.353,57,,0.017260
168,GENOME BIOLOGY,1465-6906,"19,687",10.465,10.632,173,,0.082730
169,Annual Review of Nutrition,0199-9885,"4,846",10.459,10.889,19,,0.005790
170,ADVANCED FUNCTIONAL MATERIALS,1616-301X,"42,244",10.439,11.210,636,,0.120720
171,JOURNAL OF HEPATOLOGY,0168-8278,"24,551",10.401,9.557,304,,0.068120
172,REVIEWS OF GEOPHYSICS,8755-1209,"7,418",10.400,13.792,15,,0.012600
173,DEVELOPMENTAL CELL,1534-5807,"21,439",10.366,13.012,203,,0.099400
174,MOLECULAR ASPECTS OF MEDICINE,0098-2997,"3,486",10.302,11.214,83,,0.008440
175,PROGRESS IN NEUROBIOLOGY,0301-0082,"11,310",10.301,10.570,51,,0.021160
176,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,0149-7634,"15,111",10.284,11.075,207,,0.038290
177,Nature Reviews Rheumatology,1759-4790,"2,596",10.252,9.608,64,,0.015590
178,BRAIN,0006-8950,"44,457",10.226,10.846,272,,0.089910
179,Nano Energy,2211-2855,971,10.211,10.211,150,,0.002820
180,Annual Review of Earth and Planetary Sciences,0084-6597,"5,457",10.188,11.640,28,,0.012640
181,Nature Reviews Cardiology,1759-5002,"2,196",10.154,10.058,53,,0.013100
182,TRENDS IN MOLECULAR MEDICINE,1471-4914,"6,659",10.110,10.292,74,,0.020870
183,QUARTERLY REVIEWS OF BIOPHYSICS,0033-5835,"2,529",10.083,11.868,9,,0.005460
184,TRENDS IN BIOTECHNOLOGY,0167-7799,"10,767",10.040,10.655,69,,0.020460
185,TRENDS IN PHARMACOLOGICAL SCIENCES,0165-6147,"10,912",9.988,10.390,67,,0.024020
186,Perspectives on Psychological Science,1745-6916,"3,122",9.955,8.496,61,,0.019540
187,EXERCISE IMMUNOLOGY REVIEW,1077-5552,513,9.929,6.103,9,,0.001170
188,CURRENT BIOLOGY,0960-9822,"46,037",9.916,10.227,391,,0.155220
189,NPG Asia Materials,1884-4049,654,9.902,10.964,39,,0.003320
190,PROGRESS IN RETINAL AND EYE RESEARCH,1350-9462,"3,875",9.897,11.207,42,,0.008430
191,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0027-8424,"565,934",9.809,10.727,"3,901",,1.499660
192,TRENDS IN MICROBIOLOGY,0966-842X,"8,763",9.808,8.850,73,,0.021080
193,Advances in Anatomy Embryology and Cell Biology,0301-5556,399,9.800,5.667,1,,0.000530
194,BIOLOGICAL REVIEWS,1464-7931,"7,261",9.790,10.912,56,,0.014230
195,JOURNAL OF CELL BIOLOGY,0021-9525,"71,491",9.786,10.437,277,,0.149430
196,ACTA NEUROPATHOLOGICA,0001-6322,"12,284",9.777,8.854,120,,0.030870
197,BLOOD,0006-4971,"149,865",9.775,9.609,"1,012",,0.412750
198,PROGRESS IN PHOTOVOLTAICS,1062-7995,"6,206",9.696,8.342,167,,0.016120
199,Advances in Optics and Photonics,1943-8206,660,9.688,18.194,10,,0.004800
200,ATHEROSCLEROSIS SUPPLEMENTS,1567-5688,744,9.667,3.818,40,,0.000930
201,PLANT CELL,1040-4651,"44,699",9.575,10.656,315,,0.087650
202,Physics of Life Reviews,1571-0645,828,9.478,8.322,12,,0.002730
203,BIOLOGICAL PSYCHIATRY,0006-3223,"40,687",9.472,10.347,239,,0.081450
204,JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,1046-6673,"31,083",9.466,9.062,190,,0.063900
205,CLINICAL INFECTIOUS DISEASES,1058-4838,"49,629",9.416,9.177,431,,0.128590
206,ACM Transactions on Intelligent Systems and Technology,2157-6904,"1,028",9.390,8.504,83,,0.006820
207,CURRENT OPINION IN PLANT BIOLOGY,1369-5266,"10,736",9.385,9.825,101,,0.028520
208,LEUKEMIA,0887-6924,"19,431",9.379,8.657,220,,0.057520
209,PSYCHOTHERAPY AND PSYCHOSOMATICS,0033-3190,"3,073",9.370,7.024,30,,0.005550
209,PSYCHOTHERAPY AND PSYCHOSOMATICS,0033-3190,"3,073",9.370,7.024,30,,0.005550
211,Laser & Photonics Reviews,1863-8880,"2,114",9.313,9.177,89,,0.011950
212,STUDIES IN MYCOLOGY,0166-0616,"1,461",9.296,8.683,14,,0.002690
213,CANCER RESEARCH,0008-5472,"142,970",9.284,8.958,670,,0.257970
214,ANNALS OF THE RHEUMATIC DISEASES,0003-4967,"29,337",9.270,8.632,309,,0.074000
215,ISME Journal,1751-7362,"8,309",9.267,9.296,212,,0.040180
216,AMERICAN JOURNAL OF GASTROENTEROLOGY,0002-9270,"28,995",9.213,8.048,184,,0.062200
217,INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,0300-5771,"15,985",9.197,8.000,133,,0.038650
218,SEMINARS IN CANCER BIOLOGY,1044-579X,"4,731",9.143,8.492,59,,0.013220
219,SLEEP MEDICINE REVIEWS,1087-0792,"3,512",9.141,9.320,43,,0.009170
220,Annual Review of Genomics and Human Genetics,1527-8204,"2,345",9.132,12.730,27,,0.010410
221,Wiley Interdisciplinary Reviews-Computational Molecular Science,1759-0876,"1,176",9.041,9.041,40,,0.005260
222,BIOTECHNOLOGY ADVANCES,0734-9750,"8,184",8.905,11.211,139,,0.020970
223,TRENDS IN ENDOCRINOLOGY AND METABOLISM,1043-2760,"6,047",8.868,8.936,69,,0.019160
224,DRUG RESISTANCE UPDATES,1368-7646,"2,113",8.816,9.667,7,,0.004830
225,NUCLEIC ACIDS RESEARCH,0305-1048,"126,356",8.808,8.378,"1,318",,0.334540
226,IEEE Transactions on Industrial Informatics,1551-3203,"2,644",8.785,6.874,231,,0.008230
227,FISH AND FISHERIES,1467-2960,"2,243",8.755,8.522,36,,0.008160
228,CURRENT OPINION IN STRUCTURAL BIOLOGY,0959-440X,"10,465",8.747,9.113,111,,0.034940
229,CURRENT OPINION IN CELL BIOLOGY,0955-0674,"14,069",8.736,10.843,100,,0.046650
230,PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY,0079-6565,"2,195",8.711,6.853,20,,0.004360
231,HUMAN REPRODUCTION UPDATE,1355-4786,"5,799",8.657,9.464,48,,0.013440
232,ADVANCES IN COLLOID AND INTERFACE SCIENCE,0001-8686,"7,891",8.636,9.419,35,,0.013800
233,SCHIZOPHRENIA BULLETIN,0586-7614,"13,188",8.607,9.222,144,,0.029410
233,SCHIZOPHRENIA BULLETIN,0586-7614,"13,188",8.607,9.222,144,,0.029410
235,Chemical Science,2041-6520,"9,303",8.601,8.547,556,,0.040060
236,DIABETES CARE,0149-5992,"52,771",8.570,8.462,626,,0.105500
237,CURRENT OPINION IN GENETICS & DEVELOPMENT,0959-437X,"8,165",8.568,7.824,89,,0.031500
238,THORAX,0040-6376,"18,780",8.562,8.271,169,,0.037630
239,ONCOGENE,0950-9232,"62,603",8.559,7.719,565,,0.126430
240,CHEMISTRY OF MATERIALS,0897-4756,"79,744",8.535,8.419,604,,0.132840
241,KIDNEY INTERNATIONAL,0085-2538,"36,731",8.520,7.181,235,,0.064020
242,eLife,2050-084X,722,8.519,8.556,228,,0.002770
243,Light-Science & Applications,2047-7538,266,8.476,8.476,37,,0.001140
244,DIABETES,0012-1797,"49,801",8.474,9.105,425,,0.093260
245,Physical Review X,2160-3308,"1,130",8.463,8.472,92,,0.010220
246,Journal of Molecular Cell Biology,1674-2788,"1,011",8.432,8.953,33,,0.005730
247,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,1540-9295,"5,362",8.412,10.230,67,,0.019140
248,CELL DEATH AND DIFFERENTIATION,1350-9047,"15,552",8.385,8.345,153,,0.043550
249,Nature Reviews Nephrology,1759-5061,"1,915",8.368,7.825,55,,0.011610
250,BIOMATERIALS,0142-9612,"81,229",8.312,8.911,991,,0.137120
251,CEREBRAL CORTEX,1047-3211,"24,708",8.305,8.372,268,,0.076540
252,NEUROLOGY,0028-3878,"76,845",8.303,8.375,530,,0.119030
253,METABOLIC ENGINEERING,1096-7176,"3,833",8.258,7.997,91,,0.010140
254,Geochemical Perspectives,2223-7755,34,8.250,8.250,3,,0.000340
255,EMBO Molecular Medicine,1757-4676,"2,188",8.245,9.196,127,,0.013410
256,Cold Spring Harbor Perspectives in Biology,1943-0264,"5,419",8.226,10.054,153,,0.045290
257,GLOBAL CHANGE BIOLOGY,1354-1013,"22,987",8.224,8.595,312,,0.067930
258,CLINICAL CANCER RESEARCH,1078-0432,"68,311",8.193,8.101,677,,0.187310
259,PROGRESS IN SOLID STATE CHEMISTRY,0079-6786,"1,608",8.182,5.111,4,,0.001150
260,PLoS Genetics,1553-7404,"27,581",8.167,8.901,842,,0.187820
261,Advances in Catalysis,0360-0564,"1,433",8.143,7.625,3,,0.000570
262,MEDICINAL RESEARCH REVIEWS,0198-6325,"3,511",8.131,9.042,35,,0.005750
263,GONDWANA RESEARCH,1342-937X,"5,879",8.122,6.682,170,,0.016690
264,Annual Review of Chemical and Biomolecular Engineering,1947-5438,589,8.109,9.238,12,,0.003400
265,PLoS Pathogens,1553-7374,"25,613",8.057,8.957,731,,0.142050
266,MASS SPECTROMETRY REVIEWS,0277-7037,"3,904",8.053,8.661,27,,0.007960
267,CURRENT OPINION IN BIOTECHNOLOGY,0958-1669,"10,289",8.035,8.466,150,,0.024140
268,ARTHRITIS AND RHEUMATISM,0004-3591,"46,884",7.871,7.987,331,,0.089450
269,CURRENT OPINION IN IMMUNOLOGY,0952-7915,"8,714",7.867,8.202,103,,0.031900
270,Obesity Reviews,1467-7881,"6,388",7.859,7.922,105,,0.020960
271,EMBO REPORTS,1469-221X,"10,867",7.858,7.653,101,,0.039630
272,CRITICAL REVIEWS IN BIOTECHNOLOGY,0738-8551,"1,652",7.837,7.337,24,,0.002920
273,NEUROPSYCHOPHARMACOLOGY,0893-133X,"21,567",7.833,8.518,255,,0.057410
274,Theranostics,1838-7640,"1,112",7.827,7.843,83,,0.003650
275,ACADEMY OF MANAGEMENT REVIEW,0363-7425,"17,707",7.817,9.698,29,,0.014360
276,Annual Review of Analytical Chemistry,1936-1327,"1,320",7.814,11.313,19,,0.014520
277,JOURNAL OF PINEAL RESEARCH,0742-3098,"6,136",7.812,5.961,88,,0.007500
278,Nature Protocols,1754-2189,"20,399",7.782,13.142,181,,0.088550
279,CLINICAL CHEMISTRY,0009-9147,"27,192",7.768,7.869,150,,0.037570
280,PHARMACOLOGY & THERAPEUTICS,0163-7258,"11,180",7.745,8.492,105,,0.022030
281,PHYSICAL REVIEW LETTERS,0031-9007,"378,568",7.728,7.411,"3,555",,1.008560
282,PSYCHOLOGICAL REVIEW,0033-295X,"22,243",7.719,10.641,36,,0.018440
282,PSYCHOLOGICAL REVIEW,0033-295X,"22,243",7.719,10.641,36,,0.018440
284,ANTIOXIDANTS & REDOX SIGNALING,1523-0864,"14,273",7.667,8.499,306,,0.044560
285,CURRENT OPINION IN CHEMICAL BIOLOGY,1367-5931,"9,066",7.652,9.446,127,,0.025210
286,HYPERTENSION,0194-911X,"34,751",7.632,7.346,327,,0.064390
287,AGEING RESEARCH REVIEWS,1568-1637,"2,399",7.628,7.517,93,,0.007260
288,NEUROSCIENTIST,1073-8584,"3,594",7.618,6.491,47,,0.009150
289,BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,0304-419X,"3,672",7.584,9.141,50,,0.010890
290,FRONTIERS IN NEUROENDOCRINOLOGY,0091-3022,"3,070",7.581,10.579,25,,0.009340
291,Journal of Biomedical Nanotechnology,1550-7033,"3,474",7.578,5.909,232,,0.006760
292,ACS Catalysis,2155-5435,"4,446",7.572,7.592,378,,0.017620
293,Cold Spring Harbor Perspectives in Medicine,2157-1422,"1,240",7.559,7.559,106,,0.007980
294,PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,1088-8683,"3,509",7.545,10.484,22,,0.008620
295,Mucosal Immunology,1933-0219,"2,420",7.537,6.894,104,,0.013460
296,Small,1613-6810,"22,483",7.514,8.416,487,,0.077610
297,JOURNAL OF PSYCHIATRY & NEUROSCIENCE,1180-4882,"2,519",7.492,7.234,38,,0.006570
297,JOURNAL OF PSYCHIATRY & NEUROSCIENCE,1180-4882,"2,519",7.492,7.234,38,,0.006570
