"Journal Data Filtered By:  Selected JCR Year: 2012 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,,,,,
Rank,Full Journal Title,Issn,Total Cites,Journal Impact Factor,5-Year Impact Factor,Citable Items,,Eigenfactor Score
1,CA-A CANCER JOURNAL FOR CLINICIANS,0007-9235,"13,722",153.459,88.550,25,,0.051360
2,NEW ENGLAND JOURNAL OF MEDICINE,0028-4793,"245,605",51.658,50.807,360,,0.659570
3,REVIEWS OF MODERN PHYSICS,0034-6861,"35,720",44.982,51.882,46,,0.129680
4,CHEMICAL REVIEWS,0009-2665,"112,596",41.298,45.795,176,,0.226740
5,NATURE REVIEWS GENETICS,1471-0056,"23,358",41.063,36.400,70,,0.124110
6,LANCET,0140-6736,"166,922",39.060,36.427,313,,0.361720
7,NATURE,0028-0836,"554,745",38.597,38.159,869,,1.565390
8,NATURE REVIEWS MOLECULAR CELL BIOLOGY,1471-0072,"31,341",37.162,44.026,65,,0.149440
9,Annual Review of Immunology,0732-0582,"15,963",36.556,43.742,28,,0.048600
10,NATURE MATERIALS,1476-1122,"46,348",35.749,42.376,141,,0.228150
11,NATURE GENETICS,1061-4036,"81,183",35.209,34.520,225,,0.307570
12,NATURE REVIEWS CANCER,1474-175X,"32,628",35.000,39.361,69,,0.113230
13,ADVANCES IN PHYSICS,0001-8732,"4,849",34.294,31.167,7,,0.013840
14,NATURE REVIEWS IMMUNOLOGY,1474-1733,"24,831",33.129,35.851,65,,0.110280
15,NATURE REVIEWS DRUG DISCOVERY,1474-1776,"19,470",33.078,33.205,43,,0.065420
16,NATURE BIOTECHNOLOGY,1087-0156,"38,728",32.438,32.182,92,,0.133160
17,CELL,0092-8674,"178,762",31.957,34.366,415,,0.585330
18,NATURE REVIEWS NEUROSCIENCE,1471-003X,"26,938",31.673,35.888,62,,0.093380
19,Nature Nanotechnology,1748-3387,"21,920",31.170,36.011,121,,0.154790
20,SCIENCE,0036-8075,"508,489",31.027,33.587,832,,1.353150
21,PHYSIOLOGICAL REVIEWS,0031-9333,"22,537",30.174,38.707,39,,0.045750
22,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,0098-7484,"121,504",29.978,29.273,232,,0.261380
23,Annual Review of Biochemistry,0066-4154,"19,420",27.681,31.964,32,,0.051090
24,Nature Photonics,1749-4885,"13,993",27.254,31.567,120,,0.114200
25,PROGRESS IN POLYMER SCIENCE,0079-6700,"14,457",26.383,31.706,56,,0.031130
26,NATURE IMMUNOLOGY,1529-2908,"32,465",26.199,25.005,128,,0.160010
27,Annual Review of Pathology-Mechanisms of Disease,1553-4006,"2,322",25.794,19.915,18,,0.013430
28,Cell Stem Cell,1934-5909,"12,593",25.315,27.361,122,,0.100260
29,LANCET ONCOLOGY,1470-2045,"17,005",25.117,21.856,153,,0.077680
30,CHEMICAL SOCIETY REVIEWS,0306-0012,"47,646",24.892,30.181,390,,0.179140
31,CANCER CELL,1535-6108,"22,200",24.755,27.059,114,,0.108200
32,NATURE MEDICINE,1078-8956,"57,350",24.302,27.139,186,,0.164020
33,LANCET NEUROLOGY,1474-4422,"15,160",23.917,22.959,89,,0.069930
34,Annual Review of Plant Biology,1543-5008,"13,438",23.654,29.248,27,,0.025020
35,NATURE METHODS,1548-7091,"19,241",23.565,23.231,151,,0.133230
36,Annual Review of Astronomy and Astrophysics,0066-4146,"8,240",23.333,34.261,14,,0.020760
37,PROGRESS IN MATERIALS SCIENCE,0079-6425,"5,921",23.194,22.333,23,,0.015020
38,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,0370-1573,"20,765",22.929,22.990,43,,0.042090
39,NATURE REVIEWS MICROBIOLOGY,1740-1526,"14,473",22.490,23.227,69,,0.066630
40,PHARMACOLOGICAL REVIEWS,0031-6997,"10,331",22.345,22.114,36,,0.014850
