Title,RIN,Secondary RIN,Stage,Original Sheet,Unique ID,Release Date,Agency,Senate Committee,House Committee,Joint Committee,Number of Docket Comments from Regulations.gov,Number of Public Comments from regulations.gov,Number of Public Comments from Sunlight Foundation Docketwrench,"Number of Public Comments from Sunlight Foundation Docketwrench (after clicking ""View and Search Comments"")",Docket URL,Recognized Organization Commentators,Agency Code,Rule Summary,Bibliography,Comments,Double Check
National Organic Program: Sunset Review for Nutrient Vitamins and Minerals ,0581-AD17,,Proposed Rule,RIAMetaChelsea,12,12-Jan-12,Department of Agriculture,"Committee on Agriculture, Nutrition, and Forestry",Committee on Agriculture,,2507,2496,2507,2507,http://www.regulations.gov/#!docketDetail;D=AMS-NOP-10-0083,University of La Verne; Hain Celestial Group; Michigan State University; Food & Water Watch; Organic Trade Association; Public Citizen; Quintana; Foss; Columbia University; National Organic Coalition; Central Michigan University; Martek Biosciences; Nestle Infant Nutrition; University of Pittsburgh Medical Center; Portland State University; QAI Inc; William Mitchell College of Law; National University of Health Sciences; Stanford University; Emerson; Farnsworth; University of Memphis; DuPont Co; Sierra Club,500,"This proposed rule would address a recommendation submitted to the Secretary of Agriculture (Secretary) by the National Organic Standards Board (NOSB) on April 29, 2011. The recommendation pertains to the 2012 Sunset Review of the listing for nutrient vitamins and minerals on the U.S. Department of Agriculture's (USDA) National List of Allowed and Prohibited Substances (National List). As recommended by the NOSB, the proposed rule would continue the exemption (use) for nutrient vitamins and minerals for 5 years after the October 21, 2012 sunset date. In addition, the proposed rule would amend the annotation to correct an inaccurate cross reference to U.S. Food and Drug Administration regulations (FDA). The proposed amendment to the annotation would clarify what synthetic substances are allowed as nutrient vitamins and minerals in organic products labeled as ``organic'' or ``made with organic (specified ingredients or food group(s)).''",No,No scholarly journals found; explicit use of regulations though,
Nutrition Labeling of Single-Ingredient Products,0583-AC60,,Final Rule,RIAMeta2009,4,18-Dec-09,Department of Agriculture,"Committee on Agriculture, Nutrition, and Forestry",Committee on Agriculture,,34,34,34,34,http://www.regulations.gov/#!docketDetail;D=FSIS-2005-0018,Food Marketing Institute; National Meat Association; American Association of Meat Processors; Cargill Inc; National Cattlemen's Beef Association; National Grocers Association; National Turkey Federation; American Meat Institute; National Chicken Council; National Pork Producers Council,500,"The Food Safety and Inspection Service (FSIS) is issuing this supplemental proposed rule that, if finalized, will amend the federal meat and poultry products inspection regulations to require nutrition labeling of the major cuts of single-ingredient, raw meat and poultry products, unless an exemption applies.",no,,
Modernization of Poultry Slaughter Inspection,0583-AD32,,Proposed Rule,RIAMetaNick,5,27-Jan-12,Department of Agriculture,N/A,N/A,,2260,2260,2259,2246,http://www.regulations.gov/#!docketDetail;D=FSIS-2011-0012,"Animal Welfare Institute; Food & Water Watch; AFL-CIO; American Federation of Government Employees; West Chester University; OMB Watch; American Public Health Association; Hartmann-Conco; Menard; Aspca; Bloomberg School of Public Health; BlueGreen Alliance; USC; Shure; Teamsters Union; American Fedn of St/Cnty/Munic Employees; DHS; United Auto Workers; In Defense of Animals; Duke University Medical Center; National Meat Association; University of La Verne; Katy-FM; Tyson Foods; Consumer Federation of America; Jones Hamilton Co; National Council of La Raza; Boise State University; Government Accountability Project; People Inc; World Learning; Center for Community Change; Olsson, Frank & Weeda; National Turkey Federation; Appleseed; Just Care; AARP; American Medical Association; Tufts University; Emerson; University of Nebraska; University of Massachusetts; Health First; University of Georgia; Farm Sanctuary; Standard Process; UCLA; Public Citizen; American Meat Institute; National Chicken Council; Amvets; University of Massachusetts - Lowell; Sisters of Providence; Prince William County; Kraft Foods; PDX; Sierra Club; American Society for Microbiology",500,"FSIS is proposing to modernize poultry slaughter inspection as a result of its 2011 regulatory review efforts conducted under E.O. 13563. The Agency is taking this action to improve food safety and the effectiveness of poultry slaughter inspection systems, remove unnecessary regulatory obstacles to innovation, and make better use of the Agency’s resources. FSIS is proposing a new inspection system for young chicken and turkey slaughter establishments. The new inspection system would replace the current Streamlined Inspection System(SIS), the New Line Speed Inspection System (NELS), and the New Turkey Inspection System (NTIS).",no,RIA included in Rule Summary/no citations,Found citations and entered
"Catfish Inspection
",0583-AD36,,Proposed Rule,RIAMetaRitika,17,"Feb 24, 2011",Department of Agriculture ,N/A,N/A,,335,335,335,333,http://www.regulations.gov/#!docketDetail;D=FSIS-2008-0031,"Catfish Farmers of America; Mississippi State University; University of Arkansas; Cleveland-Cliffs; Food & Water Watch; Emergency Cmte for American Trade; National Fisheries Institute; Indiana University; Delta Council; Food Marketing Institute; Washington County; Grocery Manufacturers Association; US Senate; US House of Representatives; Cargill Inc; Silverman-Santucci; International Foodservice Distributors Association; Retail Industry Leaders Association; Consumer Federation of America; Health Alliance; QVD Aquaculture; Mazzetta Co; Grunfeld, Desiderio et al; Wasserman & Association; Darden Restaurants; National Bank; Emerson; Greenville; American Meat Institute; George Mason University; Land O'Lakes; Arent Fox LLP; American Frozen Food Institute; Alabama Farmers Federation; National Pork Producers Council; Greenberg Traurig LLP",500,"The Food Safety and Inspection Service (FSIS) is proposing regulations requiring continuous inspection of catfish and catfish products. FSIS is proposing these regulations to implement provisions of the Food, Conservation, and Energy Act (Farm Bill) of 2008. The proposed regulations are intended to ensure that catfish products distributed in commerce are wholesome; not adulterated; and properly marked, labeled, and packaged.",Yes,,
Special Areas; State-Specific Inventoried Roadless Area Management,0596-AC74,,Proposed Rule,RIAMetaNick,1,25-Jul-08,Department of Agriculture,"Committee on Agriculture, Nutrition, and Forestry",Committee on Natural Resources,,0,0,0,0,http://www.regulations.gov/#!documentDetail;D=FS_FRDOC_0001-1322,None,500,"On April 11, 2007, Governor of Colorado Ritter submitted a petition under the provisions of the Administrative Procedure Act (5 U.S.C. 553(e)) and Agriculture Department regulation (7 CFR 1.28) to promulgate regulations, in cooperation with the State, for the management of inventoried roadless areas within the State of Colorado. After review and recommendation by the Roadless Area Conservation National Advisory Committee, the Secretary accepted the Governor’s petition and initiated a proposed rulemaking for inventoried roadless areas in Colorado. The proposed rulemaking would manage Colorado’s inventoried roadless areas by prohibiting road building and tree cutting, with some exceptions, on 4.1 million acres of inventoried roadless areas in Colorado. The 4.1 million acres reflect the most updated IRA boundaries for Colorado, which incorporate planning rule revisions since 2001 on several Colorado national forests. Inventoried roadless areas that are allocated to ski area special uses (approximately 10,000 acres) would also be removed from roadless designation. Road construction and reconstruction plus timber harvesting would be prohibited in inventoried roadless areas, with some exceptions, on the Arapaho-Roosevelt, Grand Mesa-Uncompahgre, Gunnison, Manti-La Sal, Pike-San Isabel, Rio Grande, Routt, San Juan, and White River National Forests in Colorado. Exceptions to the prohibitions would be allowed for certain health, safety, valid existing rights, resource protection, and ecological management needs.",yes,"There are two different RIAs for this RIN, both RIAs have the same citations.",
Colorado Roadless Areas,0596-AC74,,Proposed Rule,RIAMetaNick,2,15-Apr-11,Department of Agriculture,"Committee on Agriculture, Nutrition, and Forestry",Committee on Natural Resources,,0,0,0,0,http://www.regulations.gov/#!documentDetail;D=FS_FRDOC_0001-1322,None,500,"The Forest Service, U.S. Department of Agriculture (USDA), is proposing to establish a state-specific rule to provide management direction for conserving and managing inventoried roadless areas on National Forest System (NFS) lands in Colorado. A proposed rule was published in the July 25, 2008, Federal Register. In response to public comment on the 2008 proposed rule and a revised petition submitted by the state of Colorado on April 6, 2010, the Forest Service is publishing a new proposed rule.",yes,,
Special Areas; Roadless Area Conservation; Applicability to the National Forests in Colorado ,0596-AC74,,Proposed Rule,RIAMetaConnor,4,25-Jul-08,Department of Agriculture,"Committee on Agriculture, Nutrition, and Forestry",Committee on Natural Resources,,0,0,0,0,http://www.regulations.gov/#!documentDetail;D=FS_FRDOC_0001-1322,None,500,"On April 11, 2007, Governor of Colorado Ritter submitted a petition under the provisions of the Administrative Procedure Act (5 U.S.C. 553(e)) and Agriculture Department regulation (7 CFR 1.28) to promulgate regulations, in cooperation with the State, for the management of inventoried roadless areas within the State of Colorado. After review and recommendation by the Roadless Area Conservation National Advisory Committee, the Secretary accepted the Governor’s petition and initiated a proposed rulemaking for inventoried roadless areas in Colorado. The proposed rulemaking would manage Colorado’s inventoried roadless areas by prohibiting road building and tree cutting, with some exceptions, on 4.1 million acres of inventoried roadless areas in Colorado. The 4.1 million acres reflect the most updated IRA boundaries for Colorado, which incorporate planning rule revisions since 2001 on several Colorado national forests. Inventoried roadless areas that are allocated to ski area special uses (approximately 10,000 acres) would also be removed from roadless designation. Road construction and reconstruction plus timber harvesting would be prohibited in inventoried roadless areas, with some exceptions, on the Arapaho-Roosevelt, Grand Mesa-Uncompahgre, Gunnison, Manti-La Sal, Pike-San Isabel, Rio Grande, Routt, San Juan, and White River National Forests in Colorado. Exceptions to the prohibitions would be allowed for certain health, safety, valid existing rights, resource protection, and ecological management needs.",,Two RIAs with Same RIN,
Colorado Roadless Areas,0596-AC74,,Proposed Rule,RIAMetaRussell,8,15-Apr-11,Department of Agriculture,"Committee on Agriculture, Nutrition, and Forestry",Committee on Natural Resources,,0,0,0,0,http://www.regulations.gov/#!documentDetail;D=FS_FRDOC_0001-1322,None,500,"The Forest Service, U.S. Department of Agriculture (USDA), is proposing to establish a state-specific rule to provide management direction for conserving and managing inventoried roadless areas on National Forest System (NFS) lands in Colorado. A proposed rule was published in the July 25, 2008, Federal Register. In response to public comment on the 2008 proposed rule and a revised petition submitted by the state of Colorado on April 6, 2010, the Forest Service is publishing a new proposed rule.",Yes ,Proposed Rule,
Champus/Tricare,0720-AB22,,Final Rule,RIAMeta2008,3,25-Jul-08,Department of Defense,N/A,Committee on Armed Services,,25,25,24,24,http://www.regulations.gov/#!docketDetail;D=DOD-2008-HA-0029,None,700,"This proposed rule implements several changes enacted by the John Warner National Defense Authorization Act for Fiscal Year 2007 (NDAA-07), Public Law 109-364, and accompanying recommendations of the Conference Committee, set forth in H. Conf. Rept. 109-702. Specifically, this proposed rule recommends changes to adopt state-of-the art pharmacy benefit management practices to encourage greater use of the TRICARE Mail Order Pharmacy (TMOP) Program, generic drugs, formulary drugs, and over-the-counter drugs. ",No,RIA located in regulation but very short,
Unique Device Identification System,0910-AG31,,Proposed Rule,RIAMetaChristina,12,10-Jul-12,Department of Health and Human Services,"Committee on Health, Education, Labor, and Pensions",Committee on Energy and Commerce,,288,262,261,260,http://www.regulations.gov/#!docketDetail;D=FDA-2011-N-0090,"Cook Group; AIM North America; Fish & Richardson; Healthcare Supply Chain Association; Wright Medical Technology; American Clinical Laboratory Association; Epstein, Becker & Green; Florida State University; Marshfield Clinic; Aaab",900,"FDA proposes to establish a unique device identification system. The system established by this rule would require the labeling of medical devices and device packages to include a unique device identifier (UDI), except where the rule provides for alternative placement of the UDI or provides an exception for a particular device or type of device. Each UDI would have to be provided in a plaintext version and in a form that uses automatic identification and data capture (AIDC) technology. The UDI would also be required to be directly marked on the device itself for certain categories of devices for which the labeling requirement may not be sufficient—for example, devices that remain in use for an extended period of time and devices that are likely to become separated from their labeling. The rule would require the submission of information concerning each device to a database that FDA intends to make public, to ensure that the UDI can be used to adequately identify the device through its distribution and use.",Yes,,
