"Journal Data Filtered By:  Selected JCR Year: 2011 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,,,,,
Rank,Full Journal Title,Issn,Total Cites,Journal Impact Factor,5-Year Impact Factor,Citable Items,,Eigenfactor Score
1,CA-A CANCER JOURNAL FOR CLINICIANS,0007-9235,"10,976",101.780,67.410,19,,0.045000
2,NEW ENGLAND JOURNAL OF MEDICINE,0028-4793,"232,068",53.298,50.075,349,,0.663830
3,Annual Review of Immunology,0732-0582,"15,990",52.761,42.901,23,,0.051990
4,REVIEWS OF MODERN PHYSICS,0034-6861,"31,368",43.933,44.436,38,,0.116610
5,CHEMICAL REVIEWS,0009-2665,"103,702",40.197,42.054,196,,0.214700
6,NATURE REVIEWS MOLECULAR CELL BIOLOGY,1471-0072,"29,222",39.123,42.508,66,,0.174170
7,LANCET,0140-6736,"158,906",38.278,33.797,276,,0.360950
8,NATURE REVIEWS GENETICS,1471-0056,"20,384",38.075,31.359,71,,0.121320
9,NATURE REVIEWS CANCER,1474-175X,"28,602",37.545,38.460,68,,0.126080
10,ADVANCES IN PHYSICS,0001-8732,"4,400",37.000,25.289,9,,0.014840
11,NATURE,0028-0836,"526,505",36.280,36.235,841,,1.655240
12,NATURE GENETICS,1061-4036,"76,456",35.532,33.096,196,,0.329900
13,Annual Review of Biochemistry,0066-4154,"18,684",34.317,35.013,41,,0.056880
14,NATURE REVIEWS IMMUNOLOGY,1474-1733,"22,613",33.287,34.302,69,,0.119690
15,NATURE MATERIALS,1476-1122,"39,242",32.841,36.732,134,,0.220910
16,CELL,0092-8674,"171,297",32.403,34.774,338,,0.660820
17,Energy Education Science and Technology,1301-8361,"2,992",31.677,Not Available,174,,0.001170
18,SCIENCE,0036-8075,"480,836",31.201,32.452,871,,1.411620
19,NATURE REVIEWS NEUROSCIENCE,1471-003X,"24,316",30.445,34.187,47,,0.106120
20,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,0098-7484,"117,668",30.026,29.684,220,,0.285660
21,Nature Photonics,1749-4885,"10,259",29.278,30.773,96,,0.093770
22,NATURE REVIEWS DRUG DISCOVERY,1474-1776,"16,887",29.008,32.123,61,,0.069100
23,CHEMICAL SOCIETY REVIEWS,0306-0012,"35,918",28.760,28.098,314,,0.136780
24,Nature Nanotechnology,1748-3387,"16,581",27.270,33.781,117,,0.128580
25,PHYSIOLOGICAL REVIEWS,0031-9333,"20,735",26.866,36.169,34,,0.047260
26,CANCER CELL,1535-6108,"19,726",26.566,28.174,111,,0.114520
27,Annual Review of Astronomy and Astrophysics,0066-4146,"7,112",26.452,29.657,13,,0.021080
28,NATURE IMMUNOLOGY,1529-2908,"31,436",26.008,24.735,132,,0.163360
29,Annual Review of Plant Biology,1543-5008,"13,134",25.962,30.649,23,,0.029600
30,Annual Review of Neuroscience,0147-006X,"11,948",25.737,31.058,24,,0.030540
