	Department of Homeland Security Office of Immigration Statistics	Hourly Compensation Rates of ICE Immigration Enforcement Officers Variable Description This is the “fully burdened” average wage rate of a typical ICE Immigration Enforcement Officer It includes gross hourly wage as well as benefits The benefits were estimated Date 04172008 F19 h Cost119 In examining each of the five alternatives listed DHS developed a cost estimate for each These cost estimates are more fully explained in relation to the Executive Order 12866 and Regulatory Flexibility Analysis infra Alternatives C and E are expected to add additional significant labor costs relative to the other three alternatives and thus would have these additional costs recurring beyond the first year Alternative A Carrier biometric collection at checkin Counters 949000000 Alternative B DHS collection at checkin counters 357000000 Alternative C DHS collection at TSA checkpoint 304000000 Alternative D Carrier collection at aircraft gate 449000000 Alternative E Government collection at aircraft gate
Business Travel Speeding Flight CheckIn At SelfService Kiosks	0.859375	0.9462151394422311
MidTex Elect Coop Inc v FERC	0.828125	0.9780876494023905
Annual Report on the Integrated Entry and Exit Data System 	0.765625	0.9472111553784861
Business Capacity Baseline Report	0.8125	0.9701195219123506
Percentage of Exit Records Matched to Entry Records	0.734375	0.954183266932271
The 911 Commission Report Final Report of the National Commission on Terrorist Attacks upon the United States	0.7614678899082569	0.9103585657370518
Hearing of the Senate Homeland Security and Governmental Affairs Committee	0.6351351351351351	0.9342629482071713
Cost from the Local Fiscal Effects of Illegal Immigration A Report of a Workshop	0.7125	0.9322709163346613
Evaluating the True Cost to Airlines of One Minute of Airborne or Ground Delay	0.7692307692307693	0.9312749003984063
Judged Terror Risk and Proximity to the World Trade Center	0.765625	0.950199203187251
Perceived Risk Psychological Factors and Social Implications	0.828125	0.9492031872509961
Perception of Risk	0.8125	0.9830677290836654
Terrorism and probability neglect	0.78125	0.9671314741035857
