	NO PARSCIT CITATIONS
Ejection Mitigation Using Advanced Glazings A Status Report	0.9322033898305084
Ejection Mitigation Using Advanced Glazings Final Report	0.9464285714285714
Ejection Mitigation Using Advanced Glazings Status Report II	0.9333333333333333
Estimating the InjuryReducing Benefits of Ejection Mitigation Glazing	0.9565217391304348
Fatality reduction by Safety Belts for FrontSeat Occupants of Cars and Light Trucks	0.9397590361445783
Summary Report of Rollover Crashes	0.9411764705882353
Treatment of Value of Preventing Fatalities and Injuries in Preparing Economic Analysis	0.9425287356321839
HIV prevalence estimates—United  States	0.9230769230769231
An Evaluation of Side Impact Protection – FMVSS 214 TTId Improvements and Side Air Bags 	0.9204545454545454
Timing of HeadtoVehicle Perimeter Contacts in Rollovers	0.9272727272727272
Technical Analysis in Support of a Notice of Proposed Rulemaking for Ejection Mitigation	0.9431818181818182
