	Employee Benefits Security Administration Attn Participant Fee Disclosure Project Room N–5655 US Department of Labor 200 Constitution Avenue	Office of Regulations and Interpretations Employee Benefits Security Administration 202 693– 1 The authority citation for part 2550 continues to read as follows Authority 29 USC	Stat38 and Secretary of Labor’s Order No 1–2003 68 FR	Sec 2550401b–1 also issued under sec 102 Reorganization Plan No	Sec 2550401c–1 also issued under 29 USC 1101 Sections 2550404c–1 and 2550404c– 5 also issued under 29 USC 1104 Sec 2550407c–3 also issued under 29 USC 1107 Sec 2550408b–1 also issued under 29 USC 1108b1 and sec 102 Reorganization Plan No 4 of 1978 3 CFR 1978 Comp p 332 effective Dec 31 1978 44 FR	Add § 2550404a–5 to read as Exchange Commission Form N–1A with respect to an openend management investment company registered under the Investment Company Act of	3 Total annual operating expenses means annual operating expenses of the designated investment alternative eg investment management fees distribution service and administrative Exchange Commission Form N–1A with respect to an openend management investment company registered under the Investment Company Act of	4 At least annually thereafter means at least once in any 12month period Signed at Washington DC this 15th day of
Employee Welfare and Pension Benefit Plans Working Group on Fee and Related Disclosures to Participants	0.4651162790697675	0.5434782608695652	0.6666666666666667	0.5897435897435898	0.5434782608695652	0.5777777777777777	0.5238095238095238	0.4285714285714286
Mutual Funds Information on Trends in Fees and Their Related Disclosure	0.5813953488372092	0.5581395348837209	0.6578947368421053	0.6111111111111112	0.5909090909090908	0.5952380952380952	0.5	0.48484848484848486
November 2007 Presidents Economic Forecast for 2008	0.4878048780487805	0.6595744680851063	0.5142857142857142	0.5428571428571429	0.46341463414634143	0.5365853658536586	0.55	0.6216216216216216
Private Pensions Changes Needed to Provide 01k Plan Participants and the Department of Labor Better Information on Fees	0.43181818181818177	0.5416666666666667	0.5952380952380952	0.55	0.4444444444444444	0.4772727272727273	0.41463414634146345	0.4736842105263158
Fees Revenue Sharing in Defined Contribution Retirement Plans 	0.46341463414634143	0.5777777777777777	0.641025641025641	0.5142857142857142	0.4390243902439024	0.5813953488372092	0.4871794871794872	0.4242424242424242
2000 Small Employer Retirement Survey	0.5128205128205128	0.5609756097560976	0.6666666666666667	0.5757575757575757	0.5952380952380952	0.6	0.6153846153846154	0.53125
2001 Small Employer Retirement Survey	0.525	0.5365853658536586	0.6388888888888888	0.5454545454545454	0.5714285714285714	0.575	0.5897435897435898	0.5
Employee Benefit Research Institute Issue Brief 292	0.5238095238095238	0.42500000000000004	0.6666666666666667	0.6216216216216216	0.6	0.5365853658536586	0.5128205128205128	0.4545454545454546
Employment Cost Index	0.6829268292682926	0.6585365853658536	0.7777777777777778	0.7714285714285715	0.75	0.631578947368421	0.5714285714285714	0.6129032258064516
Invest Wisely An Introduction to Mutual Funds	0.5952380952380952	0.6363636363636364	0.6756756756756757	0.6285714285714286	0.6666666666666667	0.575	0.5135135135135135	0.5
National Occupational Employment Survey	0.55	0.5952380952380952	0.6666666666666667	0.6176470588235294	0.627906976744186	0.6	0.5405405405405406	0.53125
Portfolio Transactions Costs at US Equity Mutual Funds	0.5238095238095238	0.5681818181818181	0.6666666666666667	0.6216216216216216	0.6	0.6363636363636364	0.55	0.5428571428571429
Survey of Income Program Participation	0.5853658536585367	0.5952380952380952	0.7027027027027026	0.6176470588235294	0.5952380952380952	0.5641025641025641	0.5405405405405406	0.4838709677419355
The Economics of Providing 401k Plans Services Fees and Expenses 2006	0.5217391304347826	0.5	0.6190476190476191	0.5384615384615384	0.5	0.4651162790697675	0.47619047619047616	0.45945945945945943
29 CFR 2550404c1	0.8095238095238095	0.7857142857142857	0.7878787878787878	0.7419354838709677	0.725	0.7692307692307692	0.8780487804878049	0.78125
72 FR 20457	0.8536585365853658	0.8837209302325582	0.84375	0.8	0.8	0.8461538461538461	0.9512195121951219	0.875
72 FR 67790	0.8536585365853658	0.8571428571428572	0.8064516129032258	0.875	0.8292682926829268	0.9024390243902439	0.9512195121951219	0.9411764705882353
Estimating the Costs of Leisure Time for Recreation Demand Models	0.5348837209302326	0.5116279069767442	0.675	0.5945945945945945	0.5777777777777777	0.5813953488372092	0.4871794871794872	0.4242424242424242
Are Investors Rational Choices Among Index Funds	0.5581395348837209	0.5348837209302326	0.7	0.5833333333333333	0.5681818181818181	0.46153846153846156	0.38888888888888884	0.4545454545454546
Out of Sight Out of Mind The Effects of Expenses on Mutual Fund Flows	0.6304347826086957	0.5116279069767442	0.675	0.631578947368421	0.6382978723404256	0.5476190476190477	0.4473684210526315	0.5142857142857142
Why Does the Law of One Price Fail An Experiment on Index Mutual Funds	0.5	0.5106382978723405	0.6590909090909092	0.6818181818181819	0.6274509803921569	0.4772727272727273	0.41463414634146345	0.43243243243243246
