	The Behavioral Economics of Retirement Savings Behavior AARP Public Policy Institute White Paper	The Effects of Expenses on Mutual Fund Flows	Number 1210–NEW Affected Public Business or other forprofit Estimated Number of Respondents 16000 Estimated Number of Annual Responses 20656000 Frequency of Response Initially Annually Upon Request when a material change Estimated Total Annual Burden Hours 8398000 hours in the first year 5776000 hours in each subsequent year Estimated Total Annual Burden Cost 642541000 for the first year 493242000 for each subsequent year	List of Subjects in 29 CFR Part 2550 Employee benefit plans Exemptions Fiduciaries Investments Pensions Prohibited transactions Reporting and recordkeeping requirements and 1 The authority citation for part 2550 is revised to read as follows	Sec 2550401b–1 also issued under sec 102 Reorganization Plan No	Sec 2550401c–1 also issued under 29 USC 1101 Sec 2550404c–1 also issued under 29 USC 1104 Sec 2550407c–3 also issued under 29 USC 1107 Sec 2550404a–2 also issued under 26 USC 401 note sec 657 Pub L 107–16 115 Stat 38 Sec 2550408b–1 also issued under 29 USC 1108b1 and sec 102 Reorganization Plan No 4 of 1978 3 CFR 1978 Comp p 332 effective Dec 31 1978 44 FR	Add § 2550408g–1 to read as follows	Section 408g1 of the Employee Retirement Income Security Advice Exemption Notification— Statutory US Department of Labor Employee Benefits Security Administration Room N–1513 200 Constitution Ave	For purposes of paragraph j6i Signed at Washington DC this 15th day of August
Recent Changes in US Family Finances Evidence from the 2001 and 2004 Survey of Consumer Finances	0.6599999999999999	0.64	0.5800000000000001	0.6	0.6699999999999999	0.65	0.64	0.62	0.64
Investor and Industry Perspectives on Investment Advisers and BrokerDealers	0.63	0.5700000000000001	0.62	0.52	0.64	0.7	0.74	0.63	0.6799999999999999
Quantitative Analysis of Investor Behavior 2007	0.54	0.6599999999999999	0.5800000000000001	0.6	0.6599999999999999	0.64	0.77	0.62	0.69
The Behavioral Economics of Retirement Savings Behavior	0.0	0.62	0.6	0.55	0.6799999999999999	0.6799999999999999	0.74	0.55	0.64
2007 Retirement Confidence Survey	0.52	0.6699999999999999	0.5800000000000001	0.5800000000000001	0.64	0.64	0.73	0.4	0.7
2008 Retirement Confidence Survey	0.52	0.6699999999999999	0.5800000000000001	0.5800000000000001	0.64	0.64	0.7	0.4	0.7
50th Annual Survey of Profit Sharing and 401k Plans 	0.62	0.6599999999999999	0.56	0.6	0.62	0.64	0.72	0.64	0.64
An Analysis of Investment Advice to Retirement Plan Participants	0.54	0.6599999999999999	0.5800000000000001	0.54	0.61	0.65	0.69	0.5700000000000001	0.6799999999999999
Annual 401k Benchmarking Survey 20052006 Edition	0.71	0.78	0.5900000000000001	0.65	0.63	0.63	0.74	0.65	0.69
Are Mutual Fund Fees Competitive What IQRelated Behavior Tells Us	0.5700000000000001	0.64	0.6	0.62	0.6599999999999999	0.6799999999999999	0.69	0.64	0.6699999999999999
