	Proposed Rules 51 ‘‘Excess Billing and Insurance-Related Administrative Costs,’’ by James Kahn, in The Healthcare Imperative; Lowering Costs and Improving Outcomes: Workshop Series Summary, edited by	55 ‘‘Project Swipe IT Savings Model,’’	56 For billing and posting clerks in physician offices, Department of Labor,	Avoidance: Interest on Loans and Lines of Credit	prepared by Robert E.	The Costs and Benefits of Moving to the ICD–10 Code Sets,’’	65 ‘‘Health Plans’ Estimated Costs of Implementing ICD–10 Diagnosis Coding,’’	Aetna Chief Financial Officer and Senior Executive Vice President. Aetna Fourth Quarter 2011 Earnings Call Webcast (transcript),	TABLE 30—COST AVOIDANCE LESS COST (NET) OF A ONE-YEAR DELAY [In millions] * Low Net Estimate (Low Cost Avoidance with High Costs) .. ¥$2,950 High Net Estimate (High Cost Avoidance with Low Costs) .. 6,846 Mean Net Cost Avoidance (average) ....................................	Flexibility Analysis: Impact on Small Entities of a Delay in the Compliance Date of ICD–10 The Regulatory Flexibility Act (RFA) of	Number of Small Entities and Scope of Analysis a. Health Care Providers: Physician Total Savings/Cost Avoidance ................................................................................................................. $6,532 $13,612 $10,072 Total Costs ............................................................................................................................................... 2,133 8,784 5,459 * Costs and savings of HPID are calculated over 11 years,	[In millions of dollars] Delay in Compliance Date for ICD–10: Avoidance of returned health care claims. COSTS: Annualized Monetized costs: 7% Discount ................	List of Subjects in 45 CFR Part 162 Administrative practice and procedures, Electronic transactions, Health facilities, Health insurance, Hospitals, Incorporation by reference, Medicaid, Medicare, Reporting and 1. The authority citation for part 162 continues to read as follows:	124 Stat. 146–154 and 915– 917. Subpart A—General Provisions 2. Section 162.103 is amended by health plan. Subpart D—Standard Unique Health Identifier for Health Care Providers § 162.402 [Removed and Reserved] 3. Section 162.402 is removed and reserved. 4. Section 162.404 is amended as follows: A. Redesignating paragraph (a) as paragraph (a)(1). B. Adding a paragraph (a)(2). The addition reads as follows: § 162.404 Compliance dates of the implementation of the standard unique health identifier for health care providers. 6. Subpart E is added to part 162 to read as follows: Subpart E—Standard Unique Health Identifier for Health Plans Sec. 162.502 [Reserved] 162.504 Compliance dates for the implementation of the standard unique health plan identifier. 162.506 Standard unique health plan identifier. 162.508 Enumeration System. 162.510 Implementation specifications: Covered entities. 162.512 Implementation specifications: Health plans. 162.514 Other entity identifier. Subpart E—Standard Unique Health Identifier for Health Plans § 162.502 [Reserved] § 162.504 Compliance dates for the implementation of the standard unique health plan identifier.	(a) Covered health care providers. A covered health care provider must comply with the implementation specifications	plans. A health plan must comply with the implementation specifications in § 162.510 and § 162.512 no later than one of the following dates: (1) A health plan that is not a small health plan—October 1,	(2) A health plan that is a small health plan—October 1,	care clearinghouses. A health care clearinghouse must comply with the implementation specifications in § 162.510 no later than October 1, 2014. § 162.506 Standard unique health plan identifier. (a) Standard. The standard unique health plan identifier is the Health Plan Identifier (HPID) that is assigned by the Enumeration System identified in § 162.508. (b) Required and permitted uses for the HPID. (1) The HPID must be used as specified in § 162.510 and § 162.512. (2) The HPID may be used for any other lawful purpose. § 162.508 Enumeration System. The Enumeration System shall do all of the following: (c) If appropriate, deactivate an HPID upon receipt of sufficient information concerning circumstances justifying deactivation. (d) If appropriate, reactivate a deactivated HPID or OEID upon receipt of sufficient information justifying reactivation. (e) Not assign a deactivated HPID to any other health plan or OEID to any other entity. (f) Disseminate Enumeration System information upon approved requests. § 162.510 Implementation specifications: Covered entities. (a) A covered entity must use an HPID standard under this part. § 162.512 Implementation specifications: Health plans. (a) A controlling health plan must do all of the following: (1) Obtain an HPID from the Enumeration System for itself. (2) Disclose its HPID, when requested, to any entity that needs the HPID to identify the health plan in a standard transaction.	(3) Communicate to the Enumeration System any changes in its required data elements in the Enumeration System within 30 days of the change.
Ambulatory Medical Care Utilization Estimates for 2007	0.4571428571428572	0.5094339622641509	0.37254901960784315	0.34883720930232553	0.4736842105263158	0.5	0.4642857142857143	0.3220338983050848	0.4794520547945206	0.33333333333333337	0.31343283582089554	0.2666666666666667	0.33333333333333337	0.3924050632911392	0.25	0.3220338983050848	0.375	0.3802816901408451	0.2549019607843137
Oregon Provider and Payer Survey	0.4915254237288136	0.4285714285714286	0.5	0.4375	0.4814814814814815	0.5121951219512195	0.6	0.41666666666666663	0.6129032258064516	0.5510204081632653	0.5	0.4693877551020408	0.49090909090909096	0.5588235294117647	0.4054054054054054	0.5	0.5675675675675675	0.5	0.4
Why we cant skip ICD10 and go straight to ICD11	0.3731343283582089	0.4	0.29166666666666663	0.35	0.48571428571428577	0.34693877551020413	0.3584905660377359	0.3571428571428571	0.48571428571428577	0.33333333333333337	0.375	0.33333333333333337	0.39682539682539686	0.4473684210526315	0.28888888888888886	0.3571428571428571	0.4222222222222223	0.38235294117647056	0.29166666666666663
Why were not ready to plan ICD11 implementation	0.40625	0.44680851063829785	0.33333333333333337	0.4054054054054054	0.4375	0.4347826086956522	0.36	0.4339622641509434	0.5223880597014925	0.37037037037037035	0.4098360655737705	0.33333333333333337	0.4	0.4794520547945206	0.23809523809523814	0.39622641509433965	0.38095238095238093	0.41538461538461535	0.33333333333333337
Excess Billing and InsuranceRelated Administrative Costs	0.31343283582089554	0.4	0.41666666666666663	0.25	0.48571428571428577	0.4285714285714286	0.4339622641509434	0.3214285714285714	0.4	0.29824561403508776	0.375	0.368421052631579	0.33333333333333337	0.42105263157894735	0.24444444444444446	0.4285714285714286	0.4222222222222223	0.38235294117647056	0.29166666666666663
CMS Electronic Data Interchange EDI Performance Statistics	0.4242424242424242	0.34693877551020413	0.3191489361702128	0.33333333333333337	0.5882352941176471	0.33333333333333337	0.3076923076923077	0.34545454545454546	0.42028985507246375	0.2857142857142857	0.33333333333333337	0.3214285714285714	0.32258064516129037	0.43999999999999995	0.31818181818181823	0.4545454545454546	0.40909090909090906	0.3731343283582089	0.23404255319148937
National Health Expenditure Data	0.4838709677419355	0.5111111111111111	0.39534883720930236	0.48571428571428577	0.4	0.5454545454545454	0.41666666666666663	0.4117647058823529	0.5384615384615384	0.42307692307692313	0.423728813559322	0.46153846153846156	0.48275862068965514	0.5492957746478873	0.35	0.4901960784313726	0.44999999999999996	0.46031746031746035	0.39534883720930236
National Health Expenditure Projections 20092019	0.42028985507246375	0.42307692307692313	0.43999999999999995	0.47619047619047616	0.5135135135135135	0.5294117647058824	0.38181818181818183	0.27586206896551724	0.4722222222222222	0.38983050847457623	0.303030303030303	0.423728813559322	0.3538461538461538	0.4358974358974359	0.36170212765957444	0.3793103448275862	0.36170212765957444	0.34285714285714286	0.36
Financial Management Service	0.5593220338983051	0.38095238095238093	0.4	0.4375	0.6296296296296297	0.5121951219512195	0.6	0.45833333333333337	0.5161290322580645	0.4693877551020408	0.5357142857142857	0.4693877551020408	0.4545454545454546	0.6176470588235294	0.4054054054054054	0.5416666666666667	0.45945945945945943	0.5666666666666667	0.4
FY10 Geographic Distribution of VA Expenditures	0.43661971830985913	0.5185185185185186	0.3076923076923077	0.40909090909090906	0.4871794871794872	0.4339622641509434	0.4035087719298246	0.19999999999999996	0.45945945945945943	0.24590163934426235	0.3529411764705882	0.3770491803278688	0.3731343283582089	0.42500000000000004	0.34693877551020413	0.33333333333333337	0.3877551020408163	0.38888888888888884	0.34615384615384615
