	Counsel 202 452–2036 Legal Division For the hearing impaired only Telecommunication Device for the Deaf TDD	Adoption of Proposed Common Rule 1 The authority citation for part 3 continues to read as follows Authority 12 USC 93a 161 1818 3907 and 3909 1921 Federal Register 	Governors of the Federal 4 The authority citation for part 208 continues to read as follows Authority	The authority citation for part 225 continues to read as follows Authority	Federal Deposit Insurance Corporation 12 CFR Chapter III Authority and Issuance For the reasons set forth in the common preamble part 325 of chapter III of title 12 of the Code of Federal Regulations is proposed to be amended as follows PART 325—CAPITAL MAINTENANCE 10 The authority citation for part 325 continues to read as follows	to Part 325—RiskBased Capital for State Nonmember Banks Market Risk 12 Appendix C is further amended by a Removing ‘‘Agency’’ wherever it appears and adding in its place ‘‘FDIC’’ b Removing ‘‘Agency’s’’ wherever it appears and adding in its place ‘‘FDIC’s’’ c Removing ‘‘banking organization’’ wherever it appears and adding in its place ‘‘bank’’ d Removing ‘‘banking organizations’’ wherever it appears and adding in its place ‘‘banks’’ e Removing Call Report or FR Y–9C wherever it appears and adding in its place ‘‘Call Report’’ f Removing ‘‘the advanced capital adequacy framework’’ wherever it appears and adding in its place ‘‘Appendix D to this part’’ g Removing ‘‘regulatory report’’ wherever it appears and adding in its place ‘‘Consolidated Reports of Condition and Income Call Report’’ h Removing ‘‘the general riskbased capital rules’’ wherever it appears and adding in its place ‘‘Appendix A to this part’’	By order of the Board of Governors of the Federal Reserve System	this 14th of December 2010 By order of the Board of Directors Federal Deposit Insurance Corporation Robert E Feldman Executive Secretary
Analysis of the Third Trading Book Impact Study 	0.3220338983050848	0.2786885245901639	0.2692307692307693	0.19148936170212771	0.33333333333333337	0.3513513513513513	0.28888888888888886	0.27586206896551724
12 CFR part 208 Appendix F and 12 CFR part 225	0.4716981132075472	0.38181818181818183	0.3913043478260869	0.41463414634146345	0.43333333333333335	0.5	0.5384615384615384	0.3846153846153846
12 CFR part 225 Appendix A section IIB Board	0.4285714285714286	0.3793103448275862	0.3877551020408163	0.31818181818181823	0.3650793650793651	0.3802816901408451	0.4285714285714286	0.2727272727272727
12 CFR part 3 Appendix C OCC	0.5	0.40740740740740744	0.4666666666666667	0.44999999999999996	0.4576271186440678	0.4925373134328358	0.5263157894736843	0.4117647058823529
12 CFR part 325 Appendix A section IIB3 	0.4035087719298246	0.35593220338983056	0.4	0.33333333333333337	0.34375	0.36111111111111116	0.4418604651162791	0.2857142857142857
13 CFR 121201	0.7142857142857143	0.6363636363636364	0.7714285714285715	0.8666666666666667	0.6734693877551021	0.7543859649122807	0.7857142857142857	0.6585365853658536
5 USC 603a	0.6744186046511628	0.6444444444444444	0.8333333333333334	0.8064516129032258	0.76	0.7931034482758621	0.7931034482758621	0.7619047619047619
71 FR 55958	0.8571428571428572	0.6818181818181819	0.8285714285714285	0.8666666666666667	0.7959183673469388	0.7894736842105263	0.7857142857142857	0.8048780487804879
75 FR 52283	0.7619047619047619	0.6818181818181819	0.7714285714285715	0.8	0.7551020408163265	0.7894736842105263	0.7857142857142857	0.8048780487804879
Public Law 111�203	0.5918367346938775	0.5294117647058824	0.5714285714285714	0.5675675675675675	0.5	0.625	0.8285714285714285	0.5833333333333333
