	Urban ornamental plants: sensitivity to ozone and potential economic losses. U.S. EPA, Office of Air Quality Planning and Standards, Research Triangle Park. Under contract to RADIAN Corporation, contract no. 68-D3-0033,	A reassessment of the economic effects of ozone on U.S.	The benefits of pollution control: the case of ozone	Ambient ozone effects on forest trees of the eastern United States: a review.	A preliminary assessment of the Montreal process indicators of air pollution for the United States. Environmental Monitoring and Assessment, Integrated Science Assessment	Air Pollution Damage to U.S. Forests.	Impact of Air Pollutants on Southern Pine Forests,	The physiological basis of ozone injury assessment attributes in Sierran conifers. In	The need for a long term cumulative secondary ozone standard ‚Äì an ecological perspective. Environmental Management,	Implications of environmental policy for U.S. agriculture: the case of ambient ozone standards.	Effects of oxidant air pollutants on forest succession in the mixed conifer forest type of southern California. In: Air Pollutants Effects on Forest Ecosystems,	Oxidant air pollution effects on a western coniferous forest ecosystem.	Little‚Äôs range and FIA importance value database for 135 eastern U.S. tree species. Northeastern Research Station, USDA Forest Service. Available on the Internet at http://www.fs.fed.us/ne/delaware/4153/global/littlefia/index.html Pye,	A national ozone biomonitoring program‚Äî results from field surveys of ozone sensitive plants in Northeastern forests (1994-2000). Environmental Monitoring and Assessment,	Deterministic versus stochastic evaluation of the aggregate economic effects of price support programs.	Variation in plant response to ozone: a conceptual model of physiological events.	The Benefits and Costs of the Clean Air Act, 1990-2010. Prepared for U.S. Congress by U.S.	Available on the Internet at http://www.epa.gov/oar/sect812/1990-2010/chap1130.pdf U.S. Environmental Protection Agency	Guidance on the Use of Models and Other Analyses for Demonstrating Attainment of Air Quality Goals for Ozone, PM2.5, and Regional Haze. Office of Air Quality Planning and Standards. EPA-454/B-07-002. April. Available on the Internet at http://www.epa.gov/scram001/guidance/guide/final-03-pm-rh-guidance.pdf U.S. Environmental Protection Agency	Available on the Internet at http://cfpub.epa.gov/ncea/cfm/recordisplay.cfm?deid=201485 U.S. Environmental Protection Agency
Estimating Mortality Risk Reduction and Economic Benefits from Controlling Ozone Air Pollution	0.5700000000000001	0.51	0.51	0.64	0.5900000000000001	0.5900000000000001	0.6	0.65	0.62	0.62	0.5	0.56	0.63	0.6	0.5700000000000001	0.6	0.6599999999999999	0.6799999999999999	0.5800000000000001	0.6599999999999999
Air Quality Criteria for Ozone and Related Photochemical Oxidants Final	0.5700000000000001	0.64	0.65	0.6	0.5700000000000001	0.62	0.62	0.61	0.5700000000000001	0.6	0.6	0.6599999999999999	0.62	0.5800000000000001	0.61	0.55	0.6699999999999999	0.7	0.43999999999999995	0.65
Clean Air Scientific Advisory Committee’s CASAC Review of the Agency’s Final Ozone Staff Paper	0.5900000000000001	0.55	0.5900000000000001	0.5800000000000001	0.62	0.65	0.6	0.6599999999999999	0.64	0.5900000000000001	0.61	0.62	0.61	0.64	0.6	0.64	0.62	0.7	0.61	0.6599999999999999
Guidance on the Use of Models and Other Analyses for Demonstrating Attainment of Air Quality Goals for Ozone PM25 and Regional Haze	0.54	0.5700000000000001	0.5	0.56	0.5900000000000001	0.62	0.52	0.5900000000000001	0.5900000000000001	0.5900000000000001	0.56	0.56	0.5900000000000001	0.5900000000000001	0.61	0.6	0.61	0.6599999999999999	0.0	0.64
Integrated Science Assessment for Oxides of Nitrogen  Health Criteria Final Report	0.5700000000000001	0.53	0.61	0.54	0.54	0.65	0.5700000000000001	0.5900000000000001	0.63	0.61	0.55	0.63	0.5800000000000001	0.55	0.63	0.6	0.6599999999999999	0.6599999999999999	0.5900000000000001	0.6
Integrated Science Assessment for Oxides of Nitrogen and Sulfur – Ecological Criteria National Final Report	0.5900000000000001	0.5	0.5700000000000001	0.56	0.5700000000000001	0.62	0.62	0.6	0.55	0.6	0.5800000000000001	0.65	0.5900000000000001	0.6	0.62	0.56	0.64	0.6799999999999999	0.5900000000000001	0.62
Integrated Science Assessment for Particulate Matter Second External Review Draft	0.5900000000000001	0.53	0.5900000000000001	0.54	0.5700000000000001	0.62	0.56	0.5900000000000001	0.61	0.56	0.5900000000000001	0.63	0.56	0.62	0.5900000000000001	0.61	0.6699999999999999	0.6599999999999999	0.5900000000000001	0.61
Little’s range and FIA importance value database for 135 eastern US tree species	0.62	0.63	0.61	0.56	0.5900000000000001	0.5900000000000001	0.5800000000000001	0.63	0.62	0.6	0.5800000000000001	0.56	0.040000000000000036	0.5900000000000001	0.6	0.64	0.5800000000000001	0.6699999999999999	0.5900000000000001	0.65
Oxidant air pollution effects on a western coniferous forest ecosystem	0.5800000000000001	0.55	0.5	0.5	0.5	0.42000000000000004	0.47	0.5800000000000001	0.6	0.6	0.38	0.0	0.53	0.5800000000000001	0.53	0.56	0.63	0.6799999999999999	0.56	0.62
Review of the National Ambient Air Quality Standards for Ozone Policy assessment of scientific and technical information	0.56	0.5	0.5700000000000001	0.5900000000000001	0.55	0.5900000000000001	0.54	0.52	0.5800000000000001	0.5800000000000001	0.5800000000000001	0.6	0.6	0.5900000000000001	0.63	0.55	0.5800000000000001	0.62	0.49	0.61
