	The Behavioral Economics of Retirement Savings Behavior AARP Public Policy Institute White Paper	The Effects of Expenses on Mutual Fund Flows	Number 1210–NEW Affected Public Business or other forprofit Estimated Number of Respondents 16000 Estimated Number of Annual Responses 20656000 Frequency of Response Initially Annually Upon Request when a material change Estimated Total Annual Burden Hours 8398000 hours in the first year 5776000 hours in each subsequent year Estimated Total Annual Burden Cost 642541000 for the first year 493242000 for each subsequent year	List of Subjects in 29 CFR Part 2550 Employee benefit plans Exemptions Fiduciaries Investments Pensions Prohibited transactions Reporting and recordkeeping requirements and 1 The authority citation for part 2550 is revised to read as follows	Sec 2550401b–1 also issued under sec 102 Reorganization Plan No	Sec 2550401c–1 also issued under 29 USC 1101 Sec 2550404c–1 also issued under 29 USC 1104 Sec 2550407c–3 also issued under 29 USC 1107 Sec 2550404a–2 also issued under 26 USC 401 note sec 657 Pub L 107–16 115 Stat 38 Sec 2550408b–1 also issued under 29 USC 1108b1 and sec 102 Reorganization Plan No 4 of 1978 3 CFR 1978 Comp p 332 effective Dec 31 1978 44 FR	Add § 2550408g–1 to read as follows	Section 408g1 of the Employee Retirement Income Security Advice Exemption Notification— Statutory US Department of Labor Employee Benefits Security Administration Room N–1513 200 Constitution Ave	For purposes of paragraph j6i Signed at Washington DC this 15th day of August
Recent Changes in US Family Finances Evidence from the 2001 and 2004 Survey of Consumer Finances	0.84375	0.8020833333333334	0.8571428571428571	0.7966804979253111	0.7708333333333334	0.8540540540540541	0.8645833333333334	0.7839195979899497	0.8229166666666666
Investor and Industry Perspectives on Investment Advisers and BrokerDealers	0.78125	0.7466666666666667	0.8688524590163934	0.8091286307053942	0.8	0.8945945945945946	0.8266666666666667	0.8241206030150754	0.8961038961038961
Quantitative Analysis of Investor Behavior 2007	0.78125	0.851063829787234	0.9110070257611241	0.8672199170124482	0.7846153846153846	0.9243243243243243	0.8936170212765957	0.864321608040201	0.8181818181818182
The Behavioral Economics of Retirement Savings Behavior	0.4270833333333333	0.7454545454545455	0.9039812646370023	0.8547717842323651	0.8307692307692308	0.918918918918919	0.8363636363636363	0.8391959798994975	0.8051948051948052
2007 Retirement Confidence Survey	0.8125	0.8181818181818182	0.936768149882904	0.8921161825726142	0.8307692307692308	0.9351351351351351	0.8947368421052632	0.8743718592964824	0.8571428571428571
2008 Retirement Confidence Survey	0.8125	0.8181818181818182	0.936768149882904	0.8921161825726142	0.8307692307692308	0.9351351351351351	0.8947368421052632	0.8693467336683417	0.8571428571428571
50th Annual Survey of Profit Sharing and 401k Plans 	0.75	0.8269230769230769	0.9063231850117096	0.8547717842323651	0.7538461538461538	0.9081081081081082	0.8076923076923077	0.8241206030150754	0.8181818181818182
An Analysis of Investment Advice to Retirement Plan Participants	0.71875	0.796875	0.8899297423887588	0.8008298755186722	0.8615384615384616	0.9027027027027027	0.796875	0.7939698492462312	0.7662337662337663
Annual 401k Benchmarking Survey 20052006 Edition	0.8333333333333334	0.9166666666666666	0.9180327868852459	0.8879668049792531	0.7846153846153846	0.9135135135135135	0.875	0.8592964824120602	0.8571428571428571
Are Mutual Fund Fees Competitive What IQRelated Behavior Tells Us	0.7708333333333334	0.8	0.892271662763466	0.8464730290456431	0.8307692307692308	0.9054054054054054	0.7846153846153846	0.8391959798994975	0.8181818181818182
Asset Location for Retirement Savers in Public Policies and Private Pensions	0.5833333333333334	0.75	0.8735362997658079	0.8008298755186722	0.8026315789473685	0.8837837837837837	0.8289473684210527	0.7889447236180904	0.8571428571428571
Company Stock and Pension Plan Diversification in The Pension Challenge Risk Transfers and Retirement Income Security	0.7863247863247863	0.8376068376068376	0.8360655737704918	0.7551867219917012	0.8034188034188035	0.8621621621621621	0.8888888888888888	0.7788944723618091	0.7863247863247863
Fees and Revenue Sharing in Defined Contribution Retirement Plans	0.7604166666666666	0.7384615384615385	0.8875878220140515	0.8132780082987552	0.8153846153846154	0.8918918918918919	0.8461538461538461	0.8190954773869347	0.7792207792207793
Financial Advice and Individual Investors Portfolios	0.78125	0.8269230769230769	0.9110070257611241	0.8547717842323651	0.8307692307692308	0.9135135135135135	0.8076923076923077	0.8492462311557789	0.8181818181818182
Financial Literacy and Mutual Fund Investments Who Buys Actively Managed Funds	0.8020833333333334	0.7435897435897436	0.882903981264637	0.8174273858921162	0.8076923076923077	0.8891891891891892	0.8589743589743589	0.8190954773869347	0.8333333333333334
