	Distribution of Employment within Food Manufacturing NAICS 311	Bureau generated by RTI International using American FactFinder ‚ÄúSector 00 All sectors Core Business Statistics Series Comparative Statistics for the United States and the States	Animal Slaughtering and Processing made up the largest share of both employment 33 and the value of shipments 27	Census Bureau generated by RTI International using American FactFinder ‚ÄúSector 31 Manufacturing Geographic Area Series Industry Statistics for the States Metropolitan and Micropolitan Statistical Areas Counties and Places	Department of Energy Energy Information Administration	Census Bureau generated by RTI International using American FactFinder ‚ÄúSector 31 Annual Survey of Manufactures General Statistics Statistics for Industry Groups and Industries	Bureau generated by RTI International using American FactFinder ‚ÄúSector 00 All Sectors Core Business Statistics Series Comparative Statistics for the United States and the States	Bureau generated by Kapur Energy and Environment using American FactFinder ‚ÄúSector 00 EC0700A1 All Sectors Geographic Area Series EconomyWide Key Statistics	Bureau generated by Kapur Energy and Environment using American FactFinder ‚ÄúSector 31 EC0731I1 Manufacturing Industry Series Detailed Statistics by Industry for the United States 2007‚Äù Accessed on	Firm Size Data from the Statistics of US Businesses US Detail Employment Sizes	Paper  Forest Products	Assessing the Employment Impacts of Environmental and Natural Resource Policy‚Äù Environmental and Resource Economics	Environmental regulation and labor demand Evidence from the south coast air basin	Do environmental regulations cost jobs An industrylevel analysis of the UK	Transforming The Dow Chemical Company	Deposition and cycling of sulfur controls mercury accumulation in Isle Royale fish	Jobs versus the Environment An IndustryLevel Perspective‚Äù	What Determines the Value of Life	Estimating the Public Health Benefits of Proposed Air Pollution Regulations	Chemicals‚Äù Standard and Poor‚Äôs Industry Surveys	Lung Cancer Cardiopulmonary Mortality and Longterm Exposure to Fine Particulate Air Pollution‚Äù	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the US‚Äù Environ Sci Technol	Applying General Equilibrium New York	of Economic Analysis BEA	Producer Price Index Series IDPCU321‚Äî321‚Äî PCUOMFG‚ÄîOMFG‚Äîhttpwwwblsgovppihomehtmgt Data accessed on	Producer Price Index Series IDPCU322‚Äì322‚Äì  PCUOMFG‚ÄìOMFG‚Äì	of Labor Statistics BLS	Producer Price Index‚Äù Series ID PCU3313‚Äì 3313‚Äì  PCUOMFG‚ÄìOMFG‚Äì	Economic Census Sector 00 All sectors Core Business Statistics Series Comparative Statistics for the United States and the States	Economic Census Sector 22 Utilities Geographic Area Series Summary Statistics	Census of Governments Volume 4 Number 3 Finances of County Governments	Census of Governments Volume 4 Number 4 Finances of Municipal and Township Governments	Exclusions from the Economic Census‚Äù	NAICS Definition‚Äù sssdnaicsnaicsrchcode324search200220NAICS20Searchgt	Department of Energy Energy Information Administration 2010d ‚ÄúElectric Power Annual 2008 Table 81 Table 83 Table 84 Table 85	Occupational Safety and Health Administration OSHA	As obtained on	Producer Price Indexes Id PCU311‚Äî311‚ÄîFood Manufacturing  PCUOMFG‚ÄìOMFG‚ÄìTotal Manufacturinggt	Environmental Protection Agency Office of Air Quality Planning and Standards	Guidelines for Preparing Economic Analyses	Environmental Protection Agency	Regulatory Impact Analysis	Regulatory Impact Analysis National Emission Standards for Hazardous Air Pollutants from the Portland Cement Manufacturing Industry Office of Air Quality Planning and Standards Research Triangle Park	Environmental Protection Agency US	Integrated Science Assessment for Particulate Matter Final Report EPA600R08139F National Center for Environmental Assessment‚ÄîRTP Division December Available at TO Jim Eddinger US Environmental Protection Agency OAQPSSPPD FROM Susan McClutchey Amanda Singleton and Graham Gibson	Methodology for Estimating Control Costs for the Major Source Industrial Commercial and Institutional Boilers and Process Heaters National Emission Standards for Hazardous Air Pollutants	New Unit Analysis for Industrial Commercial and Institutional Boilers and Process Heaters at Major Sources	Delivered Fuel Prices to Industrial and Commercial Clients	Department of Energy EIA Annual Energy Outlook 2009 Table 2 Energy Consumption by Sector	MACT Floor Analysis for the Industrial Commercial Institutional Boilers National Emission Standards for Hazardous Air Pollutants ‚Äì Area Source	New Unit Analysis Industrial Commercial and Institutional Boilers National Emission Standards for Hazardous Air Pollutants ‚Äì Area Source	Methodology for Estimating Control Costs for Industrial Commercial Institutional Boilers National Emission Standards for Hazardous Air Pollutants ‚Äì Area Source	Methodology for Estimating Control Costs for Industrial Commercial Institutional Boilers and Process Heaters National Emission Standards for Hazardous Air Pollutants ‚Äì Major Source	Development of Baseline Emission Factors for Boilers and Process Heaters at Commercial Industrial and Institutional Facilities	Methodology for Developing Model Units for Industrial Commercial and Institutional Boilers National Emission Standards for Hazardous Air Pollutants ‚Äì Area Source	Department of Energy Energy Information Administration Annual Energy Outlook	Institute SectorBased Based Pollution Prevention Toxic Reductions through Energy Efficiency and Conservation Among Industrial Boilers
2007 DB Million Dollar Directory	0.69	0.6	0.69	0.63	0.72	0.69	0.6	0.6	0.69	0.6599999999999999	0.69	0.6599999999999999	0.6599999999999999	0.69	0.69	0.6	0.69	0.72	0.63	0.69	0.6599999999999999	0.69	0.69	0.75	0.75	0.79	0.7	0.79	0.6	0.6599999999999999	0.69	0.69	0.69	0.6599999999999999	0.69	0.72	0.65	0.75	0.69	0.63	0.65	0.74	0.63	0.6599999999999999	0.63	0.63	0.63	0.69	0.5900000000000001	0.63	0.63	0.63	0.63	0.6	0.6	0.6599999999999999	0.6
Applying General Equilibrium	0.6799999999999999	0.61	0.6799999999999999	0.61	0.65	0.61	0.61	0.61	0.61	0.65	0.78	0.61	0.65	0.65	0.65	0.65	0.6799999999999999	0.72	0.6799999999999999	0.75	0.65	0.65	0.0	0.71	0.75	0.75	0.79	0.75	0.72	0.61	0.65	0.65	0.72	0.72	0.6799999999999999	0.61	0.65	0.75	0.65	0.72	0.6799999999999999	0.74	0.5800000000000001	0.6799999999999999	0.61	0.65	0.61	0.65	0.65	0.61	0.5800000000000001	0.65	0.65	0.65	0.61	0.65	0.5800000000000001
Estimating the Public Health Benefits of Proposed Air Pollution Regulations	0.63	0.6	0.5900000000000001	0.5800000000000001	0.54	0.63	0.6	0.62	0.64	0.63	0.55	0.5800000000000001	0.6	0.65	0.6	0.6	0.6699999999999999	0.5800000000000001	0.0	0.65	0.56	0.6	0.65	0.63	0.75	0.75	0.6599999999999999	0.76	0.63	0.63	0.6599999999999999	0.6599999999999999	0.61	0.75	0.64	0.56	0.5	0.7	0.6	0.6	0.62	0.62	0.56	0.62	0.63	0.55	0.62	0.62	0.63	0.55	0.55	0.55	0.56	0.6	0.55	0.63	0.55
The Welfare Economics of Public Policy	0.6599999999999999	0.6599999999999999	0.56	0.5800000000000001	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.53	0.64	0.61	0.64	0.5800000000000001	0.64	0.64	0.63	0.5800000000000001	0.6599999999999999	0.64	0.56	0.72	0.61	0.64	0.73	0.45999999999999996	0.74	0.74	0.6599999999999999	0.72	0.6599999999999999	0.6599999999999999	0.61	0.5800000000000001	0.56	0.72	0.6599999999999999	0.74	0.5800000000000001	0.72	0.5800000000000001	0.56	0.65	0.6599999999999999	0.5800000000000001	0.6799999999999999	0.64	0.64	0.6599999999999999	0.61	0.61	0.61	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.61	0.61	0.6599999999999999	0.64
Ward’s Business Directory of US Private and Public Companies	0.69	0.54	0.62	0.5700000000000001	0.6699999999999999	0.6	0.54	0.64	0.6	0.5700000000000001	0.6	0.62	0.62	0.6	0.5700000000000001	0.64	0.6699999999999999	0.61	0.62	0.69	0.5800000000000001	0.5700000000000001	0.73	0.6699999999999999	0.72	0.72	0.6599999999999999	0.7	0.54	0.5900000000000001	0.65	0.62	0.64	0.77	0.64	0.64	0.5800000000000001	0.6699999999999999	0.62	0.6	0.65	0.62	0.6	0.62	0.5900000000000001	0.6	0.5900000000000001	0.56	0.65	0.6	0.6	0.6	0.6	0.52	0.62	0.65	0.6
“US Domestic Exports”  “US Imports for Consumption”	0.63	0.61	0.65	0.63	0.61	0.61	0.61	0.6699999999999999	0.63	0.63	0.6	0.5900000000000001	0.6699999999999999	0.6699999999999999	0.6799999999999999	0.65	0.65	0.6699999999999999	0.61	0.73	0.5700000000000001	0.5700000000000001	0.79	0.6699999999999999	0.75	0.75	0.6599999999999999	0.73	0.61	0.6699999999999999	0.61	0.65	0.64	0.75	0.61	0.71	0.5800000000000001	0.71	0.6699999999999999	0.69	0.71	0.6599999999999999	0.63	0.6799999999999999	0.63	0.5900000000000001	0.63	0.69	0.5900000000000001	0.61	0.61	0.5700000000000001	0.5700000000000001	0.61	0.61	0.61	0.65
“US Domestic Exports”  “US Imports for Consumption” 	0.64	0.62	0.64	0.62	0.61	0.6	0.62	0.6599999999999999	0.62	0.62	0.6	0.5800000000000001	0.6799999999999999	0.6599999999999999	0.6799999999999999	0.64	0.6599999999999999	0.6699999999999999	0.6	0.71	0.5800000000000001	0.5800000000000001	0.79	0.63	0.75	0.75	0.61	0.74	0.6	0.6599999999999999	0.62	0.6599999999999999	0.64	0.75	0.6	0.7	0.5800000000000001	0.7	0.6599999999999999	0.7	0.6799999999999999	0.6599999999999999	0.62	0.6799999999999999	0.64	0.6	0.62	0.6799999999999999	0.5800000000000001	0.62	0.62	0.5800000000000001	0.5800000000000001	0.62	0.62	0.6	0.64
“US Total Exports”  “US Imports for Consumption” 	0.64	0.64	0.64	0.62	0.61	0.62	0.64	0.6799999999999999	0.64	0.64	0.6	0.56	0.6599999999999999	0.64	0.6799999999999999	0.62	0.6799999999999999	0.7	0.5800000000000001	0.72	0.5800000000000001	0.56	0.73	0.63	0.76	0.8	0.61	0.76	0.62	0.6799999999999999	0.64	0.64	0.64	0.8	0.6	0.6699999999999999	0.5800000000000001	0.72	0.6599999999999999	0.69	0.6799999999999999	0.6599999999999999	0.6	0.6799999999999999	0.6599999999999999	0.56	0.62	0.6799999999999999	0.54	0.62	0.62	0.5800000000000001	0.5800000000000001	0.6	0.62	0.6	0.64
1997 Census NAICS Definitions	0.6599999999999999	0.5900000000000001	0.6599999999999999	0.63	0.62	0.63	0.5900000000000001	0.5900000000000001	0.5900000000000001	0.5900000000000001	0.73	0.6599999999999999	0.69	0.69	0.73	0.69	0.63	0.69	0.63	0.73	0.69	0.63	0.73	0.75	0.73	0.73	0.74	0.73	0.56	0.52	0.6599999999999999	0.6599999999999999	0.69	0.44999999999999996	0.63	0.63	0.65	0.73	0.69	0.6599999999999999	0.73	0.7	0.5900000000000001	0.73	0.63	0.63	0.5900000000000001	0.69	0.63	0.63	0.5900000000000001	0.63	0.63	0.5900000000000001	0.63	0.63	0.69
1997 Economic Census Sector 00 All sectors Core Business Statistics Series Comparative Statistics for the United States and the States 1997 NAICS Basis”	0.62	0.17000000000000004	0.5900000000000001	0.52	0.63	0.55	0.18000000000000005	0.6	0.5	0.52	0.6	0.65	0.6	0.5700000000000001	0.6	0.64	0.63	0.5800000000000001	0.63	0.63	0.63	0.61	0.65	0.42000000000000004	0.6799999999999999	0.71	0.4	0.72	0.0	0.39	0.6	0.62	0.5800000000000001	0.6799999999999999	0.6599999999999999	0.5800000000000001	0.5800000000000001	0.72	0.62	0.6	0.55	0.62	0.62	0.56	0.64	0.6	0.5900000000000001	0.5900000000000001	0.64	0.6	0.62	0.61	0.6	0.5800000000000001	0.62	0.65	0.62
