	23 Sources: Colorado Mineral and Energy Industry Activities,	24 This calculation assumes that the 110 million tons of recoverable reserves in roadless area estimated for the 2001 Rule in the Energy Minerals section of the RDEIS are included within the 180.9 million tons of reserves estimated by the State of Colorado the energy roadless model area,	Activity/Effects Value of Production ($ millions) Employment (jobs) Labor Income ($ millions)	Validation of a forest values typology for use in national forest planning. Forest Science.	Tourism Jobs Gain Ground in Colorado. Prepared for the Colorado Department of Local Affairs.	Associates, Inc. The Economic Impact of Travel on	Prepared for the State of Colorado, Colorado Tourism Office,	Personal communication regarding coal mining. USDI-Bureau of Land Management,	Western National Forests: A Cohesive Strategy is Needed to Address Catastrophic Wildland Fire Threats.	Consulting. Job Generation in the Colorado Mountain Resort Economy. Prepared for the Northwest Colorado Council of Governments.	Oil and Gas Economic Impact Analysis. Prepared by Booz Allen Hamilton for the Colorado Energy Research Institute.	economic impact modeling software).	Revised Draft Environmental Impact Statement (RDEIS): Proposed Colorado Roadless Rule. Region 2, USDA Forest Service,	Opportunities for Small Entities: Proposed Roadless Area Conservation Rule for Colorado. Region 2, USDA Forest Service,	Social and Economics Specialist Report: Proposed Roadless Area Conservation Rule for Colorado. Region 2, USDA Forest Service, Denver CO.USDA Forest Service,	Roadless Area Conservation: National Forest System Lands in Colorado: Proposed Rule Regulatory Impact Analysis and Cost Benefit Analysis. Region 2, USDA Forest Service,	Profile 2005: Softwood Sawmills in the United States and Canada. Research Paper: FPL-RP-630. USDA Forest Service, Forest Products Laboratory,	Cumulative Set Aside Program Analysis Spreadsheets, by Forest Unit. USDA Forest Service Region 2, Denver CO USDA Forest Service.	Department of the Interior.
Cumulative Set Aside Program Analysis Spreadsheets by Forest Unit	0.8307692307692308	0.8531468531468531	0.7619047619047619	0.6966292134831461	0.7888888888888889	0.7692307692307693	0.8307692307692308	0.7972972972972973	0.74	0.75	0.7657657657657657	0.8307692307692308	0.7207207207207207	0.7130434782608696	0.7666666666666667	0.7300613496932515	0.7894736842105263	0.47580645161290325	0.8461538461538461
2007 Annual Reportadvanced tables	0.7758620689655172	0.9125874125874126	0.8333333333333334	0.8426966292134831	0.8111111111111111	0.8297872340425532	0.8448275862068966	0.8243243243243243	0.84	0.8387096774193549	0.8558558558558559	0.8787878787878788	0.8468468468468469	0.8521739130434782	0.8466666666666667	0.8773006134969326	0.849624060150376	0.8790322580645161	0.8787878787878788
2007 Annual Report—advanced tables	0.7758620689655172	0.9125874125874126	0.8333333333333334	0.8426966292134831	0.8111111111111111	0.8297872340425532	0.8448275862068966	0.8243243243243243	0.84	0.8467741935483871	0.8558558558558559	0.8529411764705882	0.8468468468468469	0.8521739130434782	0.8466666666666667	0.8773006134969326	0.849624060150376	0.8790322580645161	0.8823529411764706
Job Generation in the Colorado Mountain Resort Economy 	0.8275862068965517	0.8636363636363636	0.7857142857142857	0.7528089887640449	0.6888888888888889	0.7636363636363637	0.7068965517241379	0.7702702702702703	0.78	0.5564516129032258	0.7297297297297297	0.7818181818181819	0.7387387387387387	0.7652173913043478	0.7866666666666666	0.7484662576687117	0.7969924812030075	0.7983870967741935	0.7454545454545455
Managing the Impacts of Wildland fires on Communities and the Environment  The National Fire Plan	0.7525773195876289	0.7832167832167832	0.7525773195876289	0.7835051546391752	0.7835051546391752	0.7731958762886598	0.7628865979381443	0.7938144329896907	0.81	0.7338709677419355	0.7657657657657657	0.8144329896907216	0.8198198198198198	0.782608695652174	0.7466666666666667	0.7607361963190185	0.7894736842105263	0.7741935483870968	0.8041237113402062
Oil and Gas Economic Impact Analysis	0.7758620689655172	0.9090909090909091	0.7976190476190477	0.8089887640449438	0.7888888888888889	0.5319148936170213	0.7931034482758621	0.7972972972972973	0.83	0.8225806451612904	0.6756756756756757	0.8055555555555556	0.8108108108108109	0.8347826086956521	0.8533333333333334	0.8343558282208589	0.8571428571428571	0.8548387096774194	0.8333333333333334
Personal communication regarding coal mining	0.7758620689655172	0.8881118881118881	0.7619047619047619	0.7303370786516854	0.7666666666666667	0.8297872340425532	0.7586206896551724	0.40540540540540543	0.79	0.7983870967741935	0.7837837837837838	0.7045454545454546	0.8018018018018018	0.8	0.84	0.8220858895705522	0.8571428571428571	0.8306451612903226	0.7954545454545454
The Economic Impact of Travel on Colorado 19962005	0.8448275862068966	0.8776223776223776	0.7976190476190477	0.797752808988764	0.7555555555555555	0.66	0.7068965517241379	0.7837837837837838	0.81	0.7903225806451613	0.6846846846846847	0.6	0.7657657657657657	0.7739130434782608	0.7866666666666666	0.8466257668711656	0.849624060150376	0.8387096774193549	0.76
Tourism Jobs Gain Ground in Colorado	0.7758620689655172	0.8951048951048951	0.7976190476190477	0.7865168539325843	0.6	0.8085106382978723	0.7413793103448276	0.7972972972972973	0.82	0.782258064516129	0.8108108108108109	0.7777777777777778	0.8378378378378378	0.7913043478260869	0.8466666666666667	0.8466257668711656	0.8571428571428571	0.8467741935483871	0.8055555555555556
Western National Forests A Cohesive Strategy is Needed to Address Catastrophic Wildland Fire Threats	0.78	0.7972027972027972	0.84	0.73	0.8	0.81	0.76	0.76	0.0	0.7580645161290323	0.8108108108108109	0.83	0.7657657657657657	0.782608695652174	0.7666666666666667	0.6932515337423313	0.7744360902255639	0.7741935483870968	0.84
Forest Economic Program Analysis Spreadsheet Tool	0.7931034482758621	0.8776223776223776	0.7976190476190477	0.7865168539325843	0.7555555555555555	0.8163265306122449	0.8620689655172413	0.7567567567567568	0.78	0.782258064516129	0.7477477477477478	0.7346938775510204	0.7927927927927928	0.782608695652174	0.8	0.7852760736196319	0.8345864661654135	0.717741935483871	0.8367346938775511
Minnesota IMPLAN Group 2003	0.8448275862068966	0.9475524475524476	0.8809523809523809	0.8764044943820225	0.8777777777777778	0.851063829787234	0.8275862068965517	0.8783783783783784	0.87	0.8790322580645161	0.8918918918918919	0.9090909090909091	0.8648648648648649	0.8782608695652174	0.9	0.9079754601226994	0.8872180451127819	0.9112903225806451	0.9629629629629629
Opportunities for Small Entities Proposed Roadless Area Conservation Rule for Colorado	0.7790697674418605	0.8076923076923077	0.8488372093023255	0.8089887640449438	0.7777777777777778	0.7790697674418605	0.7209302325581395	0.813953488372093	0.75	0.7419354838709677	0.7387387387387387	0.813953488372093	0.6936936936936937	0.25217391304347825	0.6066666666666667	0.7300613496932515	0.7218045112781954	0.75	0.8023255813953488
Profile 2005 Softwood Sawmills in the United States and Canada	0.8387096774193549	0.8461538461538461	0.7857142857142857	0.797752808988764	0.7555555555555555	0.8064516129032258	0.8387096774193549	0.7297297297297297	0.76	0.7983870967741935	0.8018018018018018	0.8225806451612904	0.8198198198198198	0.8173913043478261	0.82	0.803680981595092	0.5338345864661654	0.7983870967741935	0.8064516129032258
Proposed Roadless Area Conservation Rule for Colorado	0.8275862068965517	0.8531468531468531	0.7738095238095238	0.7640449438202247	0.7666666666666667	0.8490566037735849	0.7241379310344828	0.7702702702702703	0.78	0.7741935483870968	0.7477477477477478	0.7924528301886793	0.7837837837837838	0.5391304347826087	0.6466666666666666	0.8098159509202454	0.7669172932330827	0.7661290322580645	0.7924528301886793
Social and Economics Specialist Report Proposed Roadless Area Conservation Rule for Colorado	0.8043478260869565	0.8076923076923077	0.8260869565217391	0.8260869565217391	0.7717391304347826	0.7934782608695652	0.75	0.782608695652174	0.79	0.7258064516129032	0.6756756756756757	0.782608695652174	0.6756756756756757	0.5391304347826087	0.38666666666666666	0.7239263803680982	0.7368421052631579	0.75	0.8260869565217391
Validation of a forest values typology for use in national forest planning	0.8108108108108109	0.8181818181818182	0.7857142857142857	0.16853932584269662	0.7666666666666667	0.8108108108108109	0.7432432432432432	0.8648648648648649	0.75	0.717741935483871	0.7207207207207207	0.7972972972972973	0.7027027027027027	0.7217391304347827	0.7533333333333333	0.7361963190184049	0.7894736842105263	0.7258064516129032	0.8108108108108109
