	The Behavioral Economics of Retirement Savings Behavior AARP Public Policy Institute White Paper	The Effects of Expenses on Mutual Fund Flows	Number 1210–NEW Affected Public Business or other forprofit Estimated Number of Respondents 16000 Estimated Number of Annual Responses 20656000 Frequency of Response Initially Annually Upon Request when a material change Estimated Total Annual Burden Hours 8398000 hours in the first year 5776000 hours in each subsequent year Estimated Total Annual Burden Cost 642541000 for the first year 493242000 for each subsequent year	List of Subjects in 29 CFR Part 2550 Employee benefit plans Exemptions Fiduciaries Investments Pensions Prohibited transactions Reporting and recordkeeping requirements and 1 The authority citation for part 2550 is revised to read as follows	Sec 2550401b–1 also issued under sec 102 Reorganization Plan No	Sec 2550401c–1 also issued under 29 USC 1101 Sec 2550404c–1 also issued under 29 USC 1104 Sec 2550407c–3 also issued under 29 USC 1107 Sec 2550404a–2 also issued under 26 USC 401 note sec 657 Pub L 107–16 115 Stat 38 Sec 2550408b–1 also issued under 29 USC 1108b1 and sec 102 Reorganization Plan No 4 of 1978 3 CFR 1978 Comp p 332 effective Dec 31 1978 44 FR	Add § 2550408g–1 to read as follows	Section 408g1 of the Employee Retirement Income Security Advice Exemption Notification— Statutory US Department of Labor Employee Benefits Security Administration Room N–1513 200 Constitution Ave	For purposes of paragraph j6i Signed at Washington DC this 15th day of August
Recent Changes in US Family Finances Evidence from the 2001 and 2004 Survey of Consumer Finances	0.27586206896551724	0.3877551020408163	0.2987012987012987	0.21739130434782605	0.29824561403508776	0.2676056338028169	0.4339622641509434	0.23287671232876717	0.3090909090909091
Investor and Industry Perspectives on Investment Advisers and BrokerDealers	0.23076923076923073	0.4418604651162791	0.43661971830985913	0.3650793650793651	0.4509803921568627	0.4461538461538461	0.574468085106383	0.3731343283582089	0.3877551020408163
Quantitative Analysis of Investor Behavior 2007	0.2941176470588235	0.47619047619047616	0.4285714285714286	0.4193548387096774	0.48	0.5	0.4782608695652174	0.3939393939393939	0.41666666666666663
The Behavioral Economics of Retirement Savings Behavior	0.16000000000000003	0.36585365853658536	0.4492753623188406	0.34426229508196726	0.4285714285714286	0.46031746031746035	0.5555555555555556	0.3846153846153846	0.44680851063829785
2007 Retirement Confidence Survey	0.3877551020408163	0.55	0.47058823529411764	0.3666666666666667	0.41666666666666663	0.3870967741935484	0.5909090909090908	0.40625	0.4347826086956522
2008 Retirement Confidence Survey	0.3877551020408163	0.55	0.47058823529411764	0.3666666666666667	0.41666666666666663	0.3870967741935484	0.5454545454545454	0.375	0.4347826086956522
50th Annual Survey of Profit Sharing and 401k Plans 	0.2962962962962963	0.4666666666666667	0.3972602739726028	0.29230769230769227	0.28301886792452835	0.3731343283582089	0.34693877551020413	0.33333333333333337	0.2549019607843137
An Analysis of Investment Advice to Retirement Plan Participants	0.19999999999999996	0.41463414634146345	0.42028985507246375	0.34426229508196726	0.4285714285714286	0.4285714285714286	0.5111111111111111	0.3846153846153846	0.4042553191489362
Annual 401k Benchmarking Survey 20052006 Edition	0.29824561403508776	0.5	0.3421052631578947	0.2941176470588235	0.3214285714285714	0.37142857142857144	0.42307692307692313	0.2777777777777778	0.33333333333333337
Are Mutual Fund Fees Competitive What IQRelated Behavior Tells Us	0.25	0.36170212765957444	0.36	0.3731343283582089	0.5272727272727273	0.4492753623188406	0.607843137254902	0.3802816901408451	0.3584905660377359
Asset Location for Retirement Savers in Public Policies and Private Pensions	0.21568627450980393	0.4285714285714286	0.4571428571428572	0.32258064516129037	0.31999999999999995	0.34375	0.5217391304347826	0.36363636363636365	0.41666666666666663
Company Stock and Pension Plan Diversification in The Pension Challenge Risk Transfers and Retirement Income Security	0.1578947368421053	0.375	0.368421052631579	0.20588235294117652	0.3928571428571429	0.34285714285714286	0.5769230769230769	0.3055555555555556	0.2962962962962963
