	We are chronically sleep deprived	Circadian rhythms in the secretion of cortisol adrenaline and noradrenaline	Sleepiness as a consequence of shift work	Concepts and Models of Sleep Regulation An overviewquot	Homeostatic and circadian components of sUbjective alertness interact in a nonadditive mannerquot	Bimodal distribution of REM sleep latency during forced desynchrony model implicationsquot	Review of fatigue detection and prediction technologies	Effects of loading and unloading cargo on commercial truck driver alertness and performance Federal Motor Carrier Safety Administration FMCSA	Pay for Safety An Economic Alternative for Truck Driver Safetyquot	Commercial Motor Vehicle Driver Fatigue Alertness and Countermeasures Surveyquot Sponsored by US Department of Transportation Federal Highway Administration	A Survey of OwnerOperators and Company Drivers on their Use of Three New Hours of Service Featuresquot OOIDA Foundation	A Survey of Private Fleets on their Use of Three New Hours of Service Featuresquot	06 P a 00 00 I IS 00 os  Ii 00 il 1        1 The regular driver in addition to showing a higher overall effectiveness also shows much less
HaS and electronic logs fleets hold lead	0.575	0.7333333333333333	0.8292682926829268	0.7818181818181819	0.7628865979381443	0.8	0.7454545454545455	0.8156028368794326	0.7575757575757576	0.8525641025641025	0.8151260504201681	0.7682926829268293	0.8188405797101449
Roadcheck 2007 Results Show Safety Improvements Are Needed	0.7586206896551724	0.8133333333333334	0.8275862068965517	0.7758620689655172	0.8041237113402062	0.8222222222222222	0.8275862068965517	0.8226950354609929	0.8787878787878788	0.8141025641025641	0.8151260504201681	0.7804878048780488	0.8333333333333334
Effect of driver fatigue on truck accident rates	0.7916666666666666	0.7733333333333333	0.8125	0.8363636363636363	0.7525773195876289	0.7777777777777778	0.7272727272727273	0.75177304964539	0.6818181818181818	0.782051282051282	0.773109243697479	0.7195121951219512	0.8115942028985508
Effect of driver hours of service on tractortrailer crash involvement Proceedings paper	0.7701149425287356	0.735632183908046	0.8045977011494253	0.7816091954022989	0.7525773195876289	0.8222222222222222	0.7471264367816092	0.7092198581560284	0.8045977011494253	0.7435897435897436	0.7478991596638656	0.7701149425287356	0.7753623188405797
Effects of irregular schedules and physical work on commercial driver fatigue and performance	0.7849462365591398	0.6559139784946236	0.7849462365591398	0.7526881720430108	0.8144329896907216	0.8494623655913979	0.7526881720430108	0.6666666666666666	0.7634408602150538	0.7564102564102564	0.773109243697479	0.7741935483870968	0.7753623188405797
Fatigue circadian rhythm and truck accidents in Vigilance Theory Operational Performance and Physiological Correlates	0.8461538461538461	0.6239316239316239	0.811965811965812	0.7777777777777778	0.7521367521367521	0.7692307692307693	0.7435897435897436	0.7588652482269503	0.7777777777777778	0.7692307692307693	0.773109243697479	0.7777777777777778	0.8115942028985508
Performing while sleepy effects of experimentally induced sleepiness	0.75	0.7333333333333333	0.8088235294117647	0.7794117647058824	0.7525773195876289	0.7666666666666667	0.75	0.7872340425531915	0.8529411764705882	0.782051282051282	0.7983193277310925	0.7439024390243902	0.8043478260869565
Time of day models of motor carrier accident risk	0.7755102040816326	0.72	0.7755102040816326	0.7090909090909091	0.7216494845360825	0.7777777777777778	0.7454545454545455	0.7659574468085106	0.7575757575757576	0.8141025641025641	0.7815126050420168	0.7195121951219512	0.8333333333333334
2000 ITS National Motor Carrier Directory	0.8292682926829268	0.7733333333333333	0.8780487804878049	0.8181818181818182	0.8144329896907216	0.8	0.7818181818181819	0.8085106382978723	0.7575757575757576	0.8461538461538461	0.8403361344537815	0.8048780487804879	0.8260869565217391
Motor Carrier Financial and Operating Statistics	0.75	0.7733333333333333	0.8541666666666666	0.8363636363636363	0.7525773195876289	0.8	0.7090909090909091	0.7872340425531915	0.7878787878787878	0.782051282051282	0.8067226890756303	0.8048780487804879	0.8115942028985508
