	Urban ornamental plants: sensitivity to ozone and potential economic losses. U.S. EPA, Office of Air Quality Planning and Standards, Research Triangle Park. Under contract to RADIAN Corporation, contract no. 68-D3-0033,	A reassessment of the economic effects of ozone on U.S.	The benefits of pollution control: the case of ozone	Ambient ozone effects on forest trees of the eastern United States: a review.	A preliminary assessment of the Montreal process indicators of air pollution for the United States. Environmental Monitoring and Assessment, Integrated Science Assessment	Air Pollution Damage to U.S. Forests.	Impact of Air Pollutants on Southern Pine Forests,	The physiological basis of ozone injury assessment attributes in Sierran conifers. In	The need for a long term cumulative secondary ozone standard ‚Äì an ecological perspective. Environmental Management,	Implications of environmental policy for U.S. agriculture: the case of ambient ozone standards.	Effects of oxidant air pollutants on forest succession in the mixed conifer forest type of southern California. In: Air Pollutants Effects on Forest Ecosystems,	Oxidant air pollution effects on a western coniferous forest ecosystem.	Little‚Äôs range and FIA importance value database for 135 eastern U.S. tree species. Northeastern Research Station, USDA Forest Service. Available on the Internet at http://www.fs.fed.us/ne/delaware/4153/global/littlefia/index.html Pye,	A national ozone biomonitoring program‚Äî results from field surveys of ozone sensitive plants in Northeastern forests (1994-2000). Environmental Monitoring and Assessment,	Deterministic versus stochastic evaluation of the aggregate economic effects of price support programs.	Variation in plant response to ozone: a conceptual model of physiological events.	The Benefits and Costs of the Clean Air Act, 1990-2010. Prepared for U.S. Congress by U.S.	Available on the Internet at http://www.epa.gov/oar/sect812/1990-2010/chap1130.pdf U.S. Environmental Protection Agency	Guidance on the Use of Models and Other Analyses for Demonstrating Attainment of Air Quality Goals for Ozone, PM2.5, and Regional Haze. Office of Air Quality Planning and Standards. EPA-454/B-07-002. April. Available on the Internet at http://www.epa.gov/scram001/guidance/guide/final-03-pm-rh-guidance.pdf U.S. Environmental Protection Agency	Available on the Internet at http://cfpub.epa.gov/ncea/cfm/recordisplay.cfm?deid=201485 U.S. Environmental Protection Agency
Estimating Mortality Risk Reduction and Economic Benefits from Controlling Ozone Air Pollution	0.25373134328358204	0.36363636363636365	0.37777777777777777	0.375	0.24528301886792447	0.34782608695652173	0.33333333333333337	0.33333333333333337	0.2592592592592593	0.3076923076923077	0.23076923076923073	0.276595744680851	0.4029850746268657	0.33333333333333337	0.34782608695652173	0.26530612244897955	0.3214285714285714	0.3666666666666667	0.295774647887324	0.33333333333333337
Air Quality Criteria for Ozone and Related Photochemical Oxidants Final	0.2727272727272727	0.3023255813953488	0.31818181818181823	0.3191489361702128	0.3076923076923077	0.33333333333333337	0.23404255319148937	0.31999999999999995	0.3207547169811321	0.2941176470588235	0.13725490196078427	0.21739130434782605	0.33333333333333337	0.38983050847457623	0.33333333333333337	0.25	0.34545454545454546	0.38983050847457623	0.34285714285714286	0.35593220338983056
Clean Air Scientific Advisory Committee’s CASAC Review of the Agency’s Final Ozone Staff Paper	0.24637681159420288	0.30434782608695654	0.36170212765957444	0.24	0.23636363636363633	0.33333333333333337	0.24	0.28301886792452835	0.2857142857142857	0.2222222222222222	0.2222222222222222	0.26530612244897955	0.2753623188405797	0.3548387096774194	0.29166666666666663	0.21568627450980393	0.27586206896551724	0.25806451612903225	0.28767123287671237	0.29032258064516125
Guidance on the Use of Models and Other Analyses for Demonstrating Attainment of Air Quality Goals for Ozone PM25 and Regional Haze	0.2676056338028169	0.33333333333333337	0.3877551020408163	0.34615384615384615	0.26315789473684215	0.31999999999999995	0.34615384615384615	0.34545454545454546	0.31034482758620685	0.2857142857142857	0.3214285714285714	0.33333333333333337	0.323943661971831	0.34375	0.31999999999999995	0.28301886792452835	0.33333333333333337	0.34375	0.17333333333333334	0.28125
Integrated Science Assessment for Oxides of Nitrogen  Health Criteria Final Report	0.28358208955223885	0.31818181818181823	0.37777777777777777	0.33333333333333337	0.24528301886792447	0.34782608695652173	0.20833333333333337	0.2941176470588235	0.37037037037037035	0.2692307692307693	0.1923076923076923	0.276595744680851	0.28358208955223885	0.4	0.30434782608695654	0.30612244897959184	0.3214285714285714	0.33333333333333337	0.352112676056338	0.33333333333333337
Integrated Science Assessment for Oxides of Nitrogen and Sulfur – Ecological Criteria National Final Report	0.2647058823529411	0.37777777777777777	0.3913043478260869	0.3877551020408163	0.2222222222222222	0.3191489361702128	0.22448979591836737	0.3076923076923077	0.34545454545454546	0.28301886792452835	0.16981132075471694	0.25	0.2941176470588235	0.3770491803278688	0.3191489361702128	0.31999999999999995	0.368421052631579	0.34426229508196726	0.36111111111111116	0.3114754098360656
Integrated Science Assessment for Particulate Matter Second External Review Draft	0.28358208955223885	0.36363636363636365	0.4222222222222223	0.29166666666666663	0.16981132075471694	0.26086956521739135	0.25	0.33333333333333337	0.2962962962962963	0.2692307692307693	0.23076923076923073	0.276595744680851	0.25373134328358204	0.3666666666666667	0.26086956521739135	0.30612244897959184	0.3928571428571429	0.2666666666666667	0.2676056338028169	0.2666666666666667
Little’s range and FIA importance value database for 135 eastern US tree species	0.30434782608695654	0.34782608695652173	0.36170212765957444	0.28	0.19999999999999996	0.29166666666666663	0.24	0.28301886792452835	0.3571428571428571	0.18518518518518523	0.2962962962962963	0.34693877551020413	0.18840579710144922	0.3548387096774194	0.29166666666666663	0.2941176470588235	0.31034482758620685	0.22580645161290325	0.28767123287671237	0.19354838709677424
Oxidant air pollution effects on a western coniferous forest ecosystem	0.4	0.3513513513513513	0.26315789473684215	0.31707317073170727	0.26086956521739135	0.3846153846153846	0.2682926829268293	0.2727272727272727	0.276595744680851	0.24444444444444446	0.19999999999999996	0.0	0.3666666666666667	0.39622641509433965	0.23076923076923073	0.19047619047619047	0.3877551020408163	0.3584905660377359	0.40625	0.3584905660377359
Review of the National Ambient Air Quality Standards for Ozone Policy assessment of scientific and technical information	0.20588235294117652	0.28888888888888886	0.30434782608695654	0.18367346938775508	0.2592592592592593	0.36170212765957444	0.26530612244897955	0.2692307692307693	0.3090909090909091	0.2075471698113207	0.28301886792452835	0.25	0.2647058823529411	0.3114754098360656	0.3191489361702128	0.24	0.33333333333333337	0.2786885245901639	0.25	0.2786885245901639
The Benefits and Costs of the Clean Air Act 19902010	0.4193548387096774	0.33333333333333337	0.30000000000000004	0.34883720930232553	0.375	0.46341463414634143	0.34883720930232553	0.3913043478260869	0.3877551020408163	0.4042553191489362	0.3191489361702128	0.38095238095238093	0.4838709677419355	0.34545454545454546	0.36585365853658536	0.36363636363636365	0.13725490196078427	0.3090909090909091	0.4242424242424242	0.34545454545454546
The NOx Budget Trading Program 2008 Environmental Results Clean Air Markets Division	0.2222222222222222	0.5102040816326531	0.48	0.4716981132075472	0.3448275862068966	0.37254901960784315	0.4339622641509434	0.4642857142857143	0.35593220338983056	0.4385964912280702	0.33333333333333337	0.42307692307692313	0.38888888888888884	0.32307692307692304	0.37254901960784315	0.40740740740740744	0.34426229508196726	0.3538461538461538	0.3157894736842105	0.32307692307692304
Urban ornamental plants sensitivity to ozone and potential economic losses	0.35593220338983056	0.2777777777777778	0.2432432432432432	0.19999999999999996	0.24444444444444446	0.368421052631579	0.35	0.2558139534883721	0.26086956521739135	0.13636363636363635	0.31818181818181823	0.23076923076923073	0.38983050847457623	0.34615384615384615	0.26315789473684215	0.1707317073170732	0.33333333333333337	0.3076923076923077	0.39682539682539686	0.3076923076923077
A reassessment of the economic effects of ozone on US agriculture	0.33333333333333337	0.08108108108108103	0.21052631578947367	0.1707317073170732	0.17391304347826086	0.17948717948717952	0.1707317073170732	0.18181818181818177	0.276595744680851	0.15555555555555556	0.28888888888888886	0.30000000000000004	0.3666666666666667	0.3584905660377359	0.17948717948717952	0.19047619047619047	0.30612244897959184	0.3207547169811321	0.375	0.28301886792452835
Air Pollution Damage to US Forests	0.38983050847457623	0.2777777777777778	0.4054054054054054	0.35	0.28888888888888886	0.0	0.19999999999999996	0.34883720930232553	0.4347826086956522	0.31818181818181823	0.31818181818181823	0.3846153846153846	0.35593220338983056	0.46153846153846156	0.26315789473684215	0.36585365853658536	0.375	0.3846153846153846	0.4285714285714286	0.34615384615384615
Expert Judgment Assessment of the Mortality Impact of Changes	0.303030303030303	0.34883720930232553	0.31818181818181823	0.36170212765957444	0.11538461538461542	0.37777777777777777	0.23404255319148937	0.24	0.2075471698113207	0.21568627450980393	0.0980392156862745	0.21739130434782605	0.33333333333333337	0.288135593220339	0.24444444444444446	0.20833333333333337	0.3090909090909091	0.288135593220339	0.34285714285714286	0.2542372881355932
Extended followup and spatial analysis of the American Cancer Society study linking particulate air pollution and mortality	0.2727272727272727	0.3023255813953488	0.31818181818181823	0.276595744680851	0.15384615384615385	0.33333333333333337	0.23404255319148937	0.24	0.24528301886792447	0.21568627450980393	0.13725490196078427	0.17391304347826086	0.303030303030303	0.3220338983050848	0.24444444444444446	0.20833333333333337	0.2727272727272727	0.2542372881355932	0.34285714285714286	0.2542372881355932
The need for a long term cumulative secondary ozone standard – an ecological perspective	0.3015873015873016	0.30000000000000004	0.1707317073170732	0.2727272727272727	0.18367346938775508	0.38095238095238093	0.2727272727272727	0.14893617021276595	0.12	0.125	0.25	0.2093023255813954	0.3650793650793651	0.2857142857142857	0.1428571428571429	0.06666666666666665	0.3076923076923077	0.3214285714285714	0.3731343283582089	0.2857142857142857
Impact of Air Pollutants on Southern Pine Forests	0.34426229508196726	0.21052631578947367	0.23076923076923073	0.2857142857142857	0.19148936170212771	0.19999999999999996	0.0	0.19999999999999996	0.33333333333333337	0.21739130434782605	0.13043478260869568	0.2682926829268293	0.3114754098360656	0.40740740740740744	0.19999999999999996	0.2558139534883721	0.31999999999999995	0.2962962962962963	0.3846153846153846	0.2592592592592593
Effects of oxidant air pollutants on forest succession in the mixed conifer forest type of southern California	0.34426229508196726	0.3157894736842105	0.23076923076923073	0.33333333333333337	0.19148936170212771	0.4	0.23809523809523814	0.24444444444444446	0.20833333333333337	0.21739130434782605	0.08695652173913049	0.12195121951219512	0.3770491803278688	0.33333333333333337	0.19999999999999996	0.16279069767441856	0.31999999999999995	0.33333333333333337	0.41538461538461535	0.2962962962962963
2008 National Ambient Air Quality Standards for Groundlevel Ozone Chapter 6	0.18309859154929575	0.375	0.34693877551020413	0.3076923076923077	0.29824561403508776	0.43999999999999995	0.34615384615384615	0.3090909090909091	0.3448275862068966	0.25	0.3214285714285714	0.33333333333333337	0.3802816901408451	0.25	0.36	0.28301886792452835	0.30000000000000004	0.28125	0.28	0.25
National Emission Standards for Hazardous Air Pollutants from the Portland Cement Manufacturing Industry	0.23529411764705888	0.28888888888888886	0.34782608695652173	0.30612244897959184	0.14814814814814814	0.3191489361702128	0.22448979591836737	0.23076923076923073	0.23636363636363633	0.2075471698113207	0.16981132075471694	0.33333333333333337	0.32352941176470584	0.2786885245901639	0.3191489361702128	0.24	0.29824561403508776	0.2786885245901639	0.2777777777777778	0.24590163934426235
Proposed NO2 NAAQS Regulatory Impact Analysis	0.24242424242424243	0.39534883720930236	0.40909090909090906	0.4042553191489362	0.23076923076923073	0.28888888888888886	0.23404255319148937	0.28	0.3584905660377359	0.2549019607843137	0.2549019607843137	0.26086956521739135	0.303030303030303	0.35593220338983056	0.33333333333333337	0.29166666666666663	0.3090909090909091	0.288135593220339	0.2857142857142857	0.2542372881355932
Deterministic versus stochastic evaluation of the aggregate economic effects of price support programs	0.35593220338983056	0.2777777777777778	0.18918918918918914	0.30000000000000004	0.19999999999999996	0.26315789473684215	0.19999999999999996	0.2093023255813954	0.21739130434782605	0.18181818181818177	0.2727272727272727	0.23076923076923073	0.35593220338983056	0.34615384615384615	0.0	0.12195121951219512	0.375	0.34615384615384615	0.39682539682539686	0.3076923076923077
Lung Cancer Cardiopulmonary Mortality and Longterm Exposure to Fine Particulate Air Pollution	0.3538461538461538	0.4285714285714286	0.39534883720930236	0.4347826086956522	0.21568627450980393	0.2727272727272727	0.26086956521739135	0.34693877551020413	0.2692307692307693	0.31999999999999995	0.12	0.24444444444444446	0.32307692307692304	0.3448275862068966	0.31818181818181823	0.276595744680851	0.33333333333333337	0.3448275862068966	0.3913043478260869	0.31034482758620685
Air pollution and emergency department visits for asthma among Ohio Medicaid recipients	0.3015873015873016	0.30000000000000004	0.2682926829268293	0.2727272727272727	0.10204081632653061	0.33333333333333337	0.2272727272727273	0.23404255319148937	0.16000000000000003	0.16666666666666663	0.20833333333333337	0.16279069767441856	0.33333333333333337	0.25	0.1428571428571429	0.11111111111111116	0.3076923076923077	0.2857142857142857	0.31343283582089554	0.25
