	State of the Vending Industry Report” httpwwwvendingmarketwatchcomcontentreports accessed	National Automatic Merchandising Association “Comments of The National Automatic Merchandising Association” Docket No	Business Administration “Table of Small Business Size Standards Matched to North American Industry Classification System Codes” Effective	Operators Find Todayaposs Patrons Favor aposBetterForYouapos Food Selections In	Is the Obesity Epidemic a Public Health Problem A Decade	Strategies for Promoting Healthier Food Choices” American Economic Review Papers and Proceedings	Doing it Now or	Will all Americans Become Overweight or Obese Estimating the Progression and	Prevalence of Overweight Obesity and Extreme Obesity Among Adults United States	The Effect of Obesity and Cardiometabolic Risk Factor on Expenditures and Productivity in the US” Obesity	Social Network and Weight Misperception Among Adolescents” Southern Economic Journal Forthcoming	Size Matters The Influence of Adolescent’s Weight and	Body Weight SelfPerception and Mental Health among	The Impact of Obesity on	Annual Medical Spending Attributable to Obesity Payer	The Growth of Obesity and Technological Change A Theoretical and Empirical Examination”	The LongRun Growth in Obesity as a Function of Technological Change”	An Economic Analysis of Adult Obesity Results from the Behavioral Risk Factor Surveillance System”	A Pricing Strategy to Promote LowFat Snack Choices through Vending Machines”	Department of Agriculture Economic Research Service “Table 15 Sales of meals and snacks away from home by type of outlet” Food CPI and Expenditures Food Expenditure Tables httpwwwersusdagovBriefingCPIFoodAndExpendituresData Accessed 1082010	Testing Laboratory “Quality Nutrition Analysis” httpwwwrlfoodtestinglaboratorycomservicesasp accessed	Evaluation of Recordkeeping Costs for Food Manufacturers Final Report” Prepared for Andy Estrin and Cristina McLaughlin of FDAaposs Center for Food Safety and Applied Nutrition Prepared by Aylin Sertkaya Ayesha Berlind and Seda Erdem Contract No 223012461 Task Order Number 5	City’s Soda Cost Millions Monthly Tax on Soft Drinks	Taxing Food Implications for Public	Ounces of Prevention — The Public Policy Case for Taxes on Sugared Beverages” New England	The Effects of Soft Drink Taxes on Child and Adolescent Consumption and Weight Outcomes”	Schoolchildren’s Consumption of Competitive Foods and Beverages Excluding à la	Choose Beverages and Foods to Moderate your Intake of Sugars Measurement Requires Quantification	Measuring the Health of the US	ObesityRelated QualityAdusted Life Years Lost in the US from 19932008”	Trends in QualityAdjusted LifeYears Lost Contributed by Smoking and Obesity”	Statistical Abstract of the United States	Separating what We Eat from where	Calorie Labeling And Food Choices A First Look At The Effects On LowIncome People In New York City	Adolescent Fast Food and Restaurant Ordering Behavior with and without Calorie and Fat Content Menu Information”	Do Nutrition Labels Improve Dietary Outcomes	Mandatory Menu Labeling in One FastFood Chain in King County	Child and Adolescent FastFood Choice and the Influence of Calorie Labeling	Nutrition Menu Labeling May Lead to LowerCalorie Restaurant Meal Choices for Children Pediatrics	Modeling weightloss maintenance to help prevent body weight regain”	School Vending Machine Use and FastFood Restaurant Use Are Associated with Sugar Sweetened Beverage Intake in Youth”
Table 15 Sales of meals and snacks away from home by type of outlet	0.2692307692307693	0.34615384615384615	0.33333333333333337	0.33333333333333337	0.33333333333333337	0.37037037037037035	0.6470588235294117	0.375	0.2692307692307693	0.27586206896551724	0.33333333333333337	0.36	0.3191489361702128	0.2857142857142857	0.30434782608695654	0.2962962962962963	0.34615384615384615	0.2962962962962963	0.3584905660377359	0.2941176470588235	0.2727272727272727	0.34285714285714286	0.36170212765957444	0.30434782608695654	0.33333333333333337	0.3090909090909091	0.37037037037037035	0.34615384615384615	0.38095238095238093	0.3793103448275862	0.33333333333333337	0.2857142857142857	0.36585365853658536	0.2857142857142857	0.40740740740740744	0.34782608695652173	0.3913043478260869	0.34782608695652173	0.30612244897959184	0.29166666666666663	0.4181818181818182
Evaluation of Recordkeeping Costs for Food Manufacturers Final Report	0.2941176470588235	0.2941176470588235	0.3571428571428571	0.3191489361702128	0.4042553191489362	0.24528301886792447	0.5757575757575757	0.36170212765957444	0.33333333333333337	0.26315789473684215	0.28301886792452835	0.34693877551020413	0.34782608695652173	0.46341463414634143	0.28888888888888886	0.3584905660377359	0.33333333333333337	0.28301886792452835	0.34615384615384615	0.34328358208955223	0.37037037037037035	0.33333333333333337	0.3913043478260869	0.28888888888888886	0.3571428571428571	0.2962962962962963	0.24528301886792447	0.21568627450980393	0.31707317073170727	0.5087719298245614	0.39622641509433965	0.36585365853658536	0.4	0.3090909090909091	0.24528301886792447	0.37777777777777777	0.28888888888888886	0.24444444444444446	0.25	0.3191489361702128	0.2962962962962963
Prevalence of Overweight Obesity and Extreme Obesity Among Adults United States Trends 1976�1980 Through 2007�2008	0.3846153846153846	0.41538461538461535	0.34285714285714286	0.3770491803278688	0.34426229508196726	0.34328358208955223	0.6595744680851063	0.2786885245901639	0.1384615384615384	0.2676056338028169	0.4029850746268657	0.39682539682539686	0.4	0.4181818181818182	0.3220338983050848	0.28358208955223885	0.3846153846153846	0.31343283582089554	0.3939393939393939	0.23456790123456794	0.32352941176470584	0.27710843373493976	0.4666666666666667	0.35593220338983056	0.2571428571428571	0.32352941176470584	0.3731343283582089	0.41538461538461535	0.4181818181818182	0.2676056338028169	0.3731343283582089	0.34545454545454546	0.4444444444444444	0.30434782608695654	0.3731343283582089	0.423728813559322	0.423728813559322	0.38983050847457623	0.3548387096774194	0.3770491803278688	0.4117647058823529
Statistical Abstract of the United States 2011 	0.4285714285714286	0.3877551020408163	0.37037037037037035	0.4222222222222223	0.37777777777777777	0.37254901960784315	0.6129032258064516	0.33333333333333337	0.26530612244897955	0.38181818181818183	0.4117647058823529	0.3191489361702128	0.36363636363636365	0.3846153846153846	0.3023255813953488	0.37254901960784315	0.4285714285714286	0.33333333333333337	0.43999999999999995	0.3846153846153846	0.3846153846153846	0.4029850746268657	0.40909090909090906	0.39534883720930236	0.40740740740740744	0.3846153846153846	0.4117647058823529	0.4285714285714286	0.28205128205128205	0.2727272727272727	0.4117647058823529	0.07692307692307687	0.42105263157894735	0.39622641509433965	0.4117647058823529	0.4418604651162791	0.39534883720930236	0.2558139534883721	0.34782608695652173	0.37777777777777777	0.3846153846153846
City�s Soda Cost Millions Monthly Tax on Soft Drinks in Manhattan and Bronx in February and March is 465445	0.4137931034482759	0.31034482758620685	0.3015873015873016	0.33333333333333337	0.40740740740740744	0.43333333333333335	0.65	0.4444444444444444	0.3448275862068966	0.28125	0.4	0.3571428571428571	0.3584905660377359	0.41666666666666663	0.34615384615384615	0.3666666666666667	0.3448275862068966	0.30000000000000004	0.35593220338983056	0.29729729729729726	0.4098360655737705	0.26315789473684215	0.24528301886792447	0.34615384615384615	0.3015873015873016	0.3114754098360656	0.33333333333333337	0.27586206896551724	0.375	0.46875	0.3666666666666667	0.33333333333333337	0.5319148936170213	0.3548387096774194	0.3666666666666667	0.42307692307692313	0.3076923076923077	0.3076923076923077	0.3090909090909091	0.40740740740740744	0.3770491803278688
2010 State of the Vending Industry Report	0.21568627450980393	0.4509803921568627	0.4285714285714286	0.36170212765957444	0.4042553191489362	0.39622641509433965	0.5757575757575757	0.4893617021276596	0.37254901960784315	0.4035087719298246	0.4339622641509434	0.34693877551020413	0.34782608695652173	0.36585365853658536	0.33333333333333337	0.4339622641509434	0.4117647058823529	0.39622641509433965	0.3846153846153846	0.34328358208955223	0.40740740740740744	0.3913043478260869	0.4347826086956522	0.37777777777777777	0.4285714285714286	0.40740740740740744	0.39622641509433965	0.2941176470588235	0.31707317073170727	0.33333333333333337	0.4339622641509434	0.36585365853658536	0.35	0.4181818181818182	0.39622641509433965	0.4222222222222223	0.37777777777777777	0.33333333333333337	0.33333333333333337	0.4042553191489362	0.37037037037037035
Comments of The National Automatic Merchandising Association	0.36	0.12	0.23636363636363633	0.3913043478260869	0.34782608695652173	0.3076923076923077	0.5	0.30434782608695654	0.28	0.3571428571428571	0.2692307692307693	0.20833333333333337	0.28888888888888886	0.35	0.2727272727272727	0.2692307692307693	0.31999999999999995	0.34615384615384615	0.2941176470588235	0.3939393939393939	0.24528301886792447	0.3529411764705882	0.33333333333333337	0.2727272727272727	0.3090909090909091	0.24528301886792447	0.3076923076923077	0.28	0.25	0.4285714285714286	0.3076923076923077	0.25	0.3846153846153846	0.2592592592592593	0.23076923076923073	0.36363636363636365	0.2727272727272727	0.18181818181818177	0.19148936170212771	0.30434782608695654	0.3584905660377359
Is the Obesity Epidemic a Public Health Problem A Decade of Research on the Economics of Obesity	0.3090909090909091	0.34545454545454546	0.30000000000000004	0.2941176470588235	0.05882352941176472	0.26315789473684215	0.6216216216216216	0.2549019607843137	0.19999999999999996	0.24590163934426235	0.368421052631579	0.3584905660377359	0.28	0.24444444444444446	0.22448979591836737	0.26315789473684215	0.34545454545454546	0.22807017543859653	0.3928571428571429	0.295774647887324	0.31034482758620685	0.31506849315068497	0.43999999999999995	0.26530612244897955	0.33333333333333337	0.27586206896551724	0.368421052631579	0.34545454545454546	0.37777777777777777	0.34426229508196726	0.368421052631579	0.28888888888888886	0.40909090909090906	0.22033898305084743	0.29824561403508776	0.22448979591836737	0.34693877551020413	0.26530612244897955	0.2692307692307693	0.33333333333333337	0.4137931034482759
Menucalc Plans	0.631578947368421	0.5263157894736843	0.5813953488372092	0.47058823529411764	0.5294117647058824	0.6	0.8	0.5294117647058824	0.5263157894736843	0.5909090909090908	0.55	0.5	0.5151515151515151	0.5714285714285714	0.375	0.65	0.5789473684210527	0.6	0.5384615384615384	0.6666666666666667	0.6097560975609756	0.6428571428571428	0.6363636363636364	0.5	0.5813953488372092	0.6097560975609756	0.6	0.5789473684210527	0.4285714285714286	0.6818181818181819	0.65	0.5	0.7037037037037037	0.6190476190476191	0.55	0.5	0.5	0.5	0.4285714285714286	0.5294117647058824	0.5609756097560976
Operators Find Todays Patrons Favor BetterForYou Food Selections In Vending	0.2962962962962963	0.4444444444444444	0.35593220338983056	0.040000000000000036	0.31999999999999995	0.3571428571428571	0.6111111111111112	0.31999999999999995	0.2962962962962963	0.30000000000000004	0.3928571428571429	0.34615384615384615	0.30612244897959184	0.36363636363636365	0.20833333333333337	0.3928571428571429	0.37037037037037035	0.3214285714285714	0.34545454545454546	0.34285714285714286	0.368421052631579	0.36111111111111116	0.4693877551020408	0.25	0.288135593220339	0.368421052631579	0.3214285714285714	0.2962962962962963	0.40909090909090906	0.4666666666666667	0.3571428571428571	0.40909090909090906	0.4883720930232558	0.27586206896551724	0.3214285714285714	0.29166666666666663	0.33333333333333337	0.33333333333333337	0.37254901960784315	0.36	0.26315789473684215
Quality Nutrition Analysis	0.5238095238095238	0.4285714285714286	0.44680851063829785	0.42105263157894735	0.42105263157894735	0.5454545454545454	0.41666666666666663	0.4736842105263158	0.4285714285714286	0.5416666666666667	0.4545454545454546	0.44999999999999996	0.5135135135135135	0.5	0.33333333333333337	0.5	0.47619047619047616	0.4545454545454546	0.4883720930232558	0.5862068965517242	0.37777777777777777	0.5666666666666667	0.45945945945945943	0.4444444444444444	0.4893617021276596	0.5111111111111111	0.5454545454545454	0.47619047619047616	0.375	0.45833333333333337	0.40909090909090906	0.375	0.5483870967741935	0.4782608695652174	0.5	0.33333333333333337	0.38888888888888884	0.38888888888888884	0.3846153846153846	0.4736842105263158	0.5111111111111111
Table of Small Business Size Standards Matched to North American Industry Classification System Codes	0.34545454545454546	0.23636363636363633	0.09999999999999998	0.2941176470588235	0.2941176470588235	0.368421052631579	0.6216216216216216	0.33333333333333337	0.2727272727272727	0.3114754098360656	0.33333333333333337	0.2075471698113207	0.28	0.28888888888888886	0.26530612244897955	0.29824561403508776	0.34545454545454546	0.26315789473684215	0.3214285714285714	0.323943661971831	0.27586206896551724	0.31506849315068497	0.31999999999999995	0.30612244897959184	0.2666666666666667	0.31034482758620685	0.33333333333333337	0.23636363636363633	0.33333333333333337	0.3770491803278688	0.29824561403508776	0.24444444444444446	0.4545454545454546	0.2542372881355932	0.26315789473684215	0.30612244897959184	0.30612244897959184	0.22448979591836737	0.23076923076923073	0.33333333333333337	0.3448275862068966
The Growth of Obesity and Technological Change A Theoretical and Empirical Examination	0.34545454545454546	0.3090909090909091	0.30000000000000004	0.37254901960784315	0.2549019607843137	0.26315789473684215	0.5675675675675675	0.21568627450980393	0.1636363636363637	0.24590163934426235	0.33333333333333337	0.3584905660377359	0.31999999999999995	0.24444444444444446	0.26530612244897955	0.052631578947368474	0.23636363636363633	0.29824561403508776	0.3571428571428571	0.295774647887324	0.24137931034482762	0.34246575342465757	0.36	0.26530612244897955	0.23333333333333328	0.2068965517241379	0.29824561403508776	0.38181818181818183	0.4222222222222223	0.4098360655737705	0.29824561403508776	0.28888888888888886	0.31818181818181823	0.15254237288135597	0.29824561403508776	0.34693877551020413	0.30612244897959184	0.26530612244897955	0.2692307692307693	0.2549019607843137	0.4482758620689655
Strategies for Promoting Healthier Food Choices	0.34693877551020413	0.30612244897959184	0.37037037037037035	0.33333333333333337	0.33333333333333337	0.17647058823529416	0.5483870967741935	0.28888888888888886	0.26530612244897955	0.3090909090909091	0.33333333333333337	0.3191489361702128	0.18181818181818177	0.3846153846153846	0.3023255813953488	0.33333333333333337	0.34693877551020413	0.33333333333333337	0.28	0.3846153846153846	0.3846153846153846	0.4029850746268657	0.36363636363636365	0.2558139534883721	0.33333333333333337	0.3076923076923077	0.2549019607843137	0.26530612244897955	0.23076923076923073	0.4545454545454546	0.37254901960784315	0.23076923076923073	0.3157894736842105	0.28301886792452835	0.2941176470588235	0.4418604651162791	0.3023255813953488	0.2093023255813954	0.26086956521739135	0.33333333333333337	0.3846153846153846
Taxing Food Implications for Public Health Nutrition	0.33333333333333337	0.2962962962962963	0.3220338983050848	0.28	0.24	0.2857142857142857	0.5555555555555556	0.31999999999999995	0.2592592592592593	0.2666666666666667	0.3214285714285714	0.3076923076923077	0.26530612244897955	0.2727272727272727	0.29166666666666663	0.2857142857142857	0.33333333333333337	0.3571428571428571	0.38181818181818183	0.3142857142857143	0.26315789473684215	0.36111111111111116	0.4285714285714286	0.08333333333333337	0.288135593220339	0.29824561403508776	0.2857142857142857	0.33333333333333337	0.31818181818181823	0.4666666666666667	0.3928571428571429	0.31818181818181823	0.39534883720930236	0.2068965517241379	0.3214285714285714	0.29166666666666663	0.33333333333333337	0.20833333333333337	0.2549019607843137	0.31999999999999995	0.4035087719298246
ObesityRelated QualityAdjusted Life Years Lost in the US from 19932008	0.43333333333333335	0.4666666666666667	0.41538461538461535	0.4285714285714286	0.3928571428571429	0.4516129032258065	0.7142857142857143	0.4285714285714286	0.30000000000000004	0.36363636363636365	0.4838709677419355	0.4482758620689655	0.4545454545454546	0.43999999999999995	0.37037037037037035	0.4193548387096774	0.4	0.32258064516129037	0.4426229508196722	0.368421052631579	0.3650793650793651	0.33333333333333337	0.49090909090909096	0.4814814814814815	0.4461538461538461	0.4285714285714286	0.4838709677419355	0.4	0.4	0.06060606060606055	0.25806451612903225	0.31999999999999995	0.5102040816326531	0.375	0.4193548387096774	0.40740740740740744	0.37037037037037035	0.37037037037037035	0.368421052631579	0.4642857142857143	0.4285714285714286
